"activities","Activities","Tegevused"
"grandparents_8","Can you help me find my grandparents?","Kas saate aidata mul leida oma vanavanemaid?"
"brother","Brother","Vend"
"brother_2","I love my brother.","Ma armastan oma venda."
"brother_3","I love you brother.","Ma armastan sind vend."
"brother_4","I miss my brother.","Ma igatsen oma venda."
"brother_5","He is my brother.","Ta on mu vend."
"brother_6","My brother is taking care of me.","Mu vend hoolitseb minu eest."
"brother_8","Can you help me find my brother?","Kas saate aidata mul oma venda leida?"
"sister","Sister","Õde"
"sister_2","I love my sister.","Ma armastan oma õde."
"sister_3","I love you sister.","Ma armastan sind, õde."
"sister_4","I miss my sister.","Ma igatsen oma õde."
"sister_5","She is my sister.","Ta on mu õde."
"sister_6","My sister is taking care of me.","Mu õde hoolitseb minu eest."
"sister_8","Can you help me find my sister?","Kas saate aidata mul õde leida?"
"uncle","Uncle","Onu"
"uncle_2","I love my uncle.","Ma armastan onu."
"uncle_3","I love you uncle.","Ma armastan sind onu."
"uncle_4","I miss my uncle.","Ma igatsen oma onu."
"uncle_5","He is my uncle.","Ta on minu onu."
"uncle_8","Can you help me find my uncle?","Kas saate aidata mul onu leida?"
"aunt","Aunt","Tädi"
"aunt_2","I love my aunt.","Ma armastan oma tädi."
"aunt_3","I love you aunt.","Ma armastan sind tädi."
"aunt_4","I miss my aunt.","Ma igatsen oma tädi."
"aunt_5","She is my aunt.","Ta on minu tädi."
"aunt_8","Can you help me find my aunt?","Kas saate aidata mul oma tädi leida?"
"teacher","Teacher","Õpetaja"
"teacher_2","I love my teacher.","Ma armastan oma õpetajat."
"teacher_3","I love you teacher.","Ma armastan sind, õpetaja."
"teacher_4","I don't like my teacher.","Mulle ei meeldi minu õpetaja."
"teacher_5","I miss my teacher.","Ma igatsen oma õpetajat."
"teacher_6","Thank you for the lesson.","Tänan õppetunni eest."
"therapist","Therapist","Terapeut"
"therapist_2","I love my therapist.","Ma armastan oma terapeuti."
"therapist_3","I love you therapist.","Ma armastan sind terapeut."
"therapist_4","I don't like my therapist.","Mulle ei meeldi minu terapeut."
"therapist_5","I miss my therapist.","Ma igatsen oma terapeuti."
"therapist_6","Thank you for the session.","Tänan istungi eest."
"doctor","Doctor","Arst"
"doctor_2","I love my doctor.","Ma armastan oma arsti."
"doctor_3","I love you doctor.","Ma armastan sind, arst."
"doctor_4","I don't like my doctor.","Mulle ei meeldi mu arst."
"doctor_5","I miss my doctor.","Ma igatsen oma arsti."
"doctor_6","Thank you for healing me.","Aitäh, et mu terveksite."
"friends","Friends","Sõbrad"
"friends_2","I love my friends.","Ma armastan oma sõpru."
"friends_3","Do you want to be my friend?","Kas sa tahad olla mu sõber?"
"friends_4","I don't like my friends.","Mulle ei meeldi mu sõbrad."
"friends_5","I miss my friends.","Ma igatsen oma sõpru."
"friends_6","They are my friends.","Nad on mu sõbrad."
"friends_7","Thank you for playing with me.","Tänan, et mängisite minuga."
"cousins","Cousins","Nõod"
"cousins_2","I love my cousins.","Ma armastan oma nõod."
"cousins_3","I don't have cousins.","Mul pole nõod."
"cousins_4","I miss my cousins.","Ma igatsen oma nõod."
"cousins_5","They are my cousins.","Nad on mu nõod."
"grandmother","Grandmother","Vanaema"
"grandmother_2","I love my grandmother.","Ma armastan oma vanaema."
"grandmother_3","I love you grandma.","Ma armastan sind vanaema."
"grandmother_4","I miss my grandma.","Ma igatsen oma vanaema."
"grandmother_5","She is my grandma.","Ta on minu vanaema."
"grandfather","Grandfather","Vanaisa"
"grandfather_2","I love my grandfather.","Ma armastan oma vanaisa."
"grandfather_3","I love you grandpa.","Ma armastan sind vanaisa."
"grandfather_4","I miss my grandpa.","Ma igatsen oma vanaisa."
"grandfather_5","He is my grandpa.","Ta on minu vanaisa."
"stepfather","Stepfather","Kasuisa"
"stepfather_2","I love my stepfather.","Ma armastan oma kasuisa."
"stepfather_3","He is my stepfather.","Ta on minu kasuisa."
"stepfather_4","I miss my stepfather.","Ma igatsen oma kasuisa."
"stepfather_5","He is my stepfather.","Ta on minu kasuisa."
"stepmother","Stepmother","Kasuema"
"stepmother_2","I love my stepmother.","Ma armastan oma võõrasema."
"stepmother_3","She is my stepmother.","Ta on minu võõrasema."
"stepmother_4","I miss my stepmother.","Ma igatsen oma võõrasema."
"stepmother_5","She is my stepmother.","Ta on minu võõrasema."
"stepsister","Stepsister","Kasuõde"
"stepsister_2","I love my stepsister.","Ma armastan oma õde."
"stepsister_3","She is my stepsister.","Ta on minu poolõde."
"stepsister_4","I miss my stepsister.","Ma igatsen oma õde."
"stepsister_5","She is my stepsister.","Ta on minu poolõde."
"stepbrother","Stepbrother","Kasuvend"
"stepbrother_2","I love my stepbrother.","Ma armastan oma kasuvenda."
"stepbrother_3","He is my stepbrother.","Ta on minu kasuvend."
"stepbrother_4","I miss my stepbrother.","Ma tunnen oma kasuvenda."
"stepbrother_5","He is my stepbrother.","Ta on minu kasuvend."
"half-brother","Half brother","Poolvend"
"half-brother_2","I love my half brother.","Ma armastan oma poolvenda."
"half-brother_3","He is my half brother.","Ta on minu poolvend."
"half-brother_4","I miss my half brother.","Ma igatsen oma poolvenda."
"half-brother_5","He is my half brother.","Ta on minu poolvend."
"half-sister","Half sister","Poolõde"
"half-sister_2","I love my half sister.","Ma armastan oma poolõde."
"half-sister_3","She is my half sister.","Ta on mu poolõde."
"half-sister_4","I miss my half sister.","Ma igatsen oma poolõde."
"half-sister_5","She is my half sister.","Ta on mu poolõde."
"quarantine","Quarantine","Karantiin"
"protective-mask","Protective mask","Kaitsev mask"
"stay-home","Stay home","Jää koju"
"toilet-paper","Toilet paper","Tualettpaber"
"sprayer","Sprayer","Pihusti"
"disinfectant","Disinfectant","Desinfektsioonivahend"
"thermometer","Thermometer","Termomeeter"
"coughing","Coughing","Köha"
"medical-assistance","Medical assistance","Meditsiiniline abi"
"hand-sanitizer","Hand sanitizer","Käte desinfitseerimise vahend"
"gloves","Gloves","Kindad"
"social-distancing","Social distancing","Sotsiaalne distantseerumine"
"mouth-mask","Mouth mask","Suu mask"
"pandemic","Pandemic","Pandeemia"
"working-at-home","Working at home","Kodus töötamine"
"wet-wipes","Wet wipes","Niisked salvrätikud"
"first-aid-kit","First aid kit","Esmaabikarp"
"fitness","Fitness","Fitness"
"e-learning","E-learning","E-õpe"
"virus","Virus","Viirus"
"cleaning","Cleaning","Puhastamine"
"school","School","Kool"
"desk","Desk","Laud"
"desk_2","Can I use this desk?","Kas ma saan seda lauda kasutada?"
"desk_3","Which desk is mine?","Milline kirjutuslaud on minu oma?"
"desk_4","I spilled on my desk.","Ma voolasin oma lauale."
"desk_5","Don't scratch your desk.","Ärge kriimustage oma lauda."
"chair","Chair","Õppetool"
"chair_2","Can I sit with you?","Kas ma võin sinuga istuda?"
"chair_3","Which chair is mine?","Milline tool on minu oma?"
"chair_4","Is this chair taken?","Kas see tool on võetud?"
"chair_5","I spilled on my chair.","Ma voolasin oma toolile."
"book","Book","Raamat"
"book_2","Textbook","Õpik"
"book_3","Workbook","Töövihik"
"book_4","Reading a book.","Loen raamatut."
"book_5","Can I borrow your book?","Kas ma saan teie raamatut laenata?"
"book_6","Which page are we at?","Millisel lehel me oleme?"
"book_7","Flip the page.","Pöörake lehte."
"book_8","I lost my book.","Ma kaotasin oma raamatu."
"notebook","Notebook","Märkmik"
"notebook_2","Taking notes.","Märkmeid tegema."
"notebook_3","I'm taking notes.","Ma teen märkmeid."
"notebook_4","I lost my notebook.","Kaotasin märkmiku."
"backpack","Backpack","Seljakott"
"backpack_2","Carrying my backpack.","Kannan seljakotti."
"backpack_3","Putting my books in my backpack.","Panen oma raamatud seljakotti."
"backpack_4","I need a new backpack.","Ma vajan uut seljakotti."
"backpack_5","Thank you for carrying my backpack.","Täname, et kandsite mu seljakotti."
"backpack_6","I lost my backpack.","Kaotasin oma seljakoti."
"backpack_7","My backpack is heavy.","Mu seljakott on raske."
"blackboard","Blackboard","Tahvel"
"blackboard_2","Look at the blackboard.","Vaata tahvlit."
"blackboard_3","Cleaning the blackboard.","Tahvli puhastamine."
"blackboard_4","Solving the problem on the blackboard.","Tahvlil oleva probleemi lahendamine."
"blackboard_5","Taking note on the blackboard.","Märkimine tahvlile."
"blackboard_6","Give me a chalk.","Andke mulle kriit."
"teacher_7","I don't like this topic.","Mulle see teema ei meeldi."
"teacher_8","Thank you for the lesson.","Tänan õppetunni eest."
"school-bus","School bus","Koolibuss"
"school-bus_2","School bus is coming.","Koolibuss on tulemas."
"school-bus_3","Can I sit next to you?","Kas ma saan teie kõrval istuda?"
"school-bus_4","Thank you bus driver!","Aitäh bussijuht!"
"school-bus_5","School bus was late.","Koolibuss hilines."
"pencil","Pencil","Pliiats"
"pencil_2","I'm writing.","Ma kirjutan."
"pencil_3","I'm learning to write.","Õpin kirjutama."
"pencil_4","I need a new pencil.","Ma vajan uut pliiatsit."
"pencil_5","Can I borrow your pencil?","Kas ma saan teie pliiatsit laenata?"
"pencil_6","I lost my pencil.","Kaotasin oma pliiatsi."
"eraser","Eraser","Kustutuskumm"
"eraser_2","I'm erasing.","Ma kustutan."
"eraser_3","I need a new eraser.","Ma vajan uut kustutuskummi."
"eraser_4","Can I borrow your eraser?","Kas ma saan teie kustutuskummi laenata?"
"eraser_5","I lost my eraser.","Kaotasin kustutuskummi."
"ruler","Ruler","Joonlaud"
"ruler_2","I'm measuring.","Ma mõõdan."
"ruler_3","I need a new ruler.","Ma vajan uut valitsejat."
"ruler_4","Can I borrow your ruler?","Kas ma saan teie valitsejat laenata?"
"ruler_5","I lost my ruler.","Kaotasin oma valitseja."
"sharpener","Sharpener","Teritaja"
"sharpener_2","I'm sharpening my pencil.","Teritan oma pliiatsit."
"sharpener_3","I need a new sharpener.","Ma vajan uut teritajat."
"sharpener_4","Can I borrow your sharpener?","Kas ma saan teie teritajat laenata?"
"sharpener_5","I lost my sharpener.","Kaotasin oma teritaja."
"mathematics","Mathematics","Matemaatika"
"mathematics_2","I like mathematics.","Mulle meeldib matemaatika."
"mathematics_3","I want to study mathematics.","Ma tahan õppida matemaatikat."
"mathematics_4","I don't like mathematics.","Mulle ei meeldi matemaatika."
"mathematics_5","When is mathematics class?","Millal on matemaatika tund?"
"mathematics_6","Can you help me with my mathematics homework?","Kas saate mind aidata matemaatika kodutöödes?"
"literature","Literature","Kirjandus"
"literature_2","I like literature.","Mulle meeldib kirjandus."
"literature_3","I want to study literature.","Ma tahan õppida kirjandust."
"literature_4","I don't like literature.","Mulle kirjandus ei meeldi."
"literature_5","When is literature class?","Millal on kirjanduse tund?"
"literature_6","Can you help me with my literature homework?","Kas saate mind aidata minu kirjanduse kodutöödel?"
"science","Science","Teadus"
"science_2","I like science.","Mulle meeldib teadus."
"science_3","I want to study science.","Ma tahan õppida loodusteadusi."
"science_4","I don't like science.","Mulle ei meeldi teadus."
"science_5","When is science class?","Millal on loodusteaduste tund?"
"science_6","Can you help me with my science homework?","Kas saate mind aidata minu teaduse kodutöödes?"
"art-class","Art class","Kunstiklass"
"art-class_2","I like art class.","Mulle meeldib kunstiklass."
"art-class_3","I want to practice art skills.","Tahan harjutada kunstioskusi."
"art-class_4","I don't like art class.","Mulle kunstiklass ei meeldi."
"art-class_5","When is art class?","Millal toimub kunstiklass?"
"art-class_6","Can you help me with my art class homework?","Kas saate mind aidata minu kunstiklassi kodutööde tegemisel?"
"music-class","Music class","Muusikatund"
"music-class_2","I like music class.","Mulle meeldib muusikatund."
"music-class_3","I want to practice music skills.","Tahan harjutada muusikaoskusi."
"music-class_4","I don't like music class.","Mulle ei meeldi muusikatund."
"music-class_5","When is music class?","Millal on muusikatund?"
"music-class_6","Can you help me with my music class homework?","Kas saate mind aidata mu muusikaklassi kodutööde tegemisel?"
"geography","Geography","Geograafia"
"geography_2","I like geography.","Mulle meeldib geograafia."
"geography_3","I want to study geography.","Ma tahan õppida geograafiat."
"geography_4","I don't like geography.","Mulle ei meeldi geograafia."
"geography_5","When is geography?","Millal on geograafia?"
"geography_6","Can you help me with my geography homework?","Kas saate mind aidata minu geograafiliste kodutööde tegemisel?"
"telescope","Telescope","Teleskoop"
"telescope_2","I'm using the telescope.","Ma kasutan teleskoopi."
"telescope_3","I want to use the telescope.","Ma tahan kasutada teleskoopi."
"telescope_4","I want to look at the stars.","Ma tahan tähti vaadata."
"glue","Glue","Liim"
"glue_2","I'm using glue.","Ma kasutan liimi."
"glue_3","I need a new glue.","Ma vajan uut liimi."
"glue_4","Can I borrow your glue?","Kas ma saan teie liimi laenata?"
"glue_5","I lost my glue.","Kaotasin oma liimi."
"shapes","Shapes","Kujundid"
"circle","Circle","Ringi"
"circle_2","This is circle shaped.","See on ringikujuline."
"circle_3","Can you teach me how to draw a circle?","Kas saate mulle õpetada ringi joonistamist?"
"triangle","Triangle","Kolmnurk"
"triangle_2","This is triangle shaped.","See on kolmnurgakujuline."
"triangle_3","Can you teach me how to draw a triangle?","Kas saate mulle õpetada, kuidas joonistada kolmnurka?"
"square","Square","Ruut"
"square_2","This is square shaped.","See on ruudukujuline."
"square_3","Can you teach me how to draw a square?","Kas saate mulle õpetada ruudu joonistamist?"
"rectangle","Rectangle","Ristkülik"
"rectangle_2","This is rectangle shaped.","See on ristkülikukujuline."
"rectangle_3","Can you teach me how to draw a rectangle?","Kas saate mulle õpetada ristküliku joonistamist?"
"star","Star","Täht"
"star_2","This is star shaped.","See on tähekujuline."
"star_3","Can you teach me how to draw a star?","Kas saate mulle õpetada tähe joonistamist?"
"pentagon","Pentagon","Pentagon"
"pentagon_2","This is pentagon shaped.","See on viisnurkne."
"pentagon_3","Can you teach me how to draw a pentagon?","Kas saate mulle õpetada viisnurka joonistamist?"
"hexagon","Hexagon","Kuusnurk"
"hexagon_2","This is hexagon shaped.","See on kuusnurkne."
"hexagon_3","Can you teach me how to draw a hexagon?","Kas saate mulle õpetada, kuidas kuusnurka joonistada?"
"cross","Cross","Risti"
"cross_2","This is cross shaped.","See on ristikujuline."
"cross_3","Can you teach me how to draw a cross?","Kas saate mulle õpetada risti joonistamist?"
"ellipse","Ellipse","Ellips"
"ellipse_2","This is ellipse shaped.","See on ellipsikujuline."
"ellipse_3","Can you teach me how to draw a ellipse?","Kas saate mulle õpetada ellipside joonistamist?"
"arrow","Arrow","Nool"
"arrow_2","This is arrow shaped.","See on noolekujuline."
"arrow_3","Can you teach me how to draw a arrow?","Kas saate mulle õpetada noole joonistamist?"
"crescent","Crescent","Poolkuu"
"crescent_2","This is crescent shaped.","See on poolkuu kujuline."
"crescent_3","Can you teach me how to draw a crescent?","Kas saate mulle õpetada, kuidas joonistada poolkuu?"
"heart","Heart","Süda"
"heart_2","This is heart shaped.","See on südamekujuline."
"heart_3","Can you teach me how to draw a heart?","Kas saate mulle südame joonistamist õpetada?"
"rhombus","Rhombus","Rombus"
"rhombus_2","This is rhombus shaped.","See on rombi kujuga."
"rhombus_3","Can you teach me how to draw a rhombus?","Kas saate mulle õpetada rombi joonistamist?"
"ring","Ring","Helisema"
"ring_2","This is ring shaped.","See on rõngakujuline."
"ring_3","Can you teach me how to draw a ring?","Kas saate mulle õpetada sõrmuse joonistamist?"
"semicircle","Semicircle","Poolring"
"semicircle_2","This is semicircle shaped.","See on poolringikujuline."
"semicircle_3","Can you teach me how to draw a semicircle?","Kas saate mulle õpetada, kuidas joonistada poolringi?"
"trapezoid","Trapezoid","Trapetsikujuline"
"trapezoid_2","This is trapezoid shaped.","See on trapetsikujuline."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Kas saate mulle õpetada trapetsi joonistamist?"
"cube","Cube","Kuup"
"cube_2","This is cube shaped.","See on kuubikujuline."
"cube_3","Can you teach me how to draw a cube?","Kas saate mulle õpetada kuubi joonistamist?"
"cylinder","Cylinder","Silinder"
"cylinder_2","This is cylinder shaped.","See on silindrikujuline."
"cylinder_3","Can you teach me how to draw a cylinder?","Kas saate mulle õpetada silindri joonistamist?"
