"activities","Activities","กิจกรรม"
"coffee_5","Can you make coffee for me?","คุณทำกาแฟให้ฉันได้ไหม"
"tomato","Tomato","มะเขือเทศ"
"tomato_2","I like tomato.","ฉันชอบมะเขือเทศ"
"tomato_3","I don't like tomato.","ฉันไม่ชอบมะเขือเทศ"
"tomato_4","I want to eat tomato.","ฉันต้องการกินมะเขือเทศ"
"cereal","Cereal","เมล็ดธัญพืช"
"cereal_2","I like cereal.","ฉันชอบซีเรียล"
"cereal_3","I don't like cereal.","ฉันไม่ชอบซีเรียล"
"cereal_4","I want to eat cereal.","ฉันต้องการทานซีเรียล"
"cereal_5","Can you make my cereal?","คุณสามารถทำซีเรียลของฉันได้ไหม"
"burger","Burger","ชาวเมือง"
"burger_2","I like burger.","ฉันชอบเบอร์เกอร์"
"burger_3","I don't like burger.","ฉันไม่ชอบเบอร์เกอร์"
"burger_4","I want to eat burger.","ฉันต้องการกินเบอร์เกอร์"
"burger_5","Can you cook burger for me?","คุณปรุงเบอร์เกอร์ให้ฉันได้ไหม"
"burger_6","Can we order burger?","เราสั่งเบอร์เกอร์ได้ไหม"
"french-fries","French fries","มันฝรั่งทอด"
"french-fries_2","I like french fries.","ฉันชอบมันฝรั่งทอด"
"french-fries_3","I don't like french fries.","ฉันไม่ชอบมันฝรั่งทอด"
"french-fries_4","I want to eat french fries.","ฉันต้องการกินมันฝรั่งทอด"
"french-fries_5","Can you cook french fries for me?","คุณทำอาหารฝรั่งเศสให้ฉันได้ไหม"
"french-fries_6","Can we order french fries?","เราสามารถสั่งเฟรนช์ฟรายได้หรือไม่?"
"spinach","Spinach","ผักขม"
"spinach_2","I like spinach.","ฉันชอบผักขม"
"spinach_3","I don't like spinach.","ฉันไม่ชอบผักขม"
"spinach_4","I want to eat spinach.","ฉันต้องการกินผักขม"
"rice","Rice","ข้าว"
"rice_2","I like rice.","ฉันชอบข้าว"
"rice_3","I don't like rice.","ฉันไม่ชอบข้าว"
"rice_4","I want to eat rice.","ฉันต้องการกินข้าว"
"rice_5","Can you cook rice for me?","คุณทำข้าวให้ฉันได้ไหม"
"bread","Bread","ขนมปัง"
"bread_2","I like bread.","ฉันชอบขนมปัง"
"bread_3","I don't like bread.","ฉันไม่ชอบขนมปัง"
"bread_4","I want to eat bread.","ฉันต้องการกินขนมปัง"
"bread_5","Can you buy some bread?","คุณซื้อขนมปังได้ไหม"
"pasta","Pasta","พาสต้า"
"pasta_2","I like pasta.","ฉันชอบพาสต้า"
"pasta_3","I don't like pasta.","ฉันไม่ชอบพาสต้า"
"pasta_4","I want to eat pasta.","ฉันต้องการกินพาสต้า"
"pasta_5","Can you cook pasta for me?","คุณสามารถปรุงพาสต้าให้ฉันได้ไหม"
"sauce","Sauce","ซอส"
"sauce_2","I like sauce.","ฉันชอบซอส"
"sauce_3","I don't like sauce.","ฉันไม่ชอบซอส"
"sauce_4","I want some sauce.","ฉันต้องการซอส"
"sauce_5","Can I have ketchup?","ฉันขอซอสมะเขือเทศได้ไหม"
"sauce_6","Can I have mayonnaise?","ฉันขอมายองเนสได้ไหม"
"sauce_7","Can I have mustard?","ฉันสามารถมัสตาร์ดได้หรือไม่"
"sauce_8","Can I have ranch sauce?","ฉันขอซอสปศุสัตว์ได้ไหม"
"kebab","Kebab","เคบับ"
"kebab_2","I like kebab.","ฉันชอบเคบับ"
"kebab_3","I don't like kebab.","ฉันไม่ชอบเคบับ"
"kebab_4","I want to eat kebab.","ฉันต้องการกินเคบับ"
"kebab_5","Can you cook kebab for me?","คุณปรุงเคบับให้ฉันได้ไหม"
"kebab_6","Can we order kebab?","เราสามารถสั่งเคบับได้หรือไม่?"
"numbers","Numbers","เบอร์"
"one","One","หนึ่ง"
"one_2","One comes before two.","หนึ่งมาก่อนสอง"
"one_3","One comes after zero.","หนึ่งมาหลังจากศูนย์"
"one_4","I want one.","ฉันต้องการหนึ่ง."
"two","Two","สอง"
"two_2","Two comes before three.","สองมาก่อนสาม"
"two_3","Two comes after one.","สองมาหลังจากหนึ่ง"
"two_4","I want two.","ฉันต้องการสอง"
"three","Three","สาม"
"three_2","Three comes before four.","สามมาก่อนสี่"
"three_3","Three comes after two.","สามมาหลังจากสอง"
"three_4","I want three.","ฉันต้องการสาม"
"four","Four","สี่"
"four_2","Four comes before five.","สี่มาก่อนห้าปี"
"four_3","Four comes after three.","สี่มาหลังจากสาม"
"four_4","I want four.","ฉันต้องการสี่"
"five","Five","ห้า"
"five_2","Five comes before six.","ห้ามาก่อนหกโมง"
"five_3","Five comes after four.","ห้ามาหลังจากสี่"
"five_4","I want five.","ฉันต้องการห้า"
"six","Six","หก"
"six_2","Six comes before seven.","หกมาก่อนเจ็ด"
"six_3","Six comes after five.","หกมาหลังจากห้า"
"six_4","I want fix.","ฉันต้องการแก้ไข"
"seven","Seven","เจ็ด"
"seven_2","Seven comes before eight.","เซเว่นมาก่อนแปดโมง"
"seven_3","Seven comes after six.","เซเว่นมาหลังจากหก"
"seven_4","I want seven.","ฉันต้องการเจ็ด"
"eight","Eight","แปด"
"eight_2","Eight comes before nine.","แปดมาก่อนเก้า"
"eight_3","Eight comes after seven.","แปดมาหลังจากเจ็ด"
"eight_4","I want eight.","ฉันต้องการแปด"
"nine","Nine","เก้า"
"nine_2","Nine comes before ten.","เก้ามาก่อนสิบ"
"nine_3","Nine comes after eight.","เก้ามาหลังจากแปด"
"nine_4","I want nine.","ฉันต้องการเก้า"
"ten","Ten","สิบ"
"ten_2","Ten comes before eleven.","สิบมาก่อนสิบเอ็ด"
"ten_3","Ten comes after nine.","สิบมาหลังจากเก้า"
"ten_4","I want ten.","ฉันต้องการสิบ"
"eleven","Eleven","สิบเอ็ด"
"eleven_2","Eleven comes before thirteen.","สิบเอ็ดมาก่อนที่สิบสาม"
"eleven_3","Eleven comes after ten.","สิบเอ็ดมาหลังจากสิบ"
"eleven_4","I want eleven.","ฉันต้องการสิบเอ็ด"
"twenty","Twenty","ยี่สิบ"
"twenty_2","I can count up to twenty.","ฉันสามารถนับได้ถึงยี่สิบ"
"thirty","Thirty","สามสิบ"
"thirty_2","I can count up to thirty.","ฉันสามารถนับได้ถึงสามสิบ"
"forty","Forty","สี่สิบ"
"forty_2","I can count up to forty.","ฉันสามารถนับได้ถึงสี่สิบ"
"fifty","Fifty","ห้าสิบ"
"fifty_2","I can count up to fifty.","ฉันสามารถนับได้ถึงห้าสิบ"
"hundred","Hundred","ร้อย"
"hundred_2","I can count up to hundred.","ฉันสามารถนับได้ถึงร้อย"
"thousand","Thousand","พัน"
"thousand_2","I can count up to thousand.","ฉันสามารถนับได้มากถึงพัน"
"calculator","Calculator","เครื่องคิดเลข"
"calculator_2","I want to use a calculator.","ฉันต้องการใช้เครื่องคิดเลข"
"calculator_3","Can you teach me how to use a calculator?","คุณสอนวิธีใช้เครื่องคิดเลขให้ฉันได้ไหม"
"calculator_4","Can I barrow your calculator?","ฉันสามารถสาลี่เครื่องคิดเลขของคุณได้ไหม?"
"people","People","คน"
"mother","Mother","แม่"
"mother_2","Mommy!","แม่!"
"mother_3","I love my mother.","ฉันรักแม่ของฉัน."
"mother_4","I love you mom.","ฉันรักแม่."
"mother_5","I miss my mom.","ฉันคิดถึงแม่ของฉัน"
"mother_6","Thank you for taking care of me.","ขอบคุณที่ดูแลฉัน"
"mother_7","She is my mom.","เธอคือแม่ของฉัน"
"mother_8","Can you help me find my mother?","คุณช่วยฉันหาแม่ของฉันได้ไหม"
"father","Father","พ่อ"
"father_2","Daddy!","พ่อ!"
"father_3","I love my father.","ฉันรักพ่อ."
"father_4","I love you dad.","ฉันรักพ่อ."
"father_5","I miss my dad.","ฉันคิดถึงพ่อ."
"father_6","Thank you for taking care of me.","ขอบคุณที่ดูแลฉัน"
"father_7","He is my dad.","เขาเป็นพ่อของฉัน"
"father_8","Can you help me find my father?","คุณช่วยฉันหาพ่อของฉันได้ไหม"
"parents","Parents","พ่อแม่"
"parents_2","I love my parents.","ฉันรักพ่อแม่ของฉัน."
"parents_3","I love my parents.","ฉันรักพ่อแม่ของฉัน."
"parents_4","I miss my parents.","ฉันคิดถึงพ่อแม่"
"parents_5","They are my parents.","พวกเขาคือพ่อแม่ของฉัน"
"parents_6","My parents are taking care of me.","พ่อแม่ของฉันดูแลฉัน"
"parents_8","Can you help me find my parents?","คุณช่วยฉันหาพ่อแม่ของฉันได้ไหม"
"grandparents","Grandparents","ปู่ย่าตายาย"
"grandparents_2","I love my grandparents.","ฉันรักปู่ย่าตายาย"
"grandparents_3","I love you grandparents.","ฉันรักคุณปู่คุณ"
"grandparents_4","I miss my grandparents.","ฉันคิดถึงคุณปู่ของฉัน"
"grandparents_5","They are my grandparents.","พวกเขาเป็นปู่ย่าตายายของฉัน"
"grandparents_6","My grandparents are taking care of me.","ปู่ย่าตายายของฉันกำลังดูแลฉัน"
"grandparents_8","Can you help me find my grandparents?","คุณช่วยฉันหาปู่ย่าตายายได้ไหม"
"brother","Brother","พี่ชาย"
"brother_2","I love my brother.","ฉันรักพี่ชายของฉัน."
"brother_3","I love you brother.","ฉันรักพี่ชายของคุณ"
"brother_4","I miss my brother.","ฉันคิดถึงพี่ชายของฉัน"
"brother_5","He is my brother.","เขาเป็นพี่ชายของฉัน."
"brother_6","My brother is taking care of me.","พี่ชายของฉันดูแลฉัน"
"brother_8","Can you help me find my brother?","คุณช่วยฉันหาพี่ชายของฉันได้ไหม"
"sister","Sister","น้องสาว"
"sister_2","I love my sister.","ฉันรักพี่สาวน้องสาวของฉัน."
"sister_3","I love you sister.","ฉันรักพี่สาว"
"sister_4","I miss my sister.","ฉันคิดถึงพี่สาว"
"sister_5","She is my sister.","เธอเป็นน้องสาวของฉัน."
"sister_6","My sister is taking care of me.","พี่สาวดูแลฉัน"
"sister_8","Can you help me find my sister?","คุณช่วยฉันหาพี่สาวได้ไหม"
"uncle","Uncle","ลุง"
"uncle_2","I love my uncle.","ฉันรักลุงของฉัน"
"uncle_3","I love you uncle.","ฉันรักคุณลุง"
"uncle_4","I miss my uncle.","ฉันคิดถึงลุงของฉัน"
"uncle_5","He is my uncle.","เขาคือลุงของฉัน."
"uncle_8","Can you help me find my uncle?","คุณช่วยฉันหาลุงของฉันได้ไหม"
"aunt","Aunt","ป้า"
"aunt_2","I love my aunt.","ฉันรักน้า"
"aunt_3","I love you aunt.","ฉันรักคุณน้า"
"aunt_4","I miss my aunt.","ฉันคิดถึงน้า"
"aunt_5","She is my aunt.","เธอคือน้าของฉัน"
"aunt_8","Can you help me find my aunt?","คุณช่วยฉันหาป้าของฉันได้ไหม"
"teacher","Teacher","ครู"
"teacher_2","I love my teacher.","ฉันรักครูของฉัน"
"teacher_3","I love you teacher.","ฉันรักคุณครู"
"teacher_4","I don't like my teacher.","ฉันไม่ชอบครูของฉัน"
"teacher_5","I miss my teacher.","ฉันคิดถึงอาจารย์"
"teacher_6","Thank you for the lesson.","ขอบคุณสำหรับบทเรียน"
"therapist","Therapist","นักบำบัดโรค"
"therapist_2","I love my therapist.","ฉันรักนักบำบัดโรค"
"therapist_3","I love you therapist.","ฉันรักคุณนักบำบัดโรค"
"therapist_4","I don't like my therapist.","ฉันไม่ชอบนักบำบัดโรค"
"therapist_5","I miss my therapist.","ฉันคิดถึงนักบำบัด"
"therapist_6","Thank you for the session.","ขอบคุณสำหรับเซสชั่น"
"doctor","Doctor","คุณหมอ"
"doctor_2","I love my doctor.","ฉันรักหมอของฉัน"
"doctor_3","I love you doctor.","ฉันรักคุณหมอ"
"doctor_4","I don't like my doctor.","ฉันไม่ชอบหมอ"
"doctor_5","I miss my doctor.","ฉันคิดถึงหมอ"
"doctor_6","Thank you for healing me.","ขอบคุณที่รักษาฉัน"
"friends","Friends","เพื่อน"
"friends_2","I love my friends.","ฉันรักเพื่อนของฉัน."
"friends_3","Do you want to be my friend?","คุณอยากเป็นเพื่อนกับฉันไหม?"
"friends_4","I don't like my friends.","ฉันไม่ชอบเพื่อนของฉัน"
"friends_5","I miss my friends.","ฉันคิดถึงเพื่อนของฉัน."
"friends_6","They are my friends.","พวกเขาคือเพื่อนของฉัน."
"friends_7","Thank you for playing with me.","ขอบคุณที่เล่นกับฉัน"
"cousins","Cousins","ญาติ"
"cousins_2","I love my cousins.","ฉันรักลูกพี่ลูกน้องของฉัน"
"cousins_3","I don't have cousins.","ฉันไม่มีลูกพี่ลูกน้อง"
"cousins_4","I miss my cousins.","ฉันคิดถึงลูกพี่ลูกน้องของฉัน"
"cousins_5","They are my cousins.","พวกเขาเป็นลูกพี่ลูกน้องของฉัน"
"grandmother","Grandmother","ยาย"
"grandmother_2","I love my grandmother.","ฉันรักคุณยายของฉัน"
"grandmother_3","I love you grandma.","ฉันรักคุณยาย"
"grandmother_4","I miss my grandma.","ฉันคิดถึงคุณยาย"
"grandmother_5","She is my grandma.","เธอคือย่าของฉัน"
"grandfather","Grandfather","คุณปู่"
"grandfather_2","I love my grandfather.","ฉันรักคุณปู่ของฉัน"
"grandfather_3","I love you grandpa.","ฉันรักคุณปู่"
"grandfather_4","I miss my grandpa.","ฉันคิดถึงคุณปู่"
"grandfather_5","He is my grandpa.","เขาเป็นคุณปู่ของฉัน"
"stepfather","Stepfather","พ่อเลี้ยง"
"stepfather_2","I love my stepfather.","ฉันรักพ่อเลี้ยงของฉัน"
"stepfather_3","He is my stepfather.","เขาเป็นพ่อเลี้ยงของฉัน"
"stepfather_4","I miss my stepfather.","ฉันคิดถึงพ่อเลี้ยงของฉัน"
"stepfather_5","He is my stepfather.","เขาเป็นพ่อเลี้ยงของฉัน"
"stepmother","Stepmother","แม่เลี้ยง"
"stepmother_2","I love my stepmother.","ฉันรักแม่เลี้ยงของฉัน"
"stepmother_3","She is my stepmother.","เธอคือแม่เลี้ยงของฉัน"
"stepmother_4","I miss my stepmother.","ฉันคิดถึงแม่เลี้ยงของฉัน"
"stepmother_5","She is my stepmother.","เธอคือแม่เลี้ยงของฉัน"
"stepsister","Stepsister","น้องสาวต่างบุพการี"
"stepsister_2","I love my stepsister.","ฉันรักน้องสาวของฉัน"
"stepsister_3","She is my stepsister.","เธอเป็นน้องสาวของฉัน"
"stepsister_4","I miss my stepsister.","ฉันคิดถึงน้องสาวของฉัน"
"stepsister_5","She is my stepsister.","เธอเป็นน้องสาวของฉัน"
"stepbrother","Stepbrother","น้องเลี้ยง"
"stepbrother_2","I love my stepbrother.","ฉันรักน้องชายของฉัน"
"stepbrother_3","He is my stepbrother.","เขาเป็นน้องชายของฉัน"
"stepbrother_4","I miss my stepbrother.","ฉันคิดถึงน้องชายของฉัน"
"stepbrother_5","He is my stepbrother.","เขาเป็นน้องชายของฉัน"
"half-brother","Half brother","พี่ชายครึ่งหนึ่ง"
"half-brother_2","I love my half brother.","ฉันรักพี่ชายของฉัน"
"half-brother_3","He is my half brother.","เขาเป็นพี่ชายของฉัน"
"half-brother_4","I miss my half brother.","ฉันคิดถึงพี่ชายของฉัน"
"half-brother_5","He is my half brother.","เขาเป็นพี่ชายของฉัน"
"half-sister","Half sister","น้องสาวครึ่ง"
"half-sister_2","I love my half sister.","ฉันรักน้องสาวของฉันครึ่ง"
"half-sister_3","She is my half sister.","เธอเป็นน้องสาวของฉันครึ่งหนึ่ง"
"half-sister_4","I miss my half sister.","ฉันคิดถึงพี่สาวของฉัน"
"half-sister_5","She is my half sister.","เธอเป็นน้องสาวของฉันครึ่งหนึ่ง"
"quarantine","Quarantine","การกักกัน"
"protective-mask","Protective mask","หน้ากากป้องกัน"
"stay-home","Stay home","อยู่บ้าน"
"toilet-paper","Toilet paper","กระดาษชำระ"
"sprayer","Sprayer","เครื่องพ่นสารเคมี"
"disinfectant","Disinfectant","ยาฆ่าเชื้อ"
"thermometer","Thermometer","เครื่องวัดอุณหภูมิ"
"coughing","Coughing","ไอ"
"medical-assistance","Medical assistance","ความช่วยเหลือทางการแพทย์"
"hand-sanitizer","Hand sanitizer","เจลล้างมือ"
"gloves","Gloves","ถุงมือ"
"social-distancing","Social distancing","การเว้นระยะห่างระหว่างบุคคล"
"mouth-mask","Mouth mask","หน้ากากปิดปาก"
"pandemic","Pandemic","การระบาดใหญ่"
"working-at-home","Working at home","ทำงานที่บ้าน"
"wet-wipes","Wet wipes","ผ้าเช็ดทำความสะอาดแบบเปียก"
"first-aid-kit","First aid kit","ชุดปฐมพยาบาล"
"fitness","Fitness","การออกกำลังกาย"
"e-learning","E-learning","e-Learning"
"virus","Virus","ไวรัส"
"cleaning","Cleaning","การทำความสะอาด"
"school","School","โรงเรียน"
"desk","Desk","เคาน์เตอร์"
"desk_2","Can I use this desk?","ฉันสามารถใช้โต๊ะนี้ได้หรือไม่"
"desk_3","Which desk is mine?","โต๊ะไหนเป็นของฉัน"
"desk_4","I spilled on my desk.","ฉันหกบนโต๊ะทำงาน"
"desk_5","Don't scratch your desk.","อย่าเกาโต๊ะทำงานของคุณ"
"chair","Chair","เก้าอี้"
"chair_2","Can I sit with you?","ฉันสามารถนั่งกับคุณได้ไหม?"
"chair_3","Which chair is mine?","เก้าอี้ตัวไหนเป็นของฉัน"
"chair_4","Is this chair taken?","เก้าอี้ตัวนี้ถูกยึด?"
"chair_5","I spilled on my chair.","ฉันหกบนเก้าอี้ของฉัน"
"book","Book","หนังสือ"
"book_2","Textbook","ตำราเรียน"
"book_3","Workbook","สมุด"
"book_4","Reading a book.","อ่านหนังสือ."
"book_5","Can I borrow your book?","ฉันขอยืมหนังสือของคุณได้ไหม"
"book_6","Which page are we at?","เราอยู่หน้าไหน"
"book_7","Flip the page.","พลิกหน้า"
"book_8","I lost my book.","ฉันทำหนังสือหาย"
"notebook","Notebook","สมุดบันทึก"
"notebook_2","Taking notes.","จดบันทึก"
"notebook_3","I'm taking notes.","ฉันกำลังจดบันทึก"
"notebook_4","I lost my notebook.","ฉันทำโน้ตบุ๊คของฉันหาย"
"backpack","Backpack","กระเป๋าเป้สะพายหลัง"
"backpack_2","Carrying my backpack.","แบกกระเป๋าเป้สะพายหลังของฉัน"
"backpack_3","Putting my books in my backpack.","เอาหนังสือใส่กระเป๋าเป้"
"backpack_4","I need a new backpack.","ฉันต้องการกระเป๋าเป้ใหม่"
"backpack_5","Thank you for carrying my backpack.","ขอบคุณที่ถือกระเป๋าเป้สะพายหลังของฉัน"
"backpack_6","I lost my backpack.","ฉันทำกระเป๋าเป้ของฉันหาย"
"backpack_7","My backpack is heavy.","กระเป๋าเป้สะพายหลังของฉันหนัก"
"blackboard","Blackboard","กระดานดำ"
"blackboard_2","Look at the blackboard.","ดูกระดานดำ"
"blackboard_3","Cleaning the blackboard.","ทำความสะอาดกระดานดำ"
"blackboard_4","Solving the problem on the blackboard.","การแก้ปัญหาบนกระดานดำ"
"blackboard_5","Taking note on the blackboard.","จดบันทึกบนกระดานดำ"
"blackboard_6","Give me a chalk.","ชอล์กให้ฉัน"
"teacher_7","I don't like this topic.","ฉันไม่ชอบหัวข้อนี้"
"teacher_8","Thank you for the lesson.","ขอบคุณสำหรับบทเรียน"
"school-bus","School bus","รถโรงเรียน"
"school-bus_2","School bus is coming.","รถโรงเรียนกำลังจะมา"
"school-bus_3","Can I sit next to you?","ฉันสามารถนั่งถัดจากคุณได้ไหม"
"school-bus_4","Thank you bus driver!","ขอบคุณคนขับรถบัส!"
"school-bus_5","School bus was late.","รถโรงเรียนสาย"
"pencil","Pencil","ดินสอ"
"pencil_2","I'm writing.","ฉันกำลังเขียน."
"pencil_3","I'm learning to write.","ฉันเรียนรู้ที่จะเขียน"
"pencil_4","I need a new pencil.","ฉันต้องการดินสอใหม่"
"pencil_5","Can I borrow your pencil?","ฉันขอยืมดินสอของคุณได้ไหม"
"pencil_6","I lost my pencil.","ฉันทำดินสอของฉันหาย"
"eraser","Eraser","ยางลบ"
"eraser_2","I'm erasing.","ฉันกำลังลบ"
"eraser_3","I need a new eraser.","ฉันต้องการยางลบตัวใหม่"
"eraser_4","Can I borrow your eraser?","ฉันขอยืมยางลบของคุณได้ไหม?"
"eraser_5","I lost my eraser.","ฉันทำยางลบหาย"
"ruler","Ruler","ไม้บรรทัด"
"ruler_2","I'm measuring.","ฉันวัด"
"ruler_3","I need a new ruler.","ฉันต้องการไม้บรรทัดใหม่"
"ruler_4","Can I borrow your ruler?","ฉันขอยืมไม้บรรทัดของคุณได้ไหม"
"ruler_5","I lost my ruler.","ฉันทำไม้บรรทัดของฉันหาย"
"sharpener","Sharpener","กบเหลาดินสอ"
"sharpener_2","I'm sharpening my pencil.","ฉันเหลาดินสอของฉัน"
"sharpener_3","I need a new sharpener.","ฉันต้องการที่ลับใหม่"
"sharpener_4","Can I borrow your sharpener?","ฉันขอยืมเครื่องเหลาของคุณได้ไหม?"
"sharpener_5","I lost my sharpener.","ฉันทำเครื่องลับคมของฉันหาย"
"mathematics","Mathematics","คณิตศาสตร์"
"mathematics_2","I like mathematics.","ฉันชอบวิชาคณิตศาสตร์"
"mathematics_3","I want to study mathematics.","ฉันต้องการเรียนคณิตศาสตร์"
"mathematics_4","I don't like mathematics.","ฉันไม่ชอบคณิตศาสตร์"
"mathematics_5","When is mathematics class?","วิชาคณิตศาสตร์เมื่อใด"
"mathematics_6","Can you help me with my mathematics homework?","คุณช่วยฉันทำการบ้านคณิตศาสตร์ได้ไหม"
"literature","Literature","วรรณกรรม"
"literature_2","I like literature.","ฉันชอบวรรณกรรม"
"literature_3","I want to study literature.","ฉันต้องการเรียนวรรณคดี"
"literature_4","I don't like literature.","ฉันไม่ชอบวรรณกรรม"
"literature_5","When is literature class?","ชั้นเรียนวรรณกรรมเมื่อใด"
"literature_6","Can you help me with my literature homework?","คุณช่วยฉันทำการบ้านวรรณกรรมของฉันได้ไหม"
"science","Science","วิทยาศาสตร์"
"science_2","I like science.","ฉันชอบวิทยาศาสตร์"
"science_3","I want to study science.","ฉันต้องการเรียนวิทยาศาสตร์"
"science_4","I don't like science.","ฉันไม่ชอบวิทยาศาสตร์"
"science_5","When is science class?","วิชาวิทยาศาสตร์เมื่อใด"
"science_6","Can you help me with my science homework?","คุณช่วยฉันทำการบ้านทางวิทยาศาสตร์ได้ไหม?"
"art-class","Art class","ชั้นเรียนศิลปะ"
"art-class_2","I like art class.","ฉันชอบวิชาศิลปะ"
"art-class_3","I want to practice art skills.","ฉันต้องการฝึกทักษะด้านศิลปะ"
"art-class_4","I don't like art class.","ฉันไม่ชอบวิชาศิลปะ"
"art-class_5","When is art class?","วิชาศิลปะเมื่อใด"
"art-class_6","Can you help me with my art class homework?","คุณช่วยฉันทำการบ้านในชั้นเรียนศิลปะได้ไหม?"
"music-class","Music class","ชั้นเรียนดนตรี"
"music-class_2","I like music class.","ฉันชอบวิชาดนตรี"
"music-class_3","I want to practice music skills.","ฉันต้องการฝึกทักษะดนตรี"
"music-class_4","I don't like music class.","ฉันไม่ชอบชั้นเรียนดนตรี"
"music-class_5","When is music class?","เรียนดนตรีเมื่อไหร่"
"music-class_6","Can you help me with my music class homework?","คุณช่วยฉันทำการบ้านดนตรีได้ไหม?"
"geography","Geography","ภูมิศาสตร์"
"geography_2","I like geography.","ฉันชอบภูมิศาสตร์"
"geography_3","I want to study geography.","ฉันต้องการเรียนภูมิศาสตร์"
"geography_4","I don't like geography.","ฉันไม่ชอบภูมิศาสตร์"
"geography_5","When is geography?","ภูมิศาสตร์คืออะไร"
"geography_6","Can you help me with my geography homework?","คุณช่วยฉันทำการบ้านทางภูมิศาสตร์ได้ไหม"
"telescope","Telescope","กล้องโทรทรรศน์"
"telescope_2","I'm using the telescope.","ฉันใช้กล้องโทรทรรศน์"
"telescope_3","I want to use the telescope.","ฉันต้องการใช้กล้องโทรทรรศน์"
"telescope_4","I want to look at the stars.","ฉันต้องการดูดาว"
"glue","Glue","กาว"
"glue_2","I'm using glue.","ฉันใช้กาว"
"glue_3","I need a new glue.","ฉันต้องการกาวใหม่"
"glue_4","Can I borrow your glue?","ฉันขอยืมกาวของคุณได้ไหม"
"glue_5","I lost my glue.","ฉันทำกาวหาย"
"shapes","Shapes","รูปร่าง"
"circle","Circle","วงกลม"
"circle_2","This is circle shaped.","นี่คือรูปวงกลม"
"circle_3","Can you teach me how to draw a circle?","คุณช่วยสอนวิธีวาดวงกลมได้ไหม?"
"triangle","Triangle","สามเหลี่ยม"
"triangle_2","This is triangle shaped.","นี่คือรูปสามเหลี่ยม"
"triangle_3","Can you teach me how to draw a triangle?","คุณช่วยสอนฉันวาดรูปสามเหลี่ยมได้อย่างไร"
"square","Square","สี่เหลี่ยม"
"square_2","This is square shaped.","นี่คือรูปสี่เหลี่ยม"
"square_3","Can you teach me how to draw a square?","คุณช่วยสอนวิธีวาดสี่เหลี่ยมได้ไหม?"
"rectangle","Rectangle","สี่เหลี่ยมผืนผ้า"
"rectangle_2","This is rectangle shaped.","นี่คือรูปสี่เหลี่ยมผืนผ้า"
"rectangle_3","Can you teach me how to draw a rectangle?","คุณช่วยสอนวิธีวาดสี่เหลี่ยมได้ไหม?"
"star","Star","ดาว"
"star_2","This is star shaped.","นี่คือรูปดาว"
"star_3","Can you teach me how to draw a star?","คุณช่วยสอนฉันวาดดาวได้อย่างไร"
"pentagon","Pentagon","รูปห้าเหลี่ยม"
"pentagon_2","This is pentagon shaped.","นี่คือรูปห้าเหลี่ยม"
"pentagon_3","Can you teach me how to draw a pentagon?","คุณช่วยสอนฉันวาดรูปห้าเหลี่ยมได้อย่างไร"
"hexagon","Hexagon","หกเหลี่ยม"
"hexagon_2","This is hexagon shaped.","นี่คือรูปหกเหลี่ยม"
"hexagon_3","Can you teach me how to draw a hexagon?","คุณช่วยสอนฉันวาดรูปหกเหลี่ยมได้ไหม?"
"cross","Cross","ข้าม"
"cross_2","This is cross shaped.","นี่คือรูปกางเขน"
"cross_3","Can you teach me how to draw a cross?","คุณช่วยสอนวิธีวาดไม้กางเขนได้ไหม?"
"ellipse","Ellipse","วงรี"
"ellipse_2","This is ellipse shaped.","นี่คือรูปวงรี"
"ellipse_3","Can you teach me how to draw a ellipse?","คุณช่วยสอนวิธีวาดวงรีได้ไหม?"
"arrow","Arrow","ลูกศร"
"arrow_2","This is arrow shaped.","นี่คือรูปลูกศร"
"arrow_3","Can you teach me how to draw a arrow?","คุณช่วยสอนวิธีวาดลูกธนูได้ไหม?"
"crescent","Crescent","เสี้ยว"
"crescent_2","This is crescent shaped.","นี่คือรูปพระจันทร์เสี้ยว"
"crescent_3","Can you teach me how to draw a crescent?","คุณช่วยสอนวิธีวาดพระจันทร์เสี้ยวได้ไหม?"
"heart","Heart","หัวใจ"
"heart_2","This is heart shaped.","นี่คือรูปหัวใจ"
"heart_3","Can you teach me how to draw a heart?","คุณสามารถสอนวิธีวาดหัวใจได้ไหม"
"rhombus","Rhombus","รูปสี่เหลี่ยมขนมเปียกปูน"
"rhombus_2","This is rhombus shaped.","นี่คือรูปสี่เหลี่ยมขนมเปียกปูน"
"rhombus_3","Can you teach me how to draw a rhombus?","คุณช่วยสอนวิธีวาดรูปสี่เหลี่ยมขนมเปียกปูนได้ไหม"
"ring","Ring","แหวน"
"ring_2","This is ring shaped.","นี่คือรูปวงแหวน"
"ring_3","Can you teach me how to draw a ring?","คุณช่วยสอนวิธีวาดแหวนได้ไหม"
"semicircle","Semicircle","ครึ่งวงกลม"
"semicircle_2","This is semicircle shaped.","นี่คือรูปครึ่งวงกลม"
"semicircle_3","Can you teach me how to draw a semicircle?","คุณช่วยสอนวิธีวาดครึ่งวงกลมได้ไหม?"
"trapezoid","Trapezoid","รูปสี่เหลี่ยมคางหมู"
"trapezoid_2","This is trapezoid shaped.","นี่คือรูปสี่เหลี่ยมคางหมู"
"trapezoid_3","Can you teach me how to draw a trapezoid?","คุณช่วยสอนวิธีวาดสี่เหลี่ยมคางหมูได้ไหม?"
"cube","Cube","ลูกบาศก์"
