"activities","Activities","faaliyetler"
"sister_3","I love you sister.","Seni seviyorum kızkardeşim."
"sister_4","I miss my sister.","Kız kardeşimi özledim."
"sister_5","She is my sister.","O benim kardeşim."
"sister_6","My sister is taking care of me.","Kız kardeşim benimle ilgileniyor."
"sister_8","Can you help me find my sister?","Kız kardeşimi bulmama yardım eder misin?"
"uncle","Uncle","Amca dayı"
"uncle_2","I love my uncle.","Amcamı seviyorum."
"uncle_3","I love you uncle.","Seni seviyorum amca."
"uncle_4","I miss my uncle.","Amcamı özlüyorum."
"uncle_5","He is my uncle.","O benim amcam."
"uncle_8","Can you help me find my uncle?","Amcamı bulmama yardım eder misin?"
"aunt","Aunt","teyze"
"aunt_2","I love my aunt.","Teyzemi seviyorum."
"aunt_3","I love you aunt.","Seni seviyorum teyze."
"aunt_4","I miss my aunt.","Teyzemi özledim."
"aunt_5","She is my aunt.","O benim halamdır."
"aunt_8","Can you help me find my aunt?","Teyzemi bulmama yardım eder misin?"
"teacher","Teacher","Öğretmen"
"teacher_2","I love my teacher.","Öğretmenimi seviyorum."
"teacher_3","I love you teacher.","Seni seviyorum öğretmenim."
"teacher_4","I don't like my teacher.","Öğretmenimi sevmiyorum."
"teacher_5","I miss my teacher.","Öğretmenimi özledim."
"teacher_6","Thank you for the lesson.","Ders için teşekkürler."
"therapist","Therapist","terapist"
"therapist_2","I love my therapist.","Terapistimi seviyorum."
"therapist_3","I love you therapist.","Seni terapisti seviyorum."
"therapist_4","I don't like my therapist.","Terapistimi sevmiyorum."
"therapist_5","I miss my therapist.","Terapistimi özledim."
"therapist_6","Thank you for the session.","Oturum için teşekkürler."
"doctor","Doctor","doktor"
"doctor_2","I love my doctor.","Doktorumu seviyorum."
"doctor_3","I love you doctor.","Seni seviyorum doktor."
"doctor_4","I don't like my doctor.","Doktorumu sevmiyorum."
"doctor_5","I miss my doctor.","Doktorumu özledim."
"doctor_6","Thank you for healing me.","Beni iyileştirdiğin için teşekkürler."
"friends","Friends","Arkadaşlar"
"friends_2","I love my friends.","Arkadaşlarımı seviyorum."
"friends_3","Do you want to be my friend?","Arkadaşım olmak istiyorsun?"
"friends_4","I don't like my friends.","Arkadaşlarımı sevmiyorum."
"friends_5","I miss my friends.","Arkadaşlarımı özlüyorum."
"friends_6","They are my friends.","Onlar benim arkadaşlarım."
"friends_7","Thank you for playing with me.","Benimle oynadığın için teşekkürler."
"cousins","Cousins","Cousins"
"cousins_2","I love my cousins.","Kuzenlerimi seviyorum."
"cousins_3","I don't have cousins.","Kuzenlerim yok."
"cousins_4","I miss my cousins.","Kuzenlerimi özlüyorum."
"cousins_5","They are my cousins.","Onlar benim kuzenlerim."
"grandmother","Grandmother","Nene"
"grandmother_2","I love my grandmother.","Büyükannemi severim."
"grandmother_3","I love you grandma.","Büyükannemi seviyorum."
"grandmother_4","I miss my grandma.","Büyükannemi özledim."
"grandmother_5","She is my grandma.","O benim büyükannem."
"grandfather","Grandfather","Büyük baba"
"grandfather_2","I love my grandfather.","Büyükbabamı seviyorum."
"grandfather_3","I love you grandpa.","Seni seviyorum büyükbaba."
"grandfather_4","I miss my grandpa.","Büyükbabamı özledim."
"grandfather_5","He is my grandpa.","O benim büyükbabam."
"stepfather","Stepfather","üvey baba"
"stepfather_2","I love my stepfather.","Üvey babamı seviyorum."
"stepfather_3","He is my stepfather.","O benim üvey babam."
"stepfather_4","I miss my stepfather.","Üvey babamı özledim."
"stepfather_5","He is my stepfather.","O benim üvey babam."
"stepmother","Stepmother","üvey anne"
"stepmother_2","I love my stepmother.","Üvey annemi seviyorum."
"stepmother_3","She is my stepmother.","O benim üvey annem."
"stepmother_4","I miss my stepmother.","Üvey annemi özledim."
"stepmother_5","She is my stepmother.","O benim üvey annem."
"stepsister","Stepsister","Üvey kızkardeş"
"stepsister_2","I love my stepsister.","Üvey kardeşimi seviyorum."
"stepsister_3","She is my stepsister.","O benim üvey kardeşim."
"stepsister_4","I miss my stepsister.","Üvey kardeşimi özledim."
"stepsister_5","She is my stepsister.","O benim üvey kardeşim."
"stepbrother","Stepbrother","Üvey erkek kardeş"
"stepbrother_2","I love my stepbrother.","Üvey kardeşimi seviyorum."
"stepbrother_3","He is my stepbrother.","O benim üvey kardeşim."
"stepbrother_4","I miss my stepbrother.","Üvey kardeşimi özledim."
"stepbrother_5","He is my stepbrother.","O benim üvey kardeşim."
"half-brother","Half brother","Üvey erkek kardeş"
"half-brother_2","I love my half brother.","Üvey kardeşimi seviyorum."
"half-brother_3","He is my half brother.","O benim üvey kardeşim."
"half-brother_4","I miss my half brother.","Üvey kardeşimi özledim."
"half-brother_5","He is my half brother.","O benim üvey kardeşim."
"half-sister","Half sister","Üvey kardeş"
"half-sister_2","I love my half sister.","Üvey kız kardeşimi seviyorum."
"half-sister_3","She is my half sister.","O benim üvey kız kardeşim."
"half-sister_4","I miss my half sister.","Üvey kız kardeşimi özledim."
"half-sister_5","She is my half sister.","O benim üvey kız kardeşim."
"quarantine","Quarantine","Karantina"
"protective-mask","Protective mask","Koruyucu maske"
"stay-home","Stay home","Evde kal"
"toilet-paper","Toilet paper","Tuvalet kağıdı"
"sprayer","Sprayer","püskürtücü"
"disinfectant","Disinfectant","dezenfektan"
"thermometer","Thermometer","Termometre"
"coughing","Coughing","Öksürme"
"medical-assistance","Medical assistance","Tıbbi yardım"
"hand-sanitizer","Hand sanitizer","El dezenfektanı"
"gloves","Gloves","eldiven"
"social-distancing","Social distancing","Sosyal mesafe"
"mouth-mask","Mouth mask","Ağız maskesi"
"pandemic","Pandemic","Pandemi"
"working-at-home","Working at home","Evde çalışma"
"wet-wipes","Wet wipes","Islak mendil"
"first-aid-kit","First aid kit","İlk yardım kiti"
"fitness","Fitness","Fitness"
"e-learning","E-learning","Uzaktan Eğitim"
"virus","Virus","Virüs"
"cleaning","Cleaning","Temizlik"
"school","School","Okul"
"desk","Desk","Sıra"
"desk_2","Can I use this desk?","Bu masayı kullanabilir miyim?"
"desk_3","Which desk is mine?","Hangi masa benim?"
"desk_4","I spilled on my desk.","Masamın üstüne döktüm."
"desk_5","Don't scratch your desk.","Masanızı çizmeyin."
"chair","Chair","Sandalye"
"chair_2","Can I sit with you?","Seninle oturabilir miyim?"
"chair_3","Which chair is mine?","Hangi sandalye benim?"
"chair_4","Is this chair taken?","Bu sandalye alındı mı?"
"chair_5","I spilled on my chair.","Sandalyeme döktüm."
"book","Book","Kitap"
"book_2","Textbook","ders kitabı"
"book_3","Workbook","Çalışma kitabı"
"book_4","Reading a book.","Kitap okumak."
"book_5","Can I borrow your book?","Kitabını ödünç alabilir miyim?"
"book_6","Which page are we at?","Hangi sayfadayız?"
"book_7","Flip the page.","Sayfayı çevir."
"book_8","I lost my book.","Kitabımı kaybettim."
"notebook","Notebook","Not defteri"
"notebook_2","Taking notes.","Not almak."
"notebook_3","I'm taking notes.","Not alıyorum."
"notebook_4","I lost my notebook.","Defterimi kaybettim."
"backpack","Backpack","Sırt çantası"
"backpack_2","Carrying my backpack.","Sırt çantamı taşıyorum."
"backpack_3","Putting my books in my backpack.","Kitaplarımı sırt çantama koyuyorum."
"backpack_4","I need a new backpack.","Yeni bir sırt çantasına ihtiyacım var."
"backpack_5","Thank you for carrying my backpack.","Sırt çantamı taşıdığın için teşekkürler."
"backpack_6","I lost my backpack.","Sırt çantamı kaybettim."
"backpack_7","My backpack is heavy.","Sırt çantam ağır."
"blackboard","Blackboard","tahta"
"blackboard_2","Look at the blackboard.","Tahtaya bak."
"blackboard_3","Cleaning the blackboard.","Karatahta temizliği."
"blackboard_4","Solving the problem on the blackboard.","Tahtaya problem çözme."
"blackboard_5","Taking note on the blackboard.","Tahtaya not almak."
"blackboard_6","Give me a chalk.","Bana bir tebeşir ver."
"teacher_7","I don't like this topic.","Bu konuyu sevmiyorum."
"teacher_8","Thank you for the lesson.","Ders için teşekkürler."
"school-bus","School bus","Okul otobüsü"
"school-bus_2","School bus is coming.","Okul otobüsü geliyor."
"school-bus_3","Can I sit next to you?","Yanına oturabilir miyim?"
"school-bus_4","Thank you bus driver!","Teşekkürler otobüs şoförü!"
"school-bus_5","School bus was late.","Okul otobüsü gecikti."
"pencil","Pencil","Kalem"
"pencil_2","I'm writing.","Ben yazıyorum."
"pencil_3","I'm learning to write.","Yazmayı öğreniyorum."
"pencil_4","I need a new pencil.","Yeni bir kaleme ihtiyacım var."
"pencil_5","Can I borrow your pencil?","Kalemini ödünç alabilir miyim?"
"pencil_6","I lost my pencil.","Kalemi kaybettim."
"eraser","Eraser","Silgi"
"eraser_2","I'm erasing.","Siliyorum."
"eraser_3","I need a new eraser.","Yeni bir silgiye ihtiyacım var."
"eraser_4","Can I borrow your eraser?","Silgini ödünç alabilir miyim?"
"eraser_5","I lost my eraser.","Silgimi kaybettim."
"ruler","Ruler","cetvel"
"ruler_2","I'm measuring.","Ölçüyorum."
"ruler_3","I need a new ruler.","Yeni bir cetvele ihtiyacım var."
"ruler_4","Can I borrow your ruler?","Cetvelinizi ödünç alabilir miyim?"
"ruler_5","I lost my ruler.","Cetvelimi kaybettim."
"sharpener","Sharpener","Kalemtıraş"
"sharpener_2","I'm sharpening my pencil.","Kalemi keskinleştiriyorum."
"sharpener_3","I need a new sharpener.","Yeni bir bileyiciye ihtiyacım var."
"sharpener_4","Can I borrow your sharpener?","Kalemtıraşınızı ödünç alabilir miyim?"
"sharpener_5","I lost my sharpener.","Kalemtıraşımı kaybettim."
"mathematics","Mathematics","Matematik"
"mathematics_2","I like mathematics.","Matematiği severim."
"mathematics_3","I want to study mathematics.","Matematik okumak istiyorum."
"mathematics_4","I don't like mathematics.","Matematiği sevmiyorum."
"mathematics_5","When is mathematics class?","Matematik dersi ne zaman?"
"mathematics_6","Can you help me with my mathematics homework?","Matematik ödevimde bana yardım eder misin?"
"literature","Literature","Edebiyat"
"literature_2","I like literature.","Edebiyatı severim."
"literature_3","I want to study literature.","Edebiyat okumak istiyorum."
"literature_4","I don't like literature.","Edebiyatı sevmiyorum."
"literature_5","When is literature class?","Edebiyat dersi ne zaman?"
"literature_6","Can you help me with my literature homework?","Edebiyat ödevlerimde bana yardımcı olabilir misiniz?"
"science","Science","Bilim"
"science_2","I like science.","Bilimi seviyorum."
"science_3","I want to study science.","Bilim okumak istiyorum."
"science_4","I don't like science.","Bilimi sevmiyorum."
"science_5","When is science class?","Fen Bilgisi ne zaman?"
"science_6","Can you help me with my science homework?","Bilim ödevimde bana yardım edebilir misin?"
"art-class","Art class","Sanat sınıfı"
"art-class_2","I like art class.","Sanat dersini seviyorum."
"art-class_3","I want to practice art skills.","Sanat becerilerini geliştirmek istiyorum."
"art-class_4","I don't like art class.","Sanat dersini sevmiyorum."
"art-class_5","When is art class?","Sanat dersi ne zaman?"
"art-class_6","Can you help me with my art class homework?","Sanat sınıfı ödevlerimde bana yardım edebilir misin?"
"music-class","Music class","Müzik dersi"
"music-class_2","I like music class.","Müzik dersini seviyorum."
"music-class_3","I want to practice music skills.","Müzik becerilerini geliştirmek istiyorum."
"music-class_4","I don't like music class.","Müzik dersini sevmiyorum."
"music-class_5","When is music class?","Müzik dersi ne zaman?"
"music-class_6","Can you help me with my music class homework?","Müzik sınıfı ödevlerimde bana yardımcı olabilir misiniz?"
"geography","Geography","Coğrafya"
"geography_2","I like geography.","Coğrafyayı seviyorum."
"geography_3","I want to study geography.","Coğrafya okumak istiyorum."
"geography_4","I don't like geography.","Coğrafyayı sevmiyorum."
"geography_5","When is geography?","Coğrafya ne zaman?"
"geography_6","Can you help me with my geography homework?","Coğrafya ödevimde bana yardımcı olabilir misiniz?"
"telescope","Telescope","Teleskop"
"telescope_2","I'm using the telescope.","Teleskop kullanıyorum."
"telescope_3","I want to use the telescope.","Teleskopu kullanmak istiyorum."
"telescope_4","I want to look at the stars.","Yıldızlara bakmak istiyorum."
"glue","Glue","Tutkal"
"glue_2","I'm using glue.","Yapıştırıcı kullanıyorum."
"glue_3","I need a new glue.","Yeni bir yapıştırıcıya ihtiyacım var."
"glue_4","Can I borrow your glue?","Tutkalı ödünç alabilir miyim?"
"glue_5","I lost my glue.","Tutkumu kaybettim."
"shapes","Shapes","Şekiller"
"circle","Circle","Daire"
"circle_2","This is circle shaped.","Bu daire şeklindedir."
"circle_3","Can you teach me how to draw a circle?","Bana bir daire çizmeyi öğretebilir misin?"
"triangle","Triangle","Üçgen"
"triangle_2","This is triangle shaped.","Bu üçgen şeklindedir."
"triangle_3","Can you teach me how to draw a triangle?","Bana bir üçgen çizmeyi öğretir misin?"
"square","Square","Meydan"
"square_2","This is square shaped.","Bu kare şeklindedir."
"square_3","Can you teach me how to draw a square?","Bana nasıl kare çizileceğini öğretir misin?"
"rectangle","Rectangle","Dikdörtgen"
"rectangle_2","This is rectangle shaped.","Bu dikdörtgen şeklindedir."
"rectangle_3","Can you teach me how to draw a rectangle?","Bana nasıl dikdörtgen çizileceğini öğretebilir misin?"
"star","Star","Star"
"star_2","This is star shaped.","Bu yıldız şeklindedir."
"star_3","Can you teach me how to draw a star?","Bana nasıl yıldız çizileceğini öğretebilir misin?"
"pentagon","Pentagon","Pentagon"
"pentagon_2","This is pentagon shaped.","Bu beşgen şeklindedir."
"pentagon_3","Can you teach me how to draw a pentagon?","Bana beşgen çizmeyi öğretebilir misin?"
"hexagon","Hexagon","Altıgen"
"hexagon_2","This is hexagon shaped.","Bu altıgen şeklindedir."
"hexagon_3","Can you teach me how to draw a hexagon?","Bana altıgen çizmeyi öğretebilir misin?"
"cross","Cross","Çapraz"
"cross_2","This is cross shaped.","Bu haç şeklindedir."
"cross_3","Can you teach me how to draw a cross?","Bana bir haç çizmeyi öğretebilir misin?"
"ellipse","Ellipse","Elips"
"ellipse_2","This is ellipse shaped.","Bu elips şeklindedir."
"ellipse_3","Can you teach me how to draw a ellipse?","Elips çizmeyi bana öğretir misin?"
"arrow","Arrow","Ok"
"arrow_2","This is arrow shaped.","Bu ok şeklindedir."
"arrow_3","Can you teach me how to draw a arrow?","Bana nasıl ok çizileceğini öğretebilir misin?"
"crescent","Crescent","hilâl"
"crescent_2","This is crescent shaped.","Bu hilal şeklindedir."
"crescent_3","Can you teach me how to draw a crescent?","Bana bir hilal çizmeyi öğretebilir misin?"
"heart","Heart","kalp"
"heart_2","This is heart shaped.","Bu kalp şeklinde."
"heart_3","Can you teach me how to draw a heart?","Bana nasıl kalp çizileceğini öğretebilir misin?"
"rhombus","Rhombus","Eşkenar dörtgen"
"rhombus_2","This is rhombus shaped.","Bu eşkenar dörtgen şeklindedir."
"rhombus_3","Can you teach me how to draw a rhombus?","Bana bir eşkenar dörtgen çizmeyi öğretebilir misin?"
"ring","Ring","Yüzük"
"ring_2","This is ring shaped.","Bu halka şeklindedir."
"ring_3","Can you teach me how to draw a ring?","Bana bir yüzük çizmeyi öğretebilir misin?"
"semicircle","Semicircle","Yarım daire"
"semicircle_2","This is semicircle shaped.","Bu yarım daire şeklindedir."
"semicircle_3","Can you teach me how to draw a semicircle?","Yarım daire çizmeyi bana öğretir misin?"
"trapezoid","Trapezoid","Yamuk"
"trapezoid_2","This is trapezoid shaped.","Bu yamuk şeklindedir."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Bana bir yamuk çizmeyi öğretebilir misin?"
"cube","Cube","Küp"
"cube_2","This is cube shaped.","Bu küp şeklindedir."
"cube_3","Can you teach me how to draw a cube?","Bana bir küp çizmeyi öğretir misin?"
"cylinder","Cylinder","Silindir"
"cylinder_2","This is cylinder shaped.","Bu silindir şeklindedir."
"cylinder_3","Can you teach me how to draw a cylinder?","Bana nasıl silindir çizileceğini öğretebilir misin?"
