"activities","Activities","toiminta"
"aunt_5","She is my aunt.","Hän on tätini."
"aunt_8","Can you help me find my aunt?","Voitko auttaa minua löytämään tätini?"
"teacher","Teacher","Opettaja"
"teacher_2","I love my teacher.","Rakastan opettajaani."
"teacher_3","I love you teacher.","Rakastan sinua opettaja."
"teacher_4","I don't like my teacher.","En pidä opettajastani."
"teacher_5","I miss my teacher.","Kaipaan opettajaani."
"teacher_6","Thank you for the lesson.","Kiitos oppitunnista."
"therapist","Therapist","terapeutti"
"therapist_2","I love my therapist.","Rakastan terapeuttiani."
"therapist_3","I love you therapist.","Rakastan sinua terapeutti."
"therapist_4","I don't like my therapist.","En pidä terapeuttistani."
"therapist_5","I miss my therapist.","Kaipaan terapeuttiani."
"therapist_6","Thank you for the session.","Kiitos istunnosta."
"doctor","Doctor","Lääkäri"
"doctor_2","I love my doctor.","Rakastan lääkäriäni."
"doctor_3","I love you doctor.","Rakastan sinua lääkäri."
"doctor_4","I don't like my doctor.","En pidä lääkäristäni."
"doctor_5","I miss my doctor.","Kaipaan lääkärini."
"doctor_6","Thank you for healing me.","Kiitos kun paranit minua."
"friends","Friends","Ystävät"
"friends_2","I love my friends.","Rakastan ystäviäni."
"friends_3","Do you want to be my friend?","Haluatko olla ystäväni?"
"friends_4","I don't like my friends.","En pidä ystävistäni."
"friends_5","I miss my friends.","Ikävöin ystäviäni."
"friends_6","They are my friends.","He ovat ystäviäni."
"friends_7","Thank you for playing with me.","Kiitos, että pelasit kanssani."
"cousins","Cousins","Cousins"
"cousins_2","I love my cousins.","Rakastan serkkuni."
"cousins_3","I don't have cousins.","Minulla ei ole serkkuja."
"cousins_4","I miss my cousins.","Kaipaan serkkuni."
"cousins_5","They are my cousins.","He ovat serkkujani."
"grandmother","Grandmother","Isoäiti"
"grandmother_2","I love my grandmother.","Rakastan isoäitini."
"grandmother_3","I love you grandma.","Rakastan sinua isoäiti."
"grandmother_4","I miss my grandma.","Kaipaan isoäitiäni."
"grandmother_5","She is my grandma.","Hän on isoäiti."
"grandfather","Grandfather","Isoisä"
"grandfather_2","I love my grandfather.","Rakastan isoisääni."
"grandfather_3","I love you grandpa.","Rakastan sinua isoisä."
"grandfather_4","I miss my grandpa.","Kaipaan isoisäni."
"grandfather_5","He is my grandpa.","Hän on isoisäni."
"stepfather","Stepfather","Isäpuoli"
"stepfather_2","I love my stepfather.","Rakastan patterini."
"stepfather_3","He is my stepfather.","Hän on isänisäni."
"stepfather_4","I miss my stepfather.","Kaipaan patterini."
"stepfather_5","He is my stepfather.","Hän on isänisäni."
"stepmother","Stepmother","Äitipuoli"
"stepmother_2","I love my stepmother.","Rakastan äitipuoleni."
"stepmother_3","She is my stepmother.","Hän on äitipuoli."
"stepmother_4","I miss my stepmother.","Kaipaan äitipuoleni."
"stepmother_5","She is my stepmother.","Hän on äitipuoli."
"stepsister","Stepsister","Siskopuoli"
"stepsister_2","I love my stepsister.","Rakastan siskoani."
"stepsister_3","She is my stepsister.","Hän on siskoni."
"stepsister_4","I miss my stepsister.","Kaipaan siskoani."
"stepsister_5","She is my stepsister.","Hän on siskoni."
"stepbrother","Stepbrother","Velipuoli"
"stepbrother_2","I love my stepbrother.","Rakastan veljeni."
"stepbrother_3","He is my stepbrother.","Hän on veljeni."
"stepbrother_4","I miss my stepbrother.","Kaipaan veljeni."
"stepbrother_5","He is my stepbrother.","Hän on veljeni."
"half-brother","Half brother","Velipuoli"
"half-brother_2","I love my half brother.","Rakastan puolipuoli."
"half-brother_3","He is my half brother.","Hän on puolipuoli."
"half-brother_4","I miss my half brother.","Kaipaan puolipuoli."
"half-brother_5","He is my half brother.","Hän on puolipuoli."
"half-sister","Half sister","Siskopuoli"
"half-sister_2","I love my half sister.","Rakastan puolisonsa."
"half-sister_3","She is my half sister.","Hän on puolisonni."
"half-sister_4","I miss my half sister.","Kaipaan puoli-siskoni."
"half-sister_5","She is my half sister.","Hän on puolisonni."
"quarantine","Quarantine","Karanteeni"
"protective-mask","Protective mask","Suojanaamari"
"stay-home","Stay home","Jäädä kotiin"
"toilet-paper","Toilet paper","Vessapaperi"
"sprayer","Sprayer","Sumutin"
"disinfectant","Disinfectant","Desinfiointiaine"
"thermometer","Thermometer","Lämpömittari"
"coughing","Coughing","Yskiminen"
"medical-assistance","Medical assistance","Lääkintäapua"
"hand-sanitizer","Hand sanitizer","Käsien desinfiointiaine"
"gloves","Gloves","Käsineet"
"social-distancing","Social distancing","Sosiaalisen etäisyyden ottaminen"
"mouth-mask","Mouth mask","Suun peite"
"pandemic","Pandemic","Pandeeminen"
"working-at-home","Working at home","Työskentele kotona"
"wet-wipes","Wet wipes","Kosteuspyyhkeet"
"first-aid-kit","First aid kit","Ensiapupakkaus"
"fitness","Fitness","kunto"
"e-learning","E-learning","E-oppiminen"
"virus","Virus","Virus"
"cleaning","Cleaning","puhdistus"
"school","School","Koulu"
"desk","Desk","Vastaanotto"
"desk_2","Can I use this desk?","Voinko käyttää tätä pöytää?"
"desk_3","Which desk is mine?","Mikä pöytä on minun?"
"desk_4","I spilled on my desk.","Vuotin pöydälleni."
"desk_5","Don't scratch your desk.","Älä naarmuta pöytääsi."
"chair","Chair","Tuoli"
"chair_2","Can I sit with you?","Voinko istua kanssasi?"
"chair_3","Which chair is mine?","Mikä tuoli on minun?"
"chair_4","Is this chair taken?","Onko tämä tuoli otettu?"
"chair_5","I spilled on my chair.","Vuotin tuolilleni."
"book","Book","Kirja"
"book_2","Textbook","Oppikirja"
"book_3","Workbook","työkirja"
"book_4","Reading a book.","Lukee kirjaa."
"book_5","Can I borrow your book?","Voinko lainata kirjaasi?"
"book_6","Which page are we at?","Millä sivulla olemme?"
"book_7","Flip the page.","Käännä sivu."
"book_8","I lost my book.","Hävisin kirjani."
"notebook","Notebook","Muistikirja"
"notebook_2","Taking notes.","Muistiinpanojen tekeminen."
"notebook_3","I'm taking notes.","Teen muistiinpanoja."
"notebook_4","I lost my notebook.","Hävisin muistikirjani."
"backpack","Backpack","Reppu"
"backpack_2","Carrying my backpack.","Kantolaukun reppu."
"backpack_3","Putting my books in my backpack.","Kirjoittaminen reppuini."
"backpack_4","I need a new backpack.","Tarvitsen uuden reppun."
"backpack_5","Thank you for carrying my backpack.","Kiitos, että kantoit reppuani."
"backpack_6","I lost my backpack.","Kadin reppuni."
"backpack_7","My backpack is heavy.","Reppuni on raskas."
"blackboard","Blackboard","Liitutaulu"
"blackboard_2","Look at the blackboard.","Katso taulua."
"blackboard_3","Cleaning the blackboard.","Taulun puhdistaminen."
"blackboard_4","Solving the problem on the blackboard.","Taulun ongelman ratkaiseminen."
"blackboard_5","Taking note on the blackboard.","Muistiinpano taululle."
"blackboard_6","Give me a chalk.","Anna minulle liitu."
"teacher_7","I don't like this topic.","En pidä tästä aiheesta."
"teacher_8","Thank you for the lesson.","Kiitos oppitunnista."
"school-bus","School bus","Koulubussi"
"school-bus_2","School bus is coming.","Koulubussit ovat tulossa."
"school-bus_3","Can I sit next to you?","Voinko istua vieressäsi?"
"school-bus_4","Thank you bus driver!","Kiitos bussinkuljettajalle!"
"school-bus_5","School bus was late.","Koulubussit olivat myöhässä."
"pencil","Pencil","Lyijykynä"
"pencil_2","I'm writing.","Kirjoitan."
"pencil_3","I'm learning to write.","Opiskelen kirjoittamaan."
"pencil_4","I need a new pencil.","Tarvitsen uuden lyijykynän."
"pencil_5","Can I borrow your pencil?","Voinko lainata kynääsi?"
"pencil_6","I lost my pencil.","Hävisin lyijykynäni."
"eraser","Eraser","Pyyhekumi"
"eraser_2","I'm erasing.","Olen poistamassa."
"eraser_3","I need a new eraser.","Tarvitsen uuden pyyhekumi."
"eraser_4","Can I borrow your eraser?","Voinko lainata pyyhekumi?"
"eraser_5","I lost my eraser.","Kadotin pyyhekumi."
"ruler","Ruler","Viivotin"
"ruler_2","I'm measuring.","Mittaan."
"ruler_3","I need a new ruler.","Tarvitsen uuden hallitsijan."
"ruler_4","Can I borrow your ruler?","Voinko lainata hallitsijaasi?"
"ruler_5","I lost my ruler.","Menetin hallitsijani."
"sharpener","Sharpener","Teroitin"
"sharpener_2","I'm sharpening my pencil.","Teroitan lyijykynäni."
"sharpener_3","I need a new sharpener.","Tarvitsen uuden teroittimen."
"sharpener_4","Can I borrow your sharpener?","Voinko lainata teroittimesi?"
"sharpener_5","I lost my sharpener.","Menetin teroitin."
"mathematics","Mathematics","Matematiikka"
"mathematics_2","I like mathematics.","Pidän matematiikasta."
"mathematics_3","I want to study mathematics.","Haluan opiskella matematiikkaa."
"mathematics_4","I don't like mathematics.","En pidä matematiikasta."
"mathematics_5","When is mathematics class?","Milloin matematiikan luokka on?"
"mathematics_6","Can you help me with my mathematics homework?","Voitko auttaa minua matematiikan kotitehtävissäni?"
"literature","Literature","Kirjallisuus"
"literature_2","I like literature.","Pidän kirjallisuudesta."
"literature_3","I want to study literature.","Haluan opiskella kirjallisuutta."
"literature_4","I don't like literature.","En pidä kirjallisuudesta."
"literature_5","When is literature class?","Milloin kirjallisuusluokka on?"
"literature_6","Can you help me with my literature homework?","Voitko auttaa minua kirjallisuuden kotitehtävissäni?"
"science","Science","tiede"
"science_2","I like science.","Pidän tieteestä."
"science_3","I want to study science.","Haluan opiskella tiedettä."
"science_4","I don't like science.","En pidä tieteestä."
"science_5","When is science class?","Milloin tiedeluokka on?"
"science_6","Can you help me with my science homework?","Voitko auttaa minua tieteen kotitehtävissäni?"
"art-class","Art class","Taideluokka"
"art-class_2","I like art class.","Pidän taidetta."
"art-class_3","I want to practice art skills.","Haluan harjoittaa taidotaidot."
"art-class_4","I don't like art class.","En pidä taidetta."
"art-class_5","When is art class?","Milloin taidekurssi on?"
"art-class_6","Can you help me with my art class homework?","Voitko auttaa minua taidekurssini kotitehtävissäni?"
"music-class","Music class","Musiikkiluokka"
"music-class_2","I like music class.","Pidän musiikkitunnista."
"music-class_3","I want to practice music skills.","Haluan harjoittaa musiikkitaitoja."
"music-class_4","I don't like music class.","En pidä musiikkitunnista."
"music-class_5","When is music class?","Milloin musiikkitunti on?"
"music-class_6","Can you help me with my music class homework?","Voitko auttaa minua musiikkitunnin kotitehtävissäni?"
"geography","Geography","Maantiede"
"geography_2","I like geography.","Pidän maantieteestä."
"geography_3","I want to study geography.","Haluan opiskella maantiedettä."
"geography_4","I don't like geography.","En pidä maantieteestä."
"geography_5","When is geography?","Milloin maantiede on?"
"geography_6","Can you help me with my geography homework?","Voitko auttaa minua maantieteellisissä kotitehtävissäni?"
"telescope","Telescope","Teleskooppi"
"telescope_2","I'm using the telescope.","Käytän kaukoputkea."
"telescope_3","I want to use the telescope.","Haluan käyttää kaukoputkea."
"telescope_4","I want to look at the stars.","Haluan katsoa tähtiä."
"glue","Glue","Liima"
"glue_2","I'm using glue.","Käytän liimaa."
"glue_3","I need a new glue.","Tarvitsen uuden liiman."
"glue_4","Can I borrow your glue?","Voinko lainata liimaa?"
"glue_5","I lost my glue.","Kadin liiman."
"shapes","Shapes","Muodot"
"circle","Circle","Ympyrä"
"circle_2","This is circle shaped.","Tämä on ympyrän muotoinen."
"circle_3","Can you teach me how to draw a circle?","Voitko opettaa minulle piirtämään ympyrän?"
"triangle","Triangle","Kolmio"
"triangle_2","This is triangle shaped.","Tämä on kolmion muotoinen."
"triangle_3","Can you teach me how to draw a triangle?","Voitko opettaa minulle kuinka piirtää kolmion?"
"square","Square","Neliö"
"square_2","This is square shaped.","Tämä on neliön muotoinen."
"square_3","Can you teach me how to draw a square?","Voitko opettaa minulle kuinka piirtää neliön?"
"rectangle","Rectangle","Suorakulmio"
"rectangle_2","This is rectangle shaped.","Tämä on suorakulmion muotoinen."
"rectangle_3","Can you teach me how to draw a rectangle?","Voitko opettaa minulle kuinka piirtää suorakulmion?"
"star","Star","Tähti"
"star_2","This is star shaped.","Tämä on tähden muotoinen."
"star_3","Can you teach me how to draw a star?","Voitteko opettaa minulle tähden piirtämisen?"
"pentagon","Pentagon","viisikulmio"
"pentagon_2","This is pentagon shaped.","Tämä on viisikulmainen."
"pentagon_3","Can you teach me how to draw a pentagon?","Voitko opettaa minulle piirtämään viisikulmion?"
"hexagon","Hexagon","Kuusikulmio"
"hexagon_2","This is hexagon shaped.","Tämä on kuusikulmainen."
"hexagon_3","Can you teach me how to draw a hexagon?","Voitko opettaa minulle kuinka piirtää kuusikulmion?"
"cross","Cross","Ylittää"
"cross_2","This is cross shaped.","Tämä on ristin muotoinen."
"cross_3","Can you teach me how to draw a cross?","Voitko opettaa minulle ristin piirtämisen?"
"ellipse","Ellipse","Ellipsi"
"ellipse_2","This is ellipse shaped.","Tämä on ellipsin muotoinen."
"ellipse_3","Can you teach me how to draw a ellipse?","Voitko opettaa minulle piirtämään ellipsin?"
"arrow","Arrow","Nuoli"
"arrow_2","This is arrow shaped.","Tämä on nuolen muotoinen."
"arrow_3","Can you teach me how to draw a arrow?","Voitko opettaa minulle piirtämään nuolen?"
"crescent","Crescent","puolikuu"
"crescent_2","This is crescent shaped.","Tämä on puolikuun muotoinen."
"crescent_3","Can you teach me how to draw a crescent?","Voitko opettaa minulle, kuinka piirtää puolikuu?"
"heart","Heart","sydän"
"heart_2","This is heart shaped.","Tämä on sydämen muotoinen."
"heart_3","Can you teach me how to draw a heart?","Voitko opettaa minulle sydämen piirtämisen?"
"rhombus","Rhombus","vinoneliö"
"rhombus_2","This is rhombus shaped.","Tämä on rommin muotoinen."
"rhombus_3","Can you teach me how to draw a rhombus?","Voitko opettaa minulle, kuinka piirtää rombua?"
"ring","Ring","Rengas"
"ring_2","This is ring shaped.","Tämä on renkaan muotoinen."
"ring_3","Can you teach me how to draw a ring?","Voitko opettaa minulle, kuinka piirtää rengasta?"
"semicircle","Semicircle","puoliympyrä"
"semicircle_2","This is semicircle shaped.","Tämä on puoliympyrän muotoinen."
"semicircle_3","Can you teach me how to draw a semicircle?","Voitko opettaa minulle piirtämään puoliympyrän?"
"trapezoid","Trapezoid","puolisuunnikkaan"
"trapezoid_2","This is trapezoid shaped.","Tämä on puolisuunnikkaan muotoinen."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Voitko opettaa minulle, kuinka piirtää trapetsoidi?"
"cube","Cube","Kuutio"
"cube_2","This is cube shaped.","Tämä on kuution muotoinen."
"cube_3","Can you teach me how to draw a cube?","Voitko opettaa minulle kuution piirtämisen?"
"cylinder","Cylinder","sylinteri"
"cylinder_2","This is cylinder shaped.","Tämä on sylinterinmuotoinen."
"cylinder_3","Can you teach me how to draw a cylinder?","Voitko opettaa minulle pullon piirtämisen?"
