"activities","Activities","Діяльності"
"doctor_6","Thank you for healing me.","Дякую, що вилікували мене."
"friends","Friends","Друзі"
"friends_2","I love my friends.","Я люблю своїх друзів."
"friends_3","Do you want to be my friend?","Ти хочеш бути моїм другом?"
"friends_4","I don't like my friends.","Мені не подобаються мої друзі."
"friends_5","I miss my friends.","Я сумую за своїми друзями."
"friends_6","They are my friends.","Вони мої друзі."
"friends_7","Thank you for playing with me.","Дякую, що зі мною грали."
"cousins","Cousins","Двоюрідні сестри"
"cousins_2","I love my cousins.","Я люблю своїх двоюрідних братів."
"cousins_3","I don't have cousins.","У мене немає двоюрідних братів."
"cousins_4","I miss my cousins.","Я сумую за своїми двоюрідними братами."
"cousins_5","They are my cousins.","Вони мої двоюрідні сестри."
"grandmother","Grandmother","Бабуся"
"grandmother_2","I love my grandmother.","Я люблю свою бабусю."
"grandmother_3","I love you grandma.","Я люблю тебе, бабусю."
"grandmother_4","I miss my grandma.","Я сумую за бабусею."
"grandmother_5","She is my grandma.","Вона моя бабуся."
"grandfather","Grandfather","Дідусь"
"grandfather_2","I love my grandfather.","Я люблю свого діда."
"grandfather_3","I love you grandpa.","Я люблю тебе дідусь."
"grandfather_4","I miss my grandpa.","Я сумую за дідусем."
"grandfather_5","He is my grandpa.","Він мій дідусь."
"stepfather","Stepfather","Вітчим"
"stepfather_2","I love my stepfather.","Я люблю вітчима."
"stepfather_3","He is my stepfather.","Він мій вітчим."
"stepfather_4","I miss my stepfather.","Я сумую за вітчимом."
"stepfather_5","He is my stepfather.","Він мій вітчим."
"stepmother","Stepmother","Мачуха"
"stepmother_2","I love my stepmother.","Я люблю мачуху."
"stepmother_3","She is my stepmother.","Вона моя мачуха."
"stepmother_4","I miss my stepmother.","Я сумую за мачухою."
"stepmother_5","She is my stepmother.","Вона моя мачуха."
"stepsister","Stepsister","Зведена сестра"
"stepsister_2","I love my stepsister.","Я люблю свою пасинку."
"stepsister_3","She is my stepsister.","Вона - моя пасинка."
"stepsister_4","I miss my stepsister.","Я сумую за своєю подружкою."
"stepsister_5","She is my stepsister.","Вона - моя пасинка."
"stepbrother","Stepbrother","Зведений брат"
"stepbrother_2","I love my stepbrother.","Я люблю свого брачного брата."
"stepbrother_3","He is my stepbrother.","Він мій вітчим."
"stepbrother_4","I miss my stepbrother.","Я сумую за своїм братом."
"stepbrother_5","He is my stepbrother.","Він мій вітчим."
"half-brother","Half brother","Половин брат"
"half-brother_2","I love my half brother.","Я люблю свого півбрата."
"half-brother_3","He is my half brother.","Він мій напів брат."
"half-brother_4","I miss my half brother.","Я сумую за своїм братом."
"half-brother_5","He is my half brother.","Він мій напів брат."
"half-sister","Half sister","Зведена сестра"
"half-sister_2","I love my half sister.","Я люблю свою половинку."
"half-sister_3","She is my half sister.","Вона - моя напівсестра."
"half-sister_4","I miss my half sister.","Я сумую за своєю напівсестрою."
"half-sister_5","She is my half sister.","Вона - моя напівсестра."
"quarantine","Quarantine","Карантин"
"protective-mask","Protective mask","Захисна маска"
"stay-home","Stay home","Залишитися вдома"
"toilet-paper","Toilet paper","Туалетний папір"
"sprayer","Sprayer","Обприскувач"
"disinfectant","Disinfectant","Дезінфікуючий засіб"
"thermometer","Thermometer","Термометр"
"coughing","Coughing","Кашель"
"medical-assistance","Medical assistance","Медична допомога"
"hand-sanitizer","Hand sanitizer","Санітайзер для рук"
"gloves","Gloves","Рукавички"
"social-distancing","Social distancing","Соціальне дистанціювання"
"mouth-mask","Mouth mask","Маска для рота"
"pandemic","Pandemic","Пандемія"
"working-at-home","Working at home","Робота вдома"
"wet-wipes","Wet wipes","Вологі серветки"
"first-aid-kit","First aid kit","Аптечка"
"fitness","Fitness","Фітнес"
"e-learning","E-learning","Електронне навчання"
"virus","Virus","Вірус"
"cleaning","Cleaning","Прибирання"
"school","School","Школа"
"desk","Desk","Стіл"
"desk_2","Can I use this desk?","Чи можу я використовувати цей стіл?"
"desk_3","Which desk is mine?","Який стіл мій?"
"desk_4","I spilled on my desk.","Я розлився на своєму столі."
"desk_5","Don't scratch your desk.","Не дряпайте свій стіл."
"chair","Chair","Стілець"
"chair_2","Can I sit with you?","Чи можу я з вами сидіти?"
"chair_3","Which chair is mine?","Який стілець мій?"
"chair_4","Is this chair taken?","Це крісло прийнято?"
"chair_5","I spilled on my chair.","Я розлився на стільці."
"book","Book","Книга"
"book_2","Textbook","Підручник"
"book_3","Workbook","Робочий зошит"
"book_4","Reading a book.","Читати книгу."
"book_5","Can I borrow your book?","Чи можу я позичити вашу книгу?"
"book_6","Which page are we at?","На якій сторінці ми знаходимось?"
"book_7","Flip the page.","Переверніть сторінку."
"book_8","I lost my book.","Я втратив книгу."
"notebook","Notebook","Зошит"
"notebook_2","Taking notes.","Ведення приміток."
"notebook_3","I'm taking notes.","Я роблю нотатки."
"notebook_4","I lost my notebook.","Я втратив зошит."
"backpack","Backpack","Рюкзак"
"backpack_2","Carrying my backpack.","Несу мій рюкзак."
"backpack_3","Putting my books in my backpack.","Поклав мої книги в рюкзак."
"backpack_4","I need a new backpack.","Мені потрібен новий рюкзак."
"backpack_5","Thank you for carrying my backpack.","Дякую, що ви носили мій рюкзак."
"backpack_6","I lost my backpack.","Я загубив рюкзак"
"backpack_7","My backpack is heavy.","Мій рюкзак важкий."
"blackboard","Blackboard","Дошка"
"blackboard_2","Look at the blackboard.","Подивіться на дошку."
"blackboard_3","Cleaning the blackboard.","Чистка дошки."
"blackboard_4","Solving the problem on the blackboard.","Вирішення проблеми на дошці."
"blackboard_5","Taking note on the blackboard.","Приймання примітки на дошці."
"blackboard_6","Give me a chalk.","Дай мені крейду."
"teacher_7","I don't like this topic.","Мені не подобається ця тема."
"teacher_8","Thank you for the lesson.","Дякую за урок"
"school-bus","School bus","Шкільний автобус"
"school-bus_2","School bus is coming.","Шкільний автобус іде."
"school-bus_3","Can I sit next to you?","Чи можу я сидіти поруч?"
"school-bus_4","Thank you bus driver!","Дякую водію автобуса!"
"school-bus_5","School bus was late.","Шкільний автобус запізнився."
"pencil","Pencil","Олівець"
"pencil_2","I'm writing.","Я пишу."
"pencil_3","I'm learning to write.","Я вчусь писати."
"pencil_4","I need a new pencil.","Мені потрібен новий олівець."
"pencil_5","Can I borrow your pencil?","Чи можу я позичити ваш олівець?"
"pencil_6","I lost my pencil.","Я втратив олівець."
"eraser","Eraser","Гумка"
"eraser_2","I'm erasing.","Я стираю."
"eraser_3","I need a new eraser.","Мені потрібна нова гумка."
"eraser_4","Can I borrow your eraser?","Чи можу я позичити вашу гумку?"
"eraser_5","I lost my eraser.","Я втратив гумку."
"ruler","Ruler","Лінійка"
"ruler_2","I'm measuring.","Я вимірюю."
"ruler_3","I need a new ruler.","Мені потрібна нова лінійка."
"ruler_4","Can I borrow your ruler?","Чи можу я позичити твого правителя?"
"ruler_5","I lost my ruler.","Я втратив свого правителя."
"sharpener","Sharpener","Точилка"
"sharpener_2","I'm sharpening my pencil.","Я заточую олівець."
"sharpener_3","I need a new sharpener.","Мені потрібна нова точилка."
"sharpener_4","Can I borrow your sharpener?","Чи можу я позичити вашу точилку?"
"sharpener_5","I lost my sharpener.","Я втратив точилку."
"mathematics","Mathematics","Математика"
"mathematics_2","I like mathematics.","Мені подобається математика."
"mathematics_3","I want to study mathematics.","Я хочу вивчити математику."
"mathematics_4","I don't like mathematics.","Мені не подобається математика."
"mathematics_5","When is mathematics class?","Коли проводиться клас математики?"
"mathematics_6","Can you help me with my mathematics homework?","Чи можете ви мені допомогти з домашнім завданням з математики?"
"literature","Literature","Література"
"literature_2","I like literature.","Мені подобається література."
"literature_3","I want to study literature.","Я хочу вивчати літературу."
"literature_4","I don't like literature.","Я не люблю літературу."
"literature_5","When is literature class?","Коли проводиться заняття з літератури?"
"literature_6","Can you help me with my literature homework?","Чи можете ви мені допомогти з домашнім завданням з літератури?"
"science","Science","Наука"
"science_2","I like science.","Мені подобається наука."
"science_3","I want to study science.","Я хочу вивчати науку."
"science_4","I don't like science.","Я не люблю науки."
"science_5","When is science class?","Коли проводиться науковий клас?"
"science_6","Can you help me with my science homework?","Чи можете ви мені допомогти з моїм домашнім завданням з науки?"
"art-class","Art class","Мистецький клас"
"art-class_2","I like art class.","Мені подобається клас мистецтва."
"art-class_3","I want to practice art skills.","Я хочу займатися мистецькими навичками."
"art-class_4","I don't like art class.","Мені не подобається клас мистецтва."
"art-class_5","When is art class?","Коли проводиться мистецький клас?"
"art-class_6","Can you help me with my art class homework?","Чи можете ви мені допомогти з домашнім завданням з мистецького класу?"
"music-class","Music class","Музичний клас"
"music-class_2","I like music class.","Мені подобається музичний клас."
"music-class_3","I want to practice music skills.","Я хочу займатися музичними навичками."
"music-class_4","I don't like music class.","Мені не подобається музичний клас."
"music-class_5","When is music class?","Коли проводиться музичний клас?"
"music-class_6","Can you help me with my music class homework?","Чи можете ви мені допомогти з домашнім завданням з музичного класу?"
"geography","Geography","Географія"
"geography_2","I like geography.","Мені подобається географія."
"geography_3","I want to study geography.","Я хочу вивчити географію."
"geography_4","I don't like geography.","Мені не подобається географія."
"geography_5","When is geography?","Коли географія?"
"geography_6","Can you help me with my geography homework?","Чи можете ви мені допомогти з домашнім завданням з географії?"
"telescope","Telescope","Телескоп"
"telescope_2","I'm using the telescope.","Я використовую телескоп."
"telescope_3","I want to use the telescope.","Я хочу скористатися телескопом."
"telescope_4","I want to look at the stars.","Я хочу подивитися на зірки."
"glue","Glue","Клей"
"glue_2","I'm using glue.","Я використовую клей."
"glue_3","I need a new glue.","Мені потрібен новий клей."
"glue_4","Can I borrow your glue?","Чи можу я позичити ваш клей?"
"glue_5","I lost my glue.","Я втратив клей."
"shapes","Shapes","Форми"
"circle","Circle","Коло"
"circle_2","This is circle shaped.","Це круглої форми."
"circle_3","Can you teach me how to draw a circle?","Чи можете ви навчити мене малювати коло?"
"triangle","Triangle","Трикутник"
"triangle_2","This is triangle shaped.","Це трикутна форма."
"triangle_3","Can you teach me how to draw a triangle?","Чи можете ви навчити мене малювати трикутник?"
"square","Square","Майдан"
"square_2","This is square shaped.","Це квадратної форми."
"square_3","Can you teach me how to draw a square?","Чи можете ви навчити мене малювати квадрат?"
"rectangle","Rectangle","Прямокутник"
"rectangle_2","This is rectangle shaped.","Це прямокутна форма."
"rectangle_3","Can you teach me how to draw a rectangle?","Чи можете ви навчити мене малювати прямокутник?"
"star","Star","Зірка"
"star_2","This is star shaped.","Це зірка."
"star_3","Can you teach me how to draw a star?","Чи можете ви навчити мене малювати зірку?"
"pentagon","Pentagon","П’ятикутник"
"pentagon_2","This is pentagon shaped.","Це форма п’ятикутника."
"pentagon_3","Can you teach me how to draw a pentagon?","Чи можете ви навчити мене малювати п’ятикутник?"
"hexagon","Hexagon","Шестикутник"
"hexagon_2","This is hexagon shaped.","Це у формі шестикутника."
"hexagon_3","Can you teach me how to draw a hexagon?","Чи можете ви навчити мене малювати шестикутник?"
"cross","Cross","Хрест"
"cross_2","This is cross shaped.","Це хрестоподібна форма."
"cross_3","Can you teach me how to draw a cross?","Чи можете ви навчити мене малювати хрестик?"
"ellipse","Ellipse","Еліпс"
"ellipse_2","This is ellipse shaped.","Це у формі еліпса."
"ellipse_3","Can you teach me how to draw a ellipse?","Чи можете ви навчити мене малювати еліпс?"
"arrow","Arrow","Стрілка"
"arrow_2","This is arrow shaped.","Це у формі стрілки."
"arrow_3","Can you teach me how to draw a arrow?","Чи можете ви навчити мене малювати стрілу?"
"crescent","Crescent","Півмісяць"
"crescent_2","This is crescent shaped.","Це у формі півмісяця."
"crescent_3","Can you teach me how to draw a crescent?","Чи можете ви навчити мене малювати півмісяця?"
"heart","Heart","Серце"
"heart_2","This is heart shaped.","Це у формі серця."
"heart_3","Can you teach me how to draw a heart?","Чи можете ви навчити мене малювати серце?"
"rhombus","Rhombus","Ромб"
"rhombus_2","This is rhombus shaped.","Це ромбоподібна форма."
"rhombus_3","Can you teach me how to draw a rhombus?","Чи можете ви навчити мене малювати ромб?"
"ring","Ring","Кільце"
"ring_2","This is ring shaped.","Це кільцеподібна форма."
"ring_3","Can you teach me how to draw a ring?","Чи можете ви навчити мене малювати кільце?"
"semicircle","Semicircle","Півколо"
"semicircle_2","This is semicircle shaped.","Це півкруглої форми."
"semicircle_3","Can you teach me how to draw a semicircle?","Чи можете ви навчити мене малювати півкола?"
"trapezoid","Trapezoid","Трапеція"
"trapezoid_2","This is trapezoid shaped.","Це трапецієподібна форма."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Чи можете ви навчити мене малювати трапецію?"
"cube","Cube","Куб"
"cube_2","This is cube shaped.","Це кубикова форма."
"cube_3","Can you teach me how to draw a cube?","Чи можете ви навчити мене малювати кубик?"
"cylinder","Cylinder","Циліндр"
"cylinder_2","This is cylinder shaped.","Це циліндрова форма."
"cylinder_3","Can you teach me how to draw a cylinder?","Чи можете ви навчити мене малювати циліндр?"
