"activities","Activities","Hoạt động"
"nine_2","Nine comes before ten.","Chín đến trước mười."
"nine_3","Nine comes after eight.","Chín đến sau tám."
"nine_4","I want nine.","Tôi muốn chín."
"ten","Ten","Mười"
"ten_2","Ten comes before eleven.","Mười đến trước mười một."
"ten_3","Ten comes after nine.","Mười đến sau chín."
"ten_4","I want ten.","Tôi muốn mười."
"eleven","Eleven","Mười một"
"eleven_2","Eleven comes before thirteen.","Mười một đến trước mười ba."
"eleven_3","Eleven comes after ten.","Mười một đến sau mười."
"eleven_4","I want eleven.","Tôi muốn mười một."
"twenty","Twenty","Hai mươi"
"twenty_2","I can count up to twenty.","Tôi có thể đếm đến hai mươi."
"thirty","Thirty","Ba mươi"
"thirty_2","I can count up to thirty.","Tôi có thể đếm đến ba mươi."
"forty","Forty","Bốn mươi"
"forty_2","I can count up to forty.","Tôi có thể đếm đến bốn mươi."
"fifty","Fifty","Năm mươi"
"fifty_2","I can count up to fifty.","Tôi có thể đếm đến năm mươi."
"hundred","Hundred","Hàng trăm"
"hundred_2","I can count up to hundred.","Tôi có thể đếm đến hàng trăm."
"thousand","Thousand","Ngàn"
"thousand_2","I can count up to thousand.","Tôi có thể đếm đến hàng ngàn."
"calculator","Calculator","Máy tính"
"calculator_2","I want to use a calculator.","Tôi muốn sử dụng một máy tính."
"calculator_3","Can you teach me how to use a calculator?","Bạn có thể dạy tôi làm thế nào để sử dụng một máy tính?"
"calculator_4","Can I barrow your calculator?","Tôi có thể barrow máy tính của bạn?"
"people","People","Mọi người"
"mother","Mother","Mẹ"
"mother_2","Mommy!","Mẹ ơi!"
"mother_3","I love my mother.","Tôi yêu mẹ của tôi."
"mother_4","I love you mom.","Con yêu mẹ."
"mother_5","I miss my mom.","Tôi nhơ mẹ tôi."
"mother_6","Thank you for taking care of me.","Cảm ơn bạn đã chăm sóc tôi."
"mother_7","She is my mom.","Cô ấy là mẹ của tôi."
"mother_8","Can you help me find my mother?","Bạn có thể giúp tôi tìm mẹ tôi?"
"father","Father","Bố"
"father_2","Daddy!","Cha!"
"father_3","I love my father.","Tôi yêu cha tôi."
"father_4","I love you dad.","Con yêu bố."
"father_5","I miss my dad.","Tôi nhớ cha của tôi."
"father_6","Thank you for taking care of me.","Cảm ơn bạn đã chăm sóc tôi."
"father_7","He is my dad.","Ông ây la bô tôi."
"father_8","Can you help me find my father?","Bạn có thể giúp tôi tìm cha tôi?"
"parents","Parents","Cha mẹ"
"parents_2","I love my parents.","Tôi yêu bố mẹ tôi."
"parents_3","I love my parents.","Tôi yêu bố mẹ tôi."
"parents_4","I miss my parents.","Tôi nhớ bố mẹ tôi."
"parents_5","They are my parents.","Họ là bố mẹ tôi."
"parents_6","My parents are taking care of me.","Bố mẹ tôi đang chăm sóc tôi."
"parents_8","Can you help me find my parents?","Bạn có thể giúp tôi tìm cha mẹ của tôi?"
"grandparents","Grandparents","Ông bà"
"grandparents_2","I love my grandparents.","Tôi yêu ông bà của tôi."
"grandparents_3","I love you grandparents.","Con yêu ông bà."
"grandparents_4","I miss my grandparents.","Tôi nhớ ông bà của tôi."
"grandparents_5","They are my grandparents.","Họ là ông bà của tôi."
"grandparents_6","My grandparents are taking care of me.","Ông bà tôi đang chăm sóc tôi."
"grandparents_8","Can you help me find my grandparents?","Bạn có thể giúp tôi tìm ông bà của tôi?"
"brother","Brother","Anh trai"
"brother_2","I love my brother.","Tôi yêu anh trai tôi."
"brother_3","I love you brother.","Anh yêu em"
"brother_4","I miss my brother.","Tôi nhớ anh trai tôi."
"brother_5","He is my brother.","Anh ấy là anh trai tôi."
"brother_6","My brother is taking care of me.","Anh tôi đang chăm sóc tôi."
"brother_8","Can you help me find my brother?","Bạn có thể giúp tôi tìm anh trai của tôi?"
"sister","Sister","Em gái"
"sister_2","I love my sister.","Tôi yêu chị tôi."
"sister_3","I love you sister.","Em yêu chị."
"sister_4","I miss my sister.","Anh nhớ em gái tôi."
"sister_5","She is my sister.","Cô ây la chị của tôi."
"sister_6","My sister is taking care of me.","Chị tôi đang chăm sóc tôi."
"sister_8","Can you help me find my sister?","Bạn có thể giúp tôi tìm em gái tôi?"
"uncle","Uncle","Chú"
"uncle_2","I love my uncle.","Tôi yêu chú của tôi."
"uncle_3","I love you uncle.","Con yêu chú."
"uncle_4","I miss my uncle.","Tôi nhớ chú tôi"
"uncle_5","He is my uncle.","Anh ấy là chú tôi."
"uncle_8","Can you help me find my uncle?","Bạn có thể giúp tôi tìm chú của tôi?"
"aunt","Aunt","Cô"
"aunt_2","I love my aunt.","Tôi yêu dì của tôi."
"aunt_3","I love you aunt.","Con yêu dì."
"aunt_4","I miss my aunt.","Tôi nhớ dì của tôi."
"aunt_5","She is my aunt.","Cô ấy là dì của tôi."
"aunt_8","Can you help me find my aunt?","Bạn có thể giúp tôi tìm dì của tôi?"
"teacher","Teacher","Giáo viên"
"teacher_2","I love my teacher.","Tôi yêu giáo viên của tôi."
"teacher_3","I love you teacher.","Tôi yêu cô cô giáo."
"teacher_4","I don't like my teacher.","Tôi không thích giáo viên của mình."
"teacher_5","I miss my teacher.","Tôi nhớ cô giáo của tôi"
"teacher_6","Thank you for the lesson.","Cảm ơn bạn cho bài học."
"therapist","Therapist","Bác sĩ trị liệu"
"therapist_2","I love my therapist.","Tôi yêu nhà trị liệu của tôi."
"therapist_3","I love you therapist.","Tôi yêu bạn trị liệu."
"therapist_4","I don't like my therapist.","Tôi không thích nhà trị liệu của tôi."
"therapist_5","I miss my therapist.","Tôi nhớ nhà trị liệu của tôi."
"therapist_6","Thank you for the session.","Cảm ơn bạn cho phiên."
"doctor","Doctor","Bác sĩ"
"doctor_2","I love my doctor.","Tôi yêu bác sĩ của tôi."
"doctor_3","I love you doctor.","Em yêu bác sĩ."
"doctor_4","I don't like my doctor.","Tôi không thích bác sĩ của tôi."
"doctor_5","I miss my doctor.","Tôi nhớ bác sĩ của tôi."
"doctor_6","Thank you for healing me.","Cảm ơn bạn đã chữa lành cho tôi."
"friends","Friends","Bạn bè"
"friends_2","I love my friends.","Tôi yêu các bạn của tôi."
"friends_3","Do you want to be my friend?","Bạn có muốn làm bạn với tôi không?"
"friends_4","I don't like my friends.","Tôi không thích bạn bè của tôi."
"friends_5","I miss my friends.","Tôi nhớ bạn bè của tôi."
"friends_6","They are my friends.","Họ là bạn của tôi."
"friends_7","Thank you for playing with me.","Cảm ơn bạn đã chơi với tôi."
"cousins","Cousins","anh chị em họ"
"cousins_2","I love my cousins.","Tôi yêu anh em họ của tôi."
"cousins_3","I don't have cousins.","Tôi không có anh em họ."
"cousins_4","I miss my cousins.","Tôi nhớ anh em họ của tôi."
"cousins_5","They are my cousins.","Họ là anh em họ của tôi."
"grandmother","Grandmother","Bà ngoại"
"grandmother_2","I love my grandmother.","Tôi yêu bà của tôi."
"grandmother_3","I love you grandma.","Cháu yêu bà."
"grandmother_4","I miss my grandma.","Tôi nhớ bà tôi"
"grandmother_5","She is my grandma.","Cô ấy là bà của tôi"
"grandfather","Grandfather","Ông nội"
"grandfather_2","I love my grandfather.","Tôi yêu ông tôi"
"grandfather_3","I love you grandpa.","Con yêu ông rất nhiều."
"grandfather_4","I miss my grandpa.","Tôi nhớ ông tôi"
"grandfather_5","He is my grandpa.","Ông là ông của tôi."
"stepfather","Stepfather","Cha dượng"
"stepfather_2","I love my stepfather.","Tôi yêu cha dượng của tôi."
"stepfather_3","He is my stepfather.","Anh ấy là cha dượng của tôi."
"stepfather_4","I miss my stepfather.","Tôi nhớ cha dượng của tôi."
"stepfather_5","He is my stepfather.","Anh ấy là cha dượng của tôi."
"stepmother","Stepmother","Mẹ kế"
"stepmother_2","I love my stepmother.","Tôi yêu mẹ kế của tôi."
"stepmother_3","She is my stepmother.","Cô ấy là mẹ kế của tôi."
"stepmother_4","I miss my stepmother.","Tôi nhớ mẹ kế của tôi."
"stepmother_5","She is my stepmother.","Cô ấy là mẹ kế của tôi."
"stepsister","Stepsister","Chị kế"
"stepsister_2","I love my stepsister.","Tôi yêu chị gái của tôi."
"stepsister_3","She is my stepsister.","Cô ấy là con riêng của tôi."
"stepsister_4","I miss my stepsister.","Tôi nhớ chị gái của tôi."
"stepsister_5","She is my stepsister.","Cô ấy là con riêng của tôi."
"stepbrother","Stepbrother","Anh của mẹ kế"
"stepbrother_2","I love my stepbrother.","Tôi yêu con riêng của tôi."
"stepbrother_3","He is my stepbrother.","Anh ấy là con riêng của tôi."
"stepbrother_4","I miss my stepbrother.","Tôi nhớ con riêng của tôi."
"stepbrother_5","He is my stepbrother.","Anh ấy là con riêng của tôi."
"half-brother","Half brother","Anh trai cùng cha khác mẹ"
"half-brother_2","I love my half brother.","Tôi yêu anh trai cùng cha khác mẹ."
"half-brother_3","He is my half brother.","Anh ấy là anh cùng cha khác mẹ của tôi."
"half-brother_4","I miss my half brother.","Tôi nhớ anh trai cùng cha khác mẹ."
"half-brother_5","He is my half brother.","Anh ấy là anh cùng cha khác mẹ của tôi."
"half-sister","Half sister","Chị cùng cha khác mẹ"
"half-sister_2","I love my half sister.","Tôi yêu em gái cùng cha khác mẹ."
"half-sister_3","She is my half sister.","Cô ấy là chị cùng cha khác mẹ của tôi."
"half-sister_4","I miss my half sister.","Tôi nhớ em gái cùng cha khác mẹ."
"half-sister_5","She is my half sister.","Cô ấy là chị cùng cha khác mẹ của tôi."
"quarantine","Quarantine","Cách ly"
"protective-mask","Protective mask","Mặt nạ bảo vệ"
"stay-home","Stay home","Ở nhà"
"toilet-paper","Toilet paper","Giấy vệ sinh"
"sprayer","Sprayer","Bình xịt"
"disinfectant","Disinfectant","Thuốc khử trùng"
"thermometer","Thermometer","Nhiệt kế"
"coughing","Coughing","Ho"
"medical-assistance","Medical assistance","Hô trợ y tê"
"hand-sanitizer","Hand sanitizer","Nước rửa tay sát khuẩn"
"gloves","Gloves","Găng tay"
"social-distancing","Social distancing","Hạn chế tiếp xúc xã hội"
"mouth-mask","Mouth mask","Khẩu trang"
"pandemic","Pandemic","Đại dịch"
"working-at-home","Working at home","Làm việc tại nhà"
"wet-wipes","Wet wipes","Khăn ướt"
"first-aid-kit","First aid kit","Bộ sơ cứu"
"fitness","Fitness","Sự khỏe khoắn"
"e-learning","E-learning","Học trực tuyến"
"virus","Virus","Vi-rút"
"cleaning","Cleaning","Làm sạch"
"school","School","Trường học"
"desk","Desk","Bàn"
"desk_2","Can I use this desk?","Tôi có thể sử dụng bàn này không?"
"desk_3","Which desk is mine?","Bàn nào là của tôi?"
"desk_4","I spilled on my desk.","Tôi tràn ra bàn."
"desk_5","Don't scratch your desk.","Đừng cào bàn của bạn."
"chair","Chair","Cái ghế"
"chair_2","Can I sit with you?","Tôi có thể ngồi với bạn chứ?"
"chair_3","Which chair is mine?","Cái ghế nào là của tôi?"
"chair_4","Is this chair taken?","Là cái ghế này?"
"chair_5","I spilled on my chair.","Tôi tràn ra ghế."
"book","Book","Sách"
"book_2","Textbook","Sách giáo khoa"
"book_3","Workbook","Sách bài tập"
"book_4","Reading a book.","Đọc một cuốn sách."
"book_5","Can I borrow your book?","Tôi có thể mượn sách của bạn không?"
"book_6","Which page are we at?","Chúng ta đang ở trang nào?"
"book_7","Flip the page.","Lật trang."
"book_8","I lost my book.","Tôi bị mất cuốn sách của tôi."
"notebook","Notebook","Sổ tay"
"notebook_2","Taking notes.","Ghi chép."
"notebook_3","I'm taking notes.","Tôi đang ghi chép."
"notebook_4","I lost my notebook.","Tôi bị mất cuốn sổ của tôi."
"backpack","Backpack","Ba lô"
"backpack_2","Carrying my backpack.","Mang ba lô của tôi."
"backpack_3","Putting my books in my backpack.","Đặt sách của tôi trong ba lô của tôi."
"backpack_4","I need a new backpack.","Tôi cần một chiếc ba lô mới."
"backpack_5","Thank you for carrying my backpack.","Cảm ơn bạn đã mang ba lô của tôi."
"backpack_6","I lost my backpack.","Tôi bị mất ba lô."
"backpack_7","My backpack is heavy.","Ba lô của tôi nặng."
"blackboard","Blackboard","Bảng đen"
"blackboard_2","Look at the blackboard.","Nhìn vào bảng đen."
"blackboard_3","Cleaning the blackboard.","Làm sạch bảng đen."
"blackboard_4","Solving the problem on the blackboard.","Giải quyết vấn đề trên bảng đen."
"blackboard_5","Taking note on the blackboard.","Ghi chú trên bảng đen."
"blackboard_6","Give me a chalk.","Cho tôi một viên phấn."
"teacher_7","I don't like this topic.","Tôi không thích chủ đề này."
"teacher_8","Thank you for the lesson.","Cảm ơn bạn cho bài học."
"school-bus","School bus","Xe buýt của trường"
"school-bus_2","School bus is coming.","Xe buýt đến trường."
"school-bus_3","Can I sit next to you?","Tôi có thể ngồi bên cạnh bạn?"
"school-bus_4","Thank you bus driver!","Cảm ơn tài xế xe buýt!"
"school-bus_5","School bus was late.","Xe buýt đã trễ."
"pencil","Pencil","Bút chì"
"pencil_2","I'm writing.","Tôi đang viết."
"pencil_3","I'm learning to write.","Tôi đang học viết."
"pencil_4","I need a new pencil.","Tôi cần một cây bút chì mới."
"pencil_5","Can I borrow your pencil?","Cho tôi mượn bút chì của bạn được không?"
"pencil_6","I lost my pencil.","Tôi bị mất bút chì."
"eraser","Eraser","Cục tẩy"
"eraser_2","I'm erasing.","Tôi đang xóa."
"eraser_3","I need a new eraser.","Tôi cần một cục tẩy mới."
"eraser_4","Can I borrow your eraser?","Tôi có thể mượn tẩy bạn không?"
"eraser_5","I lost my eraser.","Tôi bị mất cục tẩy của tôi."
"ruler","Ruler","Cái thước"
"ruler_2","I'm measuring.","Tôi đang đo."
"ruler_3","I need a new ruler.","Tôi cần một người cai trị mới."
"ruler_4","Can I borrow your ruler?","Tôi có thể mượn thước của bạn không?"
"ruler_5","I lost my ruler.","Tôi bị mất thước."
"sharpener","Sharpener","Gọt chì"
"sharpener_2","I'm sharpening my pencil.","Tôi đang gọt bút chì."
"sharpener_3","I need a new sharpener.","Tôi cần một cái mài mới."
"sharpener_4","Can I borrow your sharpener?","Tôi có thể mượn máy mài của bạn không?"
"sharpener_5","I lost my sharpener.","Tôi bị mất mài."
"mathematics","Mathematics","toán học"
"mathematics_2","I like mathematics.","Tôi thích toán học"
"mathematics_3","I want to study mathematics.","Tôi muốn học toán"
"mathematics_4","I don't like mathematics.","Tôi không thích toán học."
"mathematics_5","When is mathematics class?","Khi nào là lớp toán?"
"mathematics_6","Can you help me with my mathematics homework?","Bạn có thể giúp tôi với bài tập về nhà toán học của tôi?"
"literature","Literature","Văn chương"
"literature_2","I like literature.","Tôi thích văn học"
"literature_3","I want to study literature.","Tôi muốn học văn"
"literature_4","I don't like literature.","Tôi không thích văn học."
"literature_5","When is literature class?","Khi nào là lớp văn học?"
"literature_6","Can you help me with my literature homework?","Bạn có thể giúp tôi với bài tập về nhà văn học của tôi?"
"science","Science","Khoa học"
"science_2","I like science.","Tôi thích khoa học."
"science_3","I want to study science.","Tôi muốn học khoa học"
"science_4","I don't like science.","Tôi không thích khoa học."
"science_5","When is science class?","Khi nào là lớp học khoa học?"
"science_6","Can you help me with my science homework?","Bạn có thể giúp tôi với bài tập về khoa học của tôi?"
"art-class","Art class","Lớp học nghệ thuật"
"art-class_2","I like art class.","Tôi thích lớp học nghệ thuật."
"art-class_3","I want to practice art skills.","Tôi muốn thực hành các kỹ năng nghệ thuật."
"art-class_4","I don't like art class.","Tôi không thích lớp học nghệ thuật."
"art-class_5","When is art class?","Khi nào là lớp học nghệ thuật?"
"art-class_6","Can you help me with my art class homework?","Bạn có thể giúp tôi với bài tập về nhà nghệ thuật của tôi?"
"music-class","Music class","Lớp học âm nhạc"
"music-class_2","I like music class.","Tôi thích lớp âm nhạc."
"music-class_3","I want to practice music skills.","Tôi muốn rèn luyện kỹ năng âm nhạc."
"music-class_4","I don't like music class.","Tôi không thích lớp học âm nhạc."
"music-class_5","When is music class?","Khi nào là lớp học âm nhạc?"
"music-class_6","Can you help me with my music class homework?","Bạn có thể giúp tôi với bài tập về nhà âm nhạc của tôi?"
"geography","Geography","Môn Địa lý"
"geography_2","I like geography.","Tôi thích địa lý."
"geography_3","I want to study geography.","Tôi muốn học địa lý."
"geography_4","I don't like geography.","Tôi không thích địa lý."
"geography_5","When is geography?","Khi nào là địa lý?"
"geography_6","Can you help me with my geography homework?","Bạn có thể giúp tôi với bài tập về địa lý của tôi?"
"telescope","Telescope","Kính thiên văn"
"telescope_2","I'm using the telescope.","Tôi đang sử dụng kính thiên văn."
"telescope_3","I want to use the telescope.","Tôi muốn sử dụng kính thiên văn."
"telescope_4","I want to look at the stars.","Tôi muốn nhìn vào các vì sao."
"glue","Glue","Keo dán"
"glue_2","I'm using glue.","Tôi đang sử dụng keo."
"glue_3","I need a new glue.","Tôi cần một loại keo mới."
"glue_4","Can I borrow your glue?","Tôi có thể mượn keo của bạn?"
"glue_5","I lost my glue.","Tôi bị mất keo của tôi."
"shapes","Shapes","Hình dạng"
"circle","Circle","Vòng tròn"
"circle_2","This is circle shaped.","Đây là hình tròn."
"circle_3","Can you teach me how to draw a circle?","Bạn có thể dạy tôi làm thế nào để vẽ một vòng tròn?"
"triangle","Triangle","Tam giác"
"triangle_2","This is triangle shaped.","Đây là hình tam giác."
"triangle_3","Can you teach me how to draw a triangle?","Bạn có thể dạy tôi làm thế nào để vẽ một hình tam giác?"
"square","Square","Quảng trường"
"square_2","This is square shaped.","Đây là hình vuông."
"square_3","Can you teach me how to draw a square?","Bạn có thể dạy tôi làm thế nào để vẽ một hình vuông?"
"rectangle","Rectangle","Hình chữ nhật"
"rectangle_2","This is rectangle shaped.","Đây là hình chữ nhật."
"rectangle_3","Can you teach me how to draw a rectangle?","Bạn có thể dạy tôi làm thế nào để vẽ một hình chữ nhật?"
"star","Star","Ngôi sao"
"star_2","This is star shaped.","Đây là hình ngôi sao."
"star_3","Can you teach me how to draw a star?","Bạn có thể dạy tôi làm thế nào để vẽ một ngôi sao?"
"pentagon","Pentagon","Hình năm góc"
"pentagon_2","This is pentagon shaped.","Đây là hình ngũ giác."
"pentagon_3","Can you teach me how to draw a pentagon?","Bạn có thể dạy tôi làm thế nào để vẽ một hình ngũ giác?"
"hexagon","Hexagon","Hình lục giác"
"hexagon_2","This is hexagon shaped.","Đây là hình lục giác."
"hexagon_3","Can you teach me how to draw a hexagon?","Bạn có thể dạy tôi làm thế nào để vẽ một hình lục giác?"
"cross","Cross","Vượt qua"
"cross_2","This is cross shaped.","Đây là hình chữ thập."
"cross_3","Can you teach me how to draw a cross?","Bạn có thể dạy tôi làm thế nào để vẽ một cây thánh giá?"
"ellipse","Ellipse","Hình elip"
"ellipse_2","This is ellipse shaped.","Đây là hình elip."
"ellipse_3","Can you teach me how to draw a ellipse?","Bạn có thể dạy tôi làm thế nào để vẽ một hình elip?"
"arrow","Arrow","Mũi tên"
"arrow_2","This is arrow shaped.","Đây là hình mũi tên."
"arrow_3","Can you teach me how to draw a arrow?","Bạn có thể dạy tôi làm thế nào để vẽ một mũi tên?"
"crescent","Crescent","hình bán nguyệt"
"crescent_2","This is crescent shaped.","Đây là hình lưỡi liềm."
"crescent_3","Can you teach me how to draw a crescent?","Bạn có thể dạy tôi làm thế nào để vẽ một lưỡi liềm?"
"heart","Heart","Tim"
"heart_2","This is heart shaped.","Đây là hình trái tim."
"heart_3","Can you teach me how to draw a heart?","Bạn có thể dạy tôi làm thế nào để vẽ một trái tim?"
"rhombus","Rhombus","Hình thoi"
"rhombus_2","This is rhombus shaped.","Đây là hình thoi."
"rhombus_3","Can you teach me how to draw a rhombus?","Bạn có thể dạy tôi làm thế nào để vẽ một hình thoi?"
"ring","Ring","Nhẫn"
"ring_2","This is ring shaped.","Đây là chiếc nhẫn hình."
"ring_3","Can you teach me how to draw a ring?","Bạn có thể dạy tôi làm thế nào để vẽ một chiếc nhẫn?"
"semicircle","Semicircle","Hình bán nguyệt"
"semicircle_2","This is semicircle shaped.","Đây là hình bán nguyệt."
"semicircle_3","Can you teach me how to draw a semicircle?","Bạn có thể dạy tôi làm thế nào để vẽ một hình bán nguyệt?"
"trapezoid","Trapezoid","Hình thang"
"trapezoid_2","This is trapezoid shaped.","Đây là hình thang."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Bạn có thể dạy tôi làm thế nào để vẽ một hình thang?"
"cube","Cube","Khối lập phương"
"cube_2","This is cube shaped.","Đây là hình khối."
"cube_3","Can you teach me how to draw a cube?","Bạn có thể dạy tôi làm thế nào để vẽ một khối lập phương?"
"cylinder","Cylinder","Hình trụ"
"cylinder_2","This is cylinder shaped.","Đây là hình trụ."
"cylinder_3","Can you teach me how to draw a cylinder?","Bạn có thể dạy tôi làm thế nào để vẽ một hình trụ?"
