"activities","Activities","गतिविधिहरू"
"egg_6","I want boiled eggs.","मलाई उमालेको अण्डा चाहिन्छ।"
"noodles","Noodles","नूडल्स"
"noodles_2","I like noodles.","मलाई चाउचाउ मन पर्छ।"
"noodles_3","I don't like noodles.","मलाई चाउचाउ मन परेन।"
"noodles_4","I want to eat noodles.","म चाउचाउ खान चाहन्छु।"
"noodles_5","Can you cook noodles for me?","के तपाई मेरो लागि चाउचाउ पकाउन सक्नुहुन्छ?"
"salt","Salt","नुन"
"salt_2","I want salt.","मलाई नुन चाहिन्छ।"
"salt_3","Can you pass me the salt?","के तपाई मलाई नुन दिन सक्नुहुन्छ?"
"salt_4","Food is too salty.","खाना पनि नुनिलो छ।"
"salt_5","My food needs some salt.","मेरो खानालाई केही नुन चाहिन्छ।"
"spices","Spices","मसला"
"spices_2","I like spicy food.","मलाई मसलादार खाना मन पर्छ।"
"spices_3","I don't like spicy food.","मलाई मसलादार खाना मनपर्दैन।"
"spices_4","I want paprika.","मलाई पेपरिका चाहिन्छ।"
"spices_5","I want black pepper.","मलाई कालो मिर्च चाहियो"
"pizza","Pizza","पिज्जा"
"pizza_2","I like pizza.","मलाई पिज्जा मन पर्छ।"
"pizza_3","I don't like pizza.","मलाई पिज्जा मनपर्दैन।"
"pizza_4","I want to eat pizza.","म पिज्जा खान चाहन्छु।"
"pizza_5","Can you cook pizza for me?","के तपाई मेरो लागि पिज्जा पकाउन सक्नुहुन्छ?"
"pizza_6","Can we order pizza?","के हामी पिज्जा अर्डर गर्न सक्दछौं?"
"cheese","Cheese","चीज"
"cheese_2","I like cheese.","मलाई चीज मनपर्छ।"
"cheese_3","I don't like cheese.","मलाई चीज मनपर्दैन।"
"cheese_4","I want to eat cheese.","म पनीर खान चाहन्छु।"
"ice-cream","Ice cream","आइसक्रिम"
"ice-cream_2","I like ice cream.","मलाई आइसक्रिम मनपर्छ।"
"ice-cream_3","I don't like ice cream.","मलाई आइसक्रीम मन पर्दैन।"
"ice-cream_4","I want to eat ice cream.","म आइसक्रिम खान चाहन्छु।"
"ice-cream_5","Can you buy ice cream for me?","के तिमी मेरो लागि आइसक्रिम किन्न सक्छौ?"
"tea","Tea","चिया"
"tea_2","I like tea.","मलाई चिया मन पर्छ।"
"tea_3","I don't like tea.","मलाई चिया मन पर्दैन।"
"tea_4","I want to drink tea.","म चिया पिउन चाहन्छु।"
"tea_5","Can you make tea for me?","के तिमी मेरो लागि चिया बनाउन सक्छौ?"
"coffee","Coffee","कफी"
"coffee_2","I like coffee.","मलाई कफी मन पर्छ।"
"coffee_3","I don't like coffee.","मलाई कफि मन पर्दैन।"
"coffee_4","I want to drink coffee.","म कफी पिउन चाहन्छु।"
"coffee_5","Can you make coffee for me?","के तपाई मेरो लागि कफी बनाउन सक्नुहुन्छ?"
"tomato","Tomato","टमाटर"
"tomato_2","I like tomato.","मलाई टमाटर मन पर्छ।"
"tomato_3","I don't like tomato.","मलाई टमाटर मन पर्दैन।"
"tomato_4","I want to eat tomato.","म टमाटर खान चाहन्छु।"
"cereal","Cereal","खाद्यान्न"
"cereal_2","I like cereal.","मलाई खाद्यान्न मन पर्छ।"
"cereal_3","I don't like cereal.","मलाई खाद्यान्न मन पर्दैन।"
"cereal_4","I want to eat cereal.","म खाद्यान्न खान चाहन्छु।"
"cereal_5","Can you make my cereal?","के तिमी मेरो अन्नको बाली बनाउन सक्छौ?"
"burger","Burger","बर्गर"
"burger_2","I like burger.","मलाई बर्गर मन पर्छ।"
"burger_3","I don't like burger.","मलाई बर्गर मन पर्दैन।"
"burger_4","I want to eat burger.","म बर्गर खान चाहन्छु।"
"burger_5","Can you cook burger for me?","के तपाई मेरो लागि बर्गर पकाउन सक्नुहुन्छ?"
"burger_6","Can we order burger?","के हामी बर्गर अर्डर गर्न सक्छौं?"
"french-fries","French fries","फ्रेन्च फ्राइज"
"french-fries_2","I like french fries.","मलाई फ्रेन्च फ्राइज मन पर्छ।"
"french-fries_3","I don't like french fries.","मलाई फ्रेन्च फ्राइ मनपर्दैन।"
"french-fries_4","I want to eat french fries.","म फ्रेन्च फ्राई खान चाहन्छु।"
"french-fries_5","Can you cook french fries for me?","के तपाई मेरो लागि फ्रेन्च फ्राई पकाउन सक्नुहुन्छ?"
"french-fries_6","Can we order french fries?","के हामी फ्रेन्च फ्राईहरू अर्डर गर्न सक्दछौं?"
"spinach","Spinach","पालक"
"spinach_2","I like spinach.","मलाई पालु like मन पर्छ।"
"spinach_3","I don't like spinach.","मलाई पालक मन पर्दैन।"
"spinach_4","I want to eat spinach.","म पालु .्गो खान चाहन्छु।"
"rice","Rice","चामल"
"rice_2","I like rice.","मलाई चामल मन पर्छ।"
"rice_3","I don't like rice.","मलाई चामल मन पर्दैन।"
"rice_4","I want to eat rice.","म भात खान चाहन्छु।"
"rice_5","Can you cook rice for me?","के तपाई मेरो लागि चामल पकाउन सक्नुहुन्छ?"
"bread","Bread","रोटी"
"bread_2","I like bread.","मलाई रोटी मन पर्छ।"
"bread_3","I don't like bread.","मलाई रोटी मन पर्दैन।"
"bread_4","I want to eat bread.","म रोटी खान चाहन्छु।"
"bread_5","Can you buy some bread?","के तिमी केही रोटी किन्न सक्छौ?"
"pasta","Pasta","पास्ता"
"pasta_2","I like pasta.","मलाई पास्ता मन पर्छ"
"pasta_3","I don't like pasta.","मलाई पास्ता मनपर्दैन"
"pasta_4","I want to eat pasta.","म पास्ता खान चाहन्छु।"
"pasta_5","Can you cook pasta for me?","के तपाई मेरो लागि पास्ता बनाउन सक्नुहुन्छ?"
"sauce","Sauce","सॉस"
"sauce_2","I like sauce.","मलाई चटनी मन पर्छ।"
"sauce_3","I don't like sauce.","मलाई सॉस मन पर्दैन।"
"sauce_4","I want some sauce.","मलाई केही चटनी चाहियो"
"sauce_5","Can I have ketchup?","के म केचअप गर्न सक्छु?"
"sauce_6","Can I have mayonnaise?","के म मेयोनेस पाउन सक्छु?"
"sauce_7","Can I have mustard?","मसँग रायोको छ?"
"sauce_8","Can I have ranch sauce?","के म खेतबारीको चटनी पाउन सक्छु?"
"kebab","Kebab","कबाब"
"kebab_2","I like kebab.","मलाई कबाब मन पर्छ।"
"kebab_3","I don't like kebab.","मलाई कबाब मनपर्दैन।"
"kebab_4","I want to eat kebab.","म कबाब खान चाहन्छु।"
"kebab_5","Can you cook kebab for me?","के तपाई मेरो लागि कबाब पकाउन सक्नुहुन्छ?"
"kebab_6","Can we order kebab?","के हामी कबाबलाई अर्डर गर्न सक्छौं?"
"numbers","Numbers","नम्बरहरू"
"one","One","एक"
"one_2","One comes before two.","एक दुई भन्दा पहिले आउँछ।"
"one_3","One comes after zero.","एउटा शून्य पछि आउँछ।"
"one_4","I want one.","मलाई एउटा चाहिन्छ।"
"two","Two","दुई"
"two_2","Two comes before three.","दुई तीन भन्दा पहिले आउँछन्।"
"two_3","Two comes after one.","दुई पछि एक पछि आउँछ।"
"two_4","I want two.","मलाई दुई चाहिन्छ।"
"three","Three","तीन"
"three_2","Three comes before four.","तीन चार भन्दा पहिले आउँछ।"
"three_3","Three comes after two.","तीन पछि दुई आउँछ।"
"three_4","I want three.","मलाई तीन चाहिन्छ।"
"four","Four","चार"
"four_2","Four comes before five.","चार पाँच भन्दा पहिले आउँछ।"
"four_3","Four comes after three.","चार पछि तीन आउँछ।"
"four_4","I want four.","म चार चाहन्छु।"
"five","Five","पाँच"
"five_2","Five comes before six.","पाँच छ भन्दा पहिले आउँछ।"
"five_3","Five comes after four.","पाँच पछि चार आउँछ।"
"five_4","I want five.","मलाई पाँच चाहिन्छ।"
"six","Six","छ"
"six_2","Six comes before seven.","छ भन्दा सात अगाडि आउँछ।"
"six_3","Six comes after five.","छ पछि पाँच पछि आउँछ।"
"six_4","I want fix.","म ठीक गर्न चाहन्छु।"
"seven","Seven","सात"
"seven_2","Seven comes before eight.","सात आठ भन्दा पहिले आउँछ।"
"seven_3","Seven comes after six.","सात छ पछि आउँछ।"
"seven_4","I want seven.","मलाई सात चाहिन्छ।"
"eight","Eight","आठ"
"eight_2","Eight comes before nine.","आठ नौ भन्दा पहिले आउँछ।"
"eight_3","Eight comes after seven.","आठ पछि सात आउँछ।"
"eight_4","I want eight.","मलाई आठ चाहिन्छ।"
"nine","Nine","नौ"
"nine_2","Nine comes before ten.","दस दश भन्दा पहिले आउँछ।"
"nine_3","Nine comes after eight.","आठ पछि आठ आउँछ।"
"nine_4","I want nine.","मलाई नौ चाहिएको छ।"
"ten","Ten","दस"
"ten_2","Ten comes before eleven.","दस एघार भन्दा पहिले आउँछ।"
"ten_3","Ten comes after nine.","दस नौ पछि आउँछ।"
"ten_4","I want ten.","मलाई दस चाहिन्छ।"
"eleven","Eleven","एघार"
"eleven_2","Eleven comes before thirteen.","एघार तेह्र भन्दा पहिले आउँछ।"
"eleven_3","Eleven comes after ten.","एघार दश पछि आउँछ।"
"eleven_4","I want eleven.","म एघार चाहान्छु।"
"twenty","Twenty","बीस"
"twenty_2","I can count up to twenty.","म बीस सम्म गणना गर्न सक्नुहुन्छ।"
"thirty","Thirty","तीस"
"thirty_2","I can count up to thirty.","म तीस सम्म गणना गर्न सक्नुहुन्छ।"
"forty","Forty","चालीस"
"forty_2","I can count up to forty.","म चालीस सम्म गणना गर्न सक्छु।"
"fifty","Fifty","पचास"
"fifty_2","I can count up to fifty.","म पचास सम्म गणना गर्न सक्नुहुन्छ।"
"hundred","Hundred","सयौं"
"hundred_2","I can count up to hundred.","म सय सम्म गणना गर्न सक्दछु।"
"thousand","Thousand","हजार"
"thousand_2","I can count up to thousand.","म हजार सम्म गणना गर्न सक्छु।"
"calculator","Calculator","क्यालकुलेटर"
"calculator_2","I want to use a calculator.","म क्यालकुलेटर प्रयोग गर्न चाहन्छु।"
"calculator_3","Can you teach me how to use a calculator?","के तपाई मलाई क्यालकुलेटर को उपयोग कसरी गर्न सक्नुहुन्छ भनेर सिकाउन सक्नुहुन्छ?"
"calculator_4","Can I barrow your calculator?","के म तपाईंको क्यालकुलेटर बेर गर्न सक्छु?"
"people","People","मान्छे"
"mother","Mother","आमा"
"mother_2","Mommy!","आमा!"
"mother_3","I love my mother.","म मेरो आमालाई माया गर्छु।"
"mother_4","I love you mom.","म तपाईँलाई माया गर्छु आमा।"
"mother_5","I miss my mom.","मलाई मेरी आमा याद आउँछ।"
"mother_6","Thank you for taking care of me.","मेरो ख्याल राख्नु भएकोमा धन्यवाद।"
"mother_7","She is my mom.","उनी मेरी आमा हुन्।"
"mother_8","Can you help me find my mother?","के तपाईले मेरी आमालाई भेट्टाउन सक्नुहुन्छ?"
"father","Father","बुबा"
"father_2","Daddy!","बुबा!"
"father_3","I love my father.","म मेरो बुवालाई माया गर्छु।"
"father_4","I love you dad.","म तपाइलाई माया गर्छु बाबा।"
"father_5","I miss my dad.","मलाई मेरो बुवा याद आयो"
"father_6","Thank you for taking care of me.","मेरो ख्याल राख्नु भएकोमा धन्यवाद।"
"father_7","He is my dad.","ऊ मेरो बुवा हो।"
"father_8","Can you help me find my father?","के तपाईं मलाई मेरो बुबा खोज्न सहयोग गर्न सक्नुहुन्छ?"
"parents","Parents","अभिभावक"
"parents_2","I love my parents.","म मेरा आमा बुबालाई माया गर्दछु।"
"parents_3","I love my parents.","म मेरा आमा बुबालाई माया गर्दछु।"
"parents_4","I miss my parents.","मलाई मेरो आमाबुवा याद आउँछ।"
"parents_5","They are my parents.","तिनीहरू मेरा बाबुआमा हुन्।"
"parents_6","My parents are taking care of me.","मेरा बाबुआमाले मेरो हेरचाह गर्दैछन्।"
"parents_8","Can you help me find my parents?","के तपाई मलाई मेरा बाबुआमालाई भेट्न मद्दत गर्न सक्नुहुन्छ?"
"grandparents","Grandparents","हजुरबा हजुरआमा"
"grandparents_2","I love my grandparents.","म मेरो हजुरबा हजुरआमालाई माया गर्छु।"
"grandparents_3","I love you grandparents.","म तिमीलाई हजुरबा हजुरआमालाई माया गर्छु।"
"grandparents_4","I miss my grandparents.","मलाई मेरो हजुरबा हजुरआमा याद आउँछ।"
"grandparents_5","They are my grandparents.","तिनीहरू मेरो हजुरबा हजुरआमा हुन्।"
"grandparents_6","My grandparents are taking care of me.","मेरो हजुरबा हजुरआमाले मलाई हेरचाह गर्दैछन्।"
"grandparents_8","Can you help me find my grandparents?","के तपाईं मलाई मेरो हजुरबा हजुरआमा भेट्टाउन सक्नुहुन्छ?"
"brother","Brother","भाई"
"brother_2","I love my brother.","म मेरो भाइलाई माया गर्छु।"
"brother_3","I love you brother.","म तिमीलाई माया गर्छु भाई।"
"brother_4","I miss my brother.","मलाई मेरो भाई याद आउँछ।"
"brother_5","He is my brother.","उ मेरो भाइ हो।"
"brother_6","My brother is taking care of me.","मेरो भाईले मेरो हेरचाह गरिरहेको छ।"
"brother_8","Can you help me find my brother?","के तपाई मलाई मेरो भाई खोज्न सहयोग गर्न सक्नुहुन्छ?"
"sister","Sister","बहिनी"
"sister_2","I love my sister.","म मेरो बहिनीलाई माया गर्छु।"
"sister_3","I love you sister.","म तिमीलाई माया गर्छु बहिनी।"
"sister_4","I miss my sister.","मलाई मेरो बहिनी याद आउँछ।"
"sister_5","She is my sister.","उनी मेरी बहिनी हुन्।"
"sister_6","My sister is taking care of me.","मेरी बहिनीले मेरो हेरचाह गरिरहनुभएको छ।"
"sister_8","Can you help me find my sister?","के तिमी मेरो बहिनीलाई भेट्टाउन मद्दत गर्न सक्छौ?"
"uncle","Uncle","काका"
"uncle_2","I love my uncle.","म मेरो काकालाई माया गर्छु।"
"uncle_3","I love you uncle.","म तिमीलाई माया गर्छु अंकल।"
"uncle_4","I miss my uncle.","मलाई मेरो काका याद आउँछ।"
"uncle_5","He is my uncle.","उहाँ मेरो काका हुनुहुन्छ।"
"uncle_8","Can you help me find my uncle?","के तपाई मलाई मेरो काका फेला पार्न मद्दत गर्न सक्नुहुन्छ?"
"aunt","Aunt","काकी"
"aunt_2","I love my aunt.","म मेरो बुआलाई माया गर्छु"
"aunt_3","I love you aunt.","म तिमीलाई बुआलाई माया गर्छु"
"aunt_4","I miss my aunt.","मलाई मेरो बुआइ याद आउँछ।"
"aunt_5","She is my aunt.","उनी मेरी बुआ हुन्।"
"aunt_8","Can you help me find my aunt?","के तपाईं मलाई मेरो काकी पत्ता लगाउन सहयोग गर्न सक्नुहुन्छ?"
"teacher","Teacher","शिक्षक"
"teacher_2","I love my teacher.","म मेरो शिक्षकलाई माया गर्छु।"
"teacher_3","I love you teacher.","म तिमीलाई शिक्षक मन पराउँछु।"
"teacher_4","I don't like my teacher.","मलाई मेरो शिक्षक मन पर्दैन।"
"teacher_5","I miss my teacher.","मलाई मेरो शिक्षक याद आउँछ।"
"teacher_6","Thank you for the lesson.","पाठको लागि धन्यबाद।"
"therapist","Therapist","चिकित्सक"
"therapist_2","I love my therapist.","म मेरो थेरापिस्टलाई माया गर्छु।"
"therapist_3","I love you therapist.","म तिमीलाई चिकित्सकलाई माया गर्छु।"
"therapist_4","I don't like my therapist.","मलाई मेरो थेरापिस्ट मनपर्दैन।"
"therapist_5","I miss my therapist.","मलाई मेरो चिकित्सक याद आउँछ।"
"therapist_6","Thank you for the session.","सत्रको लागि धन्यवाद।"
"doctor","Doctor","डाक्टर"
"doctor_2","I love my doctor.","मलाई मेरो डाक्टर मन पर्छ।"
"doctor_3","I love you doctor.","म तिमीलाई डाक्टरलाई माया गर्छु।"
"doctor_4","I don't like my doctor.","मलाई मेरो डाक्टर मन परेन।"
"doctor_5","I miss my doctor.","मलाई मेरो डाक्टर याद आउँछ।"
"doctor_6","Thank you for healing me.","मलाई निको पार्नुभएकोमा धन्यवाद।"
"friends","Friends","साथीहरु"
"friends_2","I love my friends.","म मेरा साथीहरूलाई माया गर्छु।"
"friends_3","Do you want to be my friend?","के तिमी मेरो साथी बन्न चाहन्छौ?"
"friends_4","I don't like my friends.","मलाई मेरा साथीहरू मनपर्दैन"
"friends_5","I miss my friends.","मलाई मेरो साथी याद छ।"
"friends_6","They are my friends.","तिनीहरू मेरा साथी हुन्।"
"friends_7","Thank you for playing with me.","मसँग खेल्नु भएकोमा धन्यवाद।"
"cousins","Cousins","भतिजा"
"cousins_2","I love my cousins.","मलाई मेरो काचेजहरू मन पर्छ।"
"cousins_3","I don't have cousins.","मसँग सानी भाइबहिनी छैन।"
"cousins_4","I miss my cousins.","मलाई मेरो चचेरो भाईहरू सम्झन्छु।"
"cousins_5","They are my cousins.","तिनीहरू मेरो भतिजाहरू हुन्।"
"grandmother","Grandmother","हजुरआमा"
"grandmother_2","I love my grandmother.","म मेरो हजुरआमालाई माया गर्छु"
"grandmother_3","I love you grandma.","म तिमीलाई हजुरआमालाई माया गर्छु।"
"grandmother_4","I miss my grandma.","मलाई मेरो हजुरआमा याद आउँछ।"
"grandmother_5","She is my grandma.","उनी मेरो हजुरआमा हुन्।"
"grandfather","Grandfather","हजुरबुवा"
"grandfather_2","I love my grandfather.","म मेरो हजुरबुबालाई माया गर्छु।"
"grandfather_3","I love you grandpa.","म तिमीलाई हजुरबुबालाई माया गर्छु।"
"grandfather_4","I miss my grandpa.","मलाई मेरो हजुरबुबा याद आउँछ।"
"grandfather_5","He is my grandpa.","उहाँ मेरो हजुरबुबा हुनुहुन्छ।"
"stepfather","Stepfather","सौतेला बुबा"
"stepfather_2","I love my stepfather.","म मेरो सौतेनी बुवालाई माया गर्छु।"
"stepfather_3","He is my stepfather.","उहाँ मेरो सौतेनी बुबा हुनुहुन्छ।"
"stepfather_4","I miss my stepfather.","मलाई मेरो सौतेलो बुबा याद छ।"
"stepfather_5","He is my stepfather.","उहाँ मेरो सौतेनी बुबा हुनुहुन्छ।"
"stepmother","Stepmother","सौतेनी आमा"
"stepmother_2","I love my stepmother.","म मेरो सौतेनी आमालाई माया गर्छु।"
"stepmother_3","She is my stepmother.","उनी मेरी सौतेनी आमा हुन्।"
"stepmother_4","I miss my stepmother.","मलाई मेरो सौतेनी आमा याद आउँछ।"
"stepmother_5","She is my stepmother.","उनी मेरी सौतेनी आमा हुन्।"
"stepsister","Stepsister","सौतेनी बहिनी"
"stepsister_2","I love my stepsister.","मलाई मेरो सौतेनी बहिनी मन पर्छ।"
"stepsister_3","She is my stepsister.","उनी मेरो सौतेनी बहिनी हुन्।"
"stepsister_4","I miss my stepsister.","मलाई मेरो सौतेनी बहिनी याद आउँछ।"
"stepsister_5","She is my stepsister.","उनी मेरो सौतेनी बहिनी हुन्।"
"stepbrother","Stepbrother","सौतेनी भाइ"
"stepbrother_2","I love my stepbrother.","मलाई मेरो सौतेनी भाइ मन पर्छ।"
"stepbrother_3","He is my stepbrother.","उहाँ मेरो सौतेनी भाई हुनुहुन्छ।"
"stepbrother_4","I miss my stepbrother.","मलाई मेरो सौतेनी भाइ याद छ।"
"stepbrother_5","He is my stepbrother.","उहाँ मेरो सौतेनी भाई हुनुहुन्छ।"
"half-brother","Half brother","सौतेनी भाई"
"half-brother_2","I love my half brother.","म मेरो सौतेनी भाइलाई माया गर्छु।"
"half-brother_3","He is my half brother.","ऊ मेरो सौतेनी भाइ हो।"
"half-brother_4","I miss my half brother.","मलाई मेरो सौतेनी भाइ याद आउँछ।"
"half-brother_5","He is my half brother.","ऊ मेरो सौतेनी भाइ हो।"
"half-sister","Half sister","आधा बहिनी"
"half-sister_2","I love my half sister.","म मेरो सौतेनी बहिनीलाई माया गर्छु।"
"half-sister_3","She is my half sister.","उनी मेरो सौतेनी बहिनी हुन्।"
"half-sister_4","I miss my half sister.","मलाई मेरो सौतेनी बहिनी याद आउँछ।"
"half-sister_5","She is my half sister.","उनी मेरो सौतेनी बहिनी हुन्।"
"quarantine","Quarantine","क्वारेन्टिन"
"protective-mask","Protective mask","सुरक्षात्मक मास्क"
"stay-home","Stay home","घरमै बस"
"toilet-paper","Toilet paper","शौचालय कागज"
"sprayer","Sprayer","स्प्रेयर"
"disinfectant","Disinfectant","कीटाणुनाशक"
"thermometer","Thermometer","थर्मामीटर"
"coughing","Coughing","खोकी"
"medical-assistance","Medical assistance","चिकित्सा सहयोग"
"hand-sanitizer","Hand sanitizer","ह्यान्ड स्यानीटाइजर"
"gloves","Gloves","पन्जा"
"social-distancing","Social distancing","सामाजिक दुरी"
"mouth-mask","Mouth mask","मुख मास्क"
"pandemic","Pandemic","माहामारी"
"working-at-home","Working at home","घरमा काम गर्दै"
"wet-wipes","Wet wipes","भिजेको पोंछ"
"first-aid-kit","First aid kit","प्राथमिक उपचारको सामान"
"fitness","Fitness","स्वास्थ्य"
"e-learning","E-learning","ई-शिक्षा"
"virus","Virus","भाइरस"
"cleaning","Cleaning","सफा गर्दै"
"school","School","स्कूल"
"desk","Desk","डेस्क"
"desk_2","Can I use this desk?","के म यो डेस्क प्रयोग गर्न सक्छु?"
"desk_3","Which desk is mine?","कुन डेस्क मेरो हो?"
"desk_4","I spilled on my desk.","मैले मेरो डेस्कमा स्पिल गरें।"
"desk_5","Don't scratch your desk.","आफ्नो डेस्क खरोंच नगर्नुहोस्।"
"chair","Chair","कुर्सी"
"chair_2","Can I sit with you?","म तिमी संग बस्न सक्छु?"
"chair_3","Which chair is mine?","कुन कुर्सी मेरो हो?"
"chair_4","Is this chair taken?","यो कुर्सी लिइएको छ?"
"chair_5","I spilled on my chair.","म मेरो कुर्सीमा घुमायो।"
"book","Book","पुस्तक"
"book_2","Textbook","पाठ्यपुस्तक"
"book_3","Workbook","कार्यपुस्तक"
"book_4","Reading a book.","किताब पढ्दै।"
"book_5","Can I borrow your book?","के म तपाईंको किताब उधार लिन सक्छु?"
"book_6","Which page are we at?","हामी कुन पृष्ठमा छौ?"
"book_7","Flip the page.","पृष्ठ फ्लिप गर्नुहोस्।"
"book_8","I lost my book.","मैले मेरो किताब हराएँ।"
"notebook","Notebook","नोटबुक"
"notebook_2","Taking notes.","नोटहरू लिदै।"
"notebook_3","I'm taking notes.","म नोटहरू लिदै छु।"
"notebook_4","I lost my notebook.","मैले मेरो नोटबुक हराएँ।"
"backpack","Backpack","ब्याकप्याक"
"backpack_2","Carrying my backpack.","मेरो झोला बोक्दै।"
"backpack_3","Putting my books in my backpack.","मेरा पुस्तकहरू मेरो झोलामा राख्दै।"
"backpack_4","I need a new backpack.","मलाई नयाँ ब्याकप्याक चाहिएको छ।"
"backpack_5","Thank you for carrying my backpack.","मेरो ब्याकप्याक बोक्नका लागि धन्यबाद।"
"backpack_6","I lost my backpack.","मैले मेरो झोला हरायो।"
"backpack_7","My backpack is heavy.","मेरो ब्याकप्याक भारी छ।"
"blackboard","Blackboard","ब्ल्याकबोर्ड"
"blackboard_2","Look at the blackboard.","ब्ल्याकबोर्डमा हेर्नुहोस्।"
"blackboard_3","Cleaning the blackboard.","ब्ल्याकबोर्ड सफा गर्दै।"
"blackboard_4","Solving the problem on the blackboard.","ब्ल्याकबोर्डमा समस्या समाधान गर्दै।"
"blackboard_5","Taking note on the blackboard.","ब्ल्याकबोर्डमा नोट लिँदै।"
"blackboard_6","Give me a chalk.","मलाई एउटा चक दिनुहोस्"
"teacher_7","I don't like this topic.","मलाई यो विषय मनपर्दैन।"
"teacher_8","Thank you for the lesson.","पाठको लागि धन्यबाद।"
"school-bus","School bus","विद्यालयको गाडी"
"school-bus_2","School bus is coming.","स्कूल बस आउँदैछ।"
"school-bus_3","Can I sit next to you?","म तपाइँको छेउमा बस्न सक्छु?"
"school-bus_4","Thank you bus driver!","धन्यवाद बस चालक!"
"school-bus_5","School bus was late.","स्कूल बस ढिला थियो।"
"pencil","Pencil","पेन्सिल"
"pencil_2","I'm writing.","म लेख्दै छु।"
"pencil_3","I'm learning to write.","म लेख्न सिक्दै छु।"
"pencil_4","I need a new pencil.","मलाई नयाँ पेन्सिल चाहिन्छ।"
"pencil_5","Can I borrow your pencil?","के म तपाइँको पेन्सिल उधार लिन सक्छु?"
"pencil_6","I lost my pencil.","मैले मेरो पेन्सिल हरायो।"
"eraser","Eraser","इरेजर"
"eraser_2","I'm erasing.","म मेटाउँदै छु।"
"eraser_3","I need a new eraser.","मलाई नयाँ इरेजर चाहिन्छ।"
"eraser_4","Can I borrow your eraser?","के म तपाईंको इरेजर उधार लिन सक्छु?"
"eraser_5","I lost my eraser.","मैले मेरो इरेजर हराएँ।"
"ruler","Ruler","शासक"
"ruler_2","I'm measuring.","म नाप्दै छु।"
"ruler_3","I need a new ruler.","मलाई नयाँ शासक चाहियो।"
"ruler_4","Can I borrow your ruler?","के म तपाईंको शासकलाई orrowण लिन सक्छु?"
"ruler_5","I lost my ruler.","मैले मेरो शासक गुमाएँ।"
"sharpener","Sharpener","शार्पनर"
"sharpener_2","I'm sharpening my pencil.","म मेरो पेन्सिल तेज गर्दैछु।"
"sharpener_3","I need a new sharpener.","मलाई नयाँ शार्पनर चाहिन्छ।"
"sharpener_4","Can I borrow your sharpener?","के म तपाईंको शार्पनर उधार लिन सक्छु?"
"sharpener_5","I lost my sharpener.","मैले मेरो शार्नर हरायो।"
"mathematics","Mathematics","गणित"
"mathematics_2","I like mathematics.","मलाई गणित मन पर्छ।"
"mathematics_3","I want to study mathematics.","म गणित पढ्न चाहन्छु।"
"mathematics_4","I don't like mathematics.","मलाई गणित मन पर्दैन।"
"mathematics_5","When is mathematics class?","गणित कक्षा कहिले हुन्छ?"
"mathematics_6","Can you help me with my mathematics homework?","तपाईं मेरो गणित होमवर्क को लागी मद्दत गर्न सक्नुहुन्छ?"
"literature","Literature","साहित्य"
"literature_2","I like literature.","मलाई साहित्य मन पर्छ।"
"literature_3","I want to study literature.","म साहित्य पढ्न चाहन्छु।"
"literature_4","I don't like literature.","मलाई साहित्य मन पर्दैन।"
"literature_5","When is literature class?","साहित्य कक्षा कहिले हुन्छ?"
"literature_6","Can you help me with my literature homework?","के तपाई मेरो साहित्यिक होमवर्कको लागि मद्दत गर्न सक्नुहुन्छ?"
"science","Science","विज्ञान"
"science_2","I like science.","मलाई विज्ञान मन पर्छ।"
"science_3","I want to study science.","म विज्ञान पढ्न चाहन्छु।"
"science_4","I don't like science.","मलाई विज्ञान मन पर्दैन।"
"science_5","When is science class?","विज्ञान कक्षा कहिले हुन्छ?"
"science_6","Can you help me with my science homework?","के तपाइँ मेरो विज्ञान होमवर्कको साथ मलाई मद्दत गर्न सक्नुहुन्छ?"
"art-class","Art class","कला वर्ग"
"art-class_2","I like art class.","मलाई आर्ट क्लास मनपर्छ।"
"art-class_3","I want to practice art skills.","म कला सीप अभ्यास गर्न चाहन्छु।"
"art-class_4","I don't like art class.","मलाई आर्ट क्लास मनपर्दैन।"
"art-class_5","When is art class?","कला वर्ग कहिले हो?"
"art-class_6","Can you help me with my art class homework?","के तपाईं मेरो कला वर्ग होमवर्कको साथ मद्दत गर्न सक्नुहुन्छ?"
"music-class","Music class","संगीत वर्ग"
"music-class_2","I like music class.","मलाई संगीत कक्षा मनपर्छ।"
"music-class_3","I want to practice music skills.","म संगीत कौशल अभ्यास गर्न चाहन्छु।"
"music-class_4","I don't like music class.","मलाई संगीत वर्ग मनपर्दैन।"
"music-class_5","When is music class?","संगीत वर्ग कहिले हुन्छ?"
"music-class_6","Can you help me with my music class homework?","के तपाइँ मेरो संगीत वर्ग होमवर्कको साथ मलाई मद्दत गर्न सक्नुहुन्छ?"
"geography","Geography","भूगोल"
"geography_2","I like geography.","मलाई भूगोल मनपर्छ।"
"geography_3","I want to study geography.","म भूगोल अध्ययन गर्न चाहन्छु।"
"geography_4","I don't like geography.","मलाई भूगोल मनपर्दैन।"
"geography_5","When is geography?","भूगोल कहिले हुन्छ?"
"geography_6","Can you help me with my geography homework?","के तपाइँ मेरो भूगोल होमवर्कमा मद्दत गर्न सक्नुहुन्छ?"
"telescope","Telescope","टेलिस्कोप"
"telescope_2","I'm using the telescope.","म टेलिस्कोप प्रयोग गर्दैछु।"
