"activities","Activities","Lelakon"
"brother_6","My brother is taking care of me.","Adhiku lagi ngurus aku."
"brother_8","Can you help me find my brother?","Apa sampeyan bisa ngrewangi nggoleki sedulurku?"
"sister","Sister","Adhine"
"sister_2","I love my sister.","Aku tresna marang adhiku."
"sister_3","I love you sister.","Aku tresna sampeyan sadulur."
"sister_4","I miss my sister.","Aku kangen mbakyuku."
"sister_5","She is my sister.","Dheweke dadi adhiku."
"sister_6","My sister is taking care of me.","Adhiné nggayuh aku."
"sister_8","Can you help me find my sister?","Sampeyan bisa mbantu aku nemokake adhine?"
"uncle","Uncle","Paman"
"uncle_2","I love my uncle.","Aku seneng karo paklikku."
"uncle_3","I love you uncle.","Aku tresna marang pamanmu."
"uncle_4","I miss my uncle.","Aku kangen karo paman."
"uncle_5","He is my uncle.","Dheweke paman."
"uncle_8","Can you help me find my uncle?","Sampeyan bisa mbantu aku golek paman?"
"aunt","Aunt","Bibi"
"aunt_2","I love my aunt.","Aku lik."
"aunt_3","I love you aunt.","Aku lik karo sampeyan."
"aunt_4","I miss my aunt.","Aku kangen bibi."
"aunt_5","She is my aunt.","Dheweke lik."
"aunt_8","Can you help me find my aunt?","Sampeyan bisa mbantu aku golek lik?"
"teacher","Teacher","Guru"
"teacher_2","I love my teacher.","Aku tresna marang gurune."
"teacher_3","I love you teacher.","Aku tresna sampeyan guru."
"teacher_4","I don't like my teacher.","Aku ora seneng karo gurune."
"teacher_5","I miss my teacher.","Aku kangen gurune."
"teacher_6","Thank you for the lesson.","Matur nuwun kanggo pelajaran."
"therapist","Therapist","Ahli terapi"
"therapist_2","I love my therapist.","Aku tukang terapi."
"therapist_3","I love you therapist.","Aku terapi sampeyan."
"therapist_4","I don't like my therapist.","Aku ora seneng karo terapi."
"therapist_5","I miss my therapist.","Aku kangen terapi."
"therapist_6","Thank you for the session.","Matur suwun sesi."
"doctor","Doctor","Dhokter"
"doctor_2","I love my doctor.","Aku tresna karo dokter."
"doctor_3","I love you doctor.","Aku tresna sampeyan dhokter."
"doctor_4","I don't like my doctor.","Aku ora seneng karo dokter."
"doctor_5","I miss my doctor.","Aku kangen dokter."
"doctor_6","Thank you for healing me.","Matur nuwun kanggo marasake awakku."
"friends","Friends","Kanca"
"friends_2","I love my friends.","Aku seneng karo kanca-kanca."
"friends_3","Do you want to be my friend?","Apa sampeyan pengin dadi kancaku?"
"friends_4","I don't like my friends.","Aku ora seneng karo kanca-kancaku."
"friends_5","I miss my friends.","Aku kangen karo kanca-kanca."
"friends_6","They are my friends.","Dheweke kanca-kancaku."
"friends_7","Thank you for playing with me.","Matur nuwun kanggo muter karo aku."
"cousins","Cousins","Kandhang"
"cousins_2","I love my cousins.","Aku tresna karo sepupu."
"cousins_3","I don't have cousins.","Aku ora duwe sepupu."
"cousins_4","I miss my cousins.","Aku kangen sedulurku."
"cousins_5","They are my cousins.","Dheweke sepupu."
"grandmother","Grandmother","Eyang Eyang"
"grandmother_2","I love my grandmother.","Aku seneng karo simbah."
"grandmother_3","I love you grandma.","Aku tresna sampeyan mbah."
"grandmother_4","I miss my grandma.","Aku kangen mbah."
"grandmother_5","She is my grandma.","Dheweke mbahku."
"grandfather","Grandfather","Eyang"
"grandfather_2","I love my grandfather.","Aku tresna karo mbahku."
"grandfather_3","I love you grandpa.","Aku tresna sampeyan mbah."
"grandfather_4","I miss my grandpa.","Aku kangen mbah."
"grandfather_5","He is my grandpa.","Dheweke mbahku."
"stepfather","Stepfather","Ibu tiri"
"stepfather_2","I love my stepfather.","Aku tresno karo bapak tiri."
"stepfather_3","He is my stepfather.","Dheweke yaiku bapak tiriku."
"stepfather_4","I miss my stepfather.","Aku kangen bapak tiri."
"stepfather_5","He is my stepfather.","Dheweke yaiku bapak tiriku."
"stepmother","Stepmother","Ibu tiri"
"stepmother_2","I love my stepmother.","Aku seneng karo ibu tiri."
"stepmother_3","She is my stepmother.","Dheweke ibu tiri."
"stepmother_4","I miss my stepmother.","Aku kangen ibu tiri."
"stepmother_5","She is my stepmother.","Dheweke ibu tiri."
"stepsister","Stepsister","Tindakake"
"stepsister_2","I love my stepsister.","Aku seneng duwe langkah."
"stepsister_3","She is my stepsister.","Dheweke minangka langkah sing bener."
"stepsister_4","I miss my stepsister.","Aku kangen langkah-langkah."
"stepsister_5","She is my stepsister.","Dheweke minangka langkah sing bener."
"stepbrother","Stepbrother","Stepbrother"
"stepbrother_2","I love my stepbrother.","Aku seneng karo tangga teparo."
"stepbrother_3","He is my stepbrother.","Dheweke minangka tangga tiriku."
"stepbrother_4","I miss my stepbrother.","Aku kangen tangga tiri."
"stepbrother_5","He is my stepbrother.","Dheweke minangka tangga tiriku."
"half-brother","Half brother","Sadhèrèk setengah"
"half-brother_2","I love my half brother.","Aku tresno karo sedulurku."
"half-brother_3","He is my half brother.","Dheweke minangka sedulurku sing separo."
"half-brother_4","I miss my half brother.","Aku kangen sedulurku setengah sedulur."
"half-brother_5","He is my half brother.","Dheweke minangka sedulurku sing separo."
"half-sister","Half sister","Adhine separo"
"half-sister_2","I love my half sister.","Aku tresno karo sedulurku separo."
"half-sister_3","She is my half sister.","Dheweke sedulurku setengah tuwa."
"half-sister_4","I miss my half sister.","Aku kangen sedulurku setengah tuwa."
"half-sister_5","She is my half sister.","Dheweke sedulurku setengah tuwa."
"quarantine","Quarantine","Quarantine"
"protective-mask","Protective mask","Topeng pangreksan"
"stay-home","Stay home","Tekan omah"
"toilet-paper","Toilet paper","Tisu WC"
"sprayer","Sprayer","Sprayer"
"disinfectant","Disinfectant","Disinfektan"
"thermometer","Thermometer","Termometer"
"coughing","Coughing","Watuk"
"medical-assistance","Medical assistance","Bantuan medis"
"hand-sanitizer","Hand sanitizer","Sanitizer tangan"
"gloves","Gloves","Sarung Tangan"
"social-distancing","Social distancing","Jarak sosial"
"mouth-mask","Mouth mask","Topeng tutuk"
"pandemic","Pandemic","Pandemi"
"working-at-home","Working at home","Makarya ing omah"
"wet-wipes","Wet wipes","Wes garing"
"first-aid-kit","First aid kit","Kit pertolongan pertama"
"fitness","Fitness","Kesehatan"
"e-learning","E-learning","E-learning"
"virus","Virus","Virus"
"cleaning","Cleaning","Reresik"
"school","School","Sekolah"
"desk","Desk","Mejo"
"desk_2","Can I use this desk?","Apa bisa nggunakake mejo iki?"
"desk_3","Which desk is mine?","Meja endi?"
"desk_4","I spilled on my desk.","Aku tumpah ing mejaku."
"desk_5","Don't scratch your desk.","Aja ngeruk meja sampeyan."
"chair","Chair","Kursi"
"chair_2","Can I sit with you?","Aku bisa njagong karo sampeyan?"
"chair_3","Which chair is mine?","Kursi sing endi?"
"chair_4","Is this chair taken?","Iki kursi dijupuk?"
"chair_5","I spilled on my chair.","Aku tumpah ing kursi."
"book","Book","Buku"
"book_2","Textbook","Buku Teks"
"book_3","Workbook","Buku kerja"
"book_4","Reading a book.","Maca buku."
"book_5","Can I borrow your book?","Apa bisa nyilih buku sampeyan?"
"book_6","Which page are we at?","Kaca sing kita?"
"book_7","Flip the page.","Flip kaca."
"book_8","I lost my book.","Aku ilang buku."
"notebook","Notebook","Notebook"
"notebook_2","Taking notes.","Njupuk cathetan."
"notebook_3","I'm taking notes.","Aku njupuk cathetan."
"notebook_4","I lost my notebook.","Aku ilang notebook."
"backpack","Backpack","Tas ransel"
"backpack_2","Carrying my backpack.","Nggawa tas ranselku."
"backpack_3","Putting my books in my backpack.","Nempelake buku ing tas ransel."
"backpack_4","I need a new backpack.","Aku butuh tas ransel sing anyar."
"backpack_5","Thank you for carrying my backpack.","Matur nuwun kanggo nggawa tas ransel."
"backpack_6","I lost my backpack.","Aku ilang tas ransel."
"backpack_7","My backpack is heavy.","Tas ranselku abot."
"blackboard","Blackboard","Blackboard"
"blackboard_2","Look at the blackboard.","Deleng ing papan tulis."
"blackboard_3","Cleaning the blackboard.","Ngresiki papan keranjang."
"blackboard_4","Solving the problem on the blackboard.","Ngatasi masalah ing papan tulis."
"blackboard_5","Taking note on the blackboard.","Nulis cathetan ing papan tulis."
"blackboard_6","Give me a chalk.","Menehi kapur."
"teacher_7","I don't like this topic.","Aku ora seneng topik iki."
"teacher_8","Thank you for the lesson.","Matur nuwun kanggo pelajaran."
"school-bus","School bus","Bis sekolah"
"school-bus_2","School bus is coming.","Bis sekolah wis teka."
"school-bus_3","Can I sit next to you?","Aku bisa lungguh ing jejere?"
"school-bus_4","Thank you bus driver!","Matur nuwun driver bis!"
"school-bus_5","School bus was late.","Bus sekolah wis telat."
"pencil","Pencil","Pencil"
"pencil_2","I'm writing.","Aku nulis."
"pencil_3","I'm learning to write.","Aku sinau nulis."
"pencil_4","I need a new pencil.","Aku butuh potlot anyar."
"pencil_5","Can I borrow your pencil?","Apa aku bisa nyilih potlot?"
"pencil_6","I lost my pencil.","Aku ilang pensil."
"eraser","Eraser","Eraser"
"eraser_2","I'm erasing.","Aku bakal mbusak."
"eraser_3","I need a new eraser.","Aku butuh pambasmi anyar."
"eraser_4","Can I borrow your eraser?","Apa aku bisa nyilih penghapus sampeyan?"
"eraser_5","I lost my eraser.","Aku ilang eraser."
"ruler","Ruler","Panguasa"
"ruler_2","I'm measuring.","Aku ngukur."
"ruler_3","I need a new ruler.","Aku butuh pimpinan anyar."
"ruler_4","Can I borrow your ruler?","Apa aku bisa nyilih sampeyan?"
"ruler_5","I lost my ruler.","Aku ilang pamrentah."
"sharpener","Sharpener","Sharpener"
"sharpener_2","I'm sharpening my pencil.","Aku ngasah potlotku."
"sharpener_3","I need a new sharpener.","Aku butuh panyambung anyar."
"sharpener_4","Can I borrow your sharpener?","Apa aku bisa nyilihake alat panyambungmu?"
"sharpener_5","I lost my sharpener.","Aku dadi luwih cetha."
"mathematics","Mathematics","Matematika"
"mathematics_2","I like mathematics.","Aku seneng matématika."
"mathematics_3","I want to study mathematics.","Aku kepengin sinau babagan matématika."
"mathematics_4","I don't like mathematics.","Aku ora seneng matématika."
"mathematics_5","When is mathematics class?","Nalika kelas matematika?"
"mathematics_6","Can you help me with my mathematics homework?","Apa sampeyan bisa mbantu aku kerja ing babagan matématika?"
"literature","Literature","Sastra"
"literature_2","I like literature.","Aku seneng sastra."
"literature_3","I want to study literature.","Aku pingin sinau sastra."
"literature_4","I don't like literature.","Aku ora seneng karo sastra."
"literature_5","When is literature class?","Kapan kelas sastra?"
"literature_6","Can you help me with my literature homework?","Apa sampeyan bisa mbantu aku kerja ing karya sastra?"
"science","Science","Ilmu"
"science_2","I like science.","Aku seneng ilmu."
"science_3","I want to study science.","Aku pingin sinau ilmu."
"science_4","I don't like science.","Aku ora seneng ilmu."
"science_5","When is science class?","Kapan kelas ilmu?"
"science_6","Can you help me with my science homework?","Apa sampeyan bisa ngewangi aku kerja ing ilmu ilmiah?"
"art-class","Art class","Kelas seni"
"art-class_2","I like art class.","Aku seneng kelas seni."
"art-class_3","I want to practice art skills.","Aku pengin latihan keterampilan seni."
"art-class_4","I don't like art class.","Aku ora seneng kelas seni."
"art-class_5","When is art class?","Kapan kelas seni?"
"art-class_6","Can you help me with my art class homework?","Sampeyan bisa mbantu aku kerja ing kelas seni seni?"
"music-class","Music class","Kelas musik"
"music-class_2","I like music class.","Aku seneng kelas musik."
"music-class_3","I want to practice music skills.","Aku pengin latihan keterampilan musik."
"music-class_4","I don't like music class.","Aku ora seneng kelas musik."
"music-class_5","When is music class?","Kapan kelas musik?"
"music-class_6","Can you help me with my music class homework?","Apa sampeyan bisa mbantu aku kerja ing kelas musik?"
"geography","Geography","Geografi"
"geography_2","I like geography.","Aku seneng geografi."
"geography_3","I want to study geography.","Aku kepengin sinau babagan geografi."
"geography_4","I don't like geography.","Aku ora seneng geografi."
"geography_5","When is geography?","Kapan geografi?"
"geography_6","Can you help me with my geography homework?","Sampeyan bisa mbantu aku kerja ing geografi?"
"telescope","Telescope","Teleskop"
"telescope_2","I'm using the telescope.","Aku nggunakake teleskop."
"telescope_3","I want to use the telescope.","Aku pengin nggunakake teleskop."
"telescope_4","I want to look at the stars.","Aku kepengin nyawang bintang."
"glue","Glue","Lim"
"glue_2","I'm using glue.","Aku nggunakake lim."
"glue_3","I need a new glue.","Aku butuh lem anyar."
"glue_4","Can I borrow your glue?","Apa aku bisa nyilih lem?"
"glue_5","I lost my glue.","Aku ilang lem."
"shapes","Shapes","Wangun"
"circle","Circle","Bunder"
"circle_2","This is circle shaped.","Iki bunder dibentuk."
"circle_3","Can you teach me how to draw a circle?","Apa sampeyan bisa mulang babagan cara nggambar bunder?"
"triangle","Triangle","Triangle"
"triangle_2","This is triangle shaped.","Iki minangka wujud segitiga."
"triangle_3","Can you teach me how to draw a triangle?","Apa sampeyan bisa mulang babagan cara nggambar segitiga?"
"square","Square","Alun-alun"
"square_2","This is square shaped.","Iki wangun kothak."
"square_3","Can you teach me how to draw a square?","Apa sampeyan bisa mulang babagan cara nggambar alun-alun?"
"rectangle","Rectangle","Rectangle"
"rectangle_2","This is rectangle shaped.","Iki minangka wujud persegi."
"rectangle_3","Can you teach me how to draw a rectangle?","Apa sampeyan bisa mulang babagan cara nggambar persegi panjang?"
"star","Star","Lintang"
"star_2","This is star shaped.","Iki berbentuk bintang."
"star_3","Can you teach me how to draw a star?","Apa sampeyan bisa mulang babagan cara nggambar lintang?"
"pentagon","Pentagon","Pentagon"
"pentagon_2","This is pentagon shaped.","Iki minangka bentuk pentagon."
"pentagon_3","Can you teach me how to draw a pentagon?","Apa sampeyan bisa mulang babagan cara nggambar pentagon?"
"hexagon","Hexagon","Hexagon"
"hexagon_2","This is hexagon shaped.","Iki bentuk hexagon."
"hexagon_3","Can you teach me how to draw a hexagon?","Apa sampeyan bisa mulang babagan cara nggambar heksagon?"
"cross","Cross","Salib"
"cross_2","This is cross shaped.","Iki minangka cross."
"cross_3","Can you teach me how to draw a cross?","Apa sampeyan bisa mulang babagan cara nggambar salib?"
"ellipse","Ellipse","Ellipse"
"ellipse_2","This is ellipse shaped.","Iki bentuk elips."
"ellipse_3","Can you teach me how to draw a ellipse?","Apa sampeyan bisa mulang babagan cara nggambar elips?"
"arrow","Arrow","Panah"
"arrow_2","This is arrow shaped.","Iki bentuk panah."
"arrow_3","Can you teach me how to draw a arrow?","Apa sampeyan bisa mulang babagan cara nggambar panah?"
"crescent","Crescent","Sabit"
"crescent_2","This is crescent shaped.","Iki bentuk sabit."
"crescent_3","Can you teach me how to draw a crescent?","Apa sampeyan bisa mulang babagan cara nggambar sabit?"
"heart","Heart","Atine"
"heart_2","This is heart shaped.","Wangun ati iki."
"heart_3","Can you teach me how to draw a heart?","Apa sampeyan bisa mulang babagan cara nggambarake ati?"
"rhombus","Rhombus","Rhombus"
"rhombus_2","This is rhombus shaped.","Iki bentuk rhombus."
"rhombus_3","Can you teach me how to draw a rhombus?","Apa sampeyan bisa mulang babagan cara nggambar rhombus?"
"ring","Ring","Kring"
"ring_2","This is ring shaped.","Iki bentuk cincin."
"ring_3","Can you teach me how to draw a ring?","Apa sampeyan bisa mulang babagan cara nggambar cincin?"
"semicircle","Semicircle","Bunder setengah"
"semicircle_2","This is semicircle shaped.","Iki minangka wujud setengah bunderan."
"semicircle_3","Can you teach me how to draw a semicircle?","Apa sampeyan bisa mulang babagan cara nggambar setengah bunderan?"
"trapezoid","Trapezoid","Trapezoid"
"trapezoid_2","This is trapezoid shaped.","Iki bentuk trapezoid."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Apa sampeyan bisa mulang babagan cara nggambar trapezoid?"
"cube","Cube","Kubus"
"cube_2","This is cube shaped.","Iki bentuk kubus."
"cube_3","Can you teach me how to draw a cube?","Apa sampeyan bisa mulang babagan cara nggambar kubus?"
"cylinder","Cylinder","Silinder"
"cylinder_2","This is cylinder shaped.","Iki kabentuk silinder."
"cylinder_3","Can you teach me how to draw a cylinder?","Apa sampeyan bisa mulang babagan cara nggambar silinder?"
