"activities","Activities","කටයුතු"
"thirsty_3","Can I have some water?","මට වතුර ටිකක් ගන්න පුළුවන්ද?"
"thirsty_4","Can I have a glass of water?","මට වතුර වීදුරුවක් ගන්න පුළුවන්ද?"
"thirsty_5","I want something to drink.","මට බොන්න යමක් අවශ්‍යයි"
"cutlery","Cutlery","කට්ලට්"
"cutlery_2","I need cutlery.","මට කට්ලට් අවශ්‍යයි."
"cutlery_3","Help me use cutlery.","කට්ලට් භාවිතා කිරීමට මට උදව් කරන්න."
"cutlery_4","I need a fork.","මට දෙබලක අවශ්‍යයි."
"cutlery_5","I need a spoon.","මට හැන්දක් අවශ්‍යයි."
"cutlery_6","I need chopsticks.","මට චොප්ස්ටික්ස් අවශ්‍යයි."
"cutlery_7","I need a knife.","මට පිහියක් අවශ්‍යයි."
"cutlery_8","I need a napkin.","මට තුවායක් අවශ්‍යයි."
"apple","Apple","ඇපල්"
"apple_2","I like apple.","මම ඇපල් වලට කැමතියි."
"apple_3","I don't like apple.","මම ඇපල් වලට කැමති නැහැ."
"apple_4","I want to eat an apple.","මට ඇපල් ගෙඩියක් කන්න ඕන."
"carrot","Carrot","කැරට්"
"carrot_2","I like carrot.","මම කැරට් වලට කැමතියි."
"carrot_3","I don't like carrot.","මම කැරට් වලට කැමති නැහැ."
"carrot_4","I want to eat a carrot.","මට කැරට් කන්න ඕන."
"beans","Beans","බෝංචි"
"beans_2","I like beans.","මම බෝංචි වලට කැමතියි."
"beans_3","I don't like beans.","මම බෝංචි වලට කැමති නැහැ."
"beans_4","I want to eat beans.","මට බෝංචි කන්න ඕන."
"chicken_5","I want fried chicken.","මට ෆ්‍රයිඩ් චිකන් ඕන."
"chicken_6","I want boiled chicken.","මට තම්බා කුකුල් මස් අවශ්‍යයි."
"chocolate","Chocolate","චොකලට්"
"chocolate_2","I like chocolate.","මම චොකලට් වලට කැමැතියි."
"chocolate_3","I don't like chocolate.","මම චොකලට් වලට කැමති නැහැ."
"chocolate_4","I want to eat chocolate.","මට චොකලට් කන්න ඕන."
"chocolate_5","I want dark chocolate.","මට අඳුරු චොකලට් අවශ්‍යයි."
"chocolate_6","I want white chocolate.","මට සුදු චොකලට් ඕන."
"milk","Milk","කිරි"
"milk_2","I like milk.","මම කිරි වලට කැමතියි."
"milk_3","I don't like milk.","මම කිරි වලට කැමති නැහැ."
"milk_4","I want to drink milk.","මට කිරි බොන්න ඕන."
"milk_5","Can I have a glass of milk?","මට කිරි වීදුරුවක් ලබා ගත හැකිද?"
"sandwich","Sandwich","සැන්ඩ්විච්"
"sandwich_2","I like sandwich.","මම සැන්ඩ්විච් වලට කැමතියි."
"sandwich_3","I don't like sandwich.","මම සැන්ඩ්විච් වලට කැමති නැහැ."
"sandwich_4","I want to eat a sandwich.","මට සැන්ඩ්විච් කන්න ඕන."
"sandwich_5","Can you make me a sandwich?","ඔයාට මාව සැන්ඩ්විච් කරන්න පුළුවන්ද?"
"steak","Steak","ස්ටීක්"
"steak_2","I like steak.","මම ස්ටීක් වලට කැමතියි."
"steak_3","I don't like steak.","මම ස්ටීක් වලට කැමති නැහැ."
"steak_4","I want to eat steak.","මට ස්ටීක් කන්න ඕන."
"steak_5","Can you cook steak for me?","ඔබට මා වෙනුවෙන් කුකුළු මස් පිසීමට හැකිද?"
"banana","Banana","කෙසෙල්"
"banana_2","I like banana.","මම කෙසෙල් වලට කැමතියි."
"banana_3","I don't like banana.","මම කෙසෙල් වලට කැමති නැහැ."
"banana_4","I want to eat a banana.","මට කෙසෙල් ගෙඩියක් කන්න ඕන."
"pie","Pie","පයි"
"pie_2","I like pie.","මම පයි වලට කැමතියි."
"pie_3","I don't like pie.","මම පයි වලට කැමති නැහැ."
"pie_4","I want to eat pie.","මට පයි කන්න ඕන."
"pie_5","Can you bake a pie for me?","ඔබට මා වෙනුවෙන් පයි පුළුස්සන්න පුළුවන්ද?"
"egg","Egg","බිත්තර"
"egg_2","I like egg.","මම බිත්තරයට කැමතියි."
"egg_3","I don't like egg.","මම බිත්තරයට කැමති නැහැ."
"egg_4","I want to eat egg.","මට බිත්තර කන්න ඕන."
"egg_5","I want fried eggs.","මට බැදපු බිත්තර අවශ්‍යයි."
"egg_6","I want boiled eggs.","මට තම්බා බිත්තර අවශ්‍යයි."
"noodles","Noodles","නූඩ්ල්ස්"
"noodles_2","I like noodles.","මම නූඩ්ල්ස් වලට කැමතියි."
"noodles_3","I don't like noodles.","මම නූඩ්ල්ස් වලට කැමති නැහැ."
"noodles_4","I want to eat noodles.","මට නූඩ්ල්ස් කන්න ඕන."
"noodles_5","Can you cook noodles for me?","ඔබට මා වෙනුවෙන් නූඩ්ල්ස් පිසීමට හැකිද?"
"salt","Salt","ලුණු"
"salt_2","I want salt.","මට ලුණු අවශ්‍යයි."
"salt_3","Can you pass me the salt?","ඔයාට මට ලුණු දෙන්න පුළුවන්ද?"
"salt_4","Food is too salty.","කෑම ගොඩක් ලුණු වැඩියි."
"salt_5","My food needs some salt.","මගේ කෑමට ලුණු ටිකක් අවශ්‍යයි."
"spices","Spices","කුළුබඩු"
"spices_2","I like spicy food.","මම කුළුබඩු සහිත ආහාරවලට කැමතියි."
"spices_3","I don't like spicy food.","මම කුළුබඩු සහිත ආහාරවලට කැමති නැහැ."
"spices_4","I want paprika.","මට පැපිරා අවශ්‍යයි."
"spices_5","I want black pepper.","මට කළු ගම්මිරිස් අවශ්‍යයි."
"pizza","Pizza","පීසා"
"pizza_2","I like pizza.","මම පීසා වලට කැමතියි."
"pizza_3","I don't like pizza.","මම පීසා වලට කැමති නැහැ."
"pizza_4","I want to eat pizza.","මට පීසා කන්න ඕන."
"pizza_5","Can you cook pizza for me?","ඔබට මා වෙනුවෙන් පීසා උයන්න පුළුවන්ද?"
"pizza_6","Can we order pizza?","අපට පීසා ඇණවුම් කළ හැකිද?"
"cheese","Cheese","චීස්"
"cheese_2","I like cheese.","මම චීස් වලට කැමතියි."
"cheese_3","I don't like cheese.","මම චීස් වලට කැමති නැහැ."
"cheese_4","I want to eat cheese.","මට චීස් කන්න ඕන."
"ice-cream","Ice cream","අයිස් ක්රීම්"
"ice-cream_2","I like ice cream.","මම අයිස්ක්රීම් වලට කැමති."
"ice-cream_3","I don't like ice cream.","මම අයිස්ක්‍රීම් වලට කැමති නැහැ."
"ice-cream_4","I want to eat ice cream.","මට අයිස්ක්‍රීම් කන්න ඕන."
"ice-cream_5","Can you buy ice cream for me?","ඔබට මා වෙනුවෙන් අයිස්ක්‍රීම් මිලදී ගත හැකිද?"
"tea","Tea","තේ"
"tea_2","I like tea.","මම තේ වලට කැමතියි."
"tea_3","I don't like tea.","මම තේ වලට කැමති නැහැ."
"tea_4","I want to drink tea.","මට තේ බොන්න ඕන."
"tea_5","Can you make tea for me?","ඔයාට මට තේ හදන්න පුළුවන්ද?"
"coffee","Coffee","කෝපි"
"coffee_2","I like coffee.","මම කෝපි වලට කැමතියි."
"coffee_3","I don't like coffee.","මම කෝපි වලට කැමති නැහැ."
"coffee_4","I want to drink coffee.","මට කෝපි බොන්න ඕන."
"coffee_5","Can you make coffee for me?","ඔබට මා වෙනුවෙන් කෝපි සෑදිය හැකිද?"
"tomato","Tomato","තක්කාලි"
"tomato_2","I like tomato.","මම තක්කාලි වලට කැමතියි."
"tomato_3","I don't like tomato.","මම තක්කාලි වලට කැමති නැහැ."
"tomato_4","I want to eat tomato.","මට තක්කාලි කන්න ඕන."
"cereal","Cereal","ධාන්ය"
"cereal_2","I like cereal.","මම ධාන්ය වලට කැමතියි."
"cereal_3","I don't like cereal.","මම ධාන්‍ය වලට කැමති නැහැ."
"cereal_4","I want to eat cereal.","මට ධාන්‍ය අනුභව කිරීමට අවශ්‍යයි."
"cereal_5","Can you make my cereal?","ඔබට මගේ ධාන්ය වර්ග සෑදිය හැකිද?"
"burger","Burger","බර්ගර්"
"burger_2","I like burger.","මම බර්ගර් වලට කැමතියි."
"burger_3","I don't like burger.","මම බර්ගර් වලට කැමති නැහැ."
"burger_4","I want to eat burger.","මට බර්ගර් කන්න ඕන."
"burger_5","Can you cook burger for me?","ඔබට මා වෙනුවෙන් බර්ගර් උයන්න පුළුවන්ද?"
"burger_6","Can we order burger?","අපට බර්ගර් ඇණවුම් කළ හැකිද?"
"french-fries","French fries","ෆ්රෙන්ච් ෆ්රයිස්"
"french-fries_2","I like french fries.","මම ප්‍රංශ ෆ්‍රයිස් වලට කැමතියි."
"french-fries_3","I don't like french fries.","මම ෆ්‍රෙන්ච් ෆ්‍රයිස් වලට කැමති නැහැ."
"french-fries_4","I want to eat french fries.","මට ෆ්‍රෙන්ච් ෆ්‍රයිස් කන්න ඕන."
"french-fries_5","Can you cook french fries for me?","ඔබට මා වෙනුවෙන් ෆ්‍රෙන්ච් ෆ්‍රයිස් උයන්න පුළුවන්ද?"
"french-fries_6","Can we order french fries?","අපට ෆ්‍රෙන්ච් ෆ්‍රයිස් ඇණවුම් කළ හැකිද?"
"spinach","Spinach","නිවිති"
"spinach_2","I like spinach.","මම නිවිති වලට කැමතියි."
"spinach_3","I don't like spinach.","මම නිවිති වලට කැමති නැහැ."
"spinach_4","I want to eat spinach.","මට නිවිති කන්න ඕන."
"rice","Rice","සහල්"
"rice_2","I like rice.","මම බත් වලට කැමතියි."
"rice_3","I don't like rice.","මම බත් වලට කැමති නැහැ."
"rice_4","I want to eat rice.","මට බත් කන්න ඕන."
"rice_5","Can you cook rice for me?","ඔබට මා වෙනුවෙන් බත් උයන්න පුළුවන්ද?"
"bread","Bread","පාන්"
"bread_2","I like bread.","මම පාන් වලට කැමතියි."
"bread_3","I don't like bread.","මම පාන් වලට කැමති නැහැ."
"bread_4","I want to eat bread.","මට පාන් කන්න ඕන."
"bread_5","Can you buy some bread?","ඔබට පාන් ටිකක් මිලදී ගත හැකිද?"
"pasta","Pasta","පැස්ටා"
"pasta_2","I like pasta.","මම පැස්ටා වලට කැමතියි."
"pasta_3","I don't like pasta.","මම පැස්ටා වලට කැමති නැහැ."
"pasta_4","I want to eat pasta.","මට පැස්ටා කන්න ඕන."
"pasta_5","Can you cook pasta for me?","ඔබට මා වෙනුවෙන් පැස්ටා උයන්න පුළුවන්ද?"
"sauce","Sauce","සෝස්"
"sauce_2","I like sauce.","මම සෝස් වලට කැමතියි."
"sauce_3","I don't like sauce.","මම සෝස් වලට කැමති නැහැ."
"sauce_4","I want some sauce.","මට සෝස් ටිකක් අවශ්‍යයි."
"sauce_5","Can I have ketchup?","මට කෙචප් ලබා ගත හැකිද?"
"sauce_6","Can I have mayonnaise?","මට මෙයොනීස් ගන්න පුළුවන්ද?"
"sauce_7","Can I have mustard?","මට අබ ගන්න පුළුවන්ද?"
"sauce_8","Can I have ranch sauce?","මට රැන්ච් සෝස් ගන්න පුළුවන්ද?"
"kebab","Kebab","කෙබාබ්"
"kebab_2","I like kebab.","මම කෙබාබ් වලට කැමතියි."
"kebab_3","I don't like kebab.","මම කෙබාබ් වලට කැමති නැහැ."
"kebab_4","I want to eat kebab.","මට කෙබාබ් කන්න ඕන."
"kebab_5","Can you cook kebab for me?","ඔබට මා වෙනුවෙන් කෙබාබ් පිසීමට හැකිද?"
"kebab_6","Can we order kebab?","අපට කෙබාබ් ඇණවුම් කළ හැකිද?"
"numbers","Numbers","අංක"
"one","One","එක"
"one_2","One comes before two.","එකක් දෙකකට පෙර පැමිණේ."
"one_3","One comes after zero.","එකක් බිංදුවට පසුව පැමිණේ."
"one_4","I want one.","මට එකක් අවශ්‍යයි."
"two","Two","දෙක"
"two_2","Two comes before three.","දෙකක් තුනට පෙර පැමිණේ."
"two_3","Two comes after one.","දෙකක් එකකට පස්සේ එනවා."
"two_4","I want two.","මට දෙකක් අවශ්‍යයි."
"three","Three","තුන්"
"three_2","Three comes before four.","තුනක් හතරට පෙර පැමිණේ."
"three_3","Three comes after two.","තුනක් දෙකකට පසුව පැමිණේ."
"three_4","I want three.","මට තුනක් අවශ්‍යයි."
"four","Four","සිව්"
"four_2","Four comes before five.","හතරක් පහට පෙර පැමිණේ."
"four_3","Four comes after three.","හතරක් තුනෙන් පසුව පැමිණේ."
"four_4","I want four.","මට හතරක් අවශ්‍යයි."
"five","Five","පහ"
"five_2","Five comes before six.","පහක් හයට පෙර පැමිණේ."
"five_3","Five comes after four.","පහක් එන්නේ හතරට පස්සේ."
"five_4","I want five.","මට පහක් අවශ්‍යයි."
"six","Six","හය"
"six_2","Six comes before seven.","හය හතට පෙර පැමිණේ."
"six_3","Six comes after five.","හය පැමිණෙන්නේ පහට පසුවය."
"six_4","I want fix.","මට නිවැරදි කරන්න ඕන."
"seven","Seven","හත"
"seven_2","Seven comes before eight.","හත අටට පෙර පැමිණේ."
"seven_3","Seven comes after six.","හත පැමිණෙන්නේ හයට පසුවය."
"seven_4","I want seven.","මට හතක් අවශ්‍යයි."
"eight","Eight","අට"
"eight_2","Eight comes before nine.","අටක් නවයට පෙර පැමිණේ."
"eight_3","Eight comes after seven.","අටක් පැමිණෙන්නේ හතෙන් පසුවය."
"eight_4","I want eight.","මට අටක් අවශ්‍යයි."
"nine","Nine","නවය"
"nine_2","Nine comes before ten.","නවය දහයට පෙර පැමිණේ."
"nine_3","Nine comes after eight.","නවය පැමිණෙන්නේ අටට පසුවය."
"nine_4","I want nine.","මට නවයක් අවශ්‍යයි."
"ten","Ten","දහය"
"ten_2","Ten comes before eleven.","දහය එකොළහට පෙර පැමිණේ."
"ten_3","Ten comes after nine.","දහය පැමිණෙන්නේ නවයට පසුවය."
"ten_4","I want ten.","මට දහයක් අවශ්‍යයි."
"eleven","Eleven","එකොළහයි"
"eleven_2","Eleven comes before thirteen.","එකොළොස් දෙනා පැමිණෙන්නේ දහතුනට පෙරය."
"eleven_3","Eleven comes after ten.","එකොළහ පැමිණෙන්නේ දහයට පසුවය."
"eleven_4","I want eleven.","මට එකොළහක් අවශ්‍යයි."
"twenty","Twenty","විසි"
"twenty_2","I can count up to twenty.","මට විස්සක් දක්වා ගණන් කළ හැකිය."
"thirty","Thirty","තිහයි"
"thirty_2","I can count up to thirty.","මට තිහක් දක්වා ගණන් කළ හැකිය."
"forty","Forty","හතළිහ"
"forty_2","I can count up to forty.","මට හතළිහක් දක්වා ගණන් කළ හැකිය."
"fifty","Fifty","පනහක්"
"fifty_2","I can count up to fifty.","මට පනහක් දක්වා ගණන් කළ හැකිය."
"hundred","Hundred","සිය ගණනක්"
"hundred_2","I can count up to hundred.","මට සියයක් දක්වා ගණන් කළ හැකිය."
"thousand","Thousand","දහසක්"
"thousand_2","I can count up to thousand.","මට දහසක් දක්වා ගණන් කළ හැකිය."
"calculator","Calculator","කැල්කියුලේටරය"
"calculator_2","I want to use a calculator.","මට කැල්කියුලේටරයක් භාවිතා කිරීමට අවශ්‍යයි."
"calculator_3","Can you teach me how to use a calculator?","කැල්කියුලේටරයක් භාවිතා කරන්නේ කෙසේදැයි මට ඉගැන්විය හැකිද?"
"calculator_4","Can I barrow your calculator?","මට ඔබේ කැල්කියුලේටරය බැරෝ කළ හැකිද?"
"people","People","සෙනඟ"
"mother","Mother","මව"
"mother_2","Mommy!","අම්මේ!"
"mother_3","I love my mother.","මම මගේ මවට ආදරෙයි."
"mother_4","I love you mom.","මම ඔයාට ආදරේයි අම්මේ."
"mother_5","I miss my mom.","මට මගේ අම්මා නැතුව පාලුයි."
"mother_6","Thank you for taking care of me.","මාව බලා ගැනීම ගැන ස්තූතියි."
"mother_7","She is my mom.","ඇය මගේ අම්මා."
"mother_8","Can you help me find my mother?","ඔබට මගේ මව සොයා ගැනීමට උදව් කළ හැකිද?"
"father","Father","පියා"
"father_2","Daddy!","තාත්තේ!"
"father_3","I love my father.","මම මගේ පියාට ආදරෙයි."
"father_4","I love you dad.","මම ඔයාට ආදරෙයි තාත්තේ."
"father_5","I miss my dad.","මට මගේ තාත්ත නැතුව පාලුයි."
"father_6","Thank you for taking care of me.","මාව බලා ගැනීම ගැන ස්තූතියි."
"father_7","He is my dad.","ඔහු මගේ තාත්තා."
"father_8","Can you help me find my father?","ඔබට මගේ පියා සොයා ගැනීමට උදව් කළ හැකිද?"
"parents","Parents","දෙමාපියන්"
"parents_2","I love my parents.","මම මගේ දෙමාපියන්ට ආදරෙයි."
"parents_3","I love my parents.","මම මගේ දෙමාපියන්ට ආදරෙයි."
"parents_4","I miss my parents.","මට මගේ දෙමාපියන් නැතුව පාලුයි."
"parents_5","They are my parents.","ඔවුන් මගේ දෙමාපියන්."
"parents_6","My parents are taking care of me.","මගේ දෙමාපියන් මාව බලා ගන්නවා."
"parents_8","Can you help me find my parents?","මගේ දෙමව්පියන් සොයා ගැනීමට මට උදව් කළ හැකිද?"
"grandparents","Grandparents","ආච්චිලා සීයලා"
"grandparents_2","I love my grandparents.","මම මගේ ආච්චිලා සීයලාට ආදරෙයි."
"grandparents_3","I love you grandparents.","මම ඔයාට ආච්චිලා සීයලාට ආදරෙයි."
"grandparents_4","I miss my grandparents.","මට මගේ ආච්චිලා සීයලා නැතුව පාලුයි."
"grandparents_5","They are my grandparents.","ඔවුන් මගේ ආච්චිලා සීයලා."
"grandparents_6","My grandparents are taking care of me.","මගේ ආච්චිලා සීයලා මාව බලා ගන්නවා."
"grandparents_8","Can you help me find my grandparents?","මගේ ආච්චිලා සීයලා සොයා ගැනීමට ඔබට උදව් කළ හැකිද?"
"brother","Brother","සහෝදරයා"
"brother_2","I love my brother.","මම මගේ සහෝදරයා ආදරෙයි."
"brother_3","I love you brother.","මම ඔබට ආදරෙයි සොයුර."
"brother_4","I miss my brother.","මට මගේ සහෝදරයා නැතුව පාලුයි."
"brother_5","He is my brother.","ඔහු මගේ සහෝදරයා."
"brother_6","My brother is taking care of me.","මගේ සහෝදරයා මාව බලා ගන්නවා."
"brother_8","Can you help me find my brother?","ඔබට මගේ සහෝදරයාව සොයා ගැනීමට උදව් කළ හැකිද?"
"sister","Sister","සහෝදරිය"
"sister_2","I love my sister.","මම මගේ සහෝදරියට ආදරෙයි."
"sister_3","I love you sister.","මම ඔයාට ආදරෙයි නංගි."
"sister_4","I miss my sister.","මට මගේ සහෝදරිය නැතුව පාලුයි."
"sister_5","She is my sister.","ඇය මගේ සහෝදරිය."
"sister_6","My sister is taking care of me.","මගේ නංගි මාව බලා ගන්නවා."
"sister_8","Can you help me find my sister?","ඔබට මගේ සහෝදරිය සොයා ගැනීමට උදව් කළ හැකිද?"
"uncle","Uncle","මාමා"
"uncle_2","I love my uncle.","මම මගේ මාමාට ආදරෙයි."
"uncle_3","I love you uncle.","මම ඔයාට ආදරෙයි මාමා."
"uncle_4","I miss my uncle.","මට මගේ මාමා නැතුව පාලුයි."
"uncle_5","He is my uncle.","ඔහු මගේ මාමා ය."
"uncle_8","Can you help me find my uncle?","මගේ මාමා සොයා ගැනීමට මට උදව් කළ හැකිද?"
"aunt","Aunt","නැන්දා"
"aunt_2","I love my aunt.","මම මගේ නැන්දාට ආදරෙයි."
"aunt_3","I love you aunt.","මම ඔයාට ආදරෙයි නැන්දා."
"aunt_4","I miss my aunt.","මට මගේ නැන්දා නැතුව පාලුයි."
"aunt_5","She is my aunt.","ඇය මගේ නැන්දා."
"aunt_8","Can you help me find my aunt?","ඔබට මගේ නැන්දා සොයා ගැනීමට උදව් කළ හැකිද?"
"teacher","Teacher","ගුරු"
"teacher_2","I love my teacher.","මම මගේ ගුරුවරයාට ආදරෙයි."
"teacher_3","I love you teacher.","මම ඔයාට ආදරෙයි ගුරුතුමනි."
"teacher_4","I don't like my teacher.","මම මගේ ගුරුවරයාට කැමති නැහැ."
"teacher_5","I miss my teacher.","මට මගේ ගුරුවරයා නැතුව පාලුයි."
"teacher_6","Thank you for the lesson.","පාඩමට ස්තූතියි."
"therapist","Therapist","චිකිත්සක"
"therapist_2","I love my therapist.","මම මගේ චිකිත්සකයාට ආදරෙයි."
"therapist_3","I love you therapist.","මම ඔයාට ආදරෙයි චිකිත්සක."
"therapist_4","I don't like my therapist.","මම මගේ චිකිත්සකයාට කැමති නැහැ."
"therapist_5","I miss my therapist.","මට මගේ චිකිත්සකයා නැතුව පාලුයි."
"therapist_6","Thank you for the session.","සැසිවාරයට ස්තූතියි."
"doctor","Doctor","ඩොක්ටර්"
"doctor_2","I love my doctor.","මම මගේ වෛද්‍යවරයාට ආදරෙයි."
"doctor_3","I love you doctor.","මම ඔයාට ආදරෙයි ඩොක්ටර්."
"doctor_4","I don't like my doctor.","මම මගේ වෛද්‍යවරයාට කැමති නැහැ."
"doctor_5","I miss my doctor.","මට මගේ වෛද්‍යවරයා නැතුව පාලුයි."
"doctor_6","Thank you for healing me.","මාව සුව කළාට ස්තූතියි."
"friends","Friends","මිතුරන්"
"friends_2","I love my friends.","මම මගේ මිතුරන්ට ආදරෙයි."
"friends_3","Do you want to be my friend?","ඔබට මගේ මිතුරෙකු වීමට අවශ්‍යද?"
"friends_4","I don't like my friends.","මම මගේ මිතුරන්ට කැමති නැහැ."
"friends_5","I miss my friends.","මට මගේ මිතුරන් නැතුව පාලුයි."
"friends_6","They are my friends.","ඔවුන් මගේ මිතුරන්."
"friends_7","Thank you for playing with me.","මා සමඟ සෙල්ලම් කිරීමට ස්තූතියි."
"cousins","Cousins","Ous ාති සහෝදරයන්"
"cousins_2","I love my cousins.","මම මගේ ous ාති සහෝදරයන්ට ආදරෙයි."
"cousins_3","I don't have cousins.","මට ous ාති සහෝදරයන් නැහැ."
"cousins_4","I miss my cousins.","මට මගේ ous ාති සහෝදරයන් නැතුව පාලුයි."
"cousins_5","They are my cousins.","ඔවුන් මගේ ous ාති සහෝදරයන්."
"grandmother","Grandmother","ආච්චි"
"grandmother_2","I love my grandmother.","මම මගේ ආච්චිට ආදරෙයි."
"grandmother_3","I love you grandma.","මම ඔයාට ආදරෙයි ආච්චි."
"grandmother_4","I miss my grandma.","මට මගේ ආච්චි නැතුව පාලුයි."
"grandmother_5","She is my grandma.","ඇය මගේ ආච්චි."
"grandfather","Grandfather","සීයා"
"grandfather_2","I love my grandfather.","මම මගේ සීයාට ආදරෙයි."
"grandfather_3","I love you grandpa.","මම ඔයාට ආදරෙයි සීයා."
"grandfather_4","I miss my grandpa.","මට මගේ සීයා නැතුව පාලුයි."
"grandfather_5","He is my grandpa.","ඔහු මගේ සීයා."
"stepfather","Stepfather","සුළු පියා"
"stepfather_2","I love my stepfather.","මම මගේ සුළු පියාට ආදරෙයි."
"stepfather_3","He is my stepfather.","ඔහු මගේ සුළු පියා ය."
"stepfather_4","I miss my stepfather.","මට මගේ සුළු පියා නැතුව පාලුයි."
"stepfather_5","He is my stepfather.","ඔහු මගේ සුළු පියා ය."
"stepmother","Stepmother","කුඩම්මා"
"stepmother_2","I love my stepmother.","මම මගේ සුළු මවට ආදරෙයි."
"stepmother_3","She is my stepmother.","ඇය මගේ සුළු මවයි."
"stepmother_4","I miss my stepmother.","මට මගේ සුළු මව නැතුව පාලුයි."
"stepmother_5","She is my stepmother.","ඇය මගේ සුළු මවයි."
"stepsister","Stepsister","ස්ටෙප්ස්ටර්"
"stepsister_2","I love my stepsister.","මම මගේ සීයට ආදරෙයි."
"stepsister_3","She is my stepsister.","ඇය මගේ සීයයි."
"stepsister_4","I miss my stepsister.","මට මගේ සගයා නැතුව පාලුයි."
"stepsister_5","She is my stepsister.","ඇය මගේ සීයයි."
"stepbrother","Stepbrother","සුළු සහෝදරයා"
"stepbrother_2","I love my stepbrother.","මම මගේ දෙදරු සහෝදරයාට ආදරෙයි."
"stepbrother_3","He is my stepbrother.","ඔහු මගේ දෙදරු සහෝදරයා ය."
"stepbrother_4","I miss my stepbrother.","මට මගේ දෙදරු සහෝදරයා නැතුව පාලුයි."
"stepbrother_5","He is my stepbrother.","ඔහු මගේ දෙදරු සහෝදරයා ය."
"half-brother","Half brother","අඩ සොහොයුරු"
"half-brother_2","I love my half brother.","මම මගේ අර්ධ සහෝදරයාට ආදරෙයි."
"half-brother_3","He is my half brother.","ඔහු මගේ අර්ධ සහෝදරයා."
"half-brother_4","I miss my half brother.","මට මගේ අර්ධ සහෝදරයා නැතුව පාලුයි."
"half-brother_5","He is my half brother.","ඔහු මගේ අර්ධ සහෝදරයා."
"half-sister","Half sister","අර්ධ සහෝදරිය"
"half-sister_2","I love my half sister.","මම මගේ අර්ධ සහෝදරියට ආදරෙයි."
"half-sister_3","She is my half sister.","ඇය මගේ අර්ධ සහෝදරියයි."
"half-sister_4","I miss my half sister.","මට මගේ අර්ධ සහෝදරිය නැතුව පාලුයි."
"half-sister_5","She is my half sister.","ඇය මගේ අර්ධ සහෝදරියයි."
"quarantine","Quarantine","නිරෝධායනය"
"protective-mask","Protective mask","ආරක්ෂිත ආවරණ"
"stay-home","Stay home","ගෙදර ඉන්න"
"toilet-paper","Toilet paper","ටොයිලට් පේපර්"
"sprayer","Sprayer","ඉසිනය"
"disinfectant","Disinfectant","විෂබීජ නාශක"
"thermometer","Thermometer","උෂ්ණත්වමානය"
"coughing","Coughing","කැස්ස"
"medical-assistance","Medical assistance","වෛද්‍ය ආධාර"
"hand-sanitizer","Hand sanitizer","අත් සනීපාරක්ෂකය"
"gloves","Gloves","අත්වැසුම්"
"social-distancing","Social distancing","සමාජීය ඈත් වීම"
"mouth-mask","Mouth mask","මුඛ ආවරණ"
"pandemic","Pandemic","ව්යාප්ත වසංගතය"
"working-at-home","Working at home","නිවසේ වැඩ කිරීම"
"wet-wipes","Wet wipes","තෙත් පිසදැමීම"
"first-aid-kit","First aid kit","ප්රථමාධාර කට්ටලය"
"fitness","Fitness","යෝග්යතාවය"
"e-learning","E-learning","විද්‍යුත් ඉගෙනීම"
"virus","Virus","වයිරසය"
"cleaning","Cleaning","පිරිසිදු කිරීම"
"school","School","පාසලේ"
"desk","Desk","මේසය"
"desk_2","Can I use this desk?","මට මෙම මේසය භාවිතා කළ හැකිද?"
"desk_3","Which desk is mine?","මගේ මේසය කුමක්ද?"
"desk_4","I spilled on my desk.","මම මගේ මේසය මත වැගිරෙව්වෙමි."
"desk_5","Don't scratch your desk.","ඔබේ මේසය සීරීමට එපා."
"chair","Chair","පුටුව"
"chair_2","Can I sit with you?","මට ඔබ සමඟ වාඩි විය හැකිද?"
"chair_3","Which chair is mine?","මගේ පුටුව කුමක්ද?"
"chair_4","Is this chair taken?","මේ පුටුව අරගෙනද?"
"chair_5","I spilled on my chair.","මම පුටුවේ විසිරුවා."
"book","Book","පොත"
"book_2","Textbook","පෙළ පොත"
"book_3","Workbook","වැඩපොත"
"book_4","Reading a book.","පොතක් කියවනවා."
"book_5","Can I borrow your book?","මට ඔබේ පොත ණයට ගත හැකිද?"
"book_6","Which page are we at?","අප සිටින්නේ කුමන පිටුවකද?"
"book_7","Flip the page.","පිටුව පෙරළන්න."
"book_8","I lost my book.","මට මගේ පොත නැති වුණා."
"notebook","Notebook","සටහන් පොත"
"notebook_2","Taking notes.","සටහන් ගැනීම."
"notebook_3","I'm taking notes.","මම සටහන් ගන්නවා."
"notebook_4","I lost my notebook.","මට මගේ සටහන් පොත නැති විය."
"backpack","Backpack","ගමන් මල්ල"
"backpack_2","Carrying my backpack.","මගේ ගමන් මල්ල රැගෙන යාම."
"backpack_3","Putting my books in my backpack.","මගේ පොත් මගේ බෑගයේ තැබීම."
"backpack_4","I need a new backpack.","මට අලුත් බෑගයක් අවශ්‍යයි."
"backpack_5","Thank you for carrying my backpack.","මගේ ගමන් මල්ල රැගෙන යාමට ස්තූතියි."
"backpack_6","I lost my backpack.","මට මගේ බෑගය නැති වුණා."
"backpack_7","My backpack is heavy.","මගේ ගමන් මල්ල බරයි."
"blackboard","Blackboard","කළු ලෑල්ල"
"blackboard_2","Look at the blackboard.","කළු ලෑල්ල දෙස බලන්න."
"blackboard_3","Cleaning the blackboard.","කළු ලෑල්ල පිරිසිදු කිරීම."
