"activities","Activities","활동"
"father_7","He is my dad.","그는 아빠입니다."
"father_8","Can you help me find my father?","아버지를 찾도록 도와 줄 수 있습니까?"
"parents","Parents","부모님"
"parents_2","I love my parents.","나는 부모님을 사랑한다."
"parents_3","I love my parents.","나는 부모님을 사랑한다."
"parents_4","I miss my parents.","부모님이 그립습니다."
"parents_5","They are my parents.","저분들은 나의 부모님이다."
"parents_6","My parents are taking care of me.","부모님이 나를 돌보고 계십니다."
"parents_8","Can you help me find my parents?","부모님을 찾도록 도와 줄 수 있습니까?"
"grandparents","Grandparents","조부모"
"grandparents_2","I love my grandparents.","나는 조부모님을 사랑합니다."
"grandparents_3","I love you grandparents.","조부모님을 사랑합니다."
"grandparents_4","I miss my grandparents.","조부모가 그립습니다."
"grandparents_5","They are my grandparents.","그들은 나의 조부모입니다."
"grandparents_6","My grandparents are taking care of me.","조부모님이 나를 돌보고 있습니다."
"grandparents_8","Can you help me find my grandparents?","조부모를 찾도록 도와 줄 수 있습니까?"
"brother","Brother","동료"
"brother_2","I love my brother.","난 형을 사랑해."
"brother_3","I love you brother.","나는 당신을 사랑합니다."
"brother_4","I miss my brother.","나는 내 동생이 그립습니다."
"brother_5","He is my brother.","그는 내 동생입니다."
"brother_6","My brother is taking care of me.","동생이 나를 돌보고 있습니다."
"brother_8","Can you help me find my brother?","내 동생을 찾도록 도와 줄 수 있습니까?"
"sister","Sister","여자 형제"
"sister_2","I love my sister.","나는 내 누이를 사랑해."
"sister_3","I love you sister.","언니 사랑해."
"sister_4","I miss my sister.","언니가 그리워"
"sister_5","She is my sister.","그녀는 내 동생."
"sister_6","My sister is taking care of me.","내 동생이 나를 돌보고있다."
"sister_8","Can you help me find my sister?","내 동생을 찾도록 도와 줄 수 있습니까?"
"uncle","Uncle","삼촌"
"uncle_2","I love my uncle.","나는 삼촌을 사랑합니다."
"uncle_3","I love you uncle.","삼촌 사랑해"
"uncle_4","I miss my uncle.","삼촌이 그립습니다."
"uncle_5","He is my uncle.","내 삼촌이야."
"uncle_8","Can you help me find my uncle?","아저씨를 찾도록 도와 줄 수 있습니까?"
"aunt","Aunt","이모"
"aunt_2","I love my aunt.","나는 이모를 좋아한다."
"aunt_3","I love you aunt.","이모 사랑해"
"aunt_4","I miss my aunt.","나는 이모가 그리워."
"aunt_5","She is my aunt.","그녀는 내 이모입니다."
"aunt_8","Can you help me find my aunt?","이모를 찾도록 도와 줄 수 있습니까?"
"teacher","Teacher","선생님"
"teacher_2","I love my teacher.","나는 선생님을 사랑합니다."
"teacher_3","I love you teacher.","선생님 사랑 해요"
"teacher_4","I don't like my teacher.","나는 선생님을 좋아하지 않습니다."
"teacher_5","I miss my teacher.","선생님이 그립습니다."
"teacher_6","Thank you for the lesson.","수업 감사합니다."
"therapist","Therapist","치료사"
"therapist_2","I love my therapist.","나는 치료사를 사랑합니다."
"therapist_3","I love you therapist.","나는 당신을 치료사 사랑합니다."
"therapist_4","I don't like my therapist.","나는 치료사를 좋아하지 않는다."
"therapist_5","I miss my therapist.","치료사를 그리워합니다."
"therapist_6","Thank you for the session.","세션 감사합니다."
"doctor","Doctor","박사님"
"doctor_2","I love my doctor.","나는 의사를 사랑합니다."
"doctor_3","I love you doctor.","나는 당신에게 의사를 사랑합니다."
"doctor_4","I don't like my doctor.","나는 의사를 좋아하지 않습니다."
"doctor_5","I miss my doctor.","의사가 그리워요"
"doctor_6","Thank you for healing me.","치유해 주셔서 감사합니다."
"friends","Friends","친구"
"friends_2","I love my friends.","나는 내 친구들을 사랑합니다."
"friends_3","Do you want to be my friend?","내 친구가되고 싶니?"
"friends_4","I don't like my friends.","나는 친구들을 좋아하지 않습니다."
"friends_5","I miss my friends.","친구가 그립습니다."
"friends_6","They are my friends.","그들은 내 친구들이야."
"friends_7","Thank you for playing with me.","나와 놀아 주셔서 감사합니다."
"cousins","Cousins","사촌"
"cousins_2","I love my cousins.","나는 내 사촌을 사랑합니다."
"cousins_3","I don't have cousins.","나는 사촌이 없습니다."
"cousins_4","I miss my cousins.","내 사촌이 그립습니다."
"cousins_5","They are my cousins.","내 사촌 들이야."
"grandmother","Grandmother","할머니"
"grandmother_2","I love my grandmother.","나는 할머니를 사랑합니다."
"grandmother_3","I love you grandma.","할머니 사랑 해요."
"grandmother_4","I miss my grandma.","할머니가 그립습니다."
"grandmother_5","She is my grandma.","그녀는 나의 할머니입니다."
"grandfather","Grandfather","할아버지"
"grandfather_2","I love my grandfather.","나는 할아버지를 사랑합니다."
"grandfather_3","I love you grandpa.","할아버지 사랑 해요"
"grandfather_4","I miss my grandpa.","할아버지가 그립습니다."
"grandfather_5","He is my grandpa.","그는 나의 할아버지입니다."
"stepfather","Stepfather","계부"
"stepfather_2","I love my stepfather.","나는 계부를 사랑합니다."
"stepfather_3","He is my stepfather.","그는 내 계부입니다."
"stepfather_4","I miss my stepfather.","의붓 아버지가 그립습니다."
"stepfather_5","He is my stepfather.","그는 내 계부입니다."
"stepmother","Stepmother","계모"
"stepmother_2","I love my stepmother.","나는 계모를 사랑합니다."
"stepmother_3","She is my stepmother.","그녀는 내 계모입니다."
"stepmother_4","I miss my stepmother.","계모가 그립습니다."
"stepmother_5","She is my stepmother.","그녀는 내 계모입니다."
"stepsister","Stepsister","이복 누이"
"stepsister_2","I love my stepsister.","나는 이복 누이를 사랑합니다."
"stepsister_3","She is my stepsister.","그녀는 내 이복 누이입니다."
"stepsister_4","I miss my stepsister.","이복 누이가 그리워요."
"stepsister_5","She is my stepsister.","그녀는 내 이복 누이입니다."
"stepbrother","Stepbrother","이복 형제"
"stepbrother_2","I love my stepbrother.","나는 의붓 형제를 사랑합니다."
"stepbrother_3","He is my stepbrother.","그는 내 의붓 형제입니다."
"stepbrother_4","I miss my stepbrother.","의붓 형제가 그립습니다."
"stepbrother_5","He is my stepbrother.","그는 내 의붓 형제입니다."
"half-brother","Half brother","이복형"
"half-brother_2","I love my half brother.","나는 남동생을 사랑합니다."
"half-brother_3","He is my half brother.","그는 내 남동생입니다."
"half-brother_4","I miss my half brother.","나는 남동생이 그립습니다."
"half-brother_5","He is my half brother.","그는 내 남동생입니다."
"half-sister","Half sister","이복 누이"
"half-sister_2","I love my half sister.","나는 이복 누이를 사랑합니다."
"half-sister_3","She is my half sister.","그녀는 내 이복이다."
"half-sister_4","I miss my half sister.","이복 누이가 그리워요."
"half-sister_5","She is my half sister.","그녀는 내 이복이다."
"quarantine","Quarantine","건강 격리"
"protective-mask","Protective mask","보호 마스크"
"stay-home","Stay home","집에있어 라"
"toilet-paper","Toilet paper","휴지"
"sprayer","Sprayer","분무기"
"disinfectant","Disinfectant","살균제"
"thermometer","Thermometer","온도계"
"coughing","Coughing","기침"
"medical-assistance","Medical assistance","의료 지원"
"hand-sanitizer","Hand sanitizer","손 소독제"
"gloves","Gloves","장갑"
"social-distancing","Social distancing","사회적 거리두기"
"mouth-mask","Mouth mask","입 마스크"
"pandemic","Pandemic","감염병 세계적 유행"
"working-at-home","Working at home","집에서 일하기"
"wet-wipes","Wet wipes","물티슈"
"first-aid-kit","First aid kit","구급 상자"
"fitness","Fitness","적합"
"e-learning","E-learning","전자 학습"
"virus","Virus","바이러스"
"cleaning","Cleaning","청소"
"school","School","학교"
"desk","Desk","책상"
"desk_2","Can I use this desk?","이 책상을 사용할 수 있습니까?"
"desk_3","Which desk is mine?","내 책상은?"
"desk_4","I spilled on my desk.","나는 책상에 엎질러졌다."
"desk_5","Don't scratch your desk.","책상을 긁지 마십시오."
"chair","Chair","의자"
"chair_2","Can I sit with you?","같이 앉아도 될까요?"
"chair_3","Which chair is mine?","내 의자는 무엇입니까?"
"chair_4","Is this chair taken?","이 의자를 가져가요?"
"chair_5","I spilled on my chair.","나는 의자에 엎질러졌다."
"book","Book","책"
"book_2","Textbook","교과서"
"book_3","Workbook","학습장"
"book_4","Reading a book.","책을 읽고."
"book_5","Can I borrow your book?","책을 빌릴 수 있습니까?"
"book_6","Which page are we at?","우리는 어느 페이지에 있습니까?"
"book_7","Flip the page.","페이지를 넘기십시오."
"book_8","I lost my book.","책을 잃어 버렸습니다."
"notebook","Notebook","공책"
"notebook_2","Taking notes.","메모하기."
"notebook_3","I'm taking notes.","메모를하고 있습니다."
"notebook_4","I lost my notebook.","노트북을 잃어 버렸습니다."
"backpack","Backpack","배낭"
"backpack_2","Carrying my backpack.","내 배낭을 들고."
"backpack_3","Putting my books in my backpack.","책을 배낭에 넣습니다."
"backpack_4","I need a new backpack.","새로운 배낭이 필요합니다."
"backpack_5","Thank you for carrying my backpack.","배낭을 가지고와 주셔서 감사합니다."
"backpack_6","I lost my backpack.","나는 배낭을 잃었다."
"backpack_7","My backpack is heavy.","배낭이 무겁습니다."
"blackboard","Blackboard","칠판"
"blackboard_2","Look at the blackboard.","칠판을보세요."
"blackboard_3","Cleaning the blackboard.","칠판 청소."
"blackboard_4","Solving the problem on the blackboard.","칠판에 문제를 해결."
"blackboard_5","Taking note on the blackboard.","칠판에 메모를 복용."
"blackboard_6","Give me a chalk.","분필주세요"
"teacher_7","I don't like this topic.","이 주제가 마음에 들지 않습니다."
"teacher_8","Thank you for the lesson.","수업 감사합니다."
"school-bus","School bus","학교 버스"
"school-bus_2","School bus is coming.","스쿨 버스가오고 있습니다."
"school-bus_3","Can I sit next to you?","옆에 앉을 수 있을까요?"
"school-bus_4","Thank you bus driver!","버스 운전사 감사합니다!"
"school-bus_5","School bus was late.","스쿨 버스가 늦었습니다."
"pencil","Pencil","연필"
"pencil_2","I'm writing.","쓰고 있어요"
"pencil_3","I'm learning to write.","나는 글쓰기를 배우고있다."
"pencil_4","I need a new pencil.","새 연필이 필요합니다."
"pencil_5","Can I borrow your pencil?","연필 좀 빌려도 될까요?"
"pencil_6","I lost my pencil.","나는 연필을 잃었다."
"eraser","Eraser","지우개"
"eraser_2","I'm erasing.","지우고 있습니다."
"eraser_3","I need a new eraser.","새로운 지우개가 필요합니다."
"eraser_4","Can I borrow your eraser?","지우개를 빌려도 될까요?"
"eraser_5","I lost my eraser.","지우개를 잃어 버렸습니다."
"ruler","Ruler","지배자"
"ruler_2","I'm measuring.","측정 중입니다."
"ruler_3","I need a new ruler.","새로운 통치자가 필요합니다."
"ruler_4","Can I borrow your ruler?","내가 당신의 통치자를 빌릴 수 있습니까?"
"ruler_5","I lost my ruler.","나는 통치자를 잃었다."
"sharpener","Sharpener","가는 사람"
"sharpener_2","I'm sharpening my pencil.","연필을 갈고 있습니다."
"sharpener_3","I need a new sharpener.","새로운 샤프너가 필요합니다."
"sharpener_4","Can I borrow your sharpener?","샤프너를 빌릴 수 있습니까?"
"sharpener_5","I lost my sharpener.","나는 깎이를 잃었다."
"mathematics","Mathematics","수학"
"mathematics_2","I like mathematics.","나는 수학을 좋아한다."
"mathematics_3","I want to study mathematics.","나는 수학을 공부하고 싶다."
"mathematics_4","I don't like mathematics.","나는 수학을 좋아하지 않습니다."
"mathematics_5","When is mathematics class?","수학 수업은 언제입니까?"
"mathematics_6","Can you help me with my mathematics homework?","수학 숙제를 도와 줄 수 있습니까?"
"literature","Literature","문학"
"literature_2","I like literature.","나는 문학을 좋아한다."
"literature_3","I want to study literature.","나는 문학을 공부하고 싶다."
"literature_4","I don't like literature.","나는 문학을 좋아하지 않습니다."
"literature_5","When is literature class?","문학 수업은 언제입니까?"
"literature_6","Can you help me with my literature homework?","저의 문학 숙제를 도와 드릴까요?"
"science","Science","과학"
"science_2","I like science.","나는 과학을 좋아한다."
"science_3","I want to study science.","나는 과학을 공부하고 싶다."
"science_4","I don't like science.","나는 과학을 좋아하지 않습니다."
"science_5","When is science class?","과학 수업은 언제입니까?"
"science_6","Can you help me with my science homework?","과학 숙제를 도와 줄 수 있습니까?"
"art-class","Art class","미술 수업"
"art-class_2","I like art class.","나는 미술 수업을 좋아한다."
"art-class_3","I want to practice art skills.","저는 예술 기술을 연습하고 싶습니다."
"art-class_4","I don't like art class.","저는 미술 수업을 좋아하지 않습니다."
"art-class_5","When is art class?","미술 수업은 언제입니까?"
"art-class_6","Can you help me with my art class homework?","미술 수업 숙제를 도와 줄 수 있습니까?"
"music-class","Music class","음악 수업"
"music-class_2","I like music class.","나는 음악 수업을 좋아한다."
"music-class_3","I want to practice music skills.","음악 기술을 연습하고 싶습니다."
"music-class_4","I don't like music class.","나는 음악 수업을 좋아하지 않습니다."
"music-class_5","When is music class?","음악 수업은 언제입니까?"
"music-class_6","Can you help me with my music class homework?","음악 수업 숙제를 도와 줄 수 있습니까?"
"geography","Geography","지리학"
"geography_2","I like geography.","나는 지리를 좋아한다."
"geography_3","I want to study geography.","지리를 공부하고 싶습니다."
"geography_4","I don't like geography.","저는 지리를 좋아하지 않습니다."
"geography_5","When is geography?","지리는 언제입니까?"
"geography_6","Can you help me with my geography homework?","지리 숙제를 도와 줄 수 있습니까?"
"telescope","Telescope","망원경"
"telescope_2","I'm using the telescope.","망원경을 사용하고 있습니다."
"telescope_3","I want to use the telescope.","망원경을 사용하고 싶습니다."
"telescope_4","I want to look at the stars.","별을보고 싶습니다."
"glue","Glue","접착제"
"glue_2","I'm using glue.","접착제를 사용하고 있습니다."
"glue_3","I need a new glue.","새로운 접착제가 필요합니다."
"glue_4","Can I borrow your glue?","접착제를 빌려도 될까요?"
"glue_5","I lost my glue.","접착제를 잃어 버렸습니다."
"shapes","Shapes","모양"
"circle","Circle","원"
"circle_2","This is circle shaped.","이것은 원 모양입니다."
"circle_3","Can you teach me how to draw a circle?","원을 그리는 방법을 가르쳐 줄 수 있습니까?"
"triangle","Triangle","삼각형"
"triangle_2","This is triangle shaped.","이것은 삼각형 모양입니다."
"triangle_3","Can you teach me how to draw a triangle?","삼각형을 그리는 방법을 가르쳐 줄 수 있습니까?"
"square","Square","광장"
"square_2","This is square shaped.","이것은 사각형 모양입니다."
"square_3","Can you teach me how to draw a square?","사각형을 그리는 방법을 가르쳐 줄 수 있습니까?"
"rectangle","Rectangle","직사각형"
"rectangle_2","This is rectangle shaped.","이것은 직사각형 모양입니다."
"rectangle_3","Can you teach me how to draw a rectangle?","사각형을 그리는 방법을 가르쳐 줄 수 있습니까?"
"star","Star","별"
"star_2","This is star shaped.","별 모양입니다."
"star_3","Can you teach me how to draw a star?","별을 그리는 방법을 가르쳐 줄 수 있습니까?"
"pentagon","Pentagon","오각형"
"pentagon_2","This is pentagon shaped.","이것은 오각형 모양입니다."
"pentagon_3","Can you teach me how to draw a pentagon?","오각형을 그리는 방법을 가르쳐 줄 수 있습니까?"
"hexagon","Hexagon","육각형"
"hexagon_2","This is hexagon shaped.","이것은 육각형입니다."
"hexagon_3","Can you teach me how to draw a hexagon?","육각형을 그리는 방법을 가르쳐 줄 수 있습니까?"
"cross","Cross","가로 질러 가다"
"cross_2","This is cross shaped.","이것은 십자형입니다."
"cross_3","Can you teach me how to draw a cross?","십자가를 그리는 법을 가르쳐 줄 수 있습니까?"
"ellipse","Ellipse","타원"
"ellipse_2","This is ellipse shaped.","이것은 타원 모양입니다."
"ellipse_3","Can you teach me how to draw a ellipse?","타원을 그리는 방법을 가르쳐 줄 수 있습니까?"
"arrow","Arrow","화살"
"arrow_2","This is arrow shaped.","이것은 화살표 모양입니다."
"arrow_3","Can you teach me how to draw a arrow?","화살표를 그리는 방법을 가르쳐 줄 수 있습니까?"
"crescent","Crescent","초승달"
"crescent_2","This is crescent shaped.","이것은 초승달 모양입니다."
"crescent_3","Can you teach me how to draw a crescent?","초승달을 그리는 방법을 가르쳐 줄 수 있습니까?"
"heart","Heart","심장"
"heart_2","This is heart shaped.","이것은 심장 모양입니다."
"heart_3","Can you teach me how to draw a heart?","마음을 그리는 법을 가르쳐 줄 수 있습니까?"
"rhombus","Rhombus","마름모"
"rhombus_2","This is rhombus shaped.","이것은 마름모 모양입니다."
"rhombus_3","Can you teach me how to draw a rhombus?","마름모를 그리는 방법을 가르쳐 줄 수 있습니까?"
"ring","Ring","반지"
"ring_2","This is ring shaped.","이것은 고리 모양입니다."
"ring_3","Can you teach me how to draw a ring?","반지를 그리는 방법을 가르쳐 줄 수 있습니까?"
"semicircle","Semicircle","반원"
"semicircle_2","This is semicircle shaped.","이것은 반원 모양입니다."
"semicircle_3","Can you teach me how to draw a semicircle?","반원을 그리는 방법을 가르쳐 줄 수 있습니까?"
"trapezoid","Trapezoid","사다리꼴"
"trapezoid_2","This is trapezoid shaped.","사다리꼴 모양입니다."
"trapezoid_3","Can you teach me how to draw a trapezoid?","사다리꼴을 그리는 방법을 가르쳐 줄 수 있습니까?"
"cube","Cube","입방체"
"cube_2","This is cube shaped.","이것은 큐브 모양입니다."
"cube_3","Can you teach me how to draw a cube?","큐브를 그리는 방법을 가르쳐 줄 수 있습니까?"
"cylinder","Cylinder","실린더"
"cylinder_2","This is cylinder shaped.","이것은 실린더 모양입니다."
"cylinder_3","Can you teach me how to draw a cylinder?","원통을 그리는 방법을 가르쳐 줄 수 있습니까?"
