"activities","Activities","سرگرمیاں"
"steak_2","I like steak.","مجھے اسٹیک پسند ہے"
"steak_3","I don't like steak.","مجھے اسٹیک پسند نہیں ہے"
"steak_4","I want to eat steak.","میں سٹیک کھانا چاہتا ہوں"
"steak_5","Can you cook steak for me?","کیا آپ میرے لئے اسٹیک بنا سکتے ہیں؟"
"banana","Banana","کیلا"
"banana_2","I like banana.","مجھے کیلا پسند ہے"
"banana_3","I don't like banana.","مجھے کیلا پسند نہیں ہے۔"
"banana_4","I want to eat a banana.","میں ایک کیلا کھانا چاہتا ہوں"
"pie","Pie","پائی"
"pie_2","I like pie.","مجہے پائ پسند ہے."
"pie_3","I don't like pie.","مجھے پائی پسند نہیں ہے"
"pie_4","I want to eat pie.","میں پائی کھانا چاہتا ہوں"
"pie_5","Can you bake a pie for me?","کیا آپ میرے لئے پائی بنا سکتے ہو؟"
"egg","Egg","انڈہ"
"egg_2","I like egg.","مجھے انڈا پسند ہے۔"
"egg_3","I don't like egg.","مجھے انڈا پسند نہیں ہے"
"egg_4","I want to eat egg.","میں انڈا کھانا چاہتا ہوں"
"egg_5","I want fried eggs.","مجھے تلی ہوئی انڈا چاہئے۔"
"egg_6","I want boiled eggs.","مجھے ابلا ہوا انڈا چاہئے۔"
"noodles","Noodles","نوڈلز"
"noodles_2","I like noodles.","مجھے نوڈلز پسند ہیں"
"noodles_3","I don't like noodles.","مجھے نوڈلز پسند نہیں ہیں۔"
"noodles_4","I want to eat noodles.","میں نوڈلز کھانا چاہتا ہوں"
"noodles_5","Can you cook noodles for me?","کیا آپ میرے لئے نوڈلز پک سکتے ہیں؟"
"salt","Salt","نمک"
"salt_2","I want salt.","مجھے نمک چاہئے۔"
"salt_3","Can you pass me the salt?","کیا آپ مجھے نمک دے سکتے ہو؟"
"salt_4","Food is too salty.","کھانا بہت نمکین ہے۔"
"salt_5","My food needs some salt.","میرے کھانے میں کچھ نمک کی ضرورت ہے۔"
"spices","Spices","مصالحے"
"spices_2","I like spicy food.","مجھے مسالہ دار کھانا پسند ہے۔"
"spices_3","I don't like spicy food.","مجھے مسالہ دار کھانا پسند نہیں ہے۔"
"spices_4","I want paprika.","میں پیپریکا چاہتا ہوں"
"spices_5","I want black pepper.","مجھے کالی مرچ چاہئے۔"
"pizza","Pizza","پیزا"
"pizza_2","I like pizza.","مجھے پیزا پسند ہے"
"pizza_3","I don't like pizza.","مجھے پیزا پسند نہیں ہے"
"pizza_4","I want to eat pizza.","میں پیزا کھانا چاہتا ہوں"
"pizza_5","Can you cook pizza for me?","کیا آپ میرے لئے پیزا بناسکتے ہیں؟"
"pizza_6","Can we order pizza?","کیا ہم پیزا منگو سکتے ہیں؟"
"cheese","Cheese","پنیر"
"cheese_2","I like cheese.","مجھے پنیر پسند ہے."
"cheese_3","I don't like cheese.","مجھے پنیر پسند نہیں ہے"
"cheese_4","I want to eat cheese.","میں پنیر کھانا چاہتا ہوں"
"ice-cream","Ice cream","آئس کریم"
"ice-cream_2","I like ice cream.","مجھے آئس کریم پسند ہے."
"ice-cream_3","I don't like ice cream.","مجھے آئس کریم پسند نہیں ہے۔"
"ice-cream_4","I want to eat ice cream.","میں آئس کریم کھانا چاہتا ہوں"
"ice-cream_5","Can you buy ice cream for me?","کیا آپ میرے لئے آئس کریم خرید سکتے ہیں؟"
"tea","Tea","چائے"
"tea_2","I like tea.","مجھے چائے پسند ہے"
"tea_3","I don't like tea.","مجھے چائے پسند نہیں ہے۔"
"tea_4","I want to drink tea.","میں چائے پینا چاہتا ہوں"
"tea_5","Can you make tea for me?","کیا آپ میرے لئے چائے بنا سکتے ہو؟"
"coffee","Coffee","کافی"
"coffee_2","I like coffee.","مجھے کافی پسند ہے."
"coffee_3","I don't like coffee.","مجھے کافی پسند نہیں ہے۔"
"coffee_4","I want to drink coffee.","میں کافی پینا چاہتا ہوں"
"coffee_5","Can you make coffee for me?","کیا آپ میرے لئے کافی بنا سکتے ہیں؟"
"tomato","Tomato","ٹماٹر"
"tomato_2","I like tomato.","مجھے ٹماٹر پسند ہے۔"
"tomato_3","I don't like tomato.","مجھے ٹماٹر پسند نہیں ہے۔"
"tomato_4","I want to eat tomato.","میں ٹماٹر کھانا چاہتا ہوں"
"cereal","Cereal","اناج"
"cereal_2","I like cereal.","مجھے اناج پسند ہے۔"
"cereal_3","I don't like cereal.","مجھے اناج پسند نہیں ہے۔"
"cereal_4","I want to eat cereal.","میں اناج کھانا چاہتا ہوں۔"
"cereal_5","Can you make my cereal?","کیا آپ میرا اناج بنا سکتے ہو؟"
"burger","Burger","برگر"
"burger_2","I like burger.","مجھے برگر پسند ہے"
"burger_3","I don't like burger.","مجھے برگر پسند نہیں ہے۔"
"burger_4","I want to eat burger.","میں برگر کھانا چاہتا ہوں"
"burger_5","Can you cook burger for me?","کیا آپ میرے لئے برگر پک سکتے ہو؟"
"burger_6","Can we order burger?","کیا ہم برگر آرڈر کرسکتے ہیں؟"
"french-fries","French fries","آلو کے چپس"
"french-fries_2","I like french fries.","مجھے فرانسیسی فرائز پسند ہیں"
"french-fries_3","I don't like french fries.","مجھے فرانسیسی فرائز پسند نہیں ہے۔"
"french-fries_4","I want to eat french fries.","میں فرانسیسی فرائز کھانا چاہتا ہوں"
"french-fries_5","Can you cook french fries for me?","کیا آپ میرے لئے فرانسیسی فرائز پک سکتے ہیں؟"
"french-fries_6","Can we order french fries?","کیا ہم فرانسیسی فرائز آرڈر کرسکتے ہیں؟"
"spinach","Spinach","پالک"
"spinach_2","I like spinach.","مجھے پالک پسند ہے"
"spinach_3","I don't like spinach.","مجھے پالک پسند نہیں ہے۔"
"spinach_4","I want to eat spinach.","میں پالک کھانا چاہتا ہوں"
"rice","Rice","چاول"
"rice_2","I like rice.","مجھے چاول پسند ہے۔"
"rice_3","I don't like rice.","مجھے چاول پسند نہیں ہیں۔"
"rice_4","I want to eat rice.","میں چاول کھانا چاہتا ہوں"
"rice_5","Can you cook rice for me?","کیا آپ میرے لئے چاول بنا سکتے ہو؟"
"bread","Bread","روٹی"
"bread_2","I like bread.","مجھے روٹی پسند ہے"
"bread_3","I don't like bread.","مجھے روٹی پسند نہیں ہے۔"
"bread_4","I want to eat bread.","میں روٹی کھانا چاہتا ہوں"
"bread_5","Can you buy some bread?","کیا آپ کچھ روٹی خرید سکتے ہیں؟"
"pasta","Pasta","پاستا"
"pasta_2","I like pasta.","مجھے پاستا پسند ہے"
"pasta_3","I don't like pasta.","مجھے پاستا پسند نہیں ہے"
"pasta_4","I want to eat pasta.","میں پاستا کھانا چاہتا ہوں"
"pasta_5","Can you cook pasta for me?","کیا آپ میرے لئے پاستا بنا سکتے ہیں؟"
"sauce","Sauce","چٹنی"
"sauce_2","I like sauce.","مجھے چٹنی پسند ہے"
"sauce_3","I don't like sauce.","مجھے چٹنی پسند نہیں ہے"
"sauce_4","I want some sauce.","مجھے کچھ چٹنی چاہئے۔"
"sauce_5","Can I have ketchup?","کیا میں کیچپ کروا سکتا ہوں؟"
"sauce_6","Can I have mayonnaise?","کیا میں میئونیز لے سکتا ہوں؟"
"sauce_7","Can I have mustard?","کیا میں سرسوں لے سکتا ہوں؟"
"sauce_8","Can I have ranch sauce?","کیا مجھے کھیت کی چٹنی مل سکتی ہے؟"
"kebab","Kebab","کباب"
"kebab_2","I like kebab.","مجھے کباب پسند ہے۔"
"kebab_3","I don't like kebab.","مجھے کباب پسند نہیں ہے۔"
"kebab_4","I want to eat kebab.","میں کباب کھانا چاہتا ہوں"
"kebab_5","Can you cook kebab for me?","کیا آپ میرے لئے کباب بناسکتے ہیں؟"
"kebab_6","Can we order kebab?","کیا ہم کباب آرڈر کرسکتے ہیں؟"
"numbers","Numbers","نمبر"
"one","One","ایک"
"one_2","One comes before two.","ایک دو سے پہلے آتا ہے۔"
"one_3","One comes after zero.","ایک صفر کے بعد آتا ہے۔"
"one_4","I want one.","ایک محجھےچاہیے."
"two","Two","دو"
"two_2","Two comes before three.","دو تین سے پہلے آتے ہیں۔"
"two_3","Two comes after one.","ایک کے بعد دو آتے ہیں۔"
"two_4","I want two.","مجھے دو چاہئے۔"
"three","Three","تین"
"three_2","Three comes before four.","چار سے پہلے تین آتے ہیں۔"
"three_3","Three comes after two.","تین دو کے بعد آتا ہے۔"
"three_4","I want three.","مجھے تین چاہئے۔"
"four","Four","چار"
"four_2","Four comes before five.","چار پانچ سے پہلے آتا ہے۔"
"four_3","Four comes after three.","چار تین کے بعد آتا ہے۔"
"four_4","I want four.","مجھے چار چاہئے۔"
"five","Five","پانچ"
"five_2","Five comes before six.","پانچ چھ سے پہلے آتا ہے۔"
"five_3","Five comes after four.","پانچ چار کے بعد آتا ہے۔"
"five_4","I want five.","میں پانچ چاہتا ہوں۔"
"six","Six","چھ"
"six_2","Six comes before seven.","سات سے پہلے آتا ہے۔"
"six_3","Six comes after five.","پانچ کے بعد چھ آتا ہے۔"
"six_4","I want fix.","میں ٹھیک کرنا چاہتا ہوں"
"seven","Seven","سات"
"seven_2","Seven comes before eight.","سات آٹھ سے پہلے آتے ہیں۔"
"seven_3","Seven comes after six.","سات چھ کے بعد آتا ہے۔"
"seven_4","I want seven.","مجھے سات چاہئے۔"
"eight","Eight","آٹھ"
"eight_2","Eight comes before nine.","نو سے پہلے آٹھ آتے ہیں۔"
"eight_3","Eight comes after seven.","آٹھ سات کے بعد آتا ہے۔"
"eight_4","I want eight.","مجھے آٹھ چاہئے۔"
"nine","Nine","نو"
"nine_2","Nine comes before ten.","نو دس سے پہلے آتا ہے۔"
"nine_3","Nine comes after eight.","نو آٹھ کے بعد آتا ہے۔"
"nine_4","I want nine.","مجھے نو چاہئے۔"
"ten","Ten","دس"
"ten_2","Ten comes before eleven.","گیارہ سے پہلے دس آتا ہے۔"
"ten_3","Ten comes after nine.","دس نو کے بعد آتا ہے۔"
"ten_4","I want ten.","میں دس چاہتا ہوں۔"
"eleven","Eleven","گیارہ"
"eleven_2","Eleven comes before thirteen.","گیارہ تیرہ سے پہلے آتا ہے۔"
"eleven_3","Eleven comes after ten.","گیارہ دس کے بعد آتا ہے۔"
"eleven_4","I want eleven.","مجھے گیارہ چاہئے"
"twenty","Twenty","بیس"
"twenty_2","I can count up to twenty.","میں بیس تک گن سکتا ہوں۔"
"thirty","Thirty","تیس"
"thirty_2","I can count up to thirty.","میں تیس تک گن سکتا ہوں۔"
"forty","Forty","چالیس"
"forty_2","I can count up to forty.","میں چالیس تک گن سکتا ہوں۔"
"fifty","Fifty","پچاس"
"fifty_2","I can count up to fifty.","میں پچاس تک گن سکتا ہوں۔"
"hundred","Hundred","سو"
"hundred_2","I can count up to hundred.","میں سو تک گن سکتا ہوں۔"
"thousand","Thousand","ہزار"
"thousand_2","I can count up to thousand.","میں ہزار تک گن سکتا ہوں۔"
"calculator","Calculator","کیلکولیٹر"
"calculator_2","I want to use a calculator.","میں کیلکولیٹر استعمال کرنا چاہتا ہوں۔"
"calculator_3","Can you teach me how to use a calculator?","کیا آپ مجھے سکھ سکتے ہیں کہ کیلکولیٹر کا استعمال کیسے کریں؟"
"calculator_4","Can I barrow your calculator?","کیا میں آپ کے کیلکولیٹر کو روک سکتا ہوں؟"
"people","People","لوگ"
"mother","Mother","ماں"
"mother_2","Mommy!","ماں!"
"mother_3","I love my mother.","میں اپنی ماں سے محبت کرتا ہوں."
"mother_4","I love you mom.","ماں میں آپ سے محبت کرتا ہوں."
"mother_5","I miss my mom.","مجھے اپنی ماں کی یاد آتی ہے۔"
"mother_6","Thank you for taking care of me.","میرا خیال رکھنے کا شکریہ۔"
"mother_7","She is my mom.","وہ میری ماں ہے۔"
"mother_8","Can you help me find my mother?","کیا آپ میری ماں کو تلاش کرنے میں میری مدد کرسکتے ہیں؟"
"father","Father","باپ"
"father_2","Daddy!","ڈیڈی!"
"father_3","I love my father.","میں اپنے والد سے محبت کرتا ہوں."
"father_4","I love you dad.","میں تم سے پیار کرتا ہوں"
"father_5","I miss my dad.","مجھے اپنے والد کی یاد آتی ہے۔"
"father_6","Thank you for taking care of me.","میرا خیال رکھنے کا شکریہ۔"
"father_7","He is my dad.","وہ میرے والد ہیں۔"
"father_8","Can you help me find my father?","کیا آپ میرے والد کو تلاش کرنے میں میری مدد کرسکتے ہیں؟"
"parents","Parents","والدین"
"parents_2","I love my parents.","میں اپنے والدین سے پیار کرتا ہوں."
"parents_3","I love my parents.","میں اپنے والدین سے پیار کرتا ہوں."
"parents_4","I miss my parents.","مجھے اپنے والدین کی یاد آتی ہے۔"
"parents_5","They are my parents.","وہ میرے والدین ہیں."
"parents_6","My parents are taking care of me.","میرے والدین میری دیکھ بھال کر رہے ہیں۔"
"parents_8","Can you help me find my parents?","کیا آپ میرے والدین کو تلاش کرنے میں میری مدد کرسکتے ہیں؟"
"grandparents","Grandparents","دادا دادی"
"grandparents_2","I love my grandparents.","مجھے اپنے دادا دادی سے محبت ہے۔"
"grandparents_3","I love you grandparents.","میں آپ سے دادا دادی سے محبت کرتا ہوں۔"
"grandparents_4","I miss my grandparents.","مجھے اپنے دادا دادی یاد آرہے ہیں۔"
"grandparents_5","They are my grandparents.","وہ میرے دادا دادی ہیں۔"
"grandparents_6","My grandparents are taking care of me.","میرے دادا دادی میری دیکھ بھال کر رہے ہیں۔"
"grandparents_8","Can you help me find my grandparents?","کیا آپ میرے دادا دادی کو تلاش کرنے میں میری مدد کرسکتے ہیں؟"
"brother","Brother","بھائی"
"brother_2","I love my brother.","مجھے اپنے بھائی سے پیار ہے."
"brother_3","I love you brother.","مجھے تم سے محبت ہے بھائی."
"brother_4","I miss my brother.","مجھے اپنے بھائی کی یاد آتی ہے۔"
"brother_5","He is my brother.","وہ میرا بھائی ہے."
"brother_6","My brother is taking care of me.","میرا بھائی میری دیکھ بھال کر رہا ہے۔"
"brother_8","Can you help me find my brother?","کیا آپ میرے بھائی کو تلاش کرنے میں میری مدد کرسکتے ہیں؟"
"sister","Sister","بہن"
"sister_2","I love my sister.","مجھے اپنی بہن سے پیار ہے."
"sister_3","I love you sister.","میں تم سے محبت کرتا ہوں بہن"
"sister_4","I miss my sister.","مجھے اپنی بہن کی یاد آتی ہے۔"
"sister_5","She is my sister.","وہ میری بہن ہے."
"sister_6","My sister is taking care of me.","میری بہن میرا خیال رکھ رہی ہے۔"
"sister_8","Can you help me find my sister?","کیا آپ میری بہن کو تلاش کرنے میں میری مدد کرسکتے ہیں؟"
"uncle","Uncle","انکل"
"uncle_2","I love my uncle.","مجھے اپنے چچا سے پیار ہے۔"
"uncle_3","I love you uncle.","میں تم سے پیار کرتا ہوں چاچا۔"
"uncle_4","I miss my uncle.","مجھے اپنے چچا کی یاد آتی ہے۔"
"uncle_5","He is my uncle.","وہ میرے ماموں ہیں۔"
"uncle_8","Can you help me find my uncle?","کیا آپ میرے چچا کو ڈھونڈنے میں میری مدد کرسکتے ہیں؟"
"aunt","Aunt","آنٹی"
"aunt_2","I love my aunt.","مجھے اپنی خالہ سے پیار ہے۔"
"aunt_3","I love you aunt.","میں تمہیں پیاری محبت کرتی ہوں۔"
"aunt_4","I miss my aunt.","مجھے اپنی خالہ کی یاد آتی ہے۔"
"aunt_5","She is my aunt.","وہ میری خالہ ہیں۔"
"aunt_8","Can you help me find my aunt?","کیا آپ میری خالہ کو تلاش کرنے میں میری مدد کرسکتے ہیں؟"
"teacher","Teacher","استاد"
"teacher_2","I love my teacher.","مجھے اپنے استاد سے محبت ہے۔"
"teacher_3","I love you teacher.","میں آپ سے پیار کرتا ہوں استاد۔"
"teacher_4","I don't like my teacher.","مجھے اپنے استاد کو پسند نہیں ہے۔"
"teacher_5","I miss my teacher.","مجھے اپنے استاد کی یاد آتی ہے۔"
"teacher_6","Thank you for the lesson.","اسباق کا شکریہ۔"
"therapist","Therapist","معالج"
"therapist_2","I love my therapist.","مجھے اپنے تھراپسٹ سے محبت ہے۔"
"therapist_3","I love you therapist.","میں تم سے معالج محبت کرتا ہوں۔"
"therapist_4","I don't like my therapist.","مجھے اپنا معالج پسند نہیں ہے۔"
"therapist_5","I miss my therapist.","مجھے اپنے تھراپسٹ کی یاد آتی ہے۔"
"therapist_6","Thank you for the session.","سیشن کے لئے آپ کا شکریہ."
"doctor","Doctor","ڈاکٹر"
"doctor_2","I love my doctor.","مجھے اپنے ڈاکٹر سے محبت ہے۔"
"doctor_3","I love you doctor.","میں آپ سے محبت کرتا ہوں ڈاکٹر۔"
"doctor_4","I don't like my doctor.","مجھے اپنے ڈاکٹر کو پسند نہیں ہے۔"
"doctor_5","I miss my doctor.","مجھے اپنے ڈاکٹر کی یاد آتی ہے۔"
"doctor_6","Thank you for healing me.","مجھے ٹھیک کرنے کے لئے آپ کا شکریہ۔"
"friends","Friends","دوستو"
"friends_2","I love my friends.","میں اپنے دوستوں سے پیار کرتا ہوں."
"friends_3","Do you want to be my friend?","کیا آپ میرے دوست بننا چاہتے ہین؟"
"friends_4","I don't like my friends.","میں اپنے دوستوں کو پسند نہیں کرتا"
"friends_5","I miss my friends.","مجھے اپنے دوستوں کی یاد آتی ہے۔"
"friends_6","They are my friends.","وہ میرے دوست ہیں."
"friends_7","Thank you for playing with me.","میرے ساتھ کھیلنے کا شکریہ۔"
"cousins","Cousins","کزنز"
"cousins_2","I love my cousins.","مجھے اپنے کزنز سے پیار ہے۔"
"cousins_3","I don't have cousins.","میرے کزنز نہیں ہیں۔"
"cousins_4","I miss my cousins.","مجھے اپنے کزنز یاد آرہے ہیں۔"
"cousins_5","They are my cousins.","وہ میرے کزن ہیں۔"
"grandmother","Grandmother","دادی"
"grandmother_2","I love my grandmother.","مجھے اپنی نانی سے پیار ہے۔"
"grandmother_3","I love you grandma.","میں آپسے پیار کرتا ہوں دادی ماں."
"grandmother_4","I miss my grandma.","مجھے اپنی دادی یاد آ رہی ہیں۔"
"grandmother_5","She is my grandma.","وہ میری دادی ہیں۔"
"grandfather","Grandfather","دادا"
"grandfather_2","I love my grandfather.","میں اپنے دادا سے محبت کرتا ہوں۔"
"grandfather_3","I love you grandpa.","میں تم سے محبت کرتا ہوں دادا."
"grandfather_4","I miss my grandpa.","مجھے اپنے دادا کی یاد آتی ہے۔"
"grandfather_5","He is my grandpa.","وہ میرا دادا ہے۔"
"stepfather","Stepfather","سوتیلی باپ"
"stepfather_2","I love my stepfather.","مجھے اپنے سوتیلے والد سے محبت ہے۔"
"stepfather_3","He is my stepfather.","وہ میرا سوتیلے باپ ہے۔"
"stepfather_4","I miss my stepfather.","مجھے اپنے سوتیلے والد کی یاد آتی ہے۔"
"stepfather_5","He is my stepfather.","وہ میرا سوتیلے باپ ہے۔"
"stepmother","Stepmother","سوتیلی ماں"
"stepmother_2","I love my stepmother.","مجھے اپنی سوتیلی ماں سے پیار ہے۔"
"stepmother_3","She is my stepmother.","وہ میری سوتیلی ماں ہے۔"
"stepmother_4","I miss my stepmother.","مجھے اپنی سوتیلی ماں کی کمی محسوس ہوتی ہے۔"
"stepmother_5","She is my stepmother.","وہ میری سوتیلی ماں ہے۔"
"stepsister","Stepsister","سوتیلی بہن"
"stepsister_2","I love my stepsister.","مجھے اپنی سوتیلی بہن سے محبت ہے۔"
"stepsister_3","She is my stepsister.","وہ میری سوتیلی بہن ہے۔"
"stepsister_4","I miss my stepsister.","مجھے اپنی سوتیلی بہن کی یاد آتی ہے۔"
"stepsister_5","She is my stepsister.","وہ میری سوتیلی بہن ہے۔"
"stepbrother","Stepbrother","سوتیلا بھائی"
"stepbrother_2","I love my stepbrother.","مجھے اپنے سوتیلی بھائی سے محبت ہے۔"
"stepbrother_3","He is my stepbrother.","وہ میرا سوتیلی بھائی ہے۔"
"stepbrother_4","I miss my stepbrother.","مجھے اپنا سوتیلی بھائی یاد آرہا ہے۔"
"stepbrother_5","He is my stepbrother.","وہ میرا سوتیلی بھائی ہے۔"
"half-brother","Half brother","سوتیلا بھائی"
"half-brother_2","I love my half brother.","مجھے اپنے سوتیلے بھائی سے پیار ہے۔"
"half-brother_3","He is my half brother.","وہ میرا سوتیلے بھائی ہے۔"
"half-brother_4","I miss my half brother.","مجھے اپنے سوتیلے بھائی کی یاد آتی ہے۔"
"half-brother_5","He is my half brother.","وہ میرا سوتیلے بھائی ہے۔"
"half-sister","Half sister","سوتیلی بہن"
"half-sister_2","I love my half sister.","مجھے اپنی سوتیلی بہن سے محبت ہے۔"
"half-sister_3","She is my half sister.","وہ میری سوت بہن ہے۔"
"half-sister_4","I miss my half sister.","مجھے اپنی سوتیلی بہن کی کمی محسوس ہوتی ہے۔"
"half-sister_5","She is my half sister.","وہ میری سوت بہن ہے۔"
"quarantine","Quarantine","قرنطینہ"
"protective-mask","Protective mask","حفاظتی ماسک"
"stay-home","Stay home","گھر رہنا"
"toilet-paper","Toilet paper","ٹوائلٹ پیپر"
"sprayer","Sprayer","اسپریئر"
"disinfectant","Disinfectant","جراثیم کُش"
"thermometer","Thermometer","تھرمامیٹر"
"coughing","Coughing","کھانسی"
"medical-assistance","Medical assistance","طبی امداد، طبی معاونت"
"hand-sanitizer","Hand sanitizer","ہینڈ سینیٹائزر"
"gloves","Gloves","دستانے"
"social-distancing","Social distancing","لوگوں سے دور رہنا"
"mouth-mask","Mouth mask","منہ کا ماسک"
"pandemic","Pandemic","عالمی وباء"
"working-at-home","Working at home","گھر میں کام کرنا"
"wet-wipes","Wet wipes","مسح"
"first-aid-kit","First aid kit","ابتدائی طبی مدد کا بکس"
"fitness","Fitness","صحت"
"e-learning","E-learning","ای لرننگ"
"virus","Virus","وائرس"
"cleaning","Cleaning","صفائی"
"school","School","اسکول"
"desk","Desk","ڈیسک"
"desk_2","Can I use this desk?","کیا میں اس ڈیسک کو استعمال کرسکتا ہوں؟"
"desk_3","Which desk is mine?","کون سا ڈیسک میری ہے؟"
"desk_4","I spilled on my desk.","میں نے اپنی میز پر پھینکا۔"
"desk_5","Don't scratch your desk.","اپنی میز کو کھرچ نہ لگائیں۔"
"chair","Chair","کرسی"
"chair_2","Can I sit with you?","کیا میں آپ کے ساتھ بیٹھ سکتا ہوں؟"
"chair_3","Which chair is mine?","میری کونسی کرسی ہے؟"
"chair_4","Is this chair taken?","کیا یہ کرسی لی گئی ہے؟"
"chair_5","I spilled on my chair.","میں نے اپنی کرسی پر پھینکا۔"
"book","Book","کتاب"
"book_2","Textbook","درسی کتاب"
"book_3","Workbook","ورک بک"
"book_4","Reading a book.","ایک کتاب پڑھنا۔"
"book_5","Can I borrow your book?","کیا میں آپ کی کتاب ادھار لے سکتا ہوں؟"
"book_6","Which page are we at?","ہم کس پیج پر ہیں؟"
"book_7","Flip the page.","صفحہ پلٹائیں۔"
"book_8","I lost my book.","میں اپنی کتاب کھو گیا"
"notebook","Notebook","کاپی"
"notebook_2","Taking notes.","نوٹ لے رہے ہیں۔"
"notebook_3","I'm taking notes.","میں نوٹ لے رہا ہوں۔"
"notebook_4","I lost my notebook.","میں اپنا نوٹ بک کھو گیا۔"
"backpack","Backpack","بیگ"
"backpack_2","Carrying my backpack.","میرا بیگ لے کر جارہا ہے۔"
"backpack_3","Putting my books in my backpack.","میری کتابیں میرے بیگ میں رکھنا۔"
"backpack_4","I need a new backpack.","مجھے ایک نئے بیگ کی ضرورت ہے۔"
"backpack_5","Thank you for carrying my backpack.","میرا بیگ لے جانے کے لئے آپ کا شکریہ۔"
"backpack_6","I lost my backpack.","میں نے اپنا بیگ کھو دیا۔"
"backpack_7","My backpack is heavy.","میرا بیگ بھاری ہے۔"
"blackboard","Blackboard","تختہ سیاہ"
"blackboard_2","Look at the blackboard.","بلیک بورڈ دیکھو۔"
"blackboard_3","Cleaning the blackboard.","بلیک بورڈ صاف کرنا"
"blackboard_4","Solving the problem on the blackboard.","بلیک بورڈ پر مسئلہ حل کرنا۔"
"blackboard_5","Taking note on the blackboard.","بلیک بورڈ پر نوٹ لیتے ہوئے۔"
"blackboard_6","Give me a chalk.","مجھے چاک دو۔"
"teacher_7","I don't like this topic.","مجھے یہ عنوان پسند نہیں ہے۔"
"teacher_8","Thank you for the lesson.","اسباق کا شکریہ۔"
"school-bus","School bus","اسکول بس"
"school-bus_2","School bus is coming.","اسکول بس آرہی ہے۔"
"school-bus_3","Can I sit next to you?","کیا میں آپ کے پاس بیٹھ سکتا ہوں؟"
"school-bus_4","Thank you bus driver!","آپ کا شکریہ بس ڈرائیور!"
"school-bus_5","School bus was late.","اسکول بس دیر تھی۔"
"pencil","Pencil","پینسل"
"pencil_2","I'm writing.","میں لکھ رہا ہوں."
"pencil_3","I'm learning to write.","میں لکھنا سیکھ رہا ہوں۔"
"pencil_4","I need a new pencil.","مجھے ایک نیا پنسل چاہئے۔"
"pencil_5","Can I borrow your pencil?","کیا میں آپ کی پنسل ادھار لے سکتا ہوں؟"
"pencil_6","I lost my pencil.","میں اپنی پنسل کھو گیا۔"
"eraser","Eraser","صافی"
"eraser_2","I'm erasing.","میں مٹ رہا ہوں۔"
"eraser_3","I need a new eraser.","مجھے نیا صافی کی ضرورت ہے۔"
"eraser_4","Can I borrow your eraser?","کیا میں آپ کا صافی لینے والا قرض لے سکتا ہوں؟"
"eraser_5","I lost my eraser.","میں اپنا صافی کھو گیا۔"
"ruler","Ruler","حکمران"
"ruler_2","I'm measuring.","میں ناپ رہا ہوں۔"
"ruler_3","I need a new ruler.","مجھے ایک نئے حکمران کی ضرورت ہے۔"
"ruler_4","Can I borrow your ruler?","کیا میں آپ کے حکمران سے قرض لے سکتا ہوں؟"
"ruler_5","I lost my ruler.","میں نے اپنا حکمران کھو دیا۔"
"sharpener","Sharpener","تیز کرنے والا"
"sharpener_2","I'm sharpening my pencil.","میں اپنی پنسل تیز کر رہا ہوں۔"
"sharpener_3","I need a new sharpener.","مجھے ایک نیا شارپنر چاہئے۔"
"sharpener_4","Can I borrow your sharpener?","کیا میں آپ کا تیزنا قرض لے سکتا ہوں؟"
"sharpener_5","I lost my sharpener.","میں اپنا شارپنر کھو گیا۔"
"mathematics","Mathematics","ریاضی"
"mathematics_2","I like mathematics.","مجھے ریاضی پسند ہے۔"
"mathematics_3","I want to study mathematics.","میں ریاضی کا مطالعہ کرنا چاہتا ہوں۔"
"mathematics_4","I don't like mathematics.","مجھے ریاضی پسند نہیں ہے۔"
"mathematics_5","When is mathematics class?","ریاضی کی کلاس کب ہے؟"
"mathematics_6","Can you help me with my mathematics homework?","کیا آپ میری ریاضی کے ہوم ورک میں مدد کرسکتے ہیں؟"
"literature","Literature","ادب"
"literature_2","I like literature.","مجھے ادب پسند ہے۔"
"literature_3","I want to study literature.","میں ادب کا مطالعہ کرنا چاہتا ہوں۔"
"literature_4","I don't like literature.","مجھے ادب پسند نہیں ہے۔"
"literature_5","When is literature class?","جب ادب کلاس ہے؟"
"literature_6","Can you help me with my literature homework?","کیا آپ میرے ادب کے ہوم ورک میں میری مدد کرسکتے ہیں؟"
"science","Science","سائنس"
"science_2","I like science.","مجھے سائنس پسند ہے۔"
"science_3","I want to study science.","میں سائنس کی تعلیم حاصل کرنا چاہتا ہوں۔"
"science_4","I don't like science.","مجھے سائنس پسند نہیں ہے۔"
"science_5","When is science class?","سائنس کلاس کب ہے؟"
"science_6","Can you help me with my science homework?","کیا آپ میری سائنس کے ہوم ورک میں مدد کرسکتے ہیں؟"
"art-class","Art class","فنون لطیفہ کی جماعت"
"art-class_2","I like art class.","مجھے آرٹ کلاس پسند ہے۔"
"art-class_3","I want to practice art skills.","میں آرٹ کی مہارت پر عمل کرنا چاہتا ہوں۔"
"art-class_4","I don't like art class.","مجھے آرٹ کلاس پسند نہیں ہے۔"
"art-class_5","When is art class?","آرٹ کلاس کب ہے؟"
"art-class_6","Can you help me with my art class homework?","کیا آپ میری آرٹ کلاس ہوم ورک میں مدد کرسکتے ہیں؟"
"music-class","Music class","میوزک کلاس"
