"activities","Activities","क्रियाएँ"
"cheese_2","I like cheese.","मुझे चीज़ पसंद है।"
"cheese_3","I don't like cheese.","मुझे पनीर पसंद नहीं है।"
"cheese_4","I want to eat cheese.","मैं पनीर खाना चाहता हूं।"
"ice-cream","Ice cream","आइसक्रीम"
"ice-cream_2","I like ice cream.","मुझे आइसक्रीम पसंद है।"
"ice-cream_3","I don't like ice cream.","मुझे आइसक्रीम पसंद नहीं है।"
"ice-cream_4","I want to eat ice cream.","मैं आइसक्रीम खाना चाहता हूं।"
"ice-cream_5","Can you buy ice cream for me?","क्या आप मेरे लिए आइसक्रीम खरीद सकते हैं?"
"tea","Tea","चाय"
"tea_2","I like tea.","मुझे चाय पसंद है।"
"tea_3","I don't like tea.","मुझे चाय पसंद नहीं है।"
"tea_4","I want to drink tea.","मैं चाय पीना चाहता हूं।"
"tea_5","Can you make tea for me?","क्या आप मेरे लिए चाय बना सकते हैं?"
"coffee","Coffee","कॉफ़ी"
"coffee_2","I like coffee.","मुझे कॉफी पसंद है।"
"coffee_3","I don't like coffee.","मुझे कॉफी पसंद नहीं है।"
"coffee_4","I want to drink coffee.","मैं कॉफ़ी पीना चाहता हूँ।"
"coffee_5","Can you make coffee for me?","क्या आप मेरे लिए कॉफी बना सकते हैं?"
"tomato","Tomato","टमाटर"
"tomato_2","I like tomato.","मुझे टमाटर पसंद है।"
"tomato_3","I don't like tomato.","मुझे टमाटर पसंद नहीं है।"
"tomato_4","I want to eat tomato.","मैं टमाटर खाना चाहता हूं।"
"cereal","Cereal","अनाज"
"cereal_2","I like cereal.","मुझे अनाज पसंद है।"
"cereal_3","I don't like cereal.","मुझे अनाज पसंद नहीं है।"
"cereal_4","I want to eat cereal.","मैं अनाज खाना चाहता हूं।"
"cereal_5","Can you make my cereal?","क्या आप मेरा अनाज बना सकते हैं?"
"burger","Burger","बर्गर"
"burger_2","I like burger.","मुझे बर्गर पसंद है।"
"burger_3","I don't like burger.","मुझे बर्गर पसंद नहीं है।"
"burger_4","I want to eat burger.","मैं बर्गर खाना चाहता हूं।"
"burger_5","Can you cook burger for me?","क्या आप मेरे लिए बर्गर पका सकते हैं?"
"burger_6","Can we order burger?","क्या हम बर्गर ऑर्डर कर सकते हैं?"
"french-fries","French fries","फ्रेंच फ्राइज"
"french-fries_2","I like french fries.","मुझे फ्रेंच फ्राइज पसंद हैं।"
"french-fries_3","I don't like french fries.","मुझे फ्रेंच फ्राइज़ पसंद नहीं है।"
"french-fries_4","I want to eat french fries.","मैं फ्रेंच फ्राइज़ खाना चाहता हूं।"
"french-fries_5","Can you cook french fries for me?","क्या आप मेरे लिए फ्रेंच फ्राइज़ पका सकते हैं?"
"french-fries_6","Can we order french fries?","हम फ्रेंच फ्राइज़ ऑर्डर कर सकते हैं?"
"spinach","Spinach","पालक"
"spinach_2","I like spinach.","मुझे पालक पसंद है।"
"spinach_3","I don't like spinach.","मुझे पालक पसंद नहीं है।"
"spinach_4","I want to eat spinach.","मैं पालक खाना चाहता हूं।"
"rice","Rice","चावल"
"rice_2","I like rice.","मुझे चावल पसंद है।"
"rice_3","I don't like rice.","मुझे चावल पसंद नहीं है।"
"rice_4","I want to eat rice.","मैं चावल खाना चाहता हूँ।"
"rice_5","Can you cook rice for me?","क्या आप मेरे लिए चावल पका सकते हैं?"
"bread","Bread","रोटी"
"bread_2","I like bread.","मुझे रोटी पसंद हैं।"
"bread_3","I don't like bread.","मुझे रोटी पसंद नहीं है।"
"bread_4","I want to eat bread.","मैं रोटी खाना चाहता हूं।"
"bread_5","Can you buy some bread?","क्या आप कुछ रोटी खरीद सकते हैं?"
"pasta","Pasta","पास्ता"
"pasta_2","I like pasta.","मुझे पास्ता पसंद है।"
"pasta_3","I don't like pasta.","मुझे पास्ता पसंद नहीं है।"
"pasta_4","I want to eat pasta.","मैं पास्ता खाना चाहता हूं।"
"pasta_5","Can you cook pasta for me?","क्या आप मेरे लिए पास्ता बना सकते हैं?"
"sauce","Sauce","चटनी"
"sauce_2","I like sauce.","मुझे सॉस पसंद है।"
"sauce_3","I don't like sauce.","मुझे सॉस पसंद नहीं है।"
"sauce_4","I want some sauce.","मुझे कुछ सॉस चाहिए।"
"sauce_5","Can I have ketchup?","क्या मुझे केचअप मिल सकता है?"
"sauce_6","Can I have mayonnaise?","क्या मेरे पास मेयोनेज़ हो सकता है?"
"sauce_7","Can I have mustard?","क्या मेरे पास सरसों हो सकती है?"
"sauce_8","Can I have ranch sauce?","क्या मुझे रंच सॉस मिल सकती है?"
"kebab","Kebab","कबाब"
"kebab_2","I like kebab.","मुझे कबाब पसंद है।"
"kebab_3","I don't like kebab.","मुझे कबाब पसंद नहीं है।"
"kebab_4","I want to eat kebab.","मैं कबाब खाना चाहता हूं।"
"kebab_5","Can you cook kebab for me?","क्या आप मेरे लिए कबाब बना सकते हैं?"
"kebab_6","Can we order kebab?","क्या हम कबाब ऑर्डर कर सकते हैं?"
"numbers","Numbers","नंबर"
"one","One","एक"
"one_2","One comes before two.","एक दो से पहले आता है।"
"one_3","One comes after zero.","एक शून्य के बाद आता है।"
"one_4","I want one.","मुझे एक चाहिए।"
"two","Two","दो"
"two_2","Two comes before three.","तीन से पहले दो आते हैं।"
"two_3","Two comes after one.","एक के बाद एक दो आते हैं।"
"two_4","I want two.","मुझे दो चाहिए।"
"three","Three","तीन"
"three_2","Three comes before four.","चार से पहले तीन आते हैं।"
"three_3","Three comes after two.","दो के बाद तीन आता है।"
"three_4","I want three.","मुझे तीन चाहिए।"
"four","Four","चार"
"four_2","Four comes before five.","पाँच से पहले चार आते हैं।"
"four_3","Four comes after three.","तीन के बाद चार आते हैं।"
"four_4","I want four.","मुझे चार चाहिए।"
"five","Five","पांच"
"five_2","Five comes before six.","पाँच छह से पहले आता है।"
"five_3","Five comes after four.","पाँच चार के बाद आता है।"
"five_4","I want five.","मुझे पाँच चाहिए।"
"six","Six","छह"
"six_2","Six comes before seven.","सात से पहले छह आता है।"
"six_3","Six comes after five.","पाँच के बाद छह आता है।"
"six_4","I want fix.","मुझे फिक्स चाहिए।"
"seven","Seven","सात"
"seven_2","Seven comes before eight.","आठ से पहले सात आता है।"
"seven_3","Seven comes after six.","छह के बाद सात आता है।"
"seven_4","I want seven.","मुझे सात चाहिए।"
"eight","Eight","आठ"
"eight_2","Eight comes before nine.","आठ नौ से पहले आता है।"
"eight_3","Eight comes after seven.","सात के बाद आठ आता है।"
"eight_4","I want eight.","मुझे आठ चाहिए।"
"nine","Nine","नौ"
"nine_2","Nine comes before ten.","दस से पहले नौ आता है।"
"nine_3","Nine comes after eight.","आठ के बाद नौ आता है।"
"nine_4","I want nine.","मुझे नौ चाहिए।"
"ten","Ten","दस"
"ten_2","Ten comes before eleven.","ग्यारह से पहले दस आता है।"
"ten_3","Ten comes after nine.","नौ के बाद दस आता है।"
"ten_4","I want ten.","मुझे दस चाहिए।"
"eleven","Eleven","ग्यारह"
"eleven_2","Eleven comes before thirteen.","ग्यारह तेरह से पहले आता है।"
"eleven_3","Eleven comes after ten.","दस के बाद ग्यारह आता है।"
"eleven_4","I want eleven.","मुझे ग्यारह चाहिए।"
"twenty","Twenty","बीस"
"twenty_2","I can count up to twenty.","मैं बीस तक गिन सकता हूं।"
"thirty","Thirty","तीस"
"thirty_2","I can count up to thirty.","मैं तीस तक गिन सकता हूं।"
"forty","Forty","चालीस"
"forty_2","I can count up to forty.","मैं चालीस तक गिन सकता हूं।"
"fifty","Fifty","पचास"
"fifty_2","I can count up to fifty.","मैं पचास तक गिन सकता हूं।"
"hundred","Hundred","सौ"
"hundred_2","I can count up to hundred.","मैं सौ तक गिन सकता हूं।"
"thousand","Thousand","हज़ार"
"thousand_2","I can count up to thousand.","मैं हजार तक गिन सकता हूं।"
"calculator","Calculator","कैलकुलेटर"
"calculator_2","I want to use a calculator.","मैं एक कैलकुलेटर का उपयोग करना चाहता हूं।"
"calculator_3","Can you teach me how to use a calculator?","क्या आप मुझे सिखा सकते हैं कि कैलकुलेटर का उपयोग कैसे करें?"
"calculator_4","Can I barrow your calculator?","मैं अपने कैलकुलेटर बैरो कर सकते हैं?"
"people","People","लोग"
"mother","Mother","मां"
"mother_2","Mommy!","माँ!"
"mother_3","I love my mother.","मैं अपनी माँ से प्यार करता हूँ।"
"mother_4","I love you mom.","मैं आपसे प्यार करता हूं मां।"
"mother_5","I miss my mom.","मुझे अपनी माँ की याद आती है।"
"mother_6","Thank you for taking care of me.","मेरा ध्यान रखने के लिए धन्यवाद।"
"mother_7","She is my mom.","वो मेरी माँ हैं।"
"mother_8","Can you help me find my mother?","क्या आप मेरी माँ को खोजने में मेरी मदद कर सकते हैं?"
"father","Father","पिता"
"father_2","Daddy!","पिताजी!"
"father_3","I love my father.","मुझे अपने पिता से प्यार है।"
"father_4","I love you dad.","मैं आपको प्यार करता हूं डैड।"
"father_5","I miss my dad.","मैं अपने पिता को याद करता हूं।"
"father_6","Thank you for taking care of me.","मेरा ध्यान रखने के लिए धन्यवाद।"
"father_7","He is my dad.","वह मेरे पिता हैं।"
"father_8","Can you help me find my father?","क्या आप मुझे मेरे पिता को खोजने में मदद कर सकते हैं?"
"parents","Parents","माता-पिता"
"parents_2","I love my parents.","मैं अपने माता पिता से प्यार करता हूँ।"
"parents_3","I love my parents.","मैं अपने माता पिता से प्यार करता हूँ।"
"parents_4","I miss my parents.","मुझे अपने माता - पिता की याद आती है।"
"parents_5","They are my parents.","वे मेरे माता - पिता हैं।"
"parents_6","My parents are taking care of me.","मेरे माता-पिता मेरी देखभाल कर रहे हैं।"
"parents_8","Can you help me find my parents?","क्या आप मेरे माता-पिता को खोजने में मेरी मदद कर सकते हैं?"
"grandparents","Grandparents","दादा दादी"
"grandparents_2","I love my grandparents.","मुझे अपने दादा-दादी से प्यार है।"
"grandparents_3","I love you grandparents.","आई लव यू दादा दादी।"
"grandparents_4","I miss my grandparents.","मुझे अपने दादा-दादी की याद आती है।"
"grandparents_5","They are my grandparents.","वे मेरे दादा - दादी हैं।"
"grandparents_6","My grandparents are taking care of me.","मेरे दादा-दादी मेरी देखभाल कर रहे हैं।"
"grandparents_8","Can you help me find my grandparents?","क्या आप मुझे मेरे दादा-दादी को खोजने में मदद कर सकते हैं?"
"brother","Brother","भाई"
"brother_2","I love my brother.","मैं अपने भाई से प्यार करती हू।"
"brother_3","I love you brother.","भाई मैं आपको प्यार करता हूँ।"
"brother_4","I miss my brother.","मुझे अपने भाई की याद आती है।"
"brother_5","He is my brother.","वह मेरा भाई है।"
"brother_6","My brother is taking care of me.","मेरा भाई मेरा ख्याल रख रहा है।"
"brother_8","Can you help me find my brother?","क्या आप मेरे भाई को खोजने में मेरी मदद कर सकते हैं?"
"sister","Sister","बहन"
"sister_2","I love my sister.","मैं अपनी बहन से प्यार करता हूं।"
"sister_3","I love you sister.","मैं तुम्हारी बहन से प्यार से प्यार करता हूं।"
"sister_4","I miss my sister.","मैं अपनी बहन को याद करता हूँ।"
"sister_5","She is my sister.","वह मेरी बहन है।"
"sister_6","My sister is taking care of me.","मेरी बहन मेरा ख्याल रख रही है।"
"sister_8","Can you help me find my sister?","क्या आप मेरी बहन को खोजने में मेरी मदद कर सकते हैं?"
"uncle","Uncle","चाचा"
"uncle_2","I love my uncle.","मुझे अपने चाचा से प्यार है।"
"uncle_3","I love you uncle.","आई लव यू अंकल।"
"uncle_4","I miss my uncle.","मुझे अपने चाचा की याद आती है।"
"uncle_5","He is my uncle.","वह मेरे चाचा हैं।"
"uncle_8","Can you help me find my uncle?","क्या आप मुझे मेरे चाचा को खोजने में मदद कर सकते हैं?"
"aunt","Aunt","चाची"
"aunt_2","I love my aunt.","मुझे अपनी चाची से प्यार है।"
"aunt_3","I love you aunt.","आई लव यू आंटी"
"aunt_4","I miss my aunt.","मुझे अपनी चाची की याद आती है।"
"aunt_5","She is my aunt.","वह मेरी आंटी है।"
"aunt_8","Can you help me find my aunt?","क्या आप मेरी चाची को खोजने में मेरी मदद कर सकते हैं?"
"teacher","Teacher","अध्यापक"
"teacher_2","I love my teacher.","मुझे मेरे शिक्षक से प्यार है।"
"teacher_3","I love you teacher.","मुझे तुमसे प्यार है टीचर।"
"teacher_4","I don't like my teacher.","मुझे अपने शिक्षक पसंद नहीं हैं।"
"teacher_5","I miss my teacher.","मुझे अपने शिक्षक की याद आती है।"
"teacher_6","Thank you for the lesson.","पाठ के लिए धन्यवाद।"
"therapist","Therapist","चिकित्सक"
"therapist_2","I love my therapist.","मुझे अपने चिकित्सक से प्यार है।"
"therapist_3","I love you therapist.","आई लव यू थेरेपिस्ट।"
"therapist_4","I don't like my therapist.","मुझे अपना चिकित्सक पसंद नहीं है।"
"therapist_5","I miss my therapist.","मुझे अपने चिकित्सक की याद आती है।"
"therapist_6","Thank you for the session.","सत्र के लिए धन्यवाद।"
"doctor","Doctor","चिकित्सक"
"doctor_2","I love my doctor.","मुझे अपने डॉक्टर से प्यार है।"
"doctor_3","I love you doctor.","आई लव यू डॉक्टर।"
"doctor_4","I don't like my doctor.","मुझे मेरा डॉक्टर पसंद नहीं है।"
"doctor_5","I miss my doctor.","मुझे अपने डॉक्टर की याद आती है।"
"doctor_6","Thank you for healing me.","मुझे ठीक करने के लिए धन्यवाद।"
"friends","Friends","दोस्त"
"friends_2","I love my friends.","मैं अपने दोस्तों से प्यार करता हूँ।"
"friends_3","Do you want to be my friend?","क्या तुम मेरे दोस्त बनोगे?"
"friends_4","I don't like my friends.","मुझे अपने दोस्त पसंद नहीं हैं।"
"friends_5","I miss my friends.","मुझे अपने दोस्तों की याद आती है।"
"friends_6","They are my friends.","वे मेरे मित्र है।"
"friends_7","Thank you for playing with me.","मेरे साथ खेलने के लिए धन्यवाद।"
"cousins","Cousins","चचेरे भाई बहिन"
"cousins_2","I love my cousins.","मुझे अपने चचेरे भाई से प्यार है।"
"cousins_3","I don't have cousins.","मेरे चचेरे भाई नहीं हैं।"
"cousins_4","I miss my cousins.","मुझे अपने चचेरे भाइयों की याद आती है।"
"cousins_5","They are my cousins.","वे मेरे चचेरे भाई हैं।"
"grandmother","Grandmother","दादी मा"
"grandmother_2","I love my grandmother.","मुझे अपनी दादी मां से प्यार है।"
"grandmother_3","I love you grandma.","दादी मुझे आप से प्यार है।"
"grandmother_4","I miss my grandma.","मुझे अपनी दादी की याद आती है।"
"grandmother_5","She is my grandma.","वह मेरी दादी हैं।"
"grandfather","Grandfather","दादा"
"grandfather_2","I love my grandfather.","मुझे अपने दादाजी से प्यार है।"
"grandfather_3","I love you grandpa.","दादाजी मै आपसे प्यार करता हूँ।"
"grandfather_4","I miss my grandpa.","मुझे अपने दादाजी की याद आती है।"
"grandfather_5","He is my grandpa.","वह मेरे दादा हैं।"
"stepfather","Stepfather","सौतेला बाप"
"stepfather_2","I love my stepfather.","मुझे अपने सौतेले पिता से प्यार है।"
"stepfather_3","He is my stepfather.","वह मेरे सौतेले पिता हैं।"
"stepfather_4","I miss my stepfather.","मुझे अपने सौतेले पिता की याद आती है।"
"stepfather_5","He is my stepfather.","वह मेरे सौतेले पिता हैं।"
"stepmother","Stepmother","सौतेली माँ"
"stepmother_2","I love my stepmother.","मुझे अपनी सौतेली माँ से प्यार है।"
"stepmother_3","She is my stepmother.","वह मेरी सौतेली माँ है।"
"stepmother_4","I miss my stepmother.","मुझे अपनी सौतेली माँ की याद आती है।"
"stepmother_5","She is my stepmother.","वह मेरी सौतेली माँ है।"
"stepsister","Stepsister","सौतेली बहन"
"stepsister_2","I love my stepsister.","मुझे अपनी सौतेली बहन से प्यार है।"
"stepsister_3","She is my stepsister.","वह मेरी सौतेली बहन है।"
"stepsister_4","I miss my stepsister.","मुझे अपनी सौतेली बहन की याद आती है।"
"stepsister_5","She is my stepsister.","वह मेरी सौतेली बहन है।"
"stepbrother","Stepbrother","सौतॆला भाई"
"stepbrother_2","I love my stepbrother.","मुझे अपने सौतेले भाई से प्यार है।"
"stepbrother_3","He is my stepbrother.","वह मेरा सौतेला भाई है।"
"stepbrother_4","I miss my stepbrother.","मुझे अपने सौतेले भाई की याद आती है।"
"stepbrother_5","He is my stepbrother.","वह मेरा सौतेला भाई है।"
"half-brother","Half brother","सौतेला भाई"
"half-brother_2","I love my half brother.","मैं अपने सौतेले भाई से प्यार करती हूं।"
"half-brother_3","He is my half brother.","वह मेरा सौतेला भाई है।"
"half-brother_4","I miss my half brother.","मुझे अपने सौतेले भाई की याद आती है।"
"half-brother_5","He is my half brother.","वह मेरा सौतेला भाई है।"
"half-sister","Half sister","सौतेली बहन"
"half-sister_2","I love my half sister.","मुझे अपनी सौतेली बहन से प्यार है।"
"half-sister_3","She is my half sister.","वह मेरी सौतेली बहन है।"
"half-sister_4","I miss my half sister.","मुझे अपनी सौतेली बहन की याद आती है।"
"half-sister_5","She is my half sister.","वह मेरी सौतेली बहन है।"
"quarantine","Quarantine","संगरोध"
"protective-mask","Protective mask","सुरक्षात्मक मुखौटा"
"stay-home","Stay home","घर पर रहना"
"toilet-paper","Toilet paper","टॉयलेट पेपर"
"sprayer","Sprayer","छिड़कनेवाला यंत्र"
"disinfectant","Disinfectant","निस्संक्रामक"
"thermometer","Thermometer","थर्मामीटर"
"coughing","Coughing","खाँसना"
"medical-assistance","Medical assistance","चिकित्सा सहायता"
"hand-sanitizer","Hand sanitizer","हैंड सैनिटाइज़र"
"gloves","Gloves","दस्ताने"
"social-distancing","Social distancing","सोशल डिस्टन्सिंग"
"mouth-mask","Mouth mask","मुँह का नकाब"
"pandemic","Pandemic","सर्वव्यापी महामारी"
"working-at-home","Working at home","घर पर काम करना"
"wet-wipes","Wet wipes","गीले पोंछे"
"first-aid-kit","First aid kit","प्राथमिक चिकित्सा किट"
"fitness","Fitness","स्वास्थ्य"
"e-learning","E-learning","ई-लर्निंग"
"virus","Virus","वाइरस"
"cleaning","Cleaning","सफाई"
"school","School","स्कूल"
"desk","Desk","डेस्क"
"desk_2","Can I use this desk?","क्या मैं इस डेस्क का उपयोग कर सकता हूं?"
"desk_3","Which desk is mine?","कौन सी डेस्क मेरी है?"
"desk_4","I spilled on my desk.","मैं अपनी मेज पर घूमता रहा।"
"desk_5","Don't scratch your desk.","अपने डेस्क खरोंच मत करो।"
"chair","Chair","कुरसी"
"chair_2","Can I sit with you?","क्या मैं आपके साथ बैठ सकता हूँ?"
"chair_3","Which chair is mine?","कौन सी कुर्सी मेरी है?"
"chair_4","Is this chair taken?","क्या यह कुर्सी ली गई है?"
"chair_5","I spilled on my chair.","मैं अपनी कुर्सी पर बैठ गया।"
"book","Book","पुस्तक"
"book_2","Textbook","पाठयपुस्तक"
"book_3","Workbook","वर्कबुक"
"book_4","Reading a book.","किताब पढ़ें।"
"book_5","Can I borrow your book?","क्या मैं आपकी कितब उधार ले सकता हूँ?"
"book_6","Which page are we at?","हम किस पेज पर हैं?"
"book_7","Flip the page.","पेज को पलटें।"
"book_8","I lost my book.","मैंने अपनी किताब खो दी।"
"notebook","Notebook","स्मरण पुस्तक"
"notebook_2","Taking notes.","नोट्स लेना।"
"notebook_3","I'm taking notes.","मैं नोट्स ले रहा हूं।"
"notebook_4","I lost my notebook.","मैंने अपनी नोटबुक खो दी।"
"backpack","Backpack","बैग"
"backpack_2","Carrying my backpack.","मेरा बैकपैक ले कर।"
"backpack_3","Putting my books in my backpack.","मेरी किताबों को अपने बैग में रख लिया।"
"backpack_4","I need a new backpack.","मुझे एक नया बैग चाहिए।"
"backpack_5","Thank you for carrying my backpack.","मेरा बैग ले जाने के लिए धन्यवाद।"
"backpack_6","I lost my backpack.","मैंने अपना बैकपैक खो दिया।"
"backpack_7","My backpack is heavy.","मेरा बैकपैक भारी है।"
"blackboard","Blackboard","ब्लैकबोर्ड"
"blackboard_2","Look at the blackboard.","श्यामपट्ट पर देखें।"
"blackboard_3","Cleaning the blackboard.","ब्लैकबोर्ड की सफाई।"
"blackboard_4","Solving the problem on the blackboard.","ब्लैकबोर्ड पर समस्या का समाधान।"
"blackboard_5","Taking note on the blackboard.","ब्लैकबोर्ड पर ध्यान देना।"
"blackboard_6","Give me a chalk.","मुझे एक चाक दे दो।"
"teacher_7","I don't like this topic.","मुझे यह विषय पसंद नहीं है।"
"teacher_8","Thank you for the lesson.","पाठ के लिए धन्यवाद।"
"school-bus","School bus","स्कूल बस"
"school-bus_2","School bus is coming.","स्कूल बस आ रही है।"
"school-bus_3","Can I sit next to you?","क्या मैं आपके बगल में बैठ सकता हूं?"
"school-bus_4","Thank you bus driver!","शुक्रिया बस ड्राइवर!"
"school-bus_5","School bus was late.","स्कूल बस लेट थी।"
"pencil","Pencil","पेंसिल"
"pencil_2","I'm writing.","में लिख रहा हुँ।"
"pencil_3","I'm learning to write.","मैं लिखना सीख रहा हूं।"
"pencil_4","I need a new pencil.","मुझे एक नई पेंसिल चाहिए।"
"pencil_5","Can I borrow your pencil?","क्या मैं आपकी पेंसिल ले सकता हूँ?"
"pencil_6","I lost my pencil.","मैंने अपनी पेंसिल खो दी।"
"eraser","Eraser","रबड़"
"eraser_2","I'm erasing.","मेरे द्वारा मिटाया जा रहा है।"
"eraser_3","I need a new eraser.","मुझे एक नया इरेज़र चाहिए।"
"eraser_4","Can I borrow your eraser?","क्या मैं आपका इरेज़र उधार ले सकता हूँ?"
"eraser_5","I lost my eraser.","मैंने अपना इरेज़र खो दिया।"
"ruler","Ruler","शासक"
"ruler_2","I'm measuring.","मैं नाप रहा हूं।"
"ruler_3","I need a new ruler.","मुझे एक नए शासक की जरूरत है।"
"ruler_4","Can I borrow your ruler?","क्या मैं आपका शासक उधार ले सकता हूँ?"
"ruler_5","I lost my ruler.","मैंने अपना शासक खो दिया।"
"sharpener","Sharpener","आसियाना"
"sharpener_2","I'm sharpening my pencil.","मैं अपनी पेंसिल तेज कर रहा हूं।"
"sharpener_3","I need a new sharpener.","मुझे एक नया शार्पनर चाहिए।"
"sharpener_4","Can I borrow your sharpener?","क्या मैं आपके शार्पनर को उधार ले सकता हूँ?"
"sharpener_5","I lost my sharpener.","मैंने अपना शार्पनर खो दिया।"
"mathematics","Mathematics","गणित"
"mathematics_2","I like mathematics.","मुझे गणित पसंद है।"
"mathematics_3","I want to study mathematics.","मैं गणित का अध्ययन करना चाहता हूं।"
"mathematics_4","I don't like mathematics.","मुझे गणित पसंद नहीं है।"
"mathematics_5","When is mathematics class?","गणित की कक्षा कब है?"
"mathematics_6","Can you help me with my mathematics homework?","क्या आप मेरे गणित के होमवर्क में मेरी मदद कर सकते हैं?"
"literature","Literature","साहित्य"
"literature_2","I like literature.","मुझे साहित्य पसंद है।"
"literature_3","I want to study literature.","मैं साहित्य का अध्ययन करना चाहता हूं।"
"literature_4","I don't like literature.","मुझे साहित्य पसंद नहीं है।"
"literature_5","When is literature class?","साहित्य वर्ग कब है?"
"literature_6","Can you help me with my literature homework?","क्या आप मेरे साहित्य के होमवर्क में मेरी मदद कर सकते हैं?"
"science","Science","विज्ञान"
"science_2","I like science.","मुझे विज्ञान पसंद है।"
"science_3","I want to study science.","मैं विज्ञान का अध्ययन करना चाहता हूं।"
"science_4","I don't like science.","मुझे विज्ञान पसंद नहीं है।"
"science_5","When is science class?","विज्ञान वर्ग कब है?"
"science_6","Can you help me with my science homework?","क्या आप मेरे विज्ञान के होमवर्क में मेरी मदद कर सकते हैं?"
"art-class","Art class","आर्ट क्लास"
"art-class_2","I like art class.","मुझे आर्ट क्लास पसंद है।"
"art-class_3","I want to practice art skills.","मैं कला कौशल का अभ्यास करना चाहता हूं।"
"art-class_4","I don't like art class.","मुझे आर्ट क्लास पसंद नहीं है।"
"art-class_5","When is art class?","कला वर्ग कब है?"
"art-class_6","Can you help me with my art class homework?","क्या आप मेरी कला वर्ग के होमवर्क में मेरी मदद कर सकते हैं?"
"music-class","Music class","संगीत की कक्षा"
"music-class_2","I like music class.","मुझे म्यूजिक क्लास पसंद है।"
"music-class_3","I want to practice music skills.","मैं संगीत कौशल का अभ्यास करना चाहता हूं।"
"music-class_4","I don't like music class.","मुझे म्यूजिक क्लास पसंद नहीं है।"
"music-class_5","When is music class?","म्यूजिक क्लास कब है?"
"music-class_6","Can you help me with my music class homework?","क्या आप मेरे संगीत वर्ग के होमवर्क में मेरी मदद कर सकते हैं?"
"geography","Geography","भूगोल"
"geography_2","I like geography.","मुझे भूगोल पसंद है।"
"geography_3","I want to study geography.","मैं भूगोल का अध्ययन करना चाहता हूं।"
"geography_4","I don't like geography.","मुझे भूगोल पसंद नहीं है।"
"geography_5","When is geography?","भूगोल कब है?"
"geography_6","Can you help me with my geography homework?","क्या आप मेरे भूगोल के होमवर्क में मेरी मदद कर सकते हैं?"
"telescope","Telescope","दूरबीन"
"telescope_2","I'm using the telescope.","मैं टेलिस्कोप का इस्तेमाल कर रहा हूं।"
"telescope_3","I want to use the telescope.","मैं दूरबीन का उपयोग करना चाहता हूं।"
"telescope_4","I want to look at the stars.","मैं सितारों को देखना चाहता हूं।"
"glue","Glue","गोंद"
"glue_2","I'm using glue.","मैं गोंद का उपयोग कर रहा हूं।"
"glue_3","I need a new glue.","मुझे एक नया गोंद चाहिए।"
"glue_4","Can I borrow your glue?","क्या मैं आपका गोंद उधार ले सकता हूँ?"
"glue_5","I lost my glue.","मैंने अपना गोंद खो दिया।"
"shapes","Shapes","आकृतियाँ"
"circle","Circle","वृत्त"
"circle_2","This is circle shaped.","यह सर्कल के आकार का है।"
"circle_3","Can you teach me how to draw a circle?","क्या आप मुझे सिखा सकते हैं कि एक वृत्त कैसे बनाया जाए?"
"triangle","Triangle","त्रिभुज"
"triangle_2","This is triangle shaped.","यह त्रिभुज के आकार का है।"
"triangle_3","Can you teach me how to draw a triangle?","क्या आप मुझे एक त्रिभुज बनाना सिखा सकते हैं?"
"square","Square","वर्ग"
"square_2","This is square shaped.","यह चौकोर आकार का है।"
"square_3","Can you teach me how to draw a square?","क्या आप मुझे सिखा सकते हैं कि एक वर्ग कैसे बनाएं?"
"rectangle","Rectangle","आयत"
"rectangle_2","This is rectangle shaped.","यह आयत के आकार का है।"
"rectangle_3","Can you teach me how to draw a rectangle?","क्या आप मुझे सिखा सकते हैं कि आयत कैसे बनाई जाए?"
"star","Star","सितारा"
"star_2","This is star shaped.","यह तारे के आकार का है।"
"star_3","Can you teach me how to draw a star?","क्या आप मुझे सिखा सकते हैं कि एक स्टार कैसे बनाया जाए?"
"pentagon","Pentagon","पंचकोण"
"pentagon_2","This is pentagon shaped.","यह पंचकोण आकार का है।"
"pentagon_3","Can you teach me how to draw a pentagon?","क्या आप मुझे सिखा सकते हैं कि पेंटागन कैसे बनाएं?"
"hexagon","Hexagon","षट्कोण"
"hexagon_2","This is hexagon shaped.","यह षट्भुज के आकार का है।"
"hexagon_3","Can you teach me how to draw a hexagon?","क्या आप मुझे सिखा सकते हैं कि षट्भुज कैसे बनाएं?"
"cross","Cross","पार करना"
"cross_2","This is cross shaped.","यह क्रॉस के आकार का है।"
"cross_3","Can you teach me how to draw a cross?","क्या आप मुझे सिखा सकते हैं कि कैसे एक क्रॉस खींचना है?"
"ellipse","Ellipse","अंडाकार"
"ellipse_2","This is ellipse shaped.","यह दीर्घवृत्त के आकार का है।"
"ellipse_3","Can you teach me how to draw a ellipse?","क्या आप मुझे सिखा सकते हैं कि एक दीर्घवृत्त कैसे खींचना है?"
"arrow","Arrow","तीर"
"arrow_2","This is arrow shaped.","यह तीर के आकार का है।"
"arrow_3","Can you teach me how to draw a arrow?","क्या आप मुझे सिखा सकते हैं कि तीर कैसे खींचना है?"
"crescent","Crescent","क्रिसेंट"
"crescent_2","This is crescent shaped.","यह अर्धचंद्राकार है।"
"crescent_3","Can you teach me how to draw a crescent?","क्या आप मुझे सिखा सकते हैं कि अर्धचंद्र कैसे खींचना है?"
"heart","Heart","दिल"
