"activities","Activities","פעילויות"
"father_7","He is my dad.","הוא אבא שלי."
"father_8","Can you help me find my father?","אתה יכול לעזור לי למצוא את אבי?"
"parents","Parents","הורים"
"parents_2","I love my parents.","אני אוהב את ההורים שלי."
"parents_3","I love my parents.","אני אוהב את ההורים שלי."
"parents_4","I miss my parents.","אני מתגעגע להורים שלי."
"parents_5","They are my parents.","הם ההורים שלי."
"parents_6","My parents are taking care of me.","ההורים שלי מטפלים בי."
"parents_8","Can you help me find my parents?","אתה יכול לעזור לי למצוא את ההורים שלי?"
"grandparents","Grandparents","סבים"
"grandparents_2","I love my grandparents.","אני אוהבת את סבא וסבתא שלי."
"grandparents_3","I love you grandparents.","אני אוהב אותך סבים וסבתות."
"grandparents_4","I miss my grandparents.","אני מתגעגע לסבא וסבתא שלי."
"grandparents_5","They are my grandparents.","הם הסבים שלי."
"grandparents_6","My grandparents are taking care of me.","סבא וסבתא שלי מטפלים בי."
"grandparents_8","Can you help me find my grandparents?","אתה יכול לעזור לי למצוא את סבא וסבתא שלי?"
"brother","Brother","אח"
"brother_2","I love my brother.","אני אוהב את אח שלי."
"brother_3","I love you brother.","אני אוהב אותך אחי."
"brother_4","I miss my brother.","אני מתגעגע לאח שלי."
"brother_5","He is my brother.","הוא האח שלי."
"brother_6","My brother is taking care of me.","אחי מטפל בי."
"brother_8","Can you help me find my brother?","אתה יכול לעזור לי למצוא את אחי?"
"sister","Sister","אחות"
"sister_2","I love my sister.","אני אוהב את אחותי."
"sister_3","I love you sister.","אני אוהב אותך, אחותי."
"sister_4","I miss my sister.","אני מתגעגע לאחותי."
"sister_5","She is my sister.","היא אחותי."
"sister_6","My sister is taking care of me.","אחותי מטפלת בי."
"sister_8","Can you help me find my sister?","אתה יכול לעזור לי למצוא את אחותי?"
"uncle","Uncle","דוד"
"uncle_2","I love my uncle.","אני אוהבת את דודי."
"uncle_3","I love you uncle.","אני אוהב אותך דוד."
"uncle_4","I miss my uncle.","אני מתגעגע לדודי."
"uncle_5","He is my uncle.","הוא דודי."
"uncle_8","Can you help me find my uncle?","אתה יכול לעזור לי למצוא את דודי?"
"aunt","Aunt","דודה"
"aunt_2","I love my aunt.","אני אוהב את דודתי."
"aunt_3","I love you aunt.","אני אוהבת אותך דודה."
"aunt_4","I miss my aunt.","אני מתגעגע לדודה שלי."
"aunt_5","She is my aunt.","היא הדודה שלי."
"aunt_8","Can you help me find my aunt?","אתה יכול לעזור לי למצוא את דודה שלי?"
"teacher","Teacher","מורה"
"teacher_2","I love my teacher.","אני אוהב את המורה שלי."
"teacher_3","I love you teacher.","אני אוהב אותך מורה."
"teacher_4","I don't like my teacher.","אני לא אוהב את המורה שלי."
"teacher_5","I miss my teacher.","אני מתגעגע למורה שלי."
"teacher_6","Thank you for the lesson.","תודה על השיעור."
"therapist","Therapist","מטפל"
"therapist_2","I love my therapist.","אני אוהבת את המטפל שלי."
"therapist_3","I love you therapist.","אני אוהב אותך מטפל."
"therapist_4","I don't like my therapist.","אני לא אוהב את המטפל שלי."
"therapist_5","I miss my therapist.","אני מתגעגע למטפל שלי."
"therapist_6","Thank you for the session.","תודה על הפגישה."
"doctor","Doctor","דוקטור"
"doctor_2","I love my doctor.","אני אוהבת את הרופא שלי."
"doctor_3","I love you doctor.","אני אוהב אותך רופא."
"doctor_4","I don't like my doctor.","אני לא אוהב את הרופא שלי."
"doctor_5","I miss my doctor.","אני מתגעגע לרופא שלי."
"doctor_6","Thank you for healing me.","תודה שרפאת אותי."
"friends","Friends","חברים"
"friends_2","I love my friends.","אני אוהב את החברים שלי."
"friends_3","Do you want to be my friend?","אתה רוצה להיות חבר שלי?"
"friends_4","I don't like my friends.","אני לא אוהב את החברים שלי."
"friends_5","I miss my friends.","אני מתגעגע לחברים שלי."
"friends_6","They are my friends.","הם חברים שלי."
"friends_7","Thank you for playing with me.","תודה ששיחקת איתי."
"cousins","Cousins","בני דודים"
"cousins_2","I love my cousins.","אני אוהבת את בני דודי."
"cousins_3","I don't have cousins.","אין לי בני דודים."
"cousins_4","I miss my cousins.","אני מתגעגע לבני דודי."
"cousins_5","They are my cousins.","הם בני הדודים שלי."
"grandmother","Grandmother","סבתא"
"grandmother_2","I love my grandmother.","אני אוהב את סבתא שלי."
"grandmother_3","I love you grandma.","אני אוהב אותך סבתא."
"grandmother_4","I miss my grandma.","אני מתגעגע לסבתא שלי."
"grandmother_5","She is my grandma.","היא סבתא שלי."
"grandfather","Grandfather","סבא"
"grandfather_2","I love my grandfather.","אני אוהב את סבי."
"grandfather_3","I love you grandpa.","אני אוהב אותך סבא."
"grandfather_4","I miss my grandpa.","אני מתגעגע לסבא שלי."
"grandfather_5","He is my grandpa.","הוא סבא שלי."
"stepfather","Stepfather","אבא חורג"
"stepfather_2","I love my stepfather.","אני אוהב את אבי החורג."
"stepfather_3","He is my stepfather.","הוא אבי החורג."
"stepfather_4","I miss my stepfather.","אני מתגעגע לאבי החורג."
"stepfather_5","He is my stepfather.","הוא אבי החורג."
"stepmother","Stepmother","אמא חורגת"
"stepmother_2","I love my stepmother.","אני אוהבת את אמי החורגת."
"stepmother_3","She is my stepmother.","היא אמי החורגת."
"stepmother_4","I miss my stepmother.","אני מתגעגע לאמי החורגת."
"stepmother_5","She is my stepmother.","היא אמי החורגת."
"stepsister","Stepsister","אחות חורגת"
"stepsister_2","I love my stepsister.","אני אוהב את אחי החורג."
"stepsister_3","She is my stepsister.","היא אחות החורג שלי."
"stepsister_4","I miss my stepsister.","אני מתגעגע לאחות החורג שלי."
"stepsister_5","She is my stepsister.","היא אחות החורג שלי."
"stepbrother","Stepbrother","אח חורג"
"stepbrother_2","I love my stepbrother.","אני אוהב את אח החורג שלי."
"stepbrother_3","He is my stepbrother.","הוא אח החורג שלי."
"stepbrother_4","I miss my stepbrother.","אני מתגעגע לאח החורג שלי."
"stepbrother_5","He is my stepbrother.","הוא אח החורג שלי."
"half-brother","Half brother","אח חורג"
"half-brother_2","I love my half brother.","אני אוהב את אחי למחצה."
"half-brother_3","He is my half brother.","הוא אחי למחצה."
"half-brother_4","I miss my half brother.","אני מתגעגע לאחי למחצה."
"half-brother_5","He is my half brother.","הוא אחי למחצה."
"half-sister","Half sister","אחות למחצה"
"half-sister_2","I love my half sister.","אני אוהבת את אחותי למחצה."
"half-sister_3","She is my half sister.","היא אחותי למחצה."
"half-sister_4","I miss my half sister.","אני מתגעגע לאחותי למחצה."
"half-sister_5","She is my half sister.","היא אחותי למחצה."
"quarantine","Quarantine","בידוד"
"protective-mask","Protective mask","מסכת מגן"
"stay-home","Stay home","להישאר בבית"
"toilet-paper","Toilet paper","נייר טואלט"
"sprayer","Sprayer","מרסס"
"disinfectant","Disinfectant","חומר חיטוי"
"thermometer","Thermometer","מד חום"
"coughing","Coughing","שיעול"
"medical-assistance","Medical assistance","עזרה רפואית"
"hand-sanitizer","Hand sanitizer","חומר לחיטוי ידיים"
"gloves","Gloves","כפפות"
"social-distancing","Social distancing","ריחוק חברתי"
"mouth-mask","Mouth mask","מסיכת פה"
"pandemic","Pandemic","מגפה"
"working-at-home","Working at home","עובדים בבית"
"wet-wipes","Wet wipes","מגבונים לחים"
"first-aid-kit","First aid kit","ערכת עזרה ראשונה"
"fitness","Fitness","כושר"
"e-learning","E-learning","למידה אלקטרונית"
"virus","Virus","נגיף"
"cleaning","Cleaning","ניקיון"
"school","School","בית ספר"
"desk","Desk","שולחן כתיבה"
"desk_2","Can I use this desk?","האם אוכל להשתמש בשולחן העבודה הזה?"
"desk_3","Which desk is mine?","איזה שולחן הוא שלי?"
"desk_4","I spilled on my desk.","שפכתי על שולחני."
"desk_5","Don't scratch your desk.","אל תגרד את השולחן שלך."
"chair","Chair","יו"ר"
"chair_2","Can I sit with you?","האם אוכל לשבת איתך?"
"chair_3","Which chair is mine?","איזה כיסא הוא שלי?"
"chair_4","Is this chair taken?","האם הכיסא הזה תפוס?"
"chair_5","I spilled on my chair.","שפכתי על הכיסא שלי."
"book","Book","ספר"
"book_2","Textbook","ספר לימוד"
"book_3","Workbook","חוברת עבודה"
"book_4","Reading a book.","קריאת ספר."
"book_5","Can I borrow your book?","אני יכול לשאול את הספר שלך?"
"book_6","Which page are we at?","באיזה עמוד אנחנו?"
"book_7","Flip the page.","היפוך בדף."
"book_8","I lost my book.","איבדתי את הספר שלי."
"notebook","Notebook","מחברת"
"notebook_2","Taking notes.","לרשום הערות."
"notebook_3","I'm taking notes.","אני רושם הערות."
"notebook_4","I lost my notebook.","איבדתי את המחברת."
"backpack","Backpack","תיק גב"
"backpack_2","Carrying my backpack.","נושא את התרמיל שלי."
"backpack_3","Putting my books in my backpack.","שמתי את ספרי בתרמיל."
"backpack_4","I need a new backpack.","אני צריך תרמיל חדש."
"backpack_5","Thank you for carrying my backpack.","תודה שנשאת את התרמיל שלי."
"backpack_6","I lost my backpack.","איבדתי את התרמיל."
"backpack_7","My backpack is heavy.","התרמיל שלי כבד."
"blackboard","Blackboard","לוח"
"blackboard_2","Look at the blackboard.","התבונן בלוח."
"blackboard_3","Cleaning the blackboard.","ניקוי הלוח."
"blackboard_4","Solving the problem on the blackboard.","פתרון הבעיה על הלוח."
"blackboard_5","Taking note on the blackboard.","רושם על הלוח."
"blackboard_6","Give me a chalk.","תן לי גיר."
"teacher_7","I don't like this topic.","אני לא אוהב את הנושא הזה."
"teacher_8","Thank you for the lesson.","תודה על השיעור."
"school-bus","School bus","אוטובוס בית הספר"
"school-bus_2","School bus is coming.","אוטובוס לבית הספר מגיע."
"school-bus_3","Can I sit next to you?","האם אוכל לשבת לידך?"
"school-bus_4","Thank you bus driver!","תודה לך נהג אוטובוס!"
"school-bus_5","School bus was late.","אוטובוס בית הספר איחר."
"pencil","Pencil","עיפרון"
"pencil_2","I'm writing.","אני כותב."
"pencil_3","I'm learning to write.","אני לומד לכתוב."
"pencil_4","I need a new pencil.","אני צריך עיפרון חדש."
"pencil_5","Can I borrow your pencil?","האם אוכל לשאול את העיפרון שלך?"
"pencil_6","I lost my pencil.","איבדתי את העיפרון."
"eraser","Eraser","מחק"
"eraser_2","I'm erasing.","אני מוחק."
"eraser_3","I need a new eraser.","אני צריך מחק חדש."
"eraser_4","Can I borrow your eraser?","האם אוכל לשאול את המחק שלך?"
"eraser_5","I lost my eraser.","איבדתי את המחק שלי."
"ruler","Ruler","סרגל"
"ruler_2","I'm measuring.","אני מודד."
"ruler_3","I need a new ruler.","אני צריך שליט חדש."
"ruler_4","Can I borrow your ruler?","האם אוכל לשאול את השליט שלך?"
"ruler_5","I lost my ruler.","איבדתי את השליט שלי."
"sharpener","Sharpener","מחדד"
"sharpener_2","I'm sharpening my pencil.","אני משחיז את העיפרון שלי."
"sharpener_3","I need a new sharpener.","אני צריך מחדד חדש."
"sharpener_4","Can I borrow your sharpener?","האם אוכל לשאול את המחדד שלך?"
"sharpener_5","I lost my sharpener.","איבדתי את המחדד שלי."
"mathematics","Mathematics","מתמטיקה"
"mathematics_2","I like mathematics.","אני אוהב מתמטיקה."
"mathematics_3","I want to study mathematics.","אני רוצה ללמוד מתמטיקה."
"mathematics_4","I don't like mathematics.","אני לא אוהב מתמטיקה."
"mathematics_5","When is mathematics class?","מתי השיעור במתמטיקה?"
"mathematics_6","Can you help me with my mathematics homework?","האם אתה יכול לעזור לי עם שיעורי הבית במתמטיקה?"
"literature","Literature","ספרות"
"literature_2","I like literature.","אני אוהב ספרות."
"literature_3","I want to study literature.","אני רוצה ללמוד ספרות."
"literature_4","I don't like literature.","אני לא אוהב ספרות."
"literature_5","When is literature class?","מתי שיעור הספרות?"
"literature_6","Can you help me with my literature homework?","האם אתה יכול לעזור לי בשיעורי הבית בספרות?"
"science","Science","מדע"
"science_2","I like science.","אני אוהב מדע."
"science_3","I want to study science.","אני רוצה ללמוד מדע."
"science_4","I don't like science.","אני לא אוהב מדע."
"science_5","When is science class?","מתי שיעור המדע?"
"science_6","Can you help me with my science homework?","האם אתה יכול לעזור לי בשיעורי הבית המדעיים שלי?"
"art-class","Art class","שיעור אמנות"
"art-class_2","I like art class.","אני אוהב חוג אמנות."
"art-class_3","I want to practice art skills.","אני רוצה לתרגל מיומנויות אמנות."
"art-class_4","I don't like art class.","אני לא אוהב חוג אמנות."
"art-class_5","When is art class?","מתי שיעור אמנות?"
"art-class_6","Can you help me with my art class homework?","האם אתה יכול לעזור לי עם שיעורי הבית בכיתות האמנות שלי?"
"music-class","Music class","שיעור מוסיקה"
"music-class_2","I like music class.","אני אוהב שיעורי מוזיקה."
"music-class_3","I want to practice music skills.","אני רוצה לתרגל מיומנויות מוזיקה."
"music-class_4","I don't like music class.","אני לא אוהב שיעורי מוזיקה."
"music-class_5","When is music class?","מתי שיעור מוסיקה?"
"music-class_6","Can you help me with my music class homework?","האם אתה יכול לעזור לי עם שיעורי הבית בשיעור המוסיקה שלי?"
"geography","Geography","גאוגרפיה"
"geography_2","I like geography.","אני אוהב גיאוגרפיה."
"geography_3","I want to study geography.","אני רוצה ללמוד גיאוגרפיה."
"geography_4","I don't like geography.","אני לא אוהב גיאוגרפיה."
"geography_5","When is geography?","מתי הגיאוגרפיה?"
"geography_6","Can you help me with my geography homework?","האם אתה יכול לעזור לי בשיעורי הבית הגיאוגרפיים שלי?"
"telescope","Telescope","טלסקופ"
"telescope_2","I'm using the telescope.","אני משתמש בטלסקופ."
"telescope_3","I want to use the telescope.","אני רוצה להשתמש בטלסקופ."
"telescope_4","I want to look at the stars.","אני רוצה להסתכל על הכוכבים."
"glue","Glue","דבק"
"glue_2","I'm using glue.","אני משתמש בדבק."
"glue_3","I need a new glue.","אני צריך דבק חדש."
"glue_4","Can I borrow your glue?","האם אוכל לשאול את הדבק שלך?"
"glue_5","I lost my glue.","איבדתי את הדבק."
"shapes","Shapes","צורות"
"circle","Circle","מעגל"
"circle_2","This is circle shaped.","זה בצורת מעגל."
"circle_3","Can you teach me how to draw a circle?","האם אתה יכול ללמד אותי איך לצייר מעגל?"
"triangle","Triangle","משולש"
"triangle_2","This is triangle shaped.","זה בצורת משולש."
"triangle_3","Can you teach me how to draw a triangle?","אתה יכול ללמד אותי איך לצייר משולש?"
"square","Square","כיכר"
"square_2","This is square shaped.","זה בצורת ריבוע."
"square_3","Can you teach me how to draw a square?","אתה יכול ללמד אותי איך לצייר ריבוע?"
"rectangle","Rectangle","מלבן"
"rectangle_2","This is rectangle shaped.","זה בצורת מלבן."
"rectangle_3","Can you teach me how to draw a rectangle?","אתה יכול ללמד אותי איך לצייר מלבן?"
"star","Star","כוכב"
"star_2","This is star shaped.","זה בצורת כוכב."
"star_3","Can you teach me how to draw a star?","אתה יכול ללמד אותי איך לצייר כוכב?"
"pentagon","Pentagon","פנטגון"
"pentagon_2","This is pentagon shaped.","זה בצורת מחומש."
"pentagon_3","Can you teach me how to draw a pentagon?","אתה יכול ללמד אותי איך לצייר מחומש?"
"hexagon","Hexagon","משושה"
"hexagon_2","This is hexagon shaped.","זה בצורת משושה."
"hexagon_3","Can you teach me how to draw a hexagon?","אתה יכול ללמד אותי איך לצייר משושה?"
"cross","Cross","צלב"
"cross_2","This is cross shaped.","זה בצורת צלב."
"cross_3","Can you teach me how to draw a cross?","אתה יכול ללמד אותי איך לצייר צלב?"
"ellipse","Ellipse","אליפסה"
"ellipse_2","This is ellipse shaped.","זה בצורת אליפסה."
"ellipse_3","Can you teach me how to draw a ellipse?","האם אתה יכול ללמד אותי איך לצייר אליפסה?"
"arrow","Arrow","חץ"
"arrow_2","This is arrow shaped.","זה בצורת חץ."
"arrow_3","Can you teach me how to draw a arrow?","אתה יכול ללמד אותי איך לצייר חץ?"
"crescent","Crescent","סהר"
"crescent_2","This is crescent shaped.","זה בצורת סהר."
"crescent_3","Can you teach me how to draw a crescent?","אתה יכול ללמד אותי איך לצייר סהר?"
"heart","Heart","לב"
"heart_2","This is heart shaped.","זה בצורת לב."
"heart_3","Can you teach me how to draw a heart?","האם אתה יכול ללמד אותי איך לצייר לב?"
"rhombus","Rhombus","מעוין"
"rhombus_2","This is rhombus shaped.","זהו מעוין."
"rhombus_3","Can you teach me how to draw a rhombus?","האם אתה יכול ללמד אותי איך לצייר מעוין?"
"ring","Ring","טבעת"
"ring_2","This is ring shaped.","זה בצורת טבעת."
"ring_3","Can you teach me how to draw a ring?","אתה יכול ללמד אותי איך לצייר טבעת?"
"semicircle","Semicircle","חצי עיגול"
"semicircle_2","This is semicircle shaped.","זה בצורת חצי עיגול."
"semicircle_3","Can you teach me how to draw a semicircle?","אתה יכול ללמד אותי איך לצייר חצי עיגול?"
"trapezoid","Trapezoid","טרפז"
"trapezoid_2","This is trapezoid shaped.","זה בצורת טרפז."
"trapezoid_3","Can you teach me how to draw a trapezoid?","אתה יכול ללמד אותי איך לצייר טרפז?"
"cube","Cube","קוביה"
"cube_2","This is cube shaped.","זה בצורת קובייה."
"cube_3","Can you teach me how to draw a cube?","אתה יכול ללמד אותי איך לצייר קוביה?"
"cylinder","Cylinder","צילינדר"
"cylinder_2","This is cylinder shaped.","זה בצורת גליל."
"cylinder_3","Can you teach me how to draw a cylinder?","אתה יכול ללמד אותי איך לצייר צילינדר?"
