"activities","Activities","Ocupaciones"
"cousins_5","They are my cousins.","Ellos son mis primos."
"grandmother","Grandmother","Abuela"
"grandmother_2","I love my grandmother.","Amo a mi abuela."
"grandmother_3","I love you grandma.","Te amo abuela."
"grandmother_4","I miss my grandma.","Extraño a mi abuela."
"grandmother_5","She is my grandma.","Ella es mi abuela"
"grandfather","Grandfather","Abuelo"
"grandfather_2","I love my grandfather.","Amo a mi abuelo"
"grandfather_3","I love you grandpa.","Te amo abuelo."
"grandfather_4","I miss my grandpa.","Extraño a mi abuelo."
"grandfather_5","He is my grandpa.","El es mi abuelo."
"stepfather","Stepfather","Padrastro"
"stepfather_2","I love my stepfather.","Amo a mi padrastro"
"stepfather_3","He is my stepfather.","El es mi padrastro."
"stepfather_4","I miss my stepfather.","Extraño a mi padrastro."
"stepfather_5","He is my stepfather.","El es mi padrastro."
"stepmother","Stepmother","Madrastra"
"stepmother_2","I love my stepmother.","Amo a mi madrastra"
"stepmother_3","She is my stepmother.","Ella es mi madrastra."
"stepmother_4","I miss my stepmother.","Extraño a mi madrastra."
"stepmother_5","She is my stepmother.","Ella es mi madrastra."
"stepsister","Stepsister","Hermanastra"
"stepsister_2","I love my stepsister.","Amo a mi hermanastra"
"stepsister_3","She is my stepsister.","Ella es mi hermanastra"
"stepsister_4","I miss my stepsister.","Extraño a mi hermanastra."
"stepsister_5","She is my stepsister.","Ella es mi hermanastra"
"stepbrother","Stepbrother","Hermanastro"
"stepbrother_2","I love my stepbrother.","Amo a mi hermanastro."
"stepbrother_3","He is my stepbrother.","El es mi hermanastro."
"stepbrother_4","I miss my stepbrother.","Extraño a mi hermanastro."
"stepbrother_5","He is my stepbrother.","El es mi hermanastro."
"half-brother","Half brother","Medio hermano"
"half-brother_2","I love my half brother.","Amo a mi medio hermano"
"half-brother_3","He is my half brother.","El es mi medio hermano."
"half-brother_4","I miss my half brother.","Extraño a mi medio hermano."
"half-brother_5","He is my half brother.","El es mi medio hermano."
"half-sister","Half sister","Media hermana"
"half-sister_2","I love my half sister.","Amo a mi media hermana"
"half-sister_3","She is my half sister.","Ella es mi media hermana."
"half-sister_4","I miss my half sister.","Extraño a mi media hermana."
"half-sister_5","She is my half sister.","Ella es mi media hermana."
"quarantine","Quarantine","Cuarentena"
"protective-mask","Protective mask","Mascarilla protectora"
"stay-home","Stay home","Quedarse en casa"
"toilet-paper","Toilet paper","Papel higiénico"
"sprayer","Sprayer","Rociador"
"disinfectant","Disinfectant","Desinfectante"
"thermometer","Thermometer","Termómetro"
"coughing","Coughing","Tos"
"medical-assistance","Medical assistance","Asistencia medica"
"hand-sanitizer","Hand sanitizer","Alcohol en gel"
"gloves","Gloves","Guantes"
"social-distancing","Social distancing","Distanciamiento social"
"mouth-mask","Mouth mask","Máscara de la boca"
"pandemic","Pandemic","Pandemia"
"working-at-home","Working at home","Trabajando en casa"
"wet-wipes","Wet wipes","Toallitas húmedas"
"first-aid-kit","First aid kit","Kit de primeros auxilios"
"fitness","Fitness","Aptitud"
"e-learning","E-learning","E-learning"
"virus","Virus","Virus"
"cleaning","Cleaning","Limpieza"
"school","School","Colegio"
"desk","Desk","Escritorio"
"desk_2","Can I use this desk?","¿Puedo usar este escritorio?"
"desk_3","Which desk is mine?","¿Qué escritorio es el mío?"
"desk_4","I spilled on my desk.","Me derramé sobre mi escritorio."
"desk_5","Don't scratch your desk.","No rasques tu escritorio."
"chair","Chair","Silla"
"chair_2","Can I sit with you?","¿Puedo sentarme contigo?"
"chair_3","Which chair is mine?","¿Qué silla es mía?"
"chair_4","Is this chair taken?","¿Esta silla está ocupada?"
"chair_5","I spilled on my chair.","Me derramé sobre mi silla."
"book","Book","Libro"
"book_2","Textbook","Libro de texto"
"book_3","Workbook","Libro de trabajo"
"book_4","Reading a book.","Leyendo un libro."
"book_5","Can I borrow your book?","¿Puedo tomar prestado tu libro?"
"book_6","Which page are we at?","¿En qué página estamos?"
"book_7","Flip the page.","Voltear la página."
"book_8","I lost my book.","Perdí mi libro."
"notebook","Notebook","Cuaderno"
"notebook_2","Taking notes.","Tomando notas."
"notebook_3","I'm taking notes.","Estoy tomando notas"
"notebook_4","I lost my notebook.","Perdí mi cuaderno."
"backpack","Backpack","Mochila"
"backpack_2","Carrying my backpack.","Llevando mi mochila."
"backpack_3","Putting my books in my backpack.","Poner mis libros en mi mochila."
"backpack_4","I need a new backpack.","Necesito una mochila nueva"
"backpack_5","Thank you for carrying my backpack.","Gracias por llevar mi mochila."
"backpack_6","I lost my backpack.","Perdí mi mochila."
"backpack_7","My backpack is heavy.","Mi mochila es pesada."
"blackboard","Blackboard","Pizarra"
"blackboard_2","Look at the blackboard.","Mira la pizarra."
"blackboard_3","Cleaning the blackboard.","Limpieza de la pizarra."
"blackboard_4","Solving the problem on the blackboard.","Resolviendo el problema en la pizarra."
"blackboard_5","Taking note on the blackboard.","Tomando nota en la pizarra."
"blackboard_6","Give me a chalk.","Dame una tiza"
"teacher_7","I don't like this topic.","No me gusta este tema"
"teacher_8","Thank you for the lesson.","Gracias por la leccion."
"school-bus","School bus","Autobús escolar"
"school-bus_2","School bus is coming.","Se acerca el autobús escolar."
"school-bus_3","Can I sit next to you?","¿Puedo sentarme a tu lado?"
"school-bus_4","Thank you bus driver!","Gracias conductor de autobús!"
"school-bus_5","School bus was late.","El autobús escolar llegó tarde."
"pencil","Pencil","Lápiz"
"pencil_2","I'm writing.","Estoy escribiendo."
"pencil_3","I'm learning to write.","Estoy aprendiendo a escribir."
"pencil_4","I need a new pencil.","Necesito un lapiz nuevo."
"pencil_5","Can I borrow your pencil?","¿Me prestas tu lapiz?"
"pencil_6","I lost my pencil.","Perdí mi lápiz."
"eraser","Eraser","Borrador"
"eraser_2","I'm erasing.","Estoy borrando."
"eraser_3","I need a new eraser.","Necesito un nuevo borrador."
"eraser_4","Can I borrow your eraser?","¿Puedo tomar prestado tu borrador?"
"eraser_5","I lost my eraser.","Perdí mi borrador."
"ruler","Ruler","gobernante"
"ruler_2","I'm measuring.","Estoy midiendo"
"ruler_3","I need a new ruler.","Necesito una nueva regla."
"ruler_4","Can I borrow your ruler?","¿Me prestas tu regla?"
"ruler_5","I lost my ruler.","Perdí mi regla."
"sharpener","Sharpener","sacapuntas"
"sharpener_2","I'm sharpening my pencil.","Estoy afilando mi lápiz."
"sharpener_3","I need a new sharpener.","Necesito un nuevo sacapuntas."
"sharpener_4","Can I borrow your sharpener?","¿Me prestas tu sacapuntas?"
"sharpener_5","I lost my sharpener.","Perdí mi sacapuntas."
"mathematics","Mathematics","Matemáticas"
"mathematics_2","I like mathematics.","Me gustan las matematicas"
"mathematics_3","I want to study mathematics.","Quiero estudiar matematicas."
"mathematics_4","I don't like mathematics.","No me gustan las matematicas."
"mathematics_5","When is mathematics class?","¿Cuándo es la clase de matemáticas?"
"mathematics_6","Can you help me with my mathematics homework?","¿Me pueden ayudar con mi tarea de matemáticas?"
"literature","Literature","Literatura"
"literature_2","I like literature.","Me gusta la literatura"
"literature_3","I want to study literature.","Quiero estudiar literatura"
"literature_4","I don't like literature.","No me gusta la literatura"
"literature_5","When is literature class?","¿Cuándo es la clase de literatura?"
"literature_6","Can you help me with my literature homework?","¿Me pueden ayudar con mi tarea de literatura?"
"science","Science","Ciencias"
"science_2","I like science.","Me gusta la ciencia."
"science_3","I want to study science.","Quiero estudiar ciencias"
"science_4","I don't like science.","No me gusta la ciencia"
"science_5","When is science class?","¿Cuándo es la clase de ciencias?"
"science_6","Can you help me with my science homework?","¿Me pueden ayudar con mi tarea de ciencias?"
"art-class","Art class","Clase de arte"
"art-class_2","I like art class.","Me gusta la clase de arte"
"art-class_3","I want to practice art skills.","Quiero practicar habilidades artísticas."
"art-class_4","I don't like art class.","No me gusta la clase de arte."
"art-class_5","When is art class?","¿Cuándo es la clase de arte?"
"art-class_6","Can you help me with my art class homework?","¿Me pueden ayudar con mi tarea de clase de arte?"
"music-class","Music class","Clase de musica"
"music-class_2","I like music class.","Me gusta la clase de musica."
"music-class_3","I want to practice music skills.","Quiero practicar habilidades musicales."
"music-class_4","I don't like music class.","No me gusta la clase de musica."
"music-class_5","When is music class?","¿Cuándo es la clase de música?"
"music-class_6","Can you help me with my music class homework?","¿Me pueden ayudar con la tarea de mi clase de música?"
"geography","Geography","Geografía"
"geography_2","I like geography.","Me gusta la geografia."
"geography_3","I want to study geography.","Quiero estudiar geografia."
"geography_4","I don't like geography.","No me gusta la geografía."
"geography_5","When is geography?","¿Cuándo es la geografía?"
"geography_6","Can you help me with my geography homework?","¿Me pueden ayudar con mi tarea de geografía?"
"telescope","Telescope","Telescopio"
"telescope_2","I'm using the telescope.","Estoy usando el telescopio."
"telescope_3","I want to use the telescope.","Quiero usar el telescopio."
"telescope_4","I want to look at the stars.","Quiero mirar las estrellas."
"glue","Glue","pegamento"
"glue_2","I'm using glue.","Estoy usando pegamento."
"glue_3","I need a new glue.","Necesito un nuevo pegamento."
"glue_4","Can I borrow your glue?","¿Me prestas tu pegamento?"
"glue_5","I lost my glue.","Perdí mi pegamento."
"shapes","Shapes","Formas"
"circle","Circle","Circulo"
"circle_2","This is circle shaped.","Esto tiene forma de círculo."
"circle_3","Can you teach me how to draw a circle?","¿Me puedes enseñar a dibujar un círculo?"
"triangle","Triangle","Triángulo"
"triangle_2","This is triangle shaped.","Esto tiene forma de triángulo."
"triangle_3","Can you teach me how to draw a triangle?","¿Me puedes enseñar a dibujar un triángulo?"
"square","Square","Cuadrado"
"square_2","This is square shaped.","Esto tiene forma cuadrada."
"square_3","Can you teach me how to draw a square?","¿Me puedes enseñar a dibujar un cuadrado?"
"rectangle","Rectangle","Rectángulo"
"rectangle_2","This is rectangle shaped.","Esto tiene forma de rectángulo."
"rectangle_3","Can you teach me how to draw a rectangle?","¿Me puedes enseñar a dibujar un rectángulo?"
"star","Star","Estrella"
"star_2","This is star shaped.","Esto tiene forma de estrella."
"star_3","Can you teach me how to draw a star?","¿Me puedes enseñar a dibujar una estrella?"
"pentagon","Pentagon","Pentágono"
"pentagon_2","This is pentagon shaped.","Esto tiene forma de pentágono."
"pentagon_3","Can you teach me how to draw a pentagon?","¿Me puedes enseñar a dibujar un pentágono?"
"hexagon","Hexagon","Hexágono"
"hexagon_2","This is hexagon shaped.","Esto tiene forma de hexágono."
"hexagon_3","Can you teach me how to draw a hexagon?","¿Me puedes enseñar a dibujar un hexágono?"
"cross","Cross","Cruzar"
"cross_2","This is cross shaped.","Esto tiene forma de cruz."
"cross_3","Can you teach me how to draw a cross?","¿Me puedes enseñar a dibujar una cruz?"
"ellipse","Ellipse","Elipse"
"ellipse_2","This is ellipse shaped.","Esta tiene forma de elipse."
"ellipse_3","Can you teach me how to draw a ellipse?","¿Me puedes enseñar a dibujar una elipse?"
"arrow","Arrow","Flecha"
"arrow_2","This is arrow shaped.","Esto tiene forma de flecha."
"arrow_3","Can you teach me how to draw a arrow?","¿Me puedes enseñar a dibujar una flecha?"
"crescent","Crescent","Creciente"
"crescent_2","This is crescent shaped.","Esto tiene forma de media luna."
"crescent_3","Can you teach me how to draw a crescent?","¿Me puedes enseñar a dibujar una media luna?"
"heart","Heart","Corazón"
"heart_2","This is heart shaped.","Esto tiene forma de corazón."
"heart_3","Can you teach me how to draw a heart?","¿Me puedes enseñar a dibujar un corazón?"
"rhombus","Rhombus","Rombo"
"rhombus_2","This is rhombus shaped.","Esto tiene forma de rombo."
"rhombus_3","Can you teach me how to draw a rhombus?","¿Me puedes enseñar a dibujar un rombo?"
"ring","Ring","anillo"
"ring_2","This is ring shaped.","Esto tiene forma de anillo."
"ring_3","Can you teach me how to draw a ring?","¿Me puedes enseñar a dibujar un anillo?"
"semicircle","Semicircle","Semicírculo"
"semicircle_2","This is semicircle shaped.","Esto tiene forma de semicírculo."
"semicircle_3","Can you teach me how to draw a semicircle?","¿Me puedes enseñar a dibujar un semicírculo?"
"trapezoid","Trapezoid","Trapecio"
"trapezoid_2","This is trapezoid shaped.","Esto tiene forma de trapecio."
"trapezoid_3","Can you teach me how to draw a trapezoid?","¿Me puede enseñar cómo dibujar un trapecio?"
"cube","Cube","Cubo"
"cube_2","This is cube shaped.","Esto tiene forma de cubo."
"cube_3","Can you teach me how to draw a cube?","¿Me puedes enseñar a dibujar un cubo?"
"cylinder","Cylinder","Cilindro"
"cylinder_2","This is cylinder shaped.","Esto tiene forma de cilindro."
"cylinder_3","Can you teach me how to draw a cylinder?","¿Me puede enseñar cómo dibujar un cilindro?"
