"activities","Activities","Zajęcia"
"uncle_4","I miss my uncle.","Tęsknię za moim wujem."
"uncle_5","He is my uncle.","On jest moim wujkiem."
"uncle_8","Can you help me find my uncle?","Czy możesz mi pomóc znaleźć mojego wujka?"
"aunt","Aunt","Ciocia"
"aunt_2","I love my aunt.","Kocham moją ciocię."
"aunt_3","I love you aunt.","Kocham cię ciociu."
"aunt_4","I miss my aunt.","Tęsknię za ciocią."
"aunt_5","She is my aunt.","Ona jest moją ciotką."
"aunt_8","Can you help me find my aunt?","Czy możesz mi pomóc znaleźć ciocię?"
"teacher","Teacher","Nauczyciel"
"teacher_2","I love my teacher.","Kocham mojego nauczyciela."
"teacher_3","I love you teacher.","Kocham cię nauczycielu."
"teacher_4","I don't like my teacher.","Nie lubię mojego nauczyciela."
"teacher_5","I miss my teacher.","Tęsknię za moim nauczycielem."
"teacher_6","Thank you for the lesson.","Dziękuję za lekcję."
"therapist","Therapist","Terapeuta"
"therapist_2","I love my therapist.","Kocham mojego terapeuty."
"therapist_3","I love you therapist.","Kocham cię terapeucie."
"therapist_4","I don't like my therapist.","Nie lubię mojego terapeuty."
"therapist_5","I miss my therapist.","Tęsknię za moim terapeutą."
"therapist_6","Thank you for the session.","Dziękuję za sesję."
"doctor","Doctor","Lekarz"
"doctor_2","I love my doctor.","Kocham mojego doktora"
"doctor_3","I love you doctor.","Kocham cię doktorze."
"doctor_4","I don't like my doctor.","Nie lubię mojego lekarza."
"doctor_5","I miss my doctor.","Tęsknię za moim lekarzem."
"doctor_6","Thank you for healing me.","Dziękuję za uzdrowienie mnie."
"friends","Friends","Przyjaciele"
"friends_2","I love my friends.","Kocham moich przyjaciół."
"friends_3","Do you want to be my friend?","Czy chcesz być moim przyjacielem?"
"friends_4","I don't like my friends.","Nie lubię moich przyjaciół."
"friends_5","I miss my friends.","Tęsknię za przyjaciółmi."
"friends_6","They are my friends.","Oni są moimi przyjaciółmi."
"friends_7","Thank you for playing with me.","Dziękuję za grę ze mną."
"cousins","Cousins","Kuzyni"
"cousins_2","I love my cousins.","Kocham moich kuzynów."
"cousins_3","I don't have cousins.","Nie mam kuzynów."
"cousins_4","I miss my cousins.","Tęsknię za moimi kuzynami."
"cousins_5","They are my cousins.","To są moi kuzyni."
"grandmother","Grandmother","Babcia"
"grandmother_2","I love my grandmother.","Kocham moją babcię."
"grandmother_3","I love you grandma.","Kocham twoją babcię."
"grandmother_4","I miss my grandma.","Tęsknię za moją babcią."
"grandmother_5","She is my grandma.","Ona jest moją babcią."
"grandfather","Grandfather","Dziadek"
"grandfather_2","I love my grandfather.","Kocham mojego dziadka"
"grandfather_3","I love you grandpa.","Kocham Cię dziadku."
"grandfather_4","I miss my grandpa.","Tęsknię za moim dziadkiem."
"grandfather_5","He is my grandpa.","On jest moim dziadkiem."
"stepfather","Stepfather","Ojczym"
"stepfather_2","I love my stepfather.","Kocham mojego ojczyma."
"stepfather_3","He is my stepfather.","On jest moim ojczymem."
"stepfather_4","I miss my stepfather.","Tęsknię za ojczymem."
"stepfather_5","He is my stepfather.","On jest moim ojczymem."
"stepmother","Stepmother","Macocha"
"stepmother_2","I love my stepmother.","Kocham swoją macochę."
"stepmother_3","She is my stepmother.","Ona jest moją macochą."
"stepmother_4","I miss my stepmother.","Tęsknię za macochą."
"stepmother_5","She is my stepmother.","Ona jest moją macochą."
"stepsister","Stepsister","Siostra przyrodnia"
"stepsister_2","I love my stepsister.","Kocham moją przyrodnią siostrę."
"stepsister_3","She is my stepsister.","Ona jest moją przyrodnią siostrą."
"stepsister_4","I miss my stepsister.","Tęsknię za moją przyrodnią siostrą."
"stepsister_5","She is my stepsister.","Ona jest moją przyrodnią siostrą."
"stepbrother","Stepbrother","Przyrodni brat"
"stepbrother_2","I love my stepbrother.","Kocham mojego przyrodniego brata."
"stepbrother_3","He is my stepbrother.","On jest moim przyrodnim bratem."
"stepbrother_4","I miss my stepbrother.","Tęsknię za moim przyrodnim bratem."
"stepbrother_5","He is my stepbrother.","On jest moim przyrodnim bratem."
"half-brother","Half brother","Brat przyrodni"
"half-brother_2","I love my half brother.","Kocham mojego przyrodniego brata."
"half-brother_3","He is my half brother.","On jest moim przyrodnim bratem."
"half-brother_4","I miss my half brother.","Tęsknię za moim przyrodnim bratem."
"half-brother_5","He is my half brother.","On jest moim przyrodnim bratem."
"half-sister","Half sister","Przyrodnia siostra"
"half-sister_2","I love my half sister.","Kocham moją przyrodnią siostrę."
"half-sister_3","She is my half sister.","Ona jest moją przyrodnią siostrą."
"half-sister_4","I miss my half sister.","Tęsknię za moją przyrodnią siostrą."
"half-sister_5","She is my half sister.","Ona jest moją przyrodnią siostrą."
"quarantine","Quarantine","Kwarantanna"
"protective-mask","Protective mask","Maska ochronna"
"stay-home","Stay home","Zostań w domu"
"toilet-paper","Toilet paper","Papier toaletowy"
"sprayer","Sprayer","Opryskiwacz"
"disinfectant","Disinfectant","Środek dezynfekujący"
"thermometer","Thermometer","Termometr"
"coughing","Coughing","Kaszel"
"medical-assistance","Medical assistance","Opieka medyczna"
"hand-sanitizer","Hand sanitizer","Sanityzer dłoni"
"gloves","Gloves","Rękawiczki"
"social-distancing","Social distancing","Dystans społeczny"
"mouth-mask","Mouth mask","Maska na usta"
"pandemic","Pandemic","Pandemia"
"working-at-home","Working at home","Pracować w domu"
"wet-wipes","Wet wipes","Chusteczki nawilżane"
"first-aid-kit","First aid kit","Apteczka"
"fitness","Fitness","Zdatność"
"e-learning","E-learning","E-learning"
"virus","Virus","Wirus"
"cleaning","Cleaning","Czyszczenie"
"school","School","Szkoła"
"desk","Desk","Biurko"
"desk_2","Can I use this desk?","Czy mogę korzystać z tego biurka?"
"desk_3","Which desk is mine?","Które biurko jest moje?"
"desk_4","I spilled on my desk.","Wylałem się na biurko."
"desk_5","Don't scratch your desk.","Nie drap swojego biurka."
"chair","Chair","Krzesło"
"chair_2","Can I sit with you?","Mogę z tobą usiąść"
"chair_3","Which chair is mine?","Które krzesło jest moje?"
"chair_4","Is this chair taken?","Czy to krzesło jest zajęte?"
"chair_5","I spilled on my chair.","Rozlałem się na krześle."
"book","Book","Książka"
"book_2","Textbook","Podręcznik"
"book_3","Workbook","zeszyt ćwiczeń"
"book_4","Reading a book.","Czytając książkę."
"book_5","Can I borrow your book?","Czy mogę pożyczyć twoją książkę?"
"book_6","Which page are we at?","Na której jesteśmy stronie?"
"book_7","Flip the page.","Odwróć stronę."
"book_8","I lost my book.","Zgubiłem moją książkę."
"notebook","Notebook","Notatnik"
"notebook_2","Taking notes.","Robić notatki."
"notebook_3","I'm taking notes.","Robię notatki."
"notebook_4","I lost my notebook.","Zgubiłem notatnik."
"backpack","Backpack","Plecak"
"backpack_2","Carrying my backpack.","Niosąc mój plecak."
"backpack_3","Putting my books in my backpack.","Wkładam książki do plecaka."
"backpack_4","I need a new backpack.","Potrzebuję nowego plecaka."
"backpack_5","Thank you for carrying my backpack.","Dziękuję za noszenie mojego plecaka."
"backpack_6","I lost my backpack.","Zgubiłem plecak."
"backpack_7","My backpack is heavy.","Mój plecak jest ciężki."
"blackboard","Blackboard","Tablica szkolna"
"blackboard_2","Look at the blackboard.","Spójrz na tablicę."
"blackboard_3","Cleaning the blackboard.","Czyszczenie tablicy."
"blackboard_4","Solving the problem on the blackboard.","Rozwiązanie problemu na tablicy."
"blackboard_5","Taking note on the blackboard.","Notowanie na tablicy."
"blackboard_6","Give me a chalk.","Daj mi kredę."
"teacher_7","I don't like this topic.","Nie podoba mi się ten temat."
"teacher_8","Thank you for the lesson.","Dziękuję za lekcję."
"school-bus","School bus","Autobus szkolny"
"school-bus_2","School bus is coming.","Nadjeżdża autobus szkolny."
"school-bus_3","Can I sit next to you?","Czy mogę usiąść obok Ciebie?"
"school-bus_4","Thank you bus driver!","Dziękuję kierowcy autobusu!"
"school-bus_5","School bus was late.","Autobus szkolny się spóźnił."
"pencil","Pencil","Ołówek"
"pencil_2","I'm writing.","Piszę."
"pencil_3","I'm learning to write.","Uczę się pisać."
"pencil_4","I need a new pencil.","Potrzebuję nowego ołówka."
"pencil_5","Can I borrow your pencil?","Czy mogę pożyczyć twój ołówek?"
"pencil_6","I lost my pencil.","Zgubiłem ołówek."
"eraser","Eraser","gumka do mazania"
"eraser_2","I'm erasing.","Wymazuję."
"eraser_3","I need a new eraser.","Potrzebuję nowej gumki."
"eraser_4","Can I borrow your eraser?","Czy mogę pożyczyć gumkę?"
"eraser_5","I lost my eraser.","Zgubiłem gumkę."
"ruler","Ruler","Linijka"
"ruler_2","I'm measuring.","Ja mierzę"
"ruler_3","I need a new ruler.","Potrzebuję nowego władcy."
"ruler_4","Can I borrow your ruler?","Czy mogę pożyczyć twojego władcę?"
"ruler_5","I lost my ruler.","Straciłem władcę."
"sharpener","Sharpener","Ostrzałka"
"sharpener_2","I'm sharpening my pencil.","Ostrzę ołówek."
"sharpener_3","I need a new sharpener.","Potrzebuję nowej temperówki."
"sharpener_4","Can I borrow your sharpener?","Czy mogę pożyczyć twoją ostrzałkę?"
"sharpener_5","I lost my sharpener.","Zgubiłem ostrzałkę."
"mathematics","Mathematics","Matematyka"
"mathematics_2","I like mathematics.","Lubię matematykę."
"mathematics_3","I want to study mathematics.","Chcę uczyć się matematyki."
"mathematics_4","I don't like mathematics.","Nie lubię matematyki."
"mathematics_5","When is mathematics class?","Kiedy jest lekcja matematyki?"
"mathematics_6","Can you help me with my mathematics homework?","Czy możesz mi pomóc w odrabianiu lekcji matematyki?"
"literature","Literature","Literatura"
"literature_2","I like literature.","Lubię literaturę"
"literature_3","I want to study literature.","Chcę studiować literaturę."
"literature_4","I don't like literature.","Nie lubię literatury."
"literature_5","When is literature class?","Kiedy jest lekcja literatury?"
"literature_6","Can you help me with my literature homework?","Czy możesz mi pomóc w odrabianiu prac domowych z literatury?"
"science","Science","Nauka"
"science_2","I like science.","Lubię naukę."
"science_3","I want to study science.","Chcę studiować naukę."
"science_4","I don't like science.","Nie lubię nauki."
"science_5","When is science class?","Kiedy jest klasa naukowa?"
"science_6","Can you help me with my science homework?","Czy możesz mi pomóc w odrabianiu lekcji nauki?"
"art-class","Art class","Zajęcia ze sztuki"
"art-class_2","I like art class.","Lubię zajęcia plastyczne."
"art-class_3","I want to practice art skills.","Chcę ćwiczyć umiejętności plastyczne."
"art-class_4","I don't like art class.","Nie lubię zajęć plastycznych."
"art-class_5","When is art class?","Kiedy jest klasa sztuki?"
"art-class_6","Can you help me with my art class homework?","Czy możesz mi pomóc w odrabianiu lekcji sztuki?"
"music-class","Music class","Zajęcia muzyczne"
"music-class_2","I like music class.","Lubię lekcje muzyki."
"music-class_3","I want to practice music skills.","Chcę ćwiczyć umiejętności muzyczne."
"music-class_4","I don't like music class.","Nie lubię lekcji muzyki."
"music-class_5","When is music class?","Kiedy jest klasa muzyczna?"
"music-class_6","Can you help me with my music class homework?","Czy możesz mi pomóc w odrabianiu lekcji muzyki?"
"geography","Geography","Geografia"
"geography_2","I like geography.","Lubię geografię."
"geography_3","I want to study geography.","Chcę studiować geografię."
"geography_4","I don't like geography.","Nie lubię geografii."
"geography_5","When is geography?","Kiedy jest geografia?"
"geography_6","Can you help me with my geography homework?","Czy możesz mi pomóc w pracy domowej z geografii?"
"telescope","Telescope","Teleskop"
"telescope_2","I'm using the telescope.","Używam teleskopu."
"telescope_3","I want to use the telescope.","Chcę użyć teleskopu."
"telescope_4","I want to look at the stars.","Chcę patrzeć na gwiazdy."
"glue","Glue","Klej"
"glue_2","I'm using glue.","Używam kleju."
"glue_3","I need a new glue.","Potrzebuję nowego kleju."
"glue_4","Can I borrow your glue?","Czy mogę pożyczyć twój klej?"
"glue_5","I lost my glue.","Zgubiłem klej."
"shapes","Shapes","Kształty"
"circle","Circle","okrąg"
"circle_2","This is circle shaped.","To jest w kształcie koła."
"circle_3","Can you teach me how to draw a circle?","Czy możesz nauczyć mnie rysować okrąg?"
"triangle","Triangle","Trójkąt"
"triangle_2","This is triangle shaped.","To jest w kształcie trójkąta."
"triangle_3","Can you teach me how to draw a triangle?","Czy możesz nauczyć mnie rysować trójkąt?"
"square","Square","Plac"
"square_2","This is square shaped.","To jest w kształcie kwadratu."
"square_3","Can you teach me how to draw a square?","Czy możesz nauczyć mnie rysować kwadrat?"
"rectangle","Rectangle","Prostokąt"
"rectangle_2","This is rectangle shaped.","To jest w kształcie prostokąta."
"rectangle_3","Can you teach me how to draw a rectangle?","Czy możesz mnie nauczyć, jak narysować prostokąt?"
"star","Star","Gwiazda"
"star_2","This is star shaped.","To jest w kształcie gwiazdy."
"star_3","Can you teach me how to draw a star?","Czy możesz nauczyć mnie rysować gwiazdę?"
"pentagon","Pentagon","Pięciokąt"
"pentagon_2","This is pentagon shaped.","To jest w kształcie pięciokąta."
"pentagon_3","Can you teach me how to draw a pentagon?","Czy nauczysz mnie rysować pięciokąt?"
"hexagon","Hexagon","Sześciokąt"
"hexagon_2","This is hexagon shaped.","To jest w kształcie sześciokąta."
"hexagon_3","Can you teach me how to draw a hexagon?","Czy nauczysz mnie rysować sześciokąt?"
"cross","Cross","Krzyż"
"cross_2","This is cross shaped.","To jest w kształcie krzyża."
"cross_3","Can you teach me how to draw a cross?","Czy możesz mnie nauczyć, jak narysować krzyż?"
"ellipse","Ellipse","Elipsa"
"ellipse_2","This is ellipse shaped.","To jest w kształcie elipsy."
"ellipse_3","Can you teach me how to draw a ellipse?","Czy możesz mnie nauczyć, jak narysować elipsę?"
"arrow","Arrow","Strzałka"
"arrow_2","This is arrow shaped.","To jest w kształcie strzały."
"arrow_3","Can you teach me how to draw a arrow?","Czy możesz mnie nauczyć, jak narysować strzałę?"
"crescent","Crescent","Półksiężyc"
"crescent_2","This is crescent shaped.","To jest w kształcie półksiężyca."
"crescent_3","Can you teach me how to draw a crescent?","Czy możesz mnie nauczyć, jak narysować półksiężyc?"
"heart","Heart","Serce"
"heart_2","This is heart shaped.","To jest w kształcie serca."
"heart_3","Can you teach me how to draw a heart?","Czy możesz nauczyć mnie rysować serce?"
"rhombus","Rhombus","Romb"
"rhombus_2","This is rhombus shaped.","To jest w kształcie rombu."
"rhombus_3","Can you teach me how to draw a rhombus?","Czy nauczysz mnie rysować romb?"
"ring","Ring","Pierścień"
"ring_2","This is ring shaped.","To jest w kształcie pierścienia."
"ring_3","Can you teach me how to draw a ring?","Czy możesz nauczyć mnie rysować pierścień?"
"semicircle","Semicircle","Półkole"
"semicircle_2","This is semicircle shaped.","To jest półkole."
"semicircle_3","Can you teach me how to draw a semicircle?","Czy możesz nauczyć mnie rysować półkole?"
"trapezoid","Trapezoid","Trapezoidalny"
"trapezoid_2","This is trapezoid shaped.","To ma kształt trapezu."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Czy możesz nauczyć mnie rysować trapez?"
"cube","Cube","Sześcian"
"cube_2","This is cube shaped.","To jest w kształcie sześcianu."
"cube_3","Can you teach me how to draw a cube?","Czy możesz nauczyć mnie rysować sześcian?"
"cylinder","Cylinder","Cylinder"
"cylinder_2","This is cylinder shaped.","To ma kształt cylindra."
"cylinder_3","Can you teach me how to draw a cylinder?","Czy możesz nauczyć mnie rysować cylinder?"
