"activities","Activities","Activiteiten"
"doctor_2","I love my doctor.","Ik hou van mijn dokter."
"doctor_3","I love you doctor.","Ik hou van je dokter."
"doctor_4","I don't like my doctor.","Ik mag mijn dokter niet."
"doctor_5","I miss my doctor.","Ik mis mijn dokter."
"doctor_6","Thank you for healing me.","Bedankt dat je me genas."
"friends","Friends","Vrienden"
"friends_2","I love my friends.","Ik hou van mijn vrienden."
"friends_3","Do you want to be my friend?","Wil jij mijn vriend zijn?"
"friends_4","I don't like my friends.","Ik hou niet van mijn vrienden."
"friends_5","I miss my friends.","Ik mis mijn vrienden."
"friends_6","They are my friends.","Zij zijn mijn vrienden."
"friends_7","Thank you for playing with me.","Bedankt voor het spelen met mij."
"cousins","Cousins","Neven en nichten"
"cousins_2","I love my cousins.","Ik hou van mijn neven."
"cousins_3","I don't have cousins.","Ik heb geen neven."
"cousins_4","I miss my cousins.","Ik mis mijn neven."
"cousins_5","They are my cousins.","Zij zijn mijn neven."
"grandmother","Grandmother","Grootmoeder"
"grandmother_2","I love my grandmother.","Ik hou van mijn oma."
"grandmother_3","I love you grandma.","Ik hou van je oma."
"grandmother_4","I miss my grandma.","Ik mis mijn oma."
"grandmother_5","She is my grandma.","Ze is mijn oma."
"grandfather","Grandfather","Grootvader"
"grandfather_2","I love my grandfather.","Ik hou van mijn opa."
"grandfather_3","I love you grandpa.","Ik hou van je opa."
"grandfather_4","I miss my grandpa.","Ik mis mijn opa."
"grandfather_5","He is my grandpa.","Hij is mijn opa."
"stepfather","Stepfather","Stiefvader"
"stepfather_2","I love my stepfather.","Ik hou van mijn stiefvader."
"stepfather_3","He is my stepfather.","Hij is mijn stiefvader."
"stepfather_4","I miss my stepfather.","Ik mis mijn stiefvader."
"stepfather_5","He is my stepfather.","Hij is mijn stiefvader."
"stepmother","Stepmother","Stiefmoeder"
"stepmother_2","I love my stepmother.","Ik hou van mijn stiefmoeder."
"stepmother_3","She is my stepmother.","Ze is mijn stiefmoeder."
"stepmother_4","I miss my stepmother.","Ik mis mijn stiefmoeder."
"stepmother_5","She is my stepmother.","Ze is mijn stiefmoeder."
"stepsister","Stepsister","Stiefzuster"
"stepsister_2","I love my stepsister.","Ik hou van mijn stiefzus."
"stepsister_3","She is my stepsister.","Ze is mijn stiefzus."
"stepsister_4","I miss my stepsister.","Ik mis mijn stiefzus."
"stepsister_5","She is my stepsister.","Ze is mijn stiefzus."
"stepbrother","Stepbrother","Stiefbroer"
"stepbrother_2","I love my stepbrother.","Ik hou van mijn stiefbroer."
"stepbrother_3","He is my stepbrother.","Hij is mijn stiefbroer."
"stepbrother_4","I miss my stepbrother.","Ik mis mijn stiefbroer."
"stepbrother_5","He is my stepbrother.","Hij is mijn stiefbroer."
"half-brother","Half brother","Halfbroer"
"half-brother_2","I love my half brother.","Ik hou van mijn halfbroer."
"half-brother_3","He is my half brother.","Hij is mijn halfbroer."
"half-brother_4","I miss my half brother.","Ik mis mijn halfbroer."
"half-brother_5","He is my half brother.","Hij is mijn halfbroer."
"half-sister","Half sister","Halfzus"
"half-sister_2","I love my half sister.","Ik hou van mijn halfzus."
"half-sister_3","She is my half sister.","Ze is mijn halfzus."
"half-sister_4","I miss my half sister.","Ik mis mijn halfzus."
"half-sister_5","She is my half sister.","Ze is mijn halfzus."
"quarantine","Quarantine","Quarantaine"
"protective-mask","Protective mask","Beschermend masker"
"stay-home","Stay home","Blijf thuis"
"toilet-paper","Toilet paper","Toiletpapier"
"sprayer","Sprayer","Spuit"
"disinfectant","Disinfectant","Ontsmettingsmiddel"
"thermometer","Thermometer","Thermometer"
"coughing","Coughing","Hoesten"
"medical-assistance","Medical assistance","Medische assistentie"
"hand-sanitizer","Hand sanitizer","Handreinigingsmiddel"
"gloves","Gloves","Handschoenen"
"social-distancing","Social distancing","Social distancing"
"mouth-mask","Mouth mask","Mondmasker"
"pandemic","Pandemic","Pandemie"
"working-at-home","Working at home","Thuiswerken"
"wet-wipes","Wet wipes","Natte doekjes"
"first-aid-kit","First aid kit","EHBO doos"
"fitness","Fitness","Fitness"
"e-learning","E-learning","E-learning"
"virus","Virus","Virus"
"cleaning","Cleaning","Reiniging"
"school","School","School"
"desk","Desk","Bureau"
"desk_2","Can I use this desk?","Kan ik dit bureau gebruiken?"
"desk_3","Which desk is mine?","Welk bureau is van mij?"
"desk_4","I spilled on my desk.","Ik heb op mijn bureau gemorst."
"desk_5","Don't scratch your desk.","Kras niet op uw bureau."
"chair","Chair","Stoel"
"chair_2","Can I sit with you?","Mag ik bij je zitten?"
"chair_3","Which chair is mine?","Welke stoel is van mij?"
"chair_4","Is this chair taken?","Is deze stoel bezet?"
"chair_5","I spilled on my chair.","Ik heb op mijn stoel gemorst."
"book","Book","Boek"
"book_2","Textbook","Leerboek"
"book_3","Workbook","Werkboek"
"book_4","Reading a book.","Een boek lezen."
"book_5","Can I borrow your book?","Mag ik jouw boek lenen?"
"book_6","Which page are we at?","Op welke pagina staan we?"
"book_7","Flip the page.","Draai de pagina om."
"book_8","I lost my book.","Ik ben mijn boek kwijt."
"notebook","Notebook","Notebook"
"notebook_2","Taking notes.","Notities nemen."
"notebook_3","I'm taking notes.","Ik maak aantekeningen."
"notebook_4","I lost my notebook.","Ik ben mijn notebook kwijt."
"backpack","Backpack","Rugzak"
"backpack_2","Carrying my backpack.","Mijn rugzak dragen."
"backpack_3","Putting my books in my backpack.","Mijn boeken in mijn rugzak stoppen."
"backpack_4","I need a new backpack.","Ik heb een nieuwe rugzak nodig."
"backpack_5","Thank you for carrying my backpack.","Bedankt voor het dragen van mijn rugzak."
"backpack_6","I lost my backpack.","Ik ben mijn rugzak kwijt."
"backpack_7","My backpack is heavy.","Mijn rugzak is zwaar."
"blackboard","Blackboard","Schoolbord"
"blackboard_2","Look at the blackboard.","Kijk naar het schoolbord."
"blackboard_3","Cleaning the blackboard.","Het bord schoonmaken."
"blackboard_4","Solving the problem on the blackboard.","Het probleem oplossen op het bord."
"blackboard_5","Taking note on the blackboard.","Notitie nemen op het bord."
"blackboard_6","Give me a chalk.","Geef me een krijtje."
"teacher_7","I don't like this topic.","Ik hou niet van dit onderwerp."
"teacher_8","Thank you for the lesson.","Bedankt voor de les."
"school-bus","School bus","Schoolbus"
"school-bus_2","School bus is coming.","De schoolbus komt eraan."
"school-bus_3","Can I sit next to you?","Mag ik naast je zitten?"
"school-bus_4","Thank you bus driver!","Bedankt buschauffeur!"
"school-bus_5","School bus was late.","De schoolbus was laat."
"pencil","Pencil","Potlood"
"pencil_2","I'm writing.","Ik ben aan het schrijven."
"pencil_3","I'm learning to write.","Ik leer schrijven."
"pencil_4","I need a new pencil.","Ik heb een nieuw potlood nodig."
"pencil_5","Can I borrow your pencil?","Kan ik je potlood lenen?"
"pencil_6","I lost my pencil.","Ik ben mijn potlood kwijt."
"eraser","Eraser","Gom"
"eraser_2","I'm erasing.","Ik wis."
"eraser_3","I need a new eraser.","Ik heb een nieuwe gum nodig."
"eraser_4","Can I borrow your eraser?","Mag ik je gum lenen?"
"eraser_5","I lost my eraser.","Ik ben mijn gum kwijt."
"ruler","Ruler","Heerser"
"ruler_2","I'm measuring.","Ik ben aan het meten."
"ruler_3","I need a new ruler.","Ik heb een nieuwe liniaal nodig."
"ruler_4","Can I borrow your ruler?","Mag ik uw liniaal lenen?"
"ruler_5","I lost my ruler.","Ik ben mijn liniaal kwijt."
"sharpener","Sharpener","Slijper"
"sharpener_2","I'm sharpening my pencil.","Ik slijp mijn potlood."
"sharpener_3","I need a new sharpener.","Ik heb een nieuwe puntenslijper nodig."
"sharpener_4","Can I borrow your sharpener?","Mag ik je puntenslijper lenen?"
"sharpener_5","I lost my sharpener.","Ik ben mijn puntenslijper kwijt."
"mathematics","Mathematics","Wiskunde"
"mathematics_2","I like mathematics.","Ik hou van wiskunde."
"mathematics_3","I want to study mathematics.","Ik wil wiskunde studeren."
"mathematics_4","I don't like mathematics.","Ik hou niet van wiskunde."
"mathematics_5","When is mathematics class?","Wanneer is de wiskundeles?"
"mathematics_6","Can you help me with my mathematics homework?","Kun je me helpen met mijn huiswerk voor wiskunde?"
"literature","Literature","Literatuur"
"literature_2","I like literature.","Ik hou van literatuur."
"literature_3","I want to study literature.","Ik wil literatuur studeren."
"literature_4","I don't like literature.","Ik hou niet van literatuur."
"literature_5","When is literature class?","Wanneer is literatuurles?"
"literature_6","Can you help me with my literature homework?","Kun je me helpen met mijn huiswerk voor literatuur?"
"science","Science","Wetenschap"
"science_2","I like science.","Ik hou van wetenschap."
"science_3","I want to study science.","Ik wil wetenschap studeren."
"science_4","I don't like science.","Ik hou niet van wetenschap."
"science_5","When is science class?","Wanneer is science class?"
"science_6","Can you help me with my science homework?","Kunt u mij helpen met mijn wetenschappelijk huiswerk?"
"art-class","Art class","Tekenles"
"art-class_2","I like art class.","Ik hou van kunstles."
"art-class_3","I want to practice art skills.","Ik wil kunstvaardigheden oefenen."
"art-class_4","I don't like art class.","Ik hou niet van kunstles."
"art-class_5","When is art class?","Wanneer is kunstles?"
"art-class_6","Can you help me with my art class homework?","Kun je me helpen met mijn huiswerk in de kunstles?"
"music-class","Music class","Muziek klas"
"music-class_2","I like music class.","Ik hou van muziekles."
"music-class_3","I want to practice music skills.","Ik wil muziekvaardigheden oefenen."
"music-class_4","I don't like music class.","Ik hou niet van muziekles."
"music-class_5","When is music class?","Wanneer is muziekles?"
"music-class_6","Can you help me with my music class homework?","Kun je me helpen met mijn huiswerk voor muzieklessen?"
"geography","Geography","Aardrijkskunde"
"geography_2","I like geography.","Ik hou van geografie."
"geography_3","I want to study geography.","Ik wil aardrijkskunde studeren."
"geography_4","I don't like geography.","Ik hou niet van geografie."
"geography_5","When is geography?","Wanneer is geografie?"
"geography_6","Can you help me with my geography homework?","Kun je me helpen met mijn huiswerk voor geografie?"
"telescope","Telescope","Telescoop"
"telescope_2","I'm using the telescope.","Ik gebruik de telescoop."
"telescope_3","I want to use the telescope.","Ik wil de telescoop gebruiken."
"telescope_4","I want to look at the stars.","Ik wil naar de sterren kijken."
"glue","Glue","Lijm"
"glue_2","I'm using glue.","Ik gebruik lijm."
"glue_3","I need a new glue.","Ik heb een nieuwe lijm nodig."
"glue_4","Can I borrow your glue?","Mag ik je lijm lenen?"
"glue_5","I lost my glue.","Ik ben mijn lijm kwijt."
"shapes","Shapes","Vormen"
"circle","Circle","Cirkel"
"circle_2","This is circle shaped.","Dit is cirkelvormig."
"circle_3","Can you teach me how to draw a circle?","Kun je me leren een cirkel te tekenen?"
"triangle","Triangle","Driehoek"
"triangle_2","This is triangle shaped.","Dit is driehoekig van vorm."
"triangle_3","Can you teach me how to draw a triangle?","Kun je me leren een driehoek te tekenen?"
"square","Square","Vierkant"
"square_2","This is square shaped.","Dit is vierkant van vorm."
"square_3","Can you teach me how to draw a square?","Kun je me leren hoe ik een vierkant teken?"
"rectangle","Rectangle","Rechthoek"
"rectangle_2","This is rectangle shaped.","Dit is rechthoekig."
"rectangle_3","Can you teach me how to draw a rectangle?","Kun je me leren hoe ik een rechthoek moet tekenen?"
"star","Star","Ster"
"star_2","This is star shaped.","Dit is stervormig."
"star_3","Can you teach me how to draw a star?","Kun je me leren een ster te tekenen?"
"pentagon","Pentagon","Pentagon"
"pentagon_2","This is pentagon shaped.","Dit is vijfhoekig."
"pentagon_3","Can you teach me how to draw a pentagon?","Kun je me leren hoe ik een vijfhoek teken?"
"hexagon","Hexagon","Zeshoek"
"hexagon_2","This is hexagon shaped.","Dit is zeshoekig."
"hexagon_3","Can you teach me how to draw a hexagon?","Kun je me leren hoe ik een zeshoek moet tekenen?"
"cross","Cross","Kruis"
"cross_2","This is cross shaped.","Dit is kruisvormig."
"cross_3","Can you teach me how to draw a cross?","Kun je me leren hoe ik een kruis teken?"
"ellipse","Ellipse","Ovaal"
"ellipse_2","This is ellipse shaped.","Dit is ellipsvormig."
"ellipse_3","Can you teach me how to draw a ellipse?","Kun je me leren een ellips te tekenen?"
"arrow","Arrow","Pijl"
"arrow_2","This is arrow shaped.","Dit is pijlvormig."
"arrow_3","Can you teach me how to draw a arrow?","Kun je me leren een pijl te tekenen?"
"crescent","Crescent","Halve maan"
"crescent_2","This is crescent shaped.","Dit is halvemaanvormig."
"crescent_3","Can you teach me how to draw a crescent?","Kun je me leren hoe ik een halve maan teken?"
"heart","Heart","Hart"
"heart_2","This is heart shaped.","Dit is hartvormig."
"heart_3","Can you teach me how to draw a heart?","Kun je me leren hoe ik een hart kan tekenen?"
"rhombus","Rhombus","Ruit"
"rhombus_2","This is rhombus shaped.","Dit is ruitvormig."
"rhombus_3","Can you teach me how to draw a rhombus?","Kun je me leren hoe ik een ruit teken?"
"ring","Ring","Ring"
"ring_2","This is ring shaped.","Dit is ringvormig."
"ring_3","Can you teach me how to draw a ring?","Kun je me leren hoe ik een ring teken?"
"semicircle","Semicircle","Halve cirkel"
"semicircle_2","This is semicircle shaped.","Dit heeft de vorm van een halve cirkel."
"semicircle_3","Can you teach me how to draw a semicircle?","Kun je me leren een halve cirkel te tekenen?"
"trapezoid","Trapezoid","Trapezium"
"trapezoid_2","This is trapezoid shaped.","Dit is trapeziumvormig."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Kun je me leren hoe ik een trapezium moet tekenen?"
"cube","Cube","Kubus"
"cube_2","This is cube shaped.","Dit is kubusvormig."
"cube_3","Can you teach me how to draw a cube?","Kun je me leren een kubus te tekenen?"
"cylinder","Cylinder","Cilinder"
"cylinder_2","This is cylinder shaped.","Dit is cilindervormig."
"cylinder_3","Can you teach me how to draw a cylinder?","Kun je me leren een cilinder te tekenen?"
