"activities","Activities","សកម្មភាព"
"happy_5","I want to feel happy.","ខ្ញុំចង់មានអារម្មណ៍សប្បាយរីករាយ។"
"happy_6","You are making me happy.","អ្នកកំពុងធ្វើឱ្យខ្ញុំសប្បាយចិត្ត។"
"sad","Sad","សោកសៅ"
"sad_2","I'm sad.","ខ្ញុំ​អត់​សប្បាយចិត្ត។"
"sad_3","I feel sad.","ខ្ញុំ​មាន​អារម្មណ៍​ក្រៀមក្រំ។"
"sad_4","Do you feel sad?","តើអ្នកមានអារម្មណ៍សោកសៅទេ?"
"sad_5","I don't want to feel sad.","ខ្ញុំមិនចង់មានអារម្មណ៍សោកសៅទេ។"
"sad_6","You are making me sad.","អ្នកកំពុងធ្វើឱ្យខ្ញុំសោកសៅ។"
"exhausted","Exhausted","ហត់នឿយ"
"exhausted_2","I'm exhausted.","ខ្ញុំហត់នឿយណាស់។"
"exhausted_3","I feel exhausted.","ខ្ញុំមានអារម្មណ៍ហត់នឿយណាស់។"
"exhausted_4","Do you feel exhausted?","តើអ្នកមានអារម្មណ៍ហត់នឿយទេ?"
"exhausted_5","I don't want to be exhausted.","ខ្ញុំមិនចង់ហត់នឿយទេ។"
"relaxed","Relaxed","សម្រាក"
"relaxed_2","I'm relaxed.","ខ្ញុំបានសម្រាក។"
"relaxed_3","I feel relaxed.","ខ្ញុំមានអារម្មណ៍ធូរស្បើយ។"
"relaxed_4","Do you feel relaxed?","តើអ្នកមានអារម្មណ៍ធូរស្បើយទេ?"
"relaxed_5","I want to feel relaxed.","ខ្ញុំចង់មានអារម្មណ៍ធូរស្បើយ។"
"in-love","In love","ក្នុង​ក្តី​ស្រលាញ់"
"in-love_2","I'm in love.","ខ្ញុំ​កំពុង​លង់​ស្នេហ៍។"
"in-love_3","I feel in love.","ខ្ញុំមានអារម្មណ៍ថាស្រលាញ់។"
"in-love_4","Are you in love?","តើអ្នកមានស្នេហាទេ?"
"in-love_5","I want to fall in love.","ខ្ញុំចង់ធ្លាក់ក្នុងអន្លង់ស្នេហ៍។"
"in-love_6","Do you love me?","តើ​អ្នក​ស្រលាញ់​ខ្ញុំ​ទេ?"
"stressed","Stressed","ស្ត្រេស"
"stressed_2","I'm stressed.","ខ្ញុំតានតឹង។"
"stressed_3","I feel stressed.","ខ្ញុំមានអារម្មណ៍តានតឹង។"
"stressed_4","Do you feel stressed?","តើអ្នកមានអារម្មណ៍តានតឹងទេ?"
"stressed_5","I don't want to feel stressed.","ខ្ញុំមិនចង់មានអារម្មណ៍តានតឹងទេ។"
"thankful","Thankful","អរគុណ"
"thankful_2","I'm thankful.","ខ្ញុំសូមអរគុណ។"
"thankful_3","I feel thankful.","ខ្ញុំមានអារម្មណ៍ថ្លែងអំណរគុណ។"
"thankful_4","Do you feel thankful?","តើអ្នកមានអំណរគុណទេ?"
"thankful_5","I want to feel thankful.","ខ្ញុំចង់មានអំណរគុណ។"
"confused","Confused","ច្រឡំ"
"confused_2","I'm confused.","ខ្ញុ​ុំ​ច្រលំ។"
"confused_3","I feel confused.","ខ្ញុំមានអារម្មណ៍ច្របូកច្របល់។"
"confused_4","Do you feel confused?","តើអ្នកមានអារម្មណ៍ច្របូកច្របល់ទេ?"
"confused_5","You are confusing me.","អ្នកកំពុងច្រលំខ្ញុំ។"
"joyful","Joyful","រីករាយ"
"joyful_2","I'm joyful.","ខ្ញុំរីករាយណាស់។"
"joyful_3","I feel joyful.","ខ្ញុំមានអារម្មណ៍រីករាយ។"
"joyful_4","Do you feel joyful?","តើអ្នកមានអារម្មណ៍រីករាយទេ?"
"joyful_5","I want to feel joyful.","ខ្ញុំចង់មានអារម្មណ៍រីករាយ។"
"angry","Angry","ខឹង"
"angry_2","I'm angry.","ខ្ញុំ​ខឹង។"
"angry_3","I feel angry.","ខ្ញុំមានអារម្មណ៍ខឹង។"
"angry_4","Do you feel angry?","តើអ្នកមានអារម្មណ៍ខឹងទេ?"
"angry_5","I'm angry at you.","ខ្ញុំខឹងអ្នក។"
"angry_6","You are making me angry.","អ្នកកំពុងធ្វើឱ្យខ្ញុំខឹង។"
"smart","Smart","ឆ្លាត"
"smart_2","I'm smart.","ខ្ញុំ​ឆ្លាត។"
"smart_3","I feel smart.","ខ្ញុំមានអារម្មណ៍ឆ្លាត។"
"smart_4","Do you feel smart?","តើអ្នកមានអារម្មណ៍ឆ្លាតទេ?"
"smart_5","Am I smart?","តើខ្ញុំឆ្លាតទេ?"
"smart_6","You are smart!","អ្នក​គឺ​ឆ្លាត!"
"afraid","Afraid","ខ្លាច"
"afraid_2","I'm afraid.","ខ្ញុំ​ខ្លាច។"
"afraid_3","I feel afraid.","ខ្ញុំមានអារម្មណ៍ភ័យខ្លាច។"
"afraid_4","Do you feel afraid?","តើអ្នកមានអារម្មណ៍ភ័យខ្លាចទេ?"
"afraid_5","I don't want to feel afraid.","ខ្ញុំមិនចង់មានអារម្មណ៍ភ័យខ្លាចទេ។"
"afraid_6","You are scaring me.","អ្នកកំពុងបំភ័យខ្ញុំ។"
"ashamed","Ashamed","ខ្មាស់អៀន"
"ashamed_2","I'm ashamed.","ខ្ញំ​ុ​ខ្មាសគេ​ណាស់។"
"ashamed_3","I feel ashamed.","ខ្ញុំមានអារម្មណ៍ខ្មាស់អៀន។"
"ashamed_4","Do you feel ashamed?","តើអ្នកមានអារម្មណ៍ខ្មាស់អៀនទេ?"
"ashamed_5","I don't want to feel ashamed.","ខ្ញុំមិនចង់ខ្មាស់អៀនទេ។"
"shocked","Shocked","រន្ធត់"
"shocked_2","I'm shocked.","ខ្ញុំ​រន្ធត់។"
"shocked_3","I feel shocked.","ខ្ញុំមានអារម្មណ៍តក់ស្លុត។"
"shocked_4","Do you feel shocked?","តើអ្នកមានអារម្មណ៍តក់ស្លុតទេ?"
"shocked_5","You shocked me.","អ្នកធ្វើឱ្យខ្ញុំភ្ញាក់ផ្អើល។"
"sick","Sick","ឈឺ"
"sick_2","I'm sick.","ខ្ញុំ​ឈឺ។"
"sick_3","I feel sick.","ខ្ញុំ​មាន​អារម្មណ៍​ថា​ឈឺ។"
"sick_4","Do you feel sick?","តើអ្នកមានអារម្មណ៍ឈឺទេ?"
"sick_5","I don't want to be sick.","ខ្ញុំមិនចង់ឈឺទេ។"
"sick_6","I'm sick of the food.","ខ្ញុំឈឺអាហារ។"
"frustrated","Frustrated","ខកចិត្ត"
"frustrated_2","I'm frustrated.","ខ្ញុំខកចិត្ត។"
"frustrated_3","I feel frustrated.","ខ្ញុំមានអារម្មណ៍មិនសប្បាយចិត្ត។"
"frustrated_4","Do you feel frustrated?","តើអ្នកមានអារម្មណ៍តានតឹងទេ?"
"frustrated_5","I don't want to feel frustrated.","ខ្ញុំមិនចង់មានអារម្មណ៍តានតឹងទេ។"
"excited","Excited","រំភើប"
"excited_2","I'm excited.","ខ្ញុំ​រំភើប។"
"excited_3","I feel excited.","ខ្ញុំមានអារម្មណ៍រំភើប។"
"excited_4","Do you feel excited?","តើអ្នកមានអារម្មណ៍រំភើបទេ?"
"excited_5","I don't want to feel excited.","ខ្ញុំមិនចង់មានអារម្មណ៍រំភើបទេ។"
"nauseated","Nauseated","ចង្អោរ"
"nauseated_2","I'm nauseated.","ខ្ញុំចង់ក្អួត។"
"nauseated_3","I feel nauseated.","ខ្ញុំមានអារម្មណ៍ចង់ក្អួត។"
"nauseated_4","Do you feel nauseated?","តើអ្នកមានអារម្មណ៍ចង់ក្អួតទេ?"
"nauseated_5","I don't want to feel nauseated.","ខ្ញុំមិនចង់មានអារម្មណ៍ចង់ក្អួតទេ។"
"agitated","Agitated","ធុញថប់"
"agitated_2","I'm agitated.","ខ្ញុំភ័យណាស់។"
"agitated_3","I feel agitated.","ខ្ញុំមានអារម្មណ៍ធុញថប់។"
"agitated_4","Do you feel agitated?","តើអ្នកមានអារម្មណ៍ធុញថប់ទេ?"
"agitated_5","I don't want to feel agitated.","ខ្ញុំមិនចង់មានអារម្មណ៍ធុញថប់ទេ។"
"food","Food","អាហារ"
"hungry","Hungry","ឃ្លាន"
"hungry_2","I'm hungry.","ខ្ញុំ​ឃ្លាន។"
"hungry_3","Are you hungry?","តើ​អ្នក​ឃ្លាន​ហើយ​ឬ​នៅ?"
"hungry_4","Can you make me food?","តើអ្នកអាចធ្វើឱ្យខ្ញុំម្ហូបអាហារបានទេ?"
"hungry_5","What is for dinner?","តើអ្វីទៅសម្រាប់អាហារពេលល្ងាច?"
"thirsty","Thirsty","ស្រេកទឹក"
"thirsty_2","I'm thirsty.","ខ្ញុំ​ស្រេកទឹក។"
"thirsty_3","Can I have some water?","តើខ្ញុំអាចមានទឹកបានទេ?"
"thirsty_4","Can I have a glass of water?","តើខ្ញុំអាចមានទឹកមួយកែវទេ?"
"thirsty_5","I want something to drink.","ខ្ញុំចង់បានអ្វីមួយផឹក។"
"cutlery","Cutlery","ម៉ាស៊ីនកាត់"
"cutlery_2","I need cutlery.","ខ្ញុំត្រូវការម៉ាស៊ីនកាត់។"
"cutlery_3","Help me use cutlery.","ជួយខ្ញុំឱ្យប្រើម៉ាស៊ីនកាត់។"
"cutlery_4","I need a fork.","ខ្ញុំត្រូវការសមមួយ។"
"cutlery_5","I need a spoon.","ខ្ញុំត្រូវការស្លាបព្រា។"
"cutlery_6","I need chopsticks.","ខ្ញុំត្រូវការចង្កឹះ។"
"cutlery_7","I need a knife.","ខ្ញុំត្រូវការកាំបិត។"
"cutlery_8","I need a napkin.","ខ្ញុំត្រូវការកន្សែង។"
"apple","Apple","ផ្លែប៉ោម"
"apple_2","I like apple.","ខ្ញុំចូលចិត្តផ្លែប៉ោម។"
"apple_3","I don't like apple.","ខ្ញុំមិនចូលចិត្តផ្លែប៉ោមទេ។"
"apple_4","I want to eat an apple.","ខ្ញុំចង់ញ៉ាំផ្លែប៉ោមមួយ។"
"carrot","Carrot","ការ៉ុត"
"carrot_2","I like carrot.","ខ្ញុំចូលចិត្តការ៉ុត។"
"carrot_3","I don't like carrot.","ខ្ញុំមិនចូលចិត្តការ៉ុតទេ។"
"carrot_4","I want to eat a carrot.","ខ្ញុំចង់ញ៉ាំការ៉ុតមួយ។"
"beans","Beans","សណ្តែក"
"beans_2","I like beans.","ខ្ញុំចូលចិត្តសណ្តែក។"
"beans_3","I don't like beans.","ខ្ញុំមិនចូលចិត្តសណ្តែកទេ។"
"beans_4","I want to eat beans.","ខ្ញុំចង់ញ៉ាំសណ្តែក។"
"chicken_5","I want fried chicken.","ខ្ញុំចង់បានសាច់មាន់ចៀន។"
"chicken_6","I want boiled chicken.","ខ្ញុំចង់បានសាច់មាន់ឆ្អិន។"
"chocolate","Chocolate","សូកូឡា"
"chocolate_2","I like chocolate.","ខ្ញុំ​ចូលចិត្ត​សូកូឡា។"
"chocolate_3","I don't like chocolate.","ខ្ញុំមិនចូលចិត្តសូកូឡាទេ។"
"chocolate_4","I want to eat chocolate.","ខ្ញុំចង់ញ៉ាំសូកូឡា។"
"chocolate_5","I want dark chocolate.","ខ្ញុំចង់បានសូកូឡាខ្មៅ។"
"chocolate_6","I want white chocolate.","ខ្ញុំចង់បានសូកូឡាពណ៌ស។"
"milk","Milk","ទឹកដោះគោ"
"milk_2","I like milk.","ខ្ញុំចូលចិត្តទឹកដោះគោ។"
"milk_3","I don't like milk.","ខ្ញុំមិនចូលចិត្តទឹកដោះគោទេ។"
"milk_4","I want to drink milk.","ខ្ញុំចង់ផឹកទឹកដោះគោ។"
"milk_5","Can I have a glass of milk?","តើខ្ញុំអាចមានទឹកដោះគោមួយកែវបានទេ?"
"sandwich","Sandwich","សាន់វិច"
"sandwich_2","I like sandwich.","ខ្ញុំចូលចិត្តនំសាំងវិច។"
"sandwich_3","I don't like sandwich.","ខ្ញុំមិនចូលចិត្តសាំងវិចទេ។"
"sandwich_4","I want to eat a sandwich.","ខ្ញុំចង់ញ៉ាំនំសាំងវិច។"
"sandwich_5","Can you make me a sandwich?","តើអ្នកអាចធ្វើឱ្យខ្ញុំ Sandwich មួយ?"
"steak","Steak","សាច់អាំង"
"steak_2","I like steak.","ខ្ញុំចូលចិត្តសាច់អាំង។"
"steak_3","I don't like steak.","ខ្ញុំមិនចូលចិត្តសាច់អាំងទេ។"
"steak_4","I want to eat steak.","ខ្ញុំចង់ញ៉ាំសាច់អាំង។"
"steak_5","Can you cook steak for me?","តើអ្នកអាចចំអិនសាច់អាំងសម្រាប់ខ្ញុំបានទេ?"
"banana","Banana","ចេក"
"banana_2","I like banana.","ខ្ញុំចូលចិត្តចេក។"
"banana_3","I don't like banana.","ខ្ញុំមិនចូលចិត្តចេកទេ។"
"banana_4","I want to eat a banana.","ខ្ញុំចង់ញ៉ាំចេកមួយ។"
"pie","Pie","ចំណិត"
"pie_2","I like pie.","ខ្ញុំចូលចិត្តនំ។"
"pie_3","I don't like pie.","ខ្ញុំមិនចូលចិត្តនំទេ។"
"pie_4","I want to eat pie.","ខ្ញុំចង់ញ៉ាំនំ។"
"pie_5","Can you bake a pie for me?","តើអ្នកអាចដុតនំសម្រាប់ខ្ញុំបានទេ?"
"egg","Egg","ស៊ុត"
"egg_2","I like egg.","ខ្ញុំចូលចិត្តស៊ុត។"
"egg_3","I don't like egg.","ខ្ញុំមិនចូលចិត្តពងទេ។"
"egg_4","I want to eat egg.","ខ្ញុំចង់ញ៉ាំពង។"
"egg_5","I want fried eggs.","ខ្ញុំចង់បានស៊ុតចៀន។"
"egg_6","I want boiled eggs.","ខ្ញុំចង់បានពងឆ្អិន។"
"noodles","Noodles","មី"
"noodles_2","I like noodles.","ខ្ញុំចូលចិត្តមី។"
"noodles_3","I don't like noodles.","ខ្ញុំមិនចូលចិត្តមីទេ។"
"noodles_4","I want to eat noodles.","ខ្ញុំចង់ញ៉ាំគុយទាវ។"
"noodles_5","Can you cook noodles for me?","តើអ្នកអាចចំអិនគុយទាវសម្រាប់ខ្ញុំបានទេ?"
"salt","Salt","អំបិល"
"salt_2","I want salt.","ខ្ញុំចង់បានអំបិល។"
"salt_3","Can you pass me the salt?","តើអ្នកអាចហុចអំបិលខ្ញុំបានទេ?"
"salt_4","Food is too salty.","អាហារមានជាតិប្រៃពេក។"
"salt_5","My food needs some salt.","អាហាររបស់ខ្ញុំត្រូវការអំបិលខ្លះ។"
"spices","Spices","គ្រឿងទេស"
"spices_2","I like spicy food.","ខ្ញុំចូលចិត្តម្ហូបហឹរ។"
"spices_3","I don't like spicy food.","ខ្ញុំមិនចូលចិត្តម្ហូបហឹរទេ។"
"spices_4","I want paprika.","ខ្ញុំចង់បាន paprika ។"
"spices_5","I want black pepper.","ខ្ញុំចង់បានម្រេចខ្មៅ។"
"pizza","Pizza","ភីហ្សា"
"pizza_2","I like pizza.","ខ្ញុំ​ចូលចិត្ត​ភី​ហ្សា។"
"pizza_3","I don't like pizza.","ខ្ញុំមិនចូលចិត្តភីហ្សាទេ។"
"pizza_4","I want to eat pizza.","ខ្ញុំចង់ញ៉ាំភីហ្សា។"
"pizza_5","Can you cook pizza for me?","តើអ្នកអាចចំអិនភីហ្សាសម្រាប់ខ្ញុំបានទេ?"
"pizza_6","Can we order pizza?","តើយើងអាចបញ្ជាទិញភីហ្សាបានទេ?"
"cheese","Cheese","ឈីស"
"cheese_2","I like cheese.","ខ្ញុំ​ចូលចិត្ត​ឈី​ស។"
"cheese_3","I don't like cheese.","ខ្ញុំមិនចូលចិត្តឈីសទេ។"
"cheese_4","I want to eat cheese.","ខ្ញុំចង់ញ៉ាំឈីស។"
"ice-cream","Ice cream","ការ៉េម"
"ice-cream_2","I like ice cream.","ខ្ញុំ​ចូលចិត្ត​ការ៉េម។"
"ice-cream_3","I don't like ice cream.","ខ្ញុំមិនចូលចិត្តការ៉េមទេ។"
"ice-cream_4","I want to eat ice cream.","ខ្ញុំចង់ញ៉ាំការ៉េម។"
"ice-cream_5","Can you buy ice cream for me?","តើអ្នកអាចទិញការ៉េមអោយខ្ញុំបានទេ?"
"tea","Tea","តែ"
"tea_2","I like tea.","ខ្ញុំចូលចិត្តតែ។"
"tea_3","I don't like tea.","ខ្ញុំមិនចូលចិត្តតែ។"
"tea_4","I want to drink tea.","ខ្ញុំចង់ផឹកតែ។"
"tea_5","Can you make tea for me?","តើអ្នកអាចធ្វើតែសម្រាប់ខ្ញុំបានទេ?"
"coffee","Coffee","កាហ្វេ"
"coffee_2","I like coffee.","ខ្ញុំចូលចិត្តកាហ្វេ។"
"coffee_3","I don't like coffee.","ខ្ញុំមិនចូលចិត្តកាហ្វេទេ។"
"coffee_4","I want to drink coffee.","ខ្ញុំចង់ផឹកកាហ្វេ។"
"coffee_5","Can you make coffee for me?","តើអ្នកអាចធ្វើកាហ្វេសម្រាប់ខ្ញុំបានទេ?"
"tomato","Tomato","ប៉េងប៉ោះ"
"tomato_2","I like tomato.","ខ្ញុំចូលចិត្តប៉េងប៉ោះ។"
"tomato_3","I don't like tomato.","ខ្ញុំមិនចូលចិត្តប៉េងប៉ោះទេ។"
"tomato_4","I want to eat tomato.","ខ្ញុំចង់ញ៉ាំប៉េងប៉ោះ។"
"cereal","Cereal","ធញ្ញជាតិ"
"cereal_2","I like cereal.","ខ្ញុំចូលចិត្តធញ្ញជាតិ។"
"cereal_3","I don't like cereal.","ខ្ញុំមិនចូលចិត្តធញ្ញជាតិទេ។"
"cereal_4","I want to eat cereal.","ខ្ញុំចង់ញ៉ាំធញ្ញជាតិ។"
"cereal_5","Can you make my cereal?","តើអ្នកអាចធ្វើធញ្ញជាតិរបស់ខ្ញុំបានទេ?"
"burger","Burger","ប៊ឺហ្គឺរ"
"burger_2","I like burger.","ខ្ញុំចូលចិត្តប៊ឺហ្គឺរ។"
"burger_3","I don't like burger.","ខ្ញុំមិនចូលចិត្តប៊ឺហ្គឺរទេ។"
"burger_4","I want to eat burger.","ខ្ញុំចង់ញ៉ាំប៊ឺហ្គឺរ។"
"burger_5","Can you cook burger for me?","តើអ្នកអាចចំអិនប៊ឺហ្គឺសម្រាប់ខ្ញុំបានទេ?"
"burger_6","Can we order burger?","តើយើងអាចបញ្ជាទិញប៊ឺហ្គឺបានទេ?"
"french-fries","French fries","ដំឡូងបំពងបារាំង"
"french-fries_2","I like french fries.","ខ្ញុំចូលចិត្តម្ហូបបំពងបារាំង។"
"french-fries_3","I don't like french fries.","ខ្ញុំមិនចូលចិត្តដំឡូងបំពងបារាំងទេ។"
"french-fries_4","I want to eat french fries.","ខ្ញុំចង់ញ៉ាំដំឡូងបំពងបារាំង។"
"french-fries_5","Can you cook french fries for me?","តើអ្នកអាចចំអិនដំឡូងបំពងអោយខ្ញុំបានទេ?"
"french-fries_6","Can we order french fries?","តើយើងអាចកុម្ម៉ង់ដំឡូងបំពងបានទេ?"
"spinach","Spinach","ស្ពៃខ្មៅ"
"spinach_2","I like spinach.","ខ្ញុំចូលចិត្តស្ពៃខ្មៅ។"
"spinach_3","I don't like spinach.","ខ្ញុំមិនចូលចិត្តស្ពៃខ្មៅទេ។"
"spinach_4","I want to eat spinach.","ខ្ញុំចង់ញ៉ាំត្រឡាច។"
"rice","Rice","ស្រូវ"
"rice_2","I like rice.","ខ្ញុំចូលចិត្តបាយ។"
"rice_3","I don't like rice.","ខ្ញុំមិនចូលចិត្តបាយទេ។"
"rice_4","I want to eat rice.","ខ្ញុំចង់ញ៉ាំបាយ។"
"rice_5","Can you cook rice for me?","តើអ្នកអាចចំអិនបាយសម្រាប់ខ្ញុំបានទេ?"
"bread","Bread","នំប៉័ង"
"bread_2","I like bread.","ខ្ញុំចូលចិត្តនំប៉័ង។"
"bread_3","I don't like bread.","ខ្ញុំមិនចូលចិត្តនំបុ័ងទេ។"
"bread_4","I want to eat bread.","ខ្ញុំចង់ញ៉ាំនំបុ័ង។"
"bread_5","Can you buy some bread?","តើអ្នកអាចទិញនំបុ័ងបានទេ?"
"pasta","Pasta","ប៉ាស្តា"
"pasta_2","I like pasta.","ខ្ញុំចូលចិត្តប៉ាស្តា។"
"pasta_3","I don't like pasta.","ខ្ញុំមិនចូលចិត្តប៉ាស្តាទេ។"
"pasta_4","I want to eat pasta.","ខ្ញុំចង់ញ៉ាំប៉ាស្តា។"
"pasta_5","Can you cook pasta for me?","តើអ្នកអាចចំអិនប៉ាស្តាសម្រាប់ខ្ញុំបានទេ?"
"sauce","Sauce","ទឹកជ្រលក់"
"sauce_2","I like sauce.","ខ្ញុំចូលចិត្តទឹកជ្រលក់។"
"sauce_3","I don't like sauce.","ខ្ញុំមិនចូលចិត្តទឹកជ្រលក់ទេ។"
"sauce_4","I want some sauce.","ខ្ញុំចង់បានទឹកជ្រលក់ខ្លះ។"
"sauce_5","Can I have ketchup?","តើខ្ញុំអាចមាន ketchup បានទេ?"
"sauce_6","Can I have mayonnaise?","តើខ្ញុំអាចមាន mayonnaise ទេ?"
"sauce_7","Can I have mustard?","តើខ្ញុំអាចមានស្ពៃខ្មៅទេ?"
"sauce_8","Can I have ranch sauce?","តើខ្ញុំអាចមានទឹកជ្រលក់ចិញ្ចឹមសត្វបានទេ?"
"kebab","Kebab","ខេបបា"
"kebab_2","I like kebab.","ខ្ញុំចូលចិត្ត kebab ។"
"kebab_3","I don't like kebab.","ខ្ញុំមិនចូលចិត្ត kebab ទេ។"
"kebab_4","I want to eat kebab.","ខ្ញុំចង់ញ៉ាំ kebab ។"
"kebab_5","Can you cook kebab for me?","តើអ្នកអាចចំអិនម្ហូប kebab សម្រាប់ខ្ញុំបានទេ?"
"kebab_6","Can we order kebab?","តើយើងអាចបញ្ជាទិញ kebab បានទេ?"
"numbers","Numbers","លេខ"
"one","One","មួយ"
"one_2","One comes before two.","មួយមកមុនពីរ។"
"one_3","One comes after zero.","មួយកើតឡើងបន្ទាប់ពីសូន្យ។"
"one_4","I want one.","ខ្ញុំ​ចង់បាន​មួយ។"
"two","Two","ពីរ"
"two_2","Two comes before three.","ពីរនាក់មកមុនបី។"
"two_3","Two comes after one.","ពីរកើតឡើងបន្ទាប់ពីមួយ។"
"two_4","I want two.","ខ្ញុំចង់បានពីរ។"
"three","Three","បី"
"three_2","Three comes before four.","បីមកមុនបួន។"
"three_3","Three comes after two.","បីកើតឡើងបន្ទាប់ពីពីរ។"
"three_4","I want three.","ខ្ញុំចង់បានបី។"
"four","Four","បួន"
"four_2","Four comes before five.","បួនមកមុនប្រាំ។"
"four_3","Four comes after three.","បួនមកបន្ទាប់ពីបី។"
"four_4","I want four.","ខ្ញុំចង់បានបួន។"
"five","Five","ប្រាំ"
"five_2","Five comes before six.","ប្រាំមកមុនប្រាំមួយ។"
"five_3","Five comes after four.","ប្រាំមកបន្ទាប់ពីបួន។"
"five_4","I want five.","ខ្ញុំចង់បានប្រាំ។"
"six","Six","ប្រាំមួយ"
"six_2","Six comes before seven.","ប្រាំមួយកើតឡើងមុនពេលប្រាំពីរ។"
"six_3","Six comes after five.","ប្រាំមួយកើតឡើងបន្ទាប់ពីប្រាំ។"
"six_4","I want fix.","ខ្ញុំចង់ជួសជុល។"
"seven","Seven","ប្រាំពីរ"
"seven_2","Seven comes before eight.","ប្រាំពីរមកមុនប្រាំបី។"
"seven_3","Seven comes after six.","ប្រាំពីរមកបន្ទាប់ពីប្រាំមួយ។"
"seven_4","I want seven.","ខ្ញុំចង់បានប្រាំពីរ។"
"eight","Eight","ប្រាំបី"
"eight_2","Eight comes before nine.","ប្រាំបីមកមុនប្រាំបួន។"
"eight_3","Eight comes after seven.","ប្រាំបីមកបន្ទាប់ពីប្រាំពីរ។"
"eight_4","I want eight.","ខ្ញុំចង់បានប្រាំបី។"
"nine","Nine","ប្រាំបួន"
"nine_2","Nine comes before ten.","ប្រាំបួនមកមុនដប់។"
"nine_3","Nine comes after eight.","ប្រាំបួនមកបន្ទាប់ពីប្រាំបី។"
"nine_4","I want nine.","ខ្ញុំចង់បានប្រាំបួន។"
"ten","Ten","ដប់"
"ten_2","Ten comes before eleven.","ដប់ចូលមកមុនដប់មួយ។"
"ten_3","Ten comes after nine.","ដប់កើតឡើងបន្ទាប់ពីប្រាំបួន។"
"ten_4","I want ten.","ខ្ញុំចង់បានដប់។"
"eleven","Eleven","ដប់មួយ"
"eleven_2","Eleven comes before thirteen.","ដប់មួយបានមកមុនពេលដប់បី។"
"eleven_3","Eleven comes after ten.","ដប់មួយកើតឡើងបន្ទាប់ពីដប់។"
"eleven_4","I want eleven.","ខ្ញុំចង់បានដប់មួយ។"
"twenty","Twenty","ម្ភៃ"
"twenty_2","I can count up to twenty.","ខ្ញុំអាចរាប់រហូតដល់ម្ភៃ។"
"thirty","Thirty","សាមសិប"
"thirty_2","I can count up to thirty.","ខ្ញុំអាចរាប់រហូតដល់សាមសិប។"
"forty","Forty","សែសិប"
"forty_2","I can count up to forty.","ខ្ញុំអាចរាប់រហូតដល់សែសិប។"
"fifty","Fifty","ហាសិប"
"fifty_2","I can count up to fifty.","ខ្ញុំអាចរាប់បានដល់ហាសិប។"
"hundred","Hundred","រាប់រយ"
"hundred_2","I can count up to hundred.","ខ្ញុំអាចរាប់រហូតដល់រយ។"
"thousand","Thousand","ពាន់"
"thousand_2","I can count up to thousand.","ខ្ញុំអាចរាប់បានរាប់ពាន់។"
"calculator","Calculator","ម៉ាស៊ីនគិតលេខ"
"calculator_2","I want to use a calculator.","ខ្ញុំចង់ប្រើម៉ាស៊ីនគិតលេខ។"
"calculator_3","Can you teach me how to use a calculator?","តើអ្នកអាចបង្រៀនខ្ញុំពីរបៀបប្រើម៉ាស៊ីនគិតលេខបានទេ?"
"calculator_4","Can I barrow your calculator?","តើខ្ញុំអាចរារាំងម៉ាស៊ីនគិតលេខរបស់អ្នកបានទេ?"
"people","People","ប្រជាជន"
"mother","Mother","ម្តាយ"
"mother_2","Mommy!","ម៉ាក់!"
"mother_3","I love my mother.","ខ្ញុំស្រឡាញ់ម្តាយរបស់ខ្ញុំ។"
"mother_4","I love you mom.","ខ្ញុំ​ស្រឡាញ់​ម៉ាក់។"
"mother_5","I miss my mom.","ខ្ញុំនឹកម៉ាក់របស់ខ្ញុំ។"
"mother_6","Thank you for taking care of me.","អរគុណដែលបានមើលថែខ្ញុំ។"
"mother_7","She is my mom.","នាងគឺជាម្តាយរបស់ខ្ញុំ។"
"mother_8","Can you help me find my mother?","តើអ្នកអាចជួយខ្ញុំរកម្ដាយរបស់ខ្ញុំបានទេ?"
"father","Father","ឪពុក"
"father_2","Daddy!","ប៉ា!"
"father_3","I love my father.","ខ្ញុំស្រឡាញ់ឪពុកខ្ញុំ។"
"father_4","I love you dad.","ខ្ញុំស្រឡាញ់អ្នកឪពុក។"
"father_5","I miss my dad.","ខ្ញុំនឹកប៉ារបស់ខ្ញុំ។"
"father_6","Thank you for taking care of me.","អរគុណដែលបានមើលថែខ្ញុំ។"
"father_7","He is my dad.","គាត់គឺជាឪពុករបស់ខ្ញុំ។"
"father_8","Can you help me find my father?","តើអ្នកអាចជួយខ្ញុំរកឪពុកខ្ញុំបានទេ?"
"parents","Parents","ឪពុកម្តាយ"
"parents_2","I love my parents.","ខ្ញុំស្រឡាញ់ឪពុកម្តាយរបស់ខ្ញុំ។"
"parents_3","I love my parents.","ខ្ញុំស្រឡាញ់ឪពុកម្តាយរបស់ខ្ញុំ។"
"parents_4","I miss my parents.","ខ្ញុំនឹកឪពុកម្តាយរបស់ខ្ញុំ។"
"parents_5","They are my parents.","ពួកគេជាឪពុកម្តាយរបស់ខ្ញុំ។"
"parents_6","My parents are taking care of me.","ឪពុកម្តាយរបស់ខ្ញុំកំពុងមើលថែខ្ញុំ។"
"parents_8","Can you help me find my parents?","តើអ្នកអាចជួយខ្ញុំរកឪពុកម្តាយរបស់ខ្ញុំបានទេ?"
"grandparents","Grandparents","ជីដូន​ជីតា"
"grandparents_2","I love my grandparents.","ខ្ញុំស្រឡាញ់ជីដូនជីតារបស់ខ្ញុំ។"
