"activities","Activities","aktivity"
"friends_2","I love my friends.","Milujem svojich priateľov."
"friends_3","Do you want to be my friend?","Chceš byť môj priateľ?"
"friends_4","I don't like my friends.","Nepáči sa mi moji priatelia."
"friends_5","I miss my friends.","Chýbajú mi priatelia."
"friends_6","They are my friends.","Oni sú moji priatelia."
"friends_7","Thank you for playing with me.","Ďakujem za hranie so mnou."
"cousins","Cousins","cousins"
"cousins_2","I love my cousins.","Milujem svojich bratrancov."
"cousins_3","I don't have cousins.","Nemám bratrancov."
"cousins_4","I miss my cousins.","Chýbajú mi bratranci."
"cousins_5","They are my cousins.","Sú to moji bratranci."
"grandmother","Grandmother","babička"
"grandmother_2","I love my grandmother.","Milujem svoju babičku."
"grandmother_3","I love you grandma.","Milujem ťa Babi."
"grandmother_4","I miss my grandma.","Chýba mi moja babička."
"grandmother_5","She is my grandma.","Je to moja babička."
"grandfather","Grandfather","dedko"
"grandfather_2","I love my grandfather.","Milujem svojho dedka."
"grandfather_3","I love you grandpa.","Milujem ťa dedko."
"grandfather_4","I miss my grandpa.","Chýba mi dedko."
"grandfather_5","He is my grandpa.","Je to môj dedko."
"stepfather","Stepfather","nevlastný otec"
"stepfather_2","I love my stepfather.","Milujem svojho nevlastného otca."
"stepfather_3","He is my stepfather.","Je to môj nevlastný otec."
"stepfather_4","I miss my stepfather.","Chýba mi môj nevlastný otec."
"stepfather_5","He is my stepfather.","Je to môj nevlastný otec."
"stepmother","Stepmother","Nevlastná matka"
"stepmother_2","I love my stepmother.","Milujem svoju nevlastnú matku."
"stepmother_3","She is my stepmother.","Je moja nevlastná matka."
"stepmother_4","I miss my stepmother.","Chýba mi moja nevlastná matka."
"stepmother_5","She is my stepmother.","Je moja nevlastná matka."
"stepsister","Stepsister","Nevlastná sestra"
"stepsister_2","I love my stepsister.","Milujem nevlastnú sestru."
"stepsister_3","She is my stepsister.","Je mojou nevlastnou sestrou."
"stepsister_4","I miss my stepsister.","Chýba mi moja nevlastná sestra."
"stepsister_5","She is my stepsister.","Je mojou nevlastnou sestrou."
"stepbrother","Stepbrother","Nevlastný brat"
"stepbrother_2","I love my stepbrother.","Milujem nevlastného brata."
"stepbrother_3","He is my stepbrother.","Je to môj nevlastný brat."
"stepbrother_4","I miss my stepbrother.","Chýba mi môj nevlastný brat."
"stepbrother_5","He is my stepbrother.","Je to môj nevlastný brat."
"half-brother","Half brother","Nevlastný brat"
"half-brother_2","I love my half brother.","Milujem svojho nevlastného brata."
"half-brother_3","He is my half brother.","Je to môj nevlastný brat."
"half-brother_4","I miss my half brother.","Chýba mi môj nevlastný brat."
"half-brother_5","He is my half brother.","Je to môj nevlastný brat."
"half-sister","Half sister","Nevlastná sestra"
"half-sister_2","I love my half sister.","Milujem svoju nevlastnú sestru."
"half-sister_3","She is my half sister.","Je to moja nevlastná sestra."
"half-sister_4","I miss my half sister.","Chýba mi moja nevlastná sestra."
"half-sister_5","She is my half sister.","Je to moja nevlastná sestra."
"quarantine","Quarantine","Karanténa"
"protective-mask","Protective mask","Ochranná maska"
"stay-home","Stay home","Zostať doma"
"toilet-paper","Toilet paper","Toaletný papier"
"sprayer","Sprayer","rozprašovač"
"disinfectant","Disinfectant","dezinfekčný prostriedok"
"thermometer","Thermometer","teplomer"
"coughing","Coughing","kašeľ"
"medical-assistance","Medical assistance","Lekárska pomoc"
"hand-sanitizer","Hand sanitizer","Prípravok na dezinfekciu rúk"
"gloves","Gloves","rukavice"
"social-distancing","Social distancing","Sociálny odstup"
"mouth-mask","Mouth mask","Ústna maska"
"pandemic","Pandemic","Pandemický"
"working-at-home","Working at home","Práca doma"
"wet-wipes","Wet wipes","Vlhčené obrúsky"
"first-aid-kit","First aid kit","Lekárnička"
"fitness","Fitness","vhodnosť"
"e-learning","E-learning","E-learning"
"virus","Virus","Vírus"
"cleaning","Cleaning","čistenie"
"school","School","školské"
"desk","Desk","stôl"
"desk_2","Can I use this desk?","Môžem tento stôl použiť?"
"desk_3","Which desk is mine?","Ktorý stôl je môj?"
"desk_4","I spilled on my desk.","Rozliala som sa na stôl."
"desk_5","Don't scratch your desk.","Nepoškriabajte si stôl."
"chair","Chair","stoličky"
"chair_2","Can I sit with you?","Môžem s tebou sedieť?"
"chair_3","Which chair is mine?","Ktorá stolička je moja?"
"chair_4","Is this chair taken?","Je táto stolička zaujatá?"
"chair_5","I spilled on my chair.","Rozliala som sa na stoličku."
"book","Book","kniha"
"book_2","Textbook","učebnice"
"book_3","Workbook","cvičebnice"
"book_4","Reading a book.","Číta knihu."
"book_5","Can I borrow your book?","Môžem si požičať vašu knihu?"
"book_6","Which page are we at?","Na ktorej stránke sme?"
"book_7","Flip the page.","Obráťte stránku."
"book_8","I lost my book.","Stratil som svoju knihu."
"notebook","Notebook","zápisník"
"notebook_2","Taking notes.","Písať si poznámky."
"notebook_3","I'm taking notes.","Robím si poznámky."
"notebook_4","I lost my notebook.","Stratil som notebook."
"backpack","Backpack","batoh"
"backpack_2","Carrying my backpack.","Prenášam batoh."
"backpack_3","Putting my books in my backpack.","Vloženie mojich kníh do môjho batohu."
"backpack_4","I need a new backpack.","Potrebujem nový batoh."
"backpack_5","Thank you for carrying my backpack.","Ďakujem vám za nosenie môjho batohu."
"backpack_6","I lost my backpack.","Stratil som batoh."
"backpack_7","My backpack is heavy.","Môj batoh je ťažký."
"blackboard","Blackboard","tabuľa"
"blackboard_2","Look at the blackboard.","Pozrite sa na tabuľu."
"blackboard_3","Cleaning the blackboard.","Čistenie tabule."
"blackboard_4","Solving the problem on the blackboard.","Riešenie problému na tabuli."
"blackboard_5","Taking note on the blackboard.","Zapisovanie poznámok na tabuľu."
"blackboard_6","Give me a chalk.","Dajte mi kriedu."
"teacher_7","I don't like this topic.","Nepáči sa mi táto téma."
"teacher_8","Thank you for the lesson.","Ďakujem za lekciu."
"school-bus","School bus","Školský autobus"
"school-bus_2","School bus is coming.","Prichádza školský autobus."
"school-bus_3","Can I sit next to you?","Môžem sedieť vedľa vás?"
"school-bus_4","Thank you bus driver!","Ďakujem vodičovi autobusu!"
"school-bus_5","School bus was late.","Školský autobus neskoro."
"pencil","Pencil","ceruzka"
"pencil_2","I'm writing.","Píšem."
"pencil_3","I'm learning to write.","Učím sa písať."
"pencil_4","I need a new pencil.","Potrebujem novú ceruzku."
"pencil_5","Can I borrow your pencil?","Môžem si požičať ceruzku?"
"pencil_6","I lost my pencil.","Stratil som ceruzku."
"eraser","Eraser","guma"
"eraser_2","I'm erasing.","Vymazávam sa."
"eraser_3","I need a new eraser.","Potrebujem novú gumu."
"eraser_4","Can I borrow your eraser?","Môžem si požičať vašu gumu?"
"eraser_5","I lost my eraser.","Stratil som gumu."
"ruler","Ruler","pravítko"
"ruler_2","I'm measuring.","Meram."
"ruler_3","I need a new ruler.","Potrebujem nového vládcu."
"ruler_4","Can I borrow your ruler?","Môžem si požičať svojho vládcu?"
"ruler_5","I lost my ruler.","Stratil som svojho vládcu."
"sharpener","Sharpener","orezávatko"
"sharpener_2","I'm sharpening my pencil.","Ostriem ceruzku."
"sharpener_3","I need a new sharpener.","Potrebujem nové orezávátko."
"sharpener_4","Can I borrow your sharpener?","Môžem si požičať váš orezávač?"
"sharpener_5","I lost my sharpener.","Stratil som ostrenie."
"mathematics","Mathematics","matematika"
"mathematics_2","I like mathematics.","Mám rada matematiku."
"mathematics_3","I want to study mathematics.","Chcem študovať matematiku."
"mathematics_4","I don't like mathematics.","Nepáči sa mi matematika."
"mathematics_5","When is mathematics class?","Kedy je matematická hodina?"
"mathematics_6","Can you help me with my mathematics homework?","Môžete mi pomôcť s mojimi úlohami z matematiky?"
"literature","Literature","literatúra"
"literature_2","I like literature.","Mám rád literatúru."
"literature_3","I want to study literature.","Chcem študovať literatúru."
"literature_4","I don't like literature.","Nepáči sa mi literatúra."
"literature_5","When is literature class?","Kedy je trieda literatúry?"
"literature_6","Can you help me with my literature homework?","Môžete mi pomôcť s mojimi domácimi úlohami z literatúry?"
"science","Science","veda"
"science_2","I like science.","Mám rada vedu."
"science_3","I want to study science.","Chcem študovať vedu."
"science_4","I don't like science.","Nepáči sa mi veda."
"science_5","When is science class?","Kedy je vedecká hodina?"
"science_6","Can you help me with my science homework?","Môžete mi pomôcť s mojimi domácimi vedeckými úlohami?"
"art-class","Art class","Umelecká trieda"
"art-class_2","I like art class.","Páči sa mi umelecká trieda."
"art-class_3","I want to practice art skills.","Chcem cvičiť umelecké zručnosti."
"art-class_4","I don't like art class.","Nepáči sa mi umelecká hodina."
"art-class_5","When is art class?","Kedy je umelecká hodina?"
"art-class_6","Can you help me with my art class homework?","Môžete mi pomôcť s domácimi úlohami v umeleckej triede?"
"music-class","Music class","Hudobná hodina"
"music-class_2","I like music class.","Páči sa mi hudobná hodina."
"music-class_3","I want to practice music skills.","Chcem cvičiť hudobné zručnosti."
"music-class_4","I don't like music class.","Nepáči sa mi hudobná hodina."
"music-class_5","When is music class?","Kedy je hudobná hodina?"
"music-class_6","Can you help me with my music class homework?","Môžete mi pomôcť s mojimi domácimi úlohami z hudobnej triedy?"
"geography","Geography","zemepis"
"geography_2","I like geography.","Páči sa mi geografia."
"geography_3","I want to study geography.","Chcem študovať geografiu."
"geography_4","I don't like geography.","Nepáči sa mi geografia."
"geography_5","When is geography?","Kedy je geografia?"
"geography_6","Can you help me with my geography homework?","Môžete mi pomôcť s domácimi úlohami v geografii?"
"telescope","Telescope","teleskop"
"telescope_2","I'm using the telescope.","Používam ďalekohľad."
"telescope_3","I want to use the telescope.","Chcem používať ďalekohľad."
"telescope_4","I want to look at the stars.","Chcem sa pozrieť na hviezdy."
"glue","Glue","lepidlo"
"glue_2","I'm using glue.","Používam lepidlo."
"glue_3","I need a new glue.","Potrebujem nové lepidlo."
"glue_4","Can I borrow your glue?","Môžem si požičať vaše lepidlo?"
"glue_5","I lost my glue.","Stratil som svoje lepidlo."
"shapes","Shapes","Tvary"
"circle","Circle","kružnice"
"circle_2","This is circle shaped.","Toto je v tvare kruhu."
"circle_3","Can you teach me how to draw a circle?","Môžete ma naučiť, ako nakresliť kruh?"
"triangle","Triangle","Trojuholník"
"triangle_2","This is triangle shaped.","Toto je v tvare trojuholníka."
"triangle_3","Can you teach me how to draw a triangle?","Môžete ma naučiť kresliť trojuholník?"
"square","Square","Námestie"
"square_2","This is square shaped.","Toto má štvorcový tvar."
"square_3","Can you teach me how to draw a square?","Môžete ma naučiť, ako nakresliť štvorec?"
"rectangle","Rectangle","obdĺžnik"
"rectangle_2","This is rectangle shaped.","Toto je obdĺžnikový tvar."
"rectangle_3","Can you teach me how to draw a rectangle?","Môžete ma naučiť, ako nakresliť obdĺžnik?"
"star","Star","Hviezda"
"star_2","This is star shaped.","Má tvar hviezdy."
"star_3","Can you teach me how to draw a star?","Môžete ma naučiť, ako nakresliť hviezdu?"
"pentagon","Pentagon","Pentagon"
"pentagon_2","This is pentagon shaped.","Toto má tvar päťuholníka."
"pentagon_3","Can you teach me how to draw a pentagon?","Môžete ma naučiť, ako nakresliť päťuholník?"
"hexagon","Hexagon","hexagon"
"hexagon_2","This is hexagon shaped.","Toto je v tvare šesťuholníka."
"hexagon_3","Can you teach me how to draw a hexagon?","Môžete ma naučiť, ako nakresliť šesťuholník?"
"cross","Cross","kríž"
"cross_2","This is cross shaped.","Toto je v tvare kríža."
"cross_3","Can you teach me how to draw a cross?","Môžete ma naučiť kresliť kríž?"
"ellipse","Ellipse","elipsa"
"ellipse_2","This is ellipse shaped.","Má tvar elipsy."
"ellipse_3","Can you teach me how to draw a ellipse?","Môžete ma naučiť kresliť elipsu?"
"arrow","Arrow","arrow"
"arrow_2","This is arrow shaped.","Toto je v tvare šípu."
"arrow_3","Can you teach me how to draw a arrow?","Môžete ma naučiť, ako nakresliť šípku?"
"crescent","Crescent","polmesiac"
"crescent_2","This is crescent shaped.","Má tvar polmesiaca."
"crescent_3","Can you teach me how to draw a crescent?","Môžete ma naučiť, ako nakresliť polmesiac?"
"heart","Heart","Srdce"
"heart_2","This is heart shaped.","Toto je v tvare srdca."
"heart_3","Can you teach me how to draw a heart?","Môžete ma naučiť, ako nakresliť srdce?"
"rhombus","Rhombus","kosoštvorec"
"rhombus_2","This is rhombus shaped.","Toto je kosoštvorcový tvar."
"rhombus_3","Can you teach me how to draw a rhombus?","Môžete ma naučiť, ako nakresliť kosoštvorec?"
"ring","Ring","krúžok"
"ring_2","This is ring shaped.","Toto je v tvare prstenca."
"ring_3","Can you teach me how to draw a ring?","Môžete ma naučiť, ako nakresliť prsteň?"
"semicircle","Semicircle","polkruh"
"semicircle_2","This is semicircle shaped.","Toto má polkruhový tvar."
"semicircle_3","Can you teach me how to draw a semicircle?","Môžete ma naučiť, ako nakresliť polkruh?"
"trapezoid","Trapezoid","lichobežník"
"trapezoid_2","This is trapezoid shaped.","Toto má lichobežníkový tvar."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Môžete ma naučiť, ako kresliť lichobežník?"
"cube","Cube","kocky"
"cube_2","This is cube shaped.","Toto je kocka v tvare."
"cube_3","Can you teach me how to draw a cube?","Môžete ma naučiť, ako nakresliť kocku?"
"cylinder","Cylinder","valec"
"cylinder_2","This is cylinder shaped.","Toto je tvar valca."
"cylinder_3","Can you teach me how to draw a cylinder?","Môžete ma naučiť, ako nakresliť valec?"
