"activities","Activities","Activități"
"friends","Friends","Prieteni"
"friends_2","I love my friends.","Imi iubesc prietenii."
"friends_3","Do you want to be my friend?","Vrei sa fi prietenul meu?"
"friends_4","I don't like my friends.","Nu-mi plac prietenii mei."
"friends_5","I miss my friends.","Mi-e dor de prietenii mei."
"friends_6","They are my friends.","Ei sunt prietenii mei."
"friends_7","Thank you for playing with me.","Vă mulțumesc că ați jucat cu mine."
"cousins","Cousins","Veri"
"cousins_2","I love my cousins.","Îmi iubesc verii mei."
"cousins_3","I don't have cousins.","Nu am veri."
"cousins_4","I miss my cousins.","Mi-e dor de verișorii mei."
"cousins_5","They are my cousins.","Ei sunt verisorii mei."
"grandmother","Grandmother","bunică"
"grandmother_2","I love my grandmother.","O iubesc pe bunica mea."
"grandmother_3","I love you grandma.","Te iubesc, bunico."
"grandmother_4","I miss my grandma.","Mi-e dor de bunica."
"grandmother_5","She is my grandma.","Este bunica mea."
"grandfather","Grandfather","bunic"
"grandfather_2","I love my grandfather.","Îl iubesc pe bunicul meu."
"grandfather_3","I love you grandpa.","Te iubesc bunicule."
"grandfather_4","I miss my grandpa.","Mi-e dor de bunicul meu."
"grandfather_5","He is my grandpa.","El este bunicul meu."
"stepfather","Stepfather","Tatăl vitreg"
"stepfather_2","I love my stepfather.","Îl iubesc pe tatăl meu vitreg."
"stepfather_3","He is my stepfather.","El este tatăl meu vitreg."
"stepfather_4","I miss my stepfather.","Mi-e dor de tatăl meu vitreg."
"stepfather_5","He is my stepfather.","El este tatăl meu vitreg."
"stepmother","Stepmother","vitrega"
"stepmother_2","I love my stepmother.","O iubesc pe mama mea vitregă."
"stepmother_3","She is my stepmother.","Este mama mea vitregă."
"stepmother_4","I miss my stepmother.","Mi-e dor de mama mea vitregă."
"stepmother_5","She is my stepmother.","Este mama mea vitregă."
"stepsister","Stepsister","Soră vitregă"
"stepsister_2","I love my stepsister.","Îmi iubesc păstorul."
"stepsister_3","She is my stepsister.","Ea este păstorul meu."
"stepsister_4","I miss my stepsister.","Mi-e dor de păstorul meu."
"stepsister_5","She is my stepsister.","Ea este păstorul meu."
"stepbrother","Stepbrother","Frate vitreg"
"stepbrother_2","I love my stepbrother.","Îmi iubesc fratele vitreg."
"stepbrother_3","He is my stepbrother.","El este fratele meu vitreg."
"stepbrother_4","I miss my stepbrother.","Mi-e dor de fratele meu vitreg."
"stepbrother_5","He is my stepbrother.","El este fratele meu vitreg."
"half-brother","Half brother","Frate vitreg"
"half-brother_2","I love my half brother.","Îmi iubesc fratele meu jumătate."
"half-brother_3","He is my half brother.","El este fratele meu jumătate."
"half-brother_4","I miss my half brother.","Mi-e dor de jumătatea mea frate."
"half-brother_5","He is my half brother.","El este fratele meu jumătate."
"half-sister","Half sister","Sora jumătate"
"half-sister_2","I love my half sister.","O iubesc pe jumătatea mea soră."
"half-sister_3","She is my half sister.","Este jumătatea mea soră."
"half-sister_4","I miss my half sister.","Mi-e dor de jumătatea mea soră."
"half-sister_5","She is my half sister.","Este jumătatea mea soră."
"quarantine","Quarantine","Carantină"
"protective-mask","Protective mask","Mască de protecție"
"stay-home","Stay home","Stai acasă"
"toilet-paper","Toilet paper","Hârtie igienica"
"sprayer","Sprayer","Pulverizator"
"disinfectant","Disinfectant","Dezinfectant"
"thermometer","Thermometer","Termometru"
"coughing","Coughing","tușit"
"medical-assistance","Medical assistance","Asistenta medicala"
"hand-sanitizer","Hand sanitizer","Dezinfectant mâini"
"gloves","Gloves","mănuși"
"social-distancing","Social distancing","Distanțare socială"
"mouth-mask","Mouth mask","Masca gurii"
"pandemic","Pandemic","Pandemic"
"working-at-home","Working at home","Muncind acasa"
"wet-wipes","Wet wipes","Servetele umede"
"first-aid-kit","First aid kit","Trusă de prim ajutor"
"fitness","Fitness","Fitness"
"e-learning","E-learning","E-learning"
"virus","Virus","Virus"
"cleaning","Cleaning","curățenie"
"school","School","Şcoală"
"desk","Desk","Birou"
"desk_2","Can I use this desk?","Pot folosi acest birou?"
"desk_3","Which desk is mine?","Ce birou este al meu?"
"desk_4","I spilled on my desk.","Am vărsat pe biroul meu."
"desk_5","Don't scratch your desk.","Nu-ți zgâria biroul."
"chair","Chair","Scaun"
"chair_2","Can I sit with you?","Pot să stau cu tine?"
"chair_3","Which chair is mine?","Care scaun este al meu?"
"chair_4","Is this chair taken?","Este luat acest scaun?"
"chair_5","I spilled on my chair.","M-am vărsat pe scaun."
"book","Book","Carte"
"book_2","Textbook","Manual"
"book_3","Workbook","Workbook"
"book_4","Reading a book.","Citind o carte."
"book_5","Can I borrow your book?","Pot sa imprumut cartea ta?"
"book_6","Which page are we at?","La ce pagină suntem?"
"book_7","Flip the page.","Întoarceți pagina."
"book_8","I lost my book.","Mi-am pierdut cartea."
"notebook","Notebook","Caiet"
"notebook_2","Taking notes.","Luând note."
"notebook_3","I'm taking notes.","Iau note."
"notebook_4","I lost my notebook.","Mi-am pierdut caietul."
"backpack","Backpack","Rucsac"
"backpack_2","Carrying my backpack.","Îmi port rucsacul."
"backpack_3","Putting my books in my backpack.","Îmi bag cărțile în rucsac."
"backpack_4","I need a new backpack.","Am nevoie de un rucsac nou."
"backpack_5","Thank you for carrying my backpack.","Vă mulțumesc că mi-ați purtat rucsacul."
"backpack_6","I lost my backpack.","Mi-am pierdut rucsacul."
"backpack_7","My backpack is heavy.","Rucsacul meu este greu."
"blackboard","Blackboard","Tabla de scris"
"blackboard_2","Look at the blackboard.","Uită-te la tablă."
"blackboard_3","Cleaning the blackboard.","Curățarea tablei."
"blackboard_4","Solving the problem on the blackboard.","Rezolvarea problemei de pe tablă."
"blackboard_5","Taking note on the blackboard.","Luând notă pe tablă."
"blackboard_6","Give me a chalk.","Dă-mi o cretă."
"teacher_7","I don't like this topic.","Nu-mi place acest subiect."
"teacher_8","Thank you for the lesson.","Vă mulțumim pentru lecție."
"school-bus","School bus","Autobuz scolar"
"school-bus_2","School bus is coming.","Autobuzul școlar vine."
"school-bus_3","Can I sit next to you?","Pot să stau lângă tine?"
"school-bus_4","Thank you bus driver!","Mulțumesc șofer de autobuz!"
"school-bus_5","School bus was late.","Autobuzul școlar a întârziat."
"pencil","Pencil","Creion"
"pencil_2","I'm writing.","Scriu."
"pencil_3","I'm learning to write.","Învăț să scriu."
"pencil_4","I need a new pencil.","Am nevoie de un creion nou."
"pencil_5","Can I borrow your pencil?","Pot sa îți împrumut creionul?"
"pencil_6","I lost my pencil.","Mi-am pierdut creionul."
"eraser","Eraser","Radieră"
"eraser_2","I'm erasing.","Șterg."
"eraser_3","I need a new eraser.","Am nevoie de o nouă radieră."
"eraser_4","Can I borrow your eraser?","Pot să vă împrumutați ștergătorul?"
"eraser_5","I lost my eraser.","Mi-am pierdut radiatorul."
"ruler","Ruler","Rigla"
"ruler_2","I'm measuring.","Mă măsoară."
"ruler_3","I need a new ruler.","Am nevoie de un nou conducător."
"ruler_4","Can I borrow your ruler?","Pot împrumuta domnitorul tău?"
"ruler_5","I lost my ruler.","Mi-am pierdut domnitorul."
"sharpener","Sharpener","Ascuţitoare"
"sharpener_2","I'm sharpening my pencil.","Îmi ascuțesc creionul."
"sharpener_3","I need a new sharpener.","Am nevoie de un ascuțitor nou."
"sharpener_4","Can I borrow your sharpener?","Pot împrumuta ascuțitorul tău?"
"sharpener_5","I lost my sharpener.","Mi-am pierdut ascuțitorul."
"mathematics","Mathematics","Matematică"
"mathematics_2","I like mathematics.","Îmi place matematica."
"mathematics_3","I want to study mathematics.","Vreau să studiez matematica."
"mathematics_4","I don't like mathematics.","Nu-mi place matematica."
"mathematics_5","When is mathematics class?","Când este clasa de matematică?"
"mathematics_6","Can you help me with my mathematics homework?","Ma poti ajuta cu temele de matematica?"
"literature","Literature","Literatură"
"literature_2","I like literature.","Îmi place literatura."
"literature_3","I want to study literature.","Vreau să studiez literatura."
"literature_4","I don't like literature.","Nu-mi place literatura."
"literature_5","When is literature class?","Când este o clasă de literatură?"
"literature_6","Can you help me with my literature homework?","Mă poți ajuta cu temele mele de literatură?"
"science","Science","Ştiinţă"
"science_2","I like science.","Îmi place știința."
"science_3","I want to study science.","Vreau să studiez știința."
"science_4","I don't like science.","Nu-mi place știința."
"science_5","When is science class?","Când este curs de știință?"
"science_6","Can you help me with my science homework?","Mă poți ajuta cu temele de știință?"
"art-class","Art class","Clasa de artă"
"art-class_2","I like art class.","Îmi place clasa de artă."
"art-class_3","I want to practice art skills.","Vreau să exersez abilități de artă."
"art-class_4","I don't like art class.","Nu-mi place clasa de artă."
"art-class_5","When is art class?","Când este clasa de artă?"
"art-class_6","Can you help me with my art class homework?","Mă poți ajuta cu temele mele de artă?"
"music-class","Music class","Curs de muzică"
"music-class_2","I like music class.","Îmi place clasa de muzică."
"music-class_3","I want to practice music skills.","Vreau să exersez abilități de muzică."
"music-class_4","I don't like music class.","Nu-mi place clasa de muzică."
"music-class_5","When is music class?","Când este clasa de muzică?"
"music-class_6","Can you help me with my music class homework?","Mă poți ajuta cu temele pentru clasa de muzică?"
"geography","Geography","Geografie"
"geography_2","I like geography.","Îmi place geografia."
"geography_3","I want to study geography.","Vreau să studiez geografia."
"geography_4","I don't like geography.","Nu-mi place geografia."
"geography_5","When is geography?","Când este geografia?"
"geography_6","Can you help me with my geography homework?","Mă poți ajuta cu temele pentru geografie?"
"telescope","Telescope","Telescop"
"telescope_2","I'm using the telescope.","Folosesc telescopul."
"telescope_3","I want to use the telescope.","Vreau să folosesc telescopul."
"telescope_4","I want to look at the stars.","Vreau să mă uit la stele."
"glue","Glue","Lipici"
"glue_2","I'm using glue.","Folosesc clei."
"glue_3","I need a new glue.","Am nevoie de un lipici nou."
"glue_4","Can I borrow your glue?","Îți pot împrumuta lipiciul?"
"glue_5","I lost my glue.","Mi-am pierdut lipiciul."
"shapes","Shapes","forme"
"circle","Circle","Cerc"
"circle_2","This is circle shaped.","Acesta este în formă de cerc."
"circle_3","Can you teach me how to draw a circle?","Poți să mă înveți cum să desenez un cerc?"
"triangle","Triangle","Triunghi"
"triangle_2","This is triangle shaped.","Acesta este în formă de triunghi."
"triangle_3","Can you teach me how to draw a triangle?","Poți să mă înveți cum să desenez un triunghi?"
"square","Square","Pătrat"
"square_2","This is square shaped.","Acesta este în formă de pătrat."
"square_3","Can you teach me how to draw a square?","Poți să mă înveți cum să desenez un pătrat?"
"rectangle","Rectangle","Dreptunghi"
"rectangle_2","This is rectangle shaped.","Acesta este în formă de dreptunghi."
"rectangle_3","Can you teach me how to draw a rectangle?","Poți să mă înveți cum să desenez un dreptunghi?"
"star","Star","Stea"
"star_2","This is star shaped.","Aceasta are formă de stea."
"star_3","Can you teach me how to draw a star?","Poți să mă înveți cum să desenez o stea?"
"pentagon","Pentagon","Pentagon"
"pentagon_2","This is pentagon shaped.","Acesta este în formă de pentagon."
"pentagon_3","Can you teach me how to draw a pentagon?","Poți să mă înveți cum să desenez un pentagon?"
"hexagon","Hexagon","Hexagon"
"hexagon_2","This is hexagon shaped.","Acesta este în formă de hexagon."
"hexagon_3","Can you teach me how to draw a hexagon?","Poți să mă înveți cum să desenez un hexagon?"
"cross","Cross","Traversa"
"cross_2","This is cross shaped.","Aceasta este în formă de cruce."
"cross_3","Can you teach me how to draw a cross?","Poți să mă înveți cum să desenez o cruce?"
"ellipse","Ellipse","Elipsă"
"ellipse_2","This is ellipse shaped.","Aceasta este în formă de elipsă."
"ellipse_3","Can you teach me how to draw a ellipse?","Poți să mă înveți cum să desenez o elipsă?"
"arrow","Arrow","Săgeată"
"arrow_2","This is arrow shaped.","Aceasta este în formă de săgeată."
"arrow_3","Can you teach me how to draw a arrow?","Poți să mă înveți cum să desenez o săgeată?"
"crescent","Crescent","Semilună"
"crescent_2","This is crescent shaped.","Aceasta este în formă de semilună."
"crescent_3","Can you teach me how to draw a crescent?","Poți să mă înveți cum să desenez o semilună?"
"heart","Heart","inimă"
"heart_2","This is heart shaped.","Aceasta este în formă de inimă."
"heart_3","Can you teach me how to draw a heart?","Poți să mă înveți cum să atrag o inimă?"
"rhombus","Rhombus","Romb"
"rhombus_2","This is rhombus shaped.","Acesta este în formă de romboi."
"rhombus_3","Can you teach me how to draw a rhombus?","Poți să mă înveți cum să desenez un romboi?"
"ring","Ring","Inel"
"ring_2","This is ring shaped.","Acesta este în formă de inel."
"ring_3","Can you teach me how to draw a ring?","Poți să mă înveți cum să desenez un inel?"
"semicircle","Semicircle","Semicerc"
"semicircle_2","This is semicircle shaped.","Aceasta este în formă de semicerc."
"semicircle_3","Can you teach me how to draw a semicircle?","Poți să mă înveți cum să desenez un semicerc?"
"trapezoid","Trapezoid","trapez"
"trapezoid_2","This is trapezoid shaped.","Acesta este în formă de trapez."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Poți să mă înveți cum să desenez un trapez?"
"cube","Cube","cub"
"cube_2","This is cube shaped.","Acesta este în formă de cub."
"cube_3","Can you teach me how to draw a cube?","Poți să mă înveți cum să desenez un cub?"
"cylinder","Cylinder","Cilindru"
"cylinder_2","This is cylinder shaped.","Acesta este în formă de cilindru."
"cylinder_3","Can you teach me how to draw a cylinder?","Poți să mă înveți cum să desenez un cilindru?"
