"activities","Activities","Aktiviteter"
"uncle_4","I miss my uncle.","Jeg savner min onkel."
"uncle_5","He is my uncle.","Han er min onkel."
"uncle_8","Can you help me find my uncle?","Kan du hjælpe mig med at finde min onkel?"
"aunt","Aunt","Tante"
"aunt_2","I love my aunt.","Jeg elsker min tante."
"aunt_3","I love you aunt.","Jeg elsker dig tante."
"aunt_4","I miss my aunt.","Jeg savner min tante."
"aunt_5","She is my aunt.","Hun er min tante."
"aunt_8","Can you help me find my aunt?","Kan du hjælpe mig med at finde min tante?"
"teacher","Teacher","Lærer"
"teacher_2","I love my teacher.","Jeg elsker min lærer."
"teacher_3","I love you teacher.","Jeg elsker dig lærer."
"teacher_4","I don't like my teacher.","Jeg kan ikke lide min lærer."
"teacher_5","I miss my teacher.","Jeg savner min lærer."
"teacher_6","Thank you for the lesson.","Tak for lektionen."
"therapist","Therapist","terapeut"
"therapist_2","I love my therapist.","Jeg elsker min terapeut."
"therapist_3","I love you therapist.","Jeg elsker dig terapeut."
"therapist_4","I don't like my therapist.","Jeg kan ikke lide min terapeut."
"therapist_5","I miss my therapist.","Jeg savner min terapeut."
"therapist_6","Thank you for the session.","Tak for sessionen."
"doctor","Doctor","Læge"
"doctor_2","I love my doctor.","Jeg elsker min læge."
"doctor_3","I love you doctor.","Jeg elsker dig læge."
"doctor_4","I don't like my doctor.","Jeg kan ikke lide min læge."
"doctor_5","I miss my doctor.","Jeg savner min læge."
"doctor_6","Thank you for healing me.","Tak for din helbredelse."
"friends","Friends","venner"
"friends_2","I love my friends.","Jeg elsker mine venner."
"friends_3","Do you want to be my friend?","Vil du være min ven?"
"friends_4","I don't like my friends.","Jeg kan ikke lide mine venner."
"friends_5","I miss my friends.","Jeg savner mine venner."
"friends_6","They are my friends.","De er mine venner."
"friends_7","Thank you for playing with me.","Tak, fordi du spillede med mig."
"cousins","Cousins","Fætre"
"cousins_2","I love my cousins.","Jeg elsker mine kusiner."
"cousins_3","I don't have cousins.","Jeg har ikke fætre."
"cousins_4","I miss my cousins.","Jeg savner mine kusiner."
"cousins_5","They are my cousins.","De er mine fætre."
"grandmother","Grandmother","Bedstemor"
"grandmother_2","I love my grandmother.","Jeg elsker min bedstemor."
"grandmother_3","I love you grandma.","Jeg elsker dig bedstemor."
"grandmother_4","I miss my grandma.","Jeg savner min bedstemor."
"grandmother_5","She is my grandma.","Hun er min bedstemor."
"grandfather","Grandfather","Bedstefar"
"grandfather_2","I love my grandfather.","Jeg elsker min bedstefar."
"grandfather_3","I love you grandpa.","Jeg elsker dig bedstefar."
"grandfather_4","I miss my grandpa.","Jeg savner min bedstefar."
"grandfather_5","He is my grandpa.","Han er min bedstefar."
"stepfather","Stepfather","Stedfar"
"stepfather_2","I love my stepfather.","Jeg elsker min stedfar."
"stepfather_3","He is my stepfather.","Han er min stedfar."
"stepfather_4","I miss my stepfather.","Jeg savner min stedfar."
"stepfather_5","He is my stepfather.","Han er min stedfar."
"stepmother","Stepmother","Stedmor"
"stepmother_2","I love my stepmother.","Jeg elsker min stedmor."
"stepmother_3","She is my stepmother.","Hun er min stedmor."
"stepmother_4","I miss my stepmother.","Jeg savner min stedmor."
"stepmother_5","She is my stepmother.","Hun er min stedmor."
"stepsister","Stepsister","Stedsøster"
"stepsister_2","I love my stepsister.","Jeg elsker min stedsøster."
"stepsister_3","She is my stepsister.","Hun er min stedsøster."
"stepsister_4","I miss my stepsister.","Jeg savner min stedsøster."
"stepsister_5","She is my stepsister.","Hun er min stedsøster."
"stepbrother","Stepbrother","Stedbror"
"stepbrother_2","I love my stepbrother.","Jeg elsker min stedbror."
"stepbrother_3","He is my stepbrother.","Han er min stedbror."
"stepbrother_4","I miss my stepbrother.","Jeg savner min stedbror."
"stepbrother_5","He is my stepbrother.","Han er min stedbror."
"half-brother","Half brother","Halvbror"
"half-brother_2","I love my half brother.","Jeg elsker min halvbror."
"half-brother_3","He is my half brother.","Han er min halvbror."
"half-brother_4","I miss my half brother.","Jeg savner min halvbror."
"half-brother_5","He is my half brother.","Han er min halvbror."
"half-sister","Half sister","Halvsøster"
"half-sister_2","I love my half sister.","Jeg elsker min halvsøster."
"half-sister_3","She is my half sister.","Hun er min halvsøster."
"half-sister_4","I miss my half sister.","Jeg savner min halvsøster."
"half-sister_5","She is my half sister.","Hun er min halvsøster."
"quarantine","Quarantine","Karantæne"
"protective-mask","Protective mask","Beskyttelsesmaske"
"stay-home","Stay home","Bliv hjemme"
"toilet-paper","Toilet paper","Toiletpapir"
"sprayer","Sprayer","Sprayer"
"disinfectant","Disinfectant","Desinfektionsmiddel"
"thermometer","Thermometer","Termometer"
"coughing","Coughing","hoste"
"medical-assistance","Medical assistance","Medicinsk assistance"
"hand-sanitizer","Hand sanitizer","Hånddesinfektion"
"gloves","Gloves","handsker"
"social-distancing","Social distancing","Social afstand"
"mouth-mask","Mouth mask","Mundmaske"
"pandemic","Pandemic","Pandemi"
"working-at-home","Working at home","Arbejder derhjemme"
"wet-wipes","Wet wipes","Vådservietter"
"first-aid-kit","First aid kit","Førstehjælpskasse"
"fitness","Fitness","Fitness"
"e-learning","E-learning","E-learning"
"virus","Virus","Virus"
"cleaning","Cleaning","Rengøring"
"school","School","Skole"
"desk","Desk","Skrivebord"
"desk_2","Can I use this desk?","Kan jeg bruge dette skrivebord?"
"desk_3","Which desk is mine?","Hvilket skrivebord er min?"
"desk_4","I spilled on my desk.","Jeg spildte på mit skrivebord."
"desk_5","Don't scratch your desk.","Skrab ikke på dit skrivebord."
"chair","Chair","Stol"
"chair_2","Can I sit with you?","Kan jeg sidde med dig?"
"chair_3","Which chair is mine?","Hvilken stol er min?"
"chair_4","Is this chair taken?","Er denne stol taget?"
"chair_5","I spilled on my chair.","Jeg spildte på min stol."
"book","Book","Bestil"
"book_2","Textbook","Lærebog"
"book_3","Workbook","Workbook"
"book_4","Reading a book.","Læse en bog."
"book_5","Can I borrow your book?","Kan jeg låne din bog?"
"book_6","Which page are we at?","Hvilken side er vi på?"
"book_7","Flip the page.","Vend siden."
"book_8","I lost my book.","Jeg har mistet min bog."
"notebook","Notebook","Notesbog"
"notebook_2","Taking notes.","Tager noter."
"notebook_3","I'm taking notes.","Jeg noterer."
"notebook_4","I lost my notebook.","Jeg mistede min notesbog."
"backpack","Backpack","Rygsæk"
"backpack_2","Carrying my backpack.","Bærer min rygsæk."
"backpack_3","Putting my books in my backpack.","Sætter mine bøger i min rygsæk."
"backpack_4","I need a new backpack.","Jeg har brug for en ny rygsæk."
"backpack_5","Thank you for carrying my backpack.","Tak, fordi du har min rygsæk."
"backpack_6","I lost my backpack.","Jeg mistede min rygsæk."
"backpack_7","My backpack is heavy.","Min rygsæk er tung."
"blackboard","Blackboard","Tavle"
"blackboard_2","Look at the blackboard.","Se på tavlen."
"blackboard_3","Cleaning the blackboard.","Rengøring af tavlen."
"blackboard_4","Solving the problem on the blackboard.","Løsning af problemet på tavlen."
"blackboard_5","Taking note on the blackboard.","Noterer sig på tavlen."
"blackboard_6","Give me a chalk.","Giv mig en kridt."
"teacher_7","I don't like this topic.","Jeg kan ikke lide dette emne."
"teacher_8","Thank you for the lesson.","Tak for lektionen."
"school-bus","School bus","Skolebus"
"school-bus_2","School bus is coming.","Skolebus kommer."
"school-bus_3","Can I sit next to you?","Kan jeg sidde ved siden af dig?"
"school-bus_4","Thank you bus driver!","Tak buschauffør!"
"school-bus_5","School bus was late.","Skolebussen var for sent."
"pencil","Pencil","Blyant"
"pencil_2","I'm writing.","Jeg skriver."
"pencil_3","I'm learning to write.","Jeg lærer at skrive."
"pencil_4","I need a new pencil.","Jeg har brug for en ny blyant."
"pencil_5","Can I borrow your pencil?","Kan jeg låne din blyant?"
"pencil_6","I lost my pencil.","Jeg mistede min blyant."
"eraser","Eraser","Viskelæder"
"eraser_2","I'm erasing.","Jeg sletter."
"eraser_3","I need a new eraser.","Jeg har brug for en ny viskelæder."
"eraser_4","Can I borrow your eraser?","Kan jeg låne dit viskelæde?"
"eraser_5","I lost my eraser.","Jeg mistede viskelædet."
"ruler","Ruler","Lineal"
"ruler_2","I'm measuring.","Jeg måler."
"ruler_3","I need a new ruler.","Jeg har brug for en ny lineal."
"ruler_4","Can I borrow your ruler?","Kan jeg låne din lineal?"
"ruler_5","I lost my ruler.","Jeg mistede min lineal."
"sharpener","Sharpener","sharpener"
"sharpener_2","I'm sharpening my pencil.","Jeg skærper min blyant."
"sharpener_3","I need a new sharpener.","Jeg har brug for en ny slibemaskine."
"sharpener_4","Can I borrow your sharpener?","Kan jeg låne din slibeapparat?"
"sharpener_5","I lost my sharpener.","Jeg mistede min slibemaskine."
"mathematics","Mathematics","Matematik"
"mathematics_2","I like mathematics.","Jeg kan godt lide matematik."
"mathematics_3","I want to study mathematics.","Jeg vil studere matematik."
"mathematics_4","I don't like mathematics.","Jeg kan ikke lide matematik."
"mathematics_5","When is mathematics class?","Hvornår er matematik klasse?"
"mathematics_6","Can you help me with my mathematics homework?","Kan du hjælpe mig med mit hjemmearbejde i matematik?"
"literature","Literature","Litteratur"
"literature_2","I like literature.","Jeg kan godt lide litteratur."
"literature_3","I want to study literature.","Jeg vil studere litteratur."
"literature_4","I don't like literature.","Jeg kan ikke lide litteratur."
"literature_5","When is literature class?","Hvornår er litteraturklasse?"
"literature_6","Can you help me with my literature homework?","Kan du hjælpe mig med mine lektier hjemme?"
"science","Science","Videnskab"
"science_2","I like science.","Jeg kan godt lide videnskab."
"science_3","I want to study science.","Jeg vil studere videnskab."
"science_4","I don't like science.","Jeg kan ikke lide videnskab."
"science_5","When is science class?","Hvornår er naturfagsklasse?"
"science_6","Can you help me with my science homework?","Kan du hjælpe mig med mine naturvidenskabelige hjemmearbejde?"
"art-class","Art class","Kunst klasse"
"art-class_2","I like art class.","Jeg kan godt lide kunstklasse."
"art-class_3","I want to practice art skills.","Jeg vil øve kunstfærdigheder."
"art-class_4","I don't like art class.","Jeg kan ikke lide kunstklasse."
"art-class_5","When is art class?","Hvornår er kunstklasse?"
"art-class_6","Can you help me with my art class homework?","Kan du hjælpe mig med mine hjemmelektioner i kunstklassen?"
"music-class","Music class","Musik klasse"
"music-class_2","I like music class.","Jeg kan godt lide musikklasse."
"music-class_3","I want to practice music skills.","Jeg vil øve musikfærdigheder."
"music-class_4","I don't like music class.","Jeg kan ikke lide musikklasse."
"music-class_5","When is music class?","Hvornår er musikklasse?"
"music-class_6","Can you help me with my music class homework?","Kan du hjælpe mig med mine hjemmelektioner i musikklassen?"
"geography","Geography","Geografi"
"geography_2","I like geography.","Jeg kan godt lide geografi."
"geography_3","I want to study geography.","Jeg vil studere geografi."
"geography_4","I don't like geography.","Jeg kan ikke lide geografi."
"geography_5","When is geography?","Hvornår er geografi?"
"geography_6","Can you help me with my geography homework?","Kan du hjælpe mig med mit hjemmearbejde om geografi?"
"telescope","Telescope","Teleskop"
"telescope_2","I'm using the telescope.","Jeg bruger teleskopet."
"telescope_3","I want to use the telescope.","Jeg vil bruge teleskopet."
"telescope_4","I want to look at the stars.","Jeg vil se på stjernerne."
"glue","Glue","Lim"
"glue_2","I'm using glue.","Jeg bruger lim."
"glue_3","I need a new glue.","Jeg har brug for en ny lim."
"glue_4","Can I borrow your glue?","Kan jeg låne dit lim?"
"glue_5","I lost my glue.","Jeg mistede min lim."
"shapes","Shapes","Former"
"circle","Circle","Cirkel"
"circle_2","This is circle shaped.","Dette er cirkelformet."
"circle_3","Can you teach me how to draw a circle?","Kan du lære mig hvordan man tegner en cirkel?"
"triangle","Triangle","Trekant"
"triangle_2","This is triangle shaped.","Dette er trekantformet."
"triangle_3","Can you teach me how to draw a triangle?","Kan du lære mig hvordan man tegner en trekant?"
"square","Square","Firkant"
"square_2","This is square shaped.","Dette er firkantet."
"square_3","Can you teach me how to draw a square?","Kan du lære mig hvordan man tegner en firkant?"
"rectangle","Rectangle","Rektangel"
"rectangle_2","This is rectangle shaped.","Dette er rektangelformet."
"rectangle_3","Can you teach me how to draw a rectangle?","Kan du lære mig hvordan man tegner et rektangel?"
"star","Star","Stjerne"
"star_2","This is star shaped.","Dette er stjerneformet."
"star_3","Can you teach me how to draw a star?","Kan du lære mig hvordan man tegner en stjerne?"
"pentagon","Pentagon","Pentagon"
"pentagon_2","This is pentagon shaped.","Dette er femkantet."
"pentagon_3","Can you teach me how to draw a pentagon?","Kan du lære mig hvordan man tegner en femkant?"
"hexagon","Hexagon","Sekskant"
"hexagon_2","This is hexagon shaped.","Dette er hexagon formet."
"hexagon_3","Can you teach me how to draw a hexagon?","Kan du lære mig hvordan man tegner en sekskant?"
"cross","Cross","Kryds"
"cross_2","This is cross shaped.","Dette er krydsformet."
"cross_3","Can you teach me how to draw a cross?","Kan du lære mig hvordan man tegner et kors?"
"ellipse","Ellipse","Ellipse"
"ellipse_2","This is ellipse shaped.","Dette er ellipseformet."
"ellipse_3","Can you teach me how to draw a ellipse?","Kan du lære mig hvordan man tegner en ellipse?"
"arrow","Arrow","Pil"
"arrow_2","This is arrow shaped.","Dette er pilformet."
"arrow_3","Can you teach me how to draw a arrow?","Kan du lære mig hvordan man tegner en pil?"
"crescent","Crescent","Halvmåne"
"crescent_2","This is crescent shaped.","Dette er halvmåneformet."
"crescent_3","Can you teach me how to draw a crescent?","Kan du lære mig hvordan man tegner en halvmåne?"
"heart","Heart","Hjerte"
"heart_2","This is heart shaped.","Dette er hjerteformet."
"heart_3","Can you teach me how to draw a heart?","Kan du lære mig hvordan man tegner et hjerte?"
"rhombus","Rhombus","Rhombus"
"rhombus_2","This is rhombus shaped.","Dette er rombformet."
"rhombus_3","Can you teach me how to draw a rhombus?","Kan du lære mig hvordan man tegner en romb?"
"ring","Ring","Ring"
"ring_2","This is ring shaped.","Dette er ringformet."
"ring_3","Can you teach me how to draw a ring?","Kan du lære mig hvordan man tegner en ring?"
"semicircle","Semicircle","Halvkreds"
"semicircle_2","This is semicircle shaped.","Dette er halvcirkelformet."
"semicircle_3","Can you teach me how to draw a semicircle?","Kan du lære mig, hvordan man tegner en halvcirkel?"
"trapezoid","Trapezoid","trapez"
"trapezoid_2","This is trapezoid shaped.","Dette er trapezformet."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Kan du lære mig hvordan man tegner en trapezoid?"
"cube","Cube","Cube"
"cube_2","This is cube shaped.","Dette er terningformet."
"cube_3","Can you teach me how to draw a cube?","Kan du lære mig hvordan man tegner en terning?"
"cylinder","Cylinder","Cylinder"
"cylinder_2","This is cylinder shaped.","Dette er cylinderformet."
"cylinder_3","Can you teach me how to draw a cylinder?","Kan du lære mig hvordan man tegner en cylinder?"
