"activities","Activities","Activités"
"therapist_4","I don't like my therapist.","Je n'aime pas mon thérapeute."
"therapist_5","I miss my therapist.","Mon thérapeute me manque."
"therapist_6","Thank you for the session.","Merci pour la session."
"doctor","Doctor","Médecin"
"doctor_2","I love my doctor.","J'adore mon docteur."
"doctor_3","I love you doctor.","Je t'aime docteur."
"doctor_4","I don't like my doctor.","Je n'aime pas mon docteur."
"doctor_5","I miss my doctor.","Mon médecin me manque."
"doctor_6","Thank you for healing me.","Merci de m'avoir guéri."
"friends","Friends","copains"
"friends_2","I love my friends.","J'aime mes amis."
"friends_3","Do you want to be my friend?","Veux tu être mon ami?"
"friends_4","I don't like my friends.","Je n'aime pas mes amis."
"friends_5","I miss my friends.","Mes amis me manquent."
"friends_6","They are my friends.","Ce sont mes amis."
"friends_7","Thank you for playing with me.","Merci d'avoir joué avec moi."
"cousins","Cousins","Les cousins"
"cousins_2","I love my cousins.","J'adore mes cousins."
"cousins_3","I don't have cousins.","Je n'ai pas de cousins."
"cousins_4","I miss my cousins.","Mes cousins me manquent."
"cousins_5","They are my cousins.","Ils sont mes cousins."
"grandmother","Grandmother","Grand-mère"
"grandmother_2","I love my grandmother.","J'aime ma grand-mère."
"grandmother_3","I love you grandma.","Je t'aime grand-mère."
"grandmother_4","I miss my grandma.","Ma grand-mère me manque."
"grandmother_5","She is my grandma.","C'est ma grand-mère."
"grandfather","Grandfather","Grand-père"
"grandfather_2","I love my grandfather.","J'adore mon grand-père."
"grandfather_3","I love you grandpa.","Je t'aime grand-père."
"grandfather_4","I miss my grandpa.","Mon grand-père me manque."
"grandfather_5","He is my grandpa.","Il est mon grand-père."
"stepfather","Stepfather","Beau-père"
"stepfather_2","I love my stepfather.","J'adore mon beau-père."
"stepfather_3","He is my stepfather.","Il est mon beau-père."
"stepfather_4","I miss my stepfather.","Mon beau-père me manque."
"stepfather_5","He is my stepfather.","Il est mon beau-père."
"stepmother","Stepmother","Belle-mère"
"stepmother_2","I love my stepmother.","J'adore ma belle-mère."
"stepmother_3","She is my stepmother.","Elle est ma belle-mère."
"stepmother_4","I miss my stepmother.","Ma belle-mère me manque."
"stepmother_5","She is my stepmother.","Elle est ma belle-mère."
"stepsister","Stepsister","Demi-soeur"
"stepsister_2","I love my stepsister.","J'adore ma demi-soeur."
"stepsister_3","She is my stepsister.","C'est ma demi-soeur."
"stepsister_4","I miss my stepsister.","Ma demi-soeur me manque."
"stepsister_5","She is my stepsister.","C'est ma demi-soeur."
"stepbrother","Stepbrother","Beau-frère"
"stepbrother_2","I love my stepbrother.","J'adore mon demi-frère."
"stepbrother_3","He is my stepbrother.","Il est mon demi-frère."
"stepbrother_4","I miss my stepbrother.","Mon demi-frère me manque."
"stepbrother_5","He is my stepbrother.","Il est mon demi-frère."
"half-brother","Half brother","Demi-frère"
"half-brother_2","I love my half brother.","J'adore mon demi-frère."
"half-brother_3","He is my half brother.","Il est mon demi-frère."
"half-brother_4","I miss my half brother.","Mon demi-frère me manque."
"half-brother_5","He is my half brother.","Il est mon demi-frère."
"half-sister","Half sister","Demi soeur"
"half-sister_2","I love my half sister.","J'adore ma demi-sœur."
"half-sister_3","She is my half sister.","C'est ma demi-sœur."
"half-sister_4","I miss my half sister.","Ma demi-sœur me manque."
"half-sister_5","She is my half sister.","C'est ma demi-sœur."
"quarantine","Quarantine","Quarantaine"
"protective-mask","Protective mask","Masque de protection"
"stay-home","Stay home","Rester à la maison"
"toilet-paper","Toilet paper","Papier toilette"
"sprayer","Sprayer","Pulvérisateur"
"disinfectant","Disinfectant","Désinfectant"
"thermometer","Thermometer","Thermomètre"
"coughing","Coughing","Tousser"
"medical-assistance","Medical assistance","Assistance médicale"
"hand-sanitizer","Hand sanitizer","Gel hydroalcoolique"
"gloves","Gloves","Gants"
"social-distancing","Social distancing","Distanciation sociale"
"mouth-mask","Mouth mask","Masque de bouche"
"pandemic","Pandemic","Pandémie"
"working-at-home","Working at home","Travailler à la maison"
"wet-wipes","Wet wipes","Lingettes humides"
"first-aid-kit","First aid kit","Trousse de premiers secours"
"fitness","Fitness","Aptitude"
"e-learning","E-learning","E-learning"
"virus","Virus","Virus"
"cleaning","Cleaning","Nettoyage"
"school","School","École"
"desk","Desk","Bureau"
"desk_2","Can I use this desk?","Puis-je utiliser ce bureau?"
"desk_3","Which desk is mine?","Quel bureau est le mien?"
"desk_4","I spilled on my desk.","J'ai renversé sur mon bureau."
"desk_5","Don't scratch your desk.","Ne rayez pas votre bureau."
"chair","Chair","chaise"
"chair_2","Can I sit with you?","Je peux m'asseoir avec toi?"
"chair_3","Which chair is mine?","Quelle chaise est la mienne?"
"chair_4","Is this chair taken?","Cette chaise est-elle prise?"
"chair_5","I spilled on my chair.","J'ai renversé sur ma chaise."
"book","Book","Livre"
"book_2","Textbook","Cahier de texte"
"book_3","Workbook","Classeur"
"book_4","Reading a book.","Lire un livre."
"book_5","Can I borrow your book?","Puis-je emprunter ton livre?"
"book_6","Which page are we at?","À quelle page en sommes-nous?"
"book_7","Flip the page.","Retournez la page."
"book_8","I lost my book.","J'ai perdu mon livre."
"notebook","Notebook","Carnet"
"notebook_2","Taking notes.","Prendre des notes."
"notebook_3","I'm taking notes.","Je prends des notes."
"notebook_4","I lost my notebook.","J'ai perdu mon carnet."
"backpack","Backpack","Sac à dos"
"backpack_2","Carrying my backpack.","Porter mon sac à dos."
"backpack_3","Putting my books in my backpack.","Mettre mes livres dans mon sac à dos."
"backpack_4","I need a new backpack.","J'ai besoin d'un nouveau sac à dos."
"backpack_5","Thank you for carrying my backpack.","Merci d'avoir porté mon sac à dos."
"backpack_6","I lost my backpack.","J'ai perdu mon sac à dos."
"backpack_7","My backpack is heavy.","Mon sac à dos est lourd."
"blackboard","Blackboard","Tableau noir"
"blackboard_2","Look at the blackboard.","Regarde le tableau noir."
"blackboard_3","Cleaning the blackboard.","Nettoyage du tableau noir."
"blackboard_4","Solving the problem on the blackboard.","Résoudre le problème sur le tableau noir."
"blackboard_5","Taking note on the blackboard.","Prendre note sur le tableau noir."
"blackboard_6","Give me a chalk.","Donnez-moi une craie."
"teacher_7","I don't like this topic.","Je n'aime pas ce sujet."
"teacher_8","Thank you for the lesson.","Merci pour la leçon."
"school-bus","School bus","Bus scolaire"
"school-bus_2","School bus is coming.","Le bus scolaire arrive."
"school-bus_3","Can I sit next to you?","Puis-je m'asseoir à côté de toi?"
"school-bus_4","Thank you bus driver!","Merci chauffeur de bus!"
"school-bus_5","School bus was late.","Le bus scolaire était en retard."
"pencil","Pencil","Crayon"
"pencil_2","I'm writing.","J'écris."
"pencil_3","I'm learning to write.","J'apprends à écrire."
"pencil_4","I need a new pencil.","J'ai besoin d'un nouveau crayon."
"pencil_5","Can I borrow your pencil?","Puis-je emprunter ton crayon?"
"pencil_6","I lost my pencil.","J'ai perdu mon crayon."
"eraser","Eraser","La gomme"
"eraser_2","I'm erasing.","J'efface."
"eraser_3","I need a new eraser.","J'ai besoin d'une nouvelle gomme."
"eraser_4","Can I borrow your eraser?","Puis-je emprunter votre gomme?"
"eraser_5","I lost my eraser.","J'ai perdu ma gomme."
"ruler","Ruler","Règle"
"ruler_2","I'm measuring.","Je mesure."
"ruler_3","I need a new ruler.","J'ai besoin d'une nouvelle règle."
"ruler_4","Can I borrow your ruler?","Puis-je emprunter votre règle?"
"ruler_5","I lost my ruler.","J'ai perdu ma règle."
"sharpener","Sharpener","Taille crayon"
"sharpener_2","I'm sharpening my pencil.","J'affile mon crayon."
"sharpener_3","I need a new sharpener.","J'ai besoin d'un nouveau taille-crayon."
"sharpener_4","Can I borrow your sharpener?","Puis-je emprunter votre taille-crayon?"
"sharpener_5","I lost my sharpener.","J'ai perdu mon taille-crayon."
"mathematics","Mathematics","Mathématiques"
"mathematics_2","I like mathematics.","J'aime les mathématiques."
"mathematics_3","I want to study mathematics.","Je veux étudier les mathématiques."
"mathematics_4","I don't like mathematics.","Je n'aime pas les mathématiques."
"mathematics_5","When is mathematics class?","Quand a lieu le cours de mathématiques?"
"mathematics_6","Can you help me with my mathematics homework?","Pouvez-vous m'aider avec mes devoirs de mathématiques?"
"literature","Literature","Littérature"
"literature_2","I like literature.","J'aime la littérature."
"literature_3","I want to study literature.","Je veux étudier la littérature."
"literature_4","I don't like literature.","Je n'aime pas la littérature."
"literature_5","When is literature class?","Quand est le cours de littérature?"
"literature_6","Can you help me with my literature homework?","Pouvez-vous m'aider avec mes devoirs de littérature?"
"science","Science","Science"
"science_2","I like science.","J'aime la science."
"science_3","I want to study science.","Je veux étudier la science."
"science_4","I don't like science.","Je n'aime pas la science."
"science_5","When is science class?","Quand est la classe de science?"
"science_6","Can you help me with my science homework?","Pouvez-vous m'aider avec mes devoirs scientifiques?"
"art-class","Art class","Classe d'art plastique"
"art-class_2","I like art class.","J'aime les cours d'art."
"art-class_3","I want to practice art skills.","Je veux pratiquer des compétences artistiques."
"art-class_4","I don't like art class.","Je n'aime pas les cours d'art."
"art-class_5","When is art class?","Quand est la classe d'art?"
"art-class_6","Can you help me with my art class homework?","Pouvez-vous m'aider avec mes devoirs de classe d'art?"
"music-class","Music class","Cours de musique"
"music-class_2","I like music class.","J'aime les cours de musique."
"music-class_3","I want to practice music skills.","Je veux pratiquer des compétences musicales."
"music-class_4","I don't like music class.","Je n'aime pas les cours de musique."
"music-class_5","When is music class?","Quand est le cours de musique?"
"music-class_6","Can you help me with my music class homework?","Pouvez-vous m'aider avec mes devoirs de cours de musique?"
"geography","Geography","La géographie"
"geography_2","I like geography.","J'aime la géographie."
"geography_3","I want to study geography.","Je veux étudier la géographie."
"geography_4","I don't like geography.","Je n'aime pas la géographie."
"geography_5","When is geography?","Quand est la géographie?"
"geography_6","Can you help me with my geography homework?","Pouvez-vous m'aider avec mes devoirs de géographie?"
"telescope","Telescope","Télescope"
"telescope_2","I'm using the telescope.","J'utilise le télescope."
"telescope_3","I want to use the telescope.","Je veux utiliser le télescope."
"telescope_4","I want to look at the stars.","Je veux regarder les étoiles."
"glue","Glue","La colle"
"glue_2","I'm using glue.","J'utilise de la colle."
"glue_3","I need a new glue.","J'ai besoin d'une nouvelle colle."
"glue_4","Can I borrow your glue?","Puis-je emprunter votre colle?"
"glue_5","I lost my glue.","J'ai perdu ma colle."
"shapes","Shapes","Formes"
"circle","Circle","Cercle"
"circle_2","This is circle shaped.","C'est en forme de cercle."
"circle_3","Can you teach me how to draw a circle?","Pouvez-vous m'apprendre à dessiner un cercle?"
"triangle","Triangle","Triangle"
"triangle_2","This is triangle shaped.","C'est en forme de triangle."
"triangle_3","Can you teach me how to draw a triangle?","Pouvez-vous m'apprendre à dessiner un triangle?"
"square","Square","Carré"
"square_2","This is square shaped.","C'est de forme carrée."
"square_3","Can you teach me how to draw a square?","Pouvez-vous m'apprendre à dessiner un carré?"
"rectangle","Rectangle","Rectangle"
"rectangle_2","This is rectangle shaped.","C'est en forme de rectangle."
"rectangle_3","Can you teach me how to draw a rectangle?","Pouvez-vous m'apprendre à dessiner un rectangle?"
"star","Star","Étoile"
"star_2","This is star shaped.","C'est en forme d'étoile."
"star_3","Can you teach me how to draw a star?","Pouvez-vous m'apprendre à dessiner une étoile?"
"pentagon","Pentagon","Pentagone"
"pentagon_2","This is pentagon shaped.","C'est en forme de pentagone."
"pentagon_3","Can you teach me how to draw a pentagon?","Pouvez-vous m'apprendre à dessiner un pentagone?"
"hexagon","Hexagon","Hexagone"
"hexagon_2","This is hexagon shaped.","C'est en forme d'hexagone."
"hexagon_3","Can you teach me how to draw a hexagon?","Pouvez-vous m'apprendre à dessiner un hexagone?"
"cross","Cross","Traverser"
"cross_2","This is cross shaped.","C'est en forme de croix."
"cross_3","Can you teach me how to draw a cross?","Pouvez-vous m'apprendre à dessiner une croix?"
"ellipse","Ellipse","Ellipse"
"ellipse_2","This is ellipse shaped.","C'est en forme d'ellipse."
"ellipse_3","Can you teach me how to draw a ellipse?","Pouvez-vous m'apprendre à dessiner une ellipse?"
"arrow","Arrow","La Flèche"
"arrow_2","This is arrow shaped.","C'est en forme de flèche."
"arrow_3","Can you teach me how to draw a arrow?","Pouvez-vous m'apprendre à dessiner une flèche?"
"crescent","Crescent","Croissant"
"crescent_2","This is crescent shaped.","C'est en forme de croissant."
"crescent_3","Can you teach me how to draw a crescent?","Pouvez-vous m'apprendre à dessiner un croissant?"
"heart","Heart","Cœur"
"heart_2","This is heart shaped.","C'est en forme de coeur."
"heart_3","Can you teach me how to draw a heart?","Pouvez-vous m'apprendre à dessiner un cœur?"
"rhombus","Rhombus","Rhombe"
"rhombus_2","This is rhombus shaped.","C'est en forme de losange."
"rhombus_3","Can you teach me how to draw a rhombus?","Pouvez-vous m'apprendre à dessiner un losange?"
"ring","Ring","Bague"
"ring_2","This is ring shaped.","C'est en forme d'anneau."
"ring_3","Can you teach me how to draw a ring?","Pouvez-vous m'apprendre à dessiner une bague?"
"semicircle","Semicircle","Demi-cercle"
"semicircle_2","This is semicircle shaped.","C'est en forme de demi-cercle."
"semicircle_3","Can you teach me how to draw a semicircle?","Pouvez-vous m'apprendre à dessiner un demi-cercle?"
"trapezoid","Trapezoid","Trapèze"
"trapezoid_2","This is trapezoid shaped.","C'est en forme de trapèze."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Pouvez-vous m'apprendre à dessiner un trapèze?"
"cube","Cube","cube"
"cube_2","This is cube shaped.","C'est en forme de cube."
"cube_3","Can you teach me how to draw a cube?","Pouvez-vous m'apprendre à dessiner un cube?"
"cylinder","Cylinder","Cylindre"
"cylinder_2","This is cylinder shaped.","C'est en forme de cylindre."
"cylinder_3","Can you teach me how to draw a cylinder?","Pouvez-vous m'apprendre à dessiner un cylindre?"
