"activities","Activities","Aktivitäten"
"parents_8","Can you help me find my parents?","Kannst du mir helfen, meine Eltern zu finden?"
"grandparents","Grandparents","Großeltern"
"grandparents_2","I love my grandparents.","Ich liebe meine Großeltern."
"grandparents_3","I love you grandparents.","Ich liebe dich Großeltern."
"grandparents_4","I miss my grandparents.","Ich vermisse meine Großeltern."
"grandparents_5","They are my grandparents.","Sie sind meine Großeltern."
"grandparents_6","My grandparents are taking care of me.","Meine Großeltern kümmern sich um mich."
"grandparents_8","Can you help me find my grandparents?","Können Sie mir helfen, meine Großeltern zu finden?"
"brother","Brother","Bruder"
"brother_2","I love my brother.","Ich liebe meinen Bruder."
"brother_3","I love you brother.","Ich liebe dich Bruder."
"brother_4","I miss my brother.","Ich vermisse meinen Bruder."
"brother_5","He is my brother.","Er ist mein Bruder."
"brother_6","My brother is taking care of me.","Mein Bruder kümmert sich um mich."
"brother_8","Can you help me find my brother?","Kannst du mir helfen, meinen Bruder zu finden?"
"sister","Sister","Schwester"
"sister_2","I love my sister.","Ich liebe meine Schwester."
"sister_3","I love you sister.","Ich liebe dich Schwester."
"sister_4","I miss my sister.","Ich vermisse meine Schwester."
"sister_5","She is my sister.","Sie ist meine Schwester."
"sister_6","My sister is taking care of me.","Meine Schwester kümmert sich um mich."
"sister_8","Can you help me find my sister?","Kannst du mir helfen, meine Schwester zu finden?"
"uncle","Uncle","Onkel"
"uncle_2","I love my uncle.","Ich liebe meinen Onkel."
"uncle_3","I love you uncle.","Ich liebe dich Onkel."
"uncle_4","I miss my uncle.","Ich vermisse meinen Onkel."
"uncle_5","He is my uncle.","Er ist mein Onkel."
"uncle_8","Can you help me find my uncle?","Kannst du mir helfen, meinen Onkel zu finden?"
"aunt","Aunt","Tante"
"aunt_2","I love my aunt.","Ich liebe meine Tante."
"aunt_3","I love you aunt.","Ich liebe dich Tante."
"aunt_4","I miss my aunt.","Ich vermisse meine Tante."
"aunt_5","She is my aunt.","Sie ist meine Tante."
"aunt_8","Can you help me find my aunt?","Kannst du mir helfen, meine Tante zu finden?"
"teacher","Teacher","Lehrer"
"teacher_2","I love my teacher.","Ich liebe meinen Lehrer."
"teacher_3","I love you teacher.","Ich liebe dich Lehrer."
"teacher_4","I don't like my teacher.","Ich mag meinen Lehrer nicht."
"teacher_5","I miss my teacher.","Ich vermisse meinen Lehrer."
"teacher_6","Thank you for the lesson.","Danke für die Lektion."
"therapist","Therapist","Therapeut"
"therapist_2","I love my therapist.","Ich liebe meinen Therapeuten."
"therapist_3","I love you therapist.","Ich liebe dich Therapeut."
"therapist_4","I don't like my therapist.","Ich mag meinen Therapeuten nicht."
"therapist_5","I miss my therapist.","Ich vermisse meinen Therapeuten."
"therapist_6","Thank you for the session.","Vielen Dank für die Sitzung."
"doctor","Doctor","Arzt"
"doctor_2","I love my doctor.","Ich liebe meinen Arzt."
"doctor_3","I love you doctor.","Ich liebe dich Doktor."
"doctor_4","I don't like my doctor.","Ich mag meinen Arzt nicht."
"doctor_5","I miss my doctor.","Ich vermisse meinen Arzt."
"doctor_6","Thank you for healing me.","Danke, dass du mich geheilt hast."
"friends","Friends","Freunde"
"friends_2","I love my friends.","Ich liebe meine Freunde."
"friends_3","Do you want to be my friend?","Willst du mein Freund sein?"
"friends_4","I don't like my friends.","Ich mag meine Freunde nicht."
"friends_5","I miss my friends.","Ich vermisse meine Freunde."
"friends_6","They are my friends.","Sie sind meine Freunde."
"friends_7","Thank you for playing with me.","Danke, dass du mit mir gespielt hast."
"cousins","Cousins","Cousins"
"cousins_2","I love my cousins.","Ich liebe meine Cousins."
"cousins_3","I don't have cousins.","Ich habe keine Cousins."
"cousins_4","I miss my cousins.","Ich vermisse meine Cousins."
"cousins_5","They are my cousins.","Sie sind meine Cousins."
"grandmother","Grandmother","Oma"
"grandmother_2","I love my grandmother.","Ich liebe meine Großmutter."
"grandmother_3","I love you grandma.","Ich liebe dich Oma."
"grandmother_4","I miss my grandma.","Ich vermisse meine Oma."
"grandmother_5","She is my grandma.","Sie ist meine Oma."
"grandfather","Grandfather","Großvater"
"grandfather_2","I love my grandfather.","Ich liebe meinen Großvater."
"grandfather_3","I love you grandpa.","Ich liebe dich Opa."
"grandfather_4","I miss my grandpa.","Ich vermisse meinen Opa."
"grandfather_5","He is my grandpa.","Er ist mein Opa."
"stepfather","Stepfather","Stiefvater"
"stepfather_2","I love my stepfather.","Ich liebe meinen Stiefvater."
"stepfather_3","He is my stepfather.","Er ist mein Stiefvater."
"stepfather_4","I miss my stepfather.","Ich vermisse meinen Stiefvater."
"stepfather_5","He is my stepfather.","Er ist mein Stiefvater."
"stepmother","Stepmother","Stiefmutter"
"stepmother_2","I love my stepmother.","Ich liebe meine Stiefmutter."
"stepmother_3","She is my stepmother.","Sie ist meine Stiefmutter."
"stepmother_4","I miss my stepmother.","Ich vermisse meine Stiefmutter."
"stepmother_5","She is my stepmother.","Sie ist meine Stiefmutter."
"stepsister","Stepsister","Stiefschwester"
"stepsister_2","I love my stepsister.","Ich liebe meine Stiefschwester."
"stepsister_3","She is my stepsister.","Sie ist meine Stiefschwester."
"stepsister_4","I miss my stepsister.","Ich vermisse meine Stiefschwester."
"stepsister_5","She is my stepsister.","Sie ist meine Stiefschwester."
"stepbrother","Stepbrother","Stiefbruder"
"stepbrother_2","I love my stepbrother.","Ich liebe meinen Stiefbruder."
"stepbrother_3","He is my stepbrother.","Er ist mein Stiefbruder."
"stepbrother_4","I miss my stepbrother.","Ich vermisse meinen Stiefbruder."
"stepbrother_5","He is my stepbrother.","Er ist mein Stiefbruder."
"half-brother","Half brother","Halbbruder"
"half-brother_2","I love my half brother.","Ich liebe meinen Halbbruder."
"half-brother_3","He is my half brother.","Er ist mein Halbbruder."
"half-brother_4","I miss my half brother.","Ich vermisse meinen Halbbruder."
"half-brother_5","He is my half brother.","Er ist mein Halbbruder."
"half-sister","Half sister","Halbschwester"
"half-sister_2","I love my half sister.","Ich liebe meine Halbschwester."
"half-sister_3","She is my half sister.","Sie ist meine Halbschwester."
"half-sister_4","I miss my half sister.","Ich vermisse meine Halbschwester."
"half-sister_5","She is my half sister.","Sie ist meine Halbschwester."
"quarantine","Quarantine","Quarantäne"
"protective-mask","Protective mask","Schutzmaske"
"stay-home","Stay home","Zu Hause bleiben"
"toilet-paper","Toilet paper","Klopapier"
"sprayer","Sprayer","Sprühgerät"
"disinfectant","Disinfectant","Desinfektionsmittel"
"thermometer","Thermometer","Thermometer"
"coughing","Coughing","Husten"
"medical-assistance","Medical assistance","Medizinische Assistenz"
"hand-sanitizer","Hand sanitizer","Handdesinfektionsmittel"
"gloves","Gloves","Handschuhe"
"social-distancing","Social distancing","Soziale Distanzierung"
"mouth-mask","Mouth mask","Mund Maske"
"pandemic","Pandemic","Pandemie"
"working-at-home","Working at home","Zuhause arbeiten"
"wet-wipes","Wet wipes","Feuchttücher"
"first-aid-kit","First aid kit","Erste-Hilfe-Kasten"
"fitness","Fitness","Fitness"
"e-learning","E-learning","E-Learning"
"virus","Virus","Virus"
"cleaning","Cleaning","Reinigung"
"school","School","Schule"
"desk","Desk","Schreibtisch"
"desk_2","Can I use this desk?","Kann ich diesen Schreibtisch benutzen?"
"desk_3","Which desk is mine?","Welcher Schreibtisch gehört mir?"
"desk_4","I spilled on my desk.","Ich verschüttete mich auf meinem Schreibtisch."
"desk_5","Don't scratch your desk.","Kratzen Sie nicht an Ihrem Schreibtisch."
"chair","Chair","Stuhl"
"chair_2","Can I sit with you?","Kann ich mich zu Dir setzen?"
"chair_3","Which chair is mine?","Welcher Stuhl gehört mir?"
"chair_4","Is this chair taken?","Ist dieser Stuhl besetzt?"
"chair_5","I spilled on my chair.","Ich verschüttete mich auf meinem Stuhl."
"book","Book","Buch"
"book_2","Textbook","Lehrbuch"
"book_3","Workbook","Arbeitsmappe"
"book_4","Reading a book.","Ein Buch lesen."
"book_5","Can I borrow your book?","Kann ich mir dein Buch ausleihen?"
"book_6","Which page are we at?","Auf welcher Seite sind wir?"
"book_7","Flip the page.","Blättern Sie die Seite um."
"book_8","I lost my book.","Ich habe mein Buch verloren."
"notebook","Notebook","Notizbuch"
"notebook_2","Taking notes.","Notizen machen."
"notebook_3","I'm taking notes.","Ich mache mir Notizen."
"notebook_4","I lost my notebook.","Ich habe mein Notizbuch verloren."
"backpack","Backpack","Rucksack"
"backpack_2","Carrying my backpack.","Ich trage meinen Rucksack."
"backpack_3","Putting my books in my backpack.","Ich stecke meine Bücher in meinen Rucksack."
"backpack_4","I need a new backpack.","Ich brauche einen neuen Rucksack."
"backpack_5","Thank you for carrying my backpack.","Danke, dass du meinen Rucksack getragen hast."
"backpack_6","I lost my backpack.","Ich habe meinen Rucksack verloren."
"backpack_7","My backpack is heavy.","Mein Rucksack ist schwer."
"blackboard","Blackboard","Tafel"
"blackboard_2","Look at the blackboard.","Schauen Sie an die Tafel."
"blackboard_3","Cleaning the blackboard.","Reinigung der Tafel."
"blackboard_4","Solving the problem on the blackboard.","Das Problem an der Tafel lösen."
"blackboard_5","Taking note on the blackboard.","Notiz an der Tafel."
"blackboard_6","Give me a chalk.","Gib mir eine Kreide."
"teacher_7","I don't like this topic.","Ich mag dieses Thema nicht."
"teacher_8","Thank you for the lesson.","Danke für die Lektion."
"school-bus","School bus","Schulbus"
"school-bus_2","School bus is coming.","Der Schulbus kommt."
"school-bus_3","Can I sit next to you?","Kann ich neben dir sitzen?"
"school-bus_4","Thank you bus driver!","Danke Busfahrer!"
"school-bus_5","School bus was late.","Der Schulbus war spät dran."
"pencil","Pencil","Bleistift"
"pencil_2","I'm writing.","Ich schreibe."
"pencil_3","I'm learning to write.","Ich lerne schreiben."
"pencil_4","I need a new pencil.","Ich brauche einen neuen Bleistift."
"pencil_5","Can I borrow your pencil?","Kann ich mir deinen Bleistift ausleihen?"
"pencil_6","I lost my pencil.","Ich habe meinen Bleistift verloren."
"eraser","Eraser","Radiergummi"
"eraser_2","I'm erasing.","Ich lösche es gerade."
"eraser_3","I need a new eraser.","Ich brauche einen neuen Radiergummi."
"eraser_4","Can I borrow your eraser?","Kann ich deinen Radiergummi ausleihen?"
"eraser_5","I lost my eraser.","Ich habe meinen Radiergummi verloren."
"ruler","Ruler","Herrscher"
"ruler_2","I'm measuring.","Ich messe."
"ruler_3","I need a new ruler.","Ich brauche ein neues Lineal."
"ruler_4","Can I borrow your ruler?","Kann ich mir dein Lineal ausleihen?"
"ruler_5","I lost my ruler.","Ich habe mein Lineal verloren."
"sharpener","Sharpener","Anspitzer"
"sharpener_2","I'm sharpening my pencil.","Ich spitze meinen Bleistift."
"sharpener_3","I need a new sharpener.","Ich brauche einen neuen Anspitzer."
"sharpener_4","Can I borrow your sharpener?","Kann ich Ihren Anspitzer ausleihen?"
"sharpener_5","I lost my sharpener.","Ich habe meinen Anspitzer verloren."
"mathematics","Mathematics","Mathematik"
"mathematics_2","I like mathematics.","Ich mag Mathematik."
"mathematics_3","I want to study mathematics.","Ich möchte Mathematik studieren."
"mathematics_4","I don't like mathematics.","Ich mag keine Mathematik."
"mathematics_5","When is mathematics class?","Wann ist Mathematikunterricht?"
"mathematics_6","Can you help me with my mathematics homework?","Können Sie mir bei meinen Mathematik-Hausaufgaben helfen?"
"literature","Literature","Literatur"
"literature_2","I like literature.","Ich mag Literatur."
"literature_3","I want to study literature.","Ich möchte Literatur studieren."
"literature_4","I don't like literature.","Ich mag keine Literatur."
"literature_5","When is literature class?","Wann ist Literaturunterricht?"
"literature_6","Can you help me with my literature homework?","Können Sie mir bei meinen Hausaufgaben helfen?"
"science","Science","Wissenschaft"
"science_2","I like science.","Ich mag Wissenschaften."
"science_3","I want to study science.","Ich möchte Wissenschaft studieren."
"science_4","I don't like science.","Ich mag keine Wissenschaft."
"science_5","When is science class?","Wann ist Wissenschaftsunterricht?"
"science_6","Can you help me with my science homework?","Können Sie mir bei meinen Hausaufgaben helfen?"
"art-class","Art class","Kunstunterricht"
"art-class_2","I like art class.","Ich mag Kunstunterricht."
"art-class_3","I want to practice art skills.","Ich möchte Kunstfertigkeiten üben."
"art-class_4","I don't like art class.","Ich mag keinen Kunstunterricht."
"art-class_5","When is art class?","Wann ist Kunstunterricht?"
"art-class_6","Can you help me with my art class homework?","Kannst du mir bei meinen Hausaufgaben im Kunstunterricht helfen?"
"music-class","Music class","Musik Klasse"
"music-class_2","I like music class.","Ich mag Musikunterricht."
"music-class_3","I want to practice music skills.","Ich möchte musikalische Fähigkeiten üben."
"music-class_4","I don't like music class.","Ich mag keinen Musikunterricht."
"music-class_5","When is music class?","Wann ist Musikunterricht?"
"music-class_6","Can you help me with my music class homework?","Kannst du mir bei meinen Hausaufgaben im Musikunterricht helfen?"
"geography","Geography","Erdkunde"
"geography_2","I like geography.","Ich mag Geographie."
"geography_3","I want to study geography.","Ich möchte Geographie studieren."
"geography_4","I don't like geography.","Ich mag keine Geographie."
"geography_5","When is geography?","Wann ist Geographie?"
"geography_6","Can you help me with my geography homework?","Können Sie mir bei meinen geografischen Hausaufgaben helfen?"
"telescope","Telescope","Fernrohr"
"telescope_2","I'm using the telescope.","Ich benutze das Teleskop."
"telescope_3","I want to use the telescope.","Ich möchte das Teleskop benutzen."
"telescope_4","I want to look at the stars.","Ich möchte die Sterne anschauen."
"glue","Glue","Kleben"
"glue_2","I'm using glue.","Ich benutze Kleber."
"glue_3","I need a new glue.","Ich brauche einen neuen Kleber."
"glue_4","Can I borrow your glue?","Kann ich mir deinen Kleber ausleihen?"
"glue_5","I lost my glue.","Ich habe meinen Kleber verloren."
"shapes","Shapes","Formen"
"circle","Circle","Kreis"
"circle_2","This is circle shaped.","Dies ist kreisförmig."
"circle_3","Can you teach me how to draw a circle?","Können Sie mir beibringen, wie man einen Kreis zeichnet?"
"triangle","Triangle","Dreieck"
"triangle_2","This is triangle shaped.","Dies ist dreieckig."
"triangle_3","Can you teach me how to draw a triangle?","Können Sie mir beibringen, wie man ein Dreieck zeichnet?"
"square","Square","Quadrat"
"square_2","This is square shaped.","Dies ist quadratisch geformt."
"square_3","Can you teach me how to draw a square?","Können Sie mir beibringen, wie man ein Quadrat zeichnet?"
"rectangle","Rectangle","Rechteck"
"rectangle_2","This is rectangle shaped.","Dies ist rechteckig."
"rectangle_3","Can you teach me how to draw a rectangle?","Können Sie mir beibringen, wie man ein Rechteck zeichnet?"
"star","Star","Star"
"star_2","This is star shaped.","Dies ist sternförmig."
"star_3","Can you teach me how to draw a star?","Kannst du mir beibringen, wie man einen Stern zeichnet?"
"pentagon","Pentagon","Pentagon"
"pentagon_2","This is pentagon shaped.","Dies ist fünfeckig."
"pentagon_3","Can you teach me how to draw a pentagon?","Können Sie mir beibringen, wie man ein Fünfeck zeichnet?"
"hexagon","Hexagon","Hexagon"
"hexagon_2","This is hexagon shaped.","Dies ist sechseckig."
"hexagon_3","Can you teach me how to draw a hexagon?","Können Sie mir beibringen, wie man ein Sechseck zeichnet?"
"cross","Cross","Kreuz"
"cross_2","This is cross shaped.","Dies ist kreuzförmig."
"cross_3","Can you teach me how to draw a cross?","Können Sie mir beibringen, wie man ein Kreuz zeichnet?"
"ellipse","Ellipse","Ellipse"
"ellipse_2","This is ellipse shaped.","Dies ist ellipsenförmig."
"ellipse_3","Can you teach me how to draw a ellipse?","Können Sie mir beibringen, wie man eine Ellipse zeichnet?"
"arrow","Arrow","Pfeil"
"arrow_2","This is arrow shaped.","Dies ist pfeilförmig."
"arrow_3","Can you teach me how to draw a arrow?","Können Sie mir beibringen, wie man einen Pfeil zeichnet?"
"crescent","Crescent","Halbmond"
"crescent_2","This is crescent shaped.","Dies ist halbmondförmig."
"crescent_3","Can you teach me how to draw a crescent?","Können Sie mir beibringen, wie man einen Halbmond zeichnet?"
"heart","Heart","Herz"
"heart_2","This is heart shaped.","Das ist herzförmig."
"heart_3","Can you teach me how to draw a heart?","Kannst du mir beibringen, wie man ein Herz zeichnet?"
"rhombus","Rhombus","Rhombus"
"rhombus_2","This is rhombus shaped.","Dies ist rhombusförmig."
"rhombus_3","Can you teach me how to draw a rhombus?","Können Sie mir beibringen, wie man eine Raute zeichnet?"
"ring","Ring","Ring"
"ring_2","This is ring shaped.","Dies ist ringförmig."
"ring_3","Can you teach me how to draw a ring?","Kannst du mir beibringen, wie man einen Ring zeichnet?"
"semicircle","Semicircle","Halbkreis"
"semicircle_2","This is semicircle shaped.","Dies ist halbkreisförmig."
"semicircle_3","Can you teach me how to draw a semicircle?","Können Sie mir beibringen, wie man einen Halbkreis zeichnet?"
"trapezoid","Trapezoid","Trapez"
"trapezoid_2","This is trapezoid shaped.","Dies ist trapezförmig."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Können Sie mir beibringen, wie man ein Trapez zeichnet?"
"cube","Cube","Würfel"
"cube_2","This is cube shaped.","Dies ist würfelförmig."
"cube_3","Can you teach me how to draw a cube?","Kannst du mir beibringen, wie man einen Würfel zeichnet?"
"cylinder","Cylinder","Zylinder"
"cylinder_2","This is cylinder shaped.","Dies ist zylinderförmig."
"cylinder_3","Can you teach me how to draw a cylinder?","Können Sie mir beibringen, wie man einen Zylinder zeichnet?"
