"activities","Activities","ক্রিয়াকলাপ"
"spices_2","I like spicy food.","আমি মশলাদার খাবার পছন্দ করি।"
"spices_3","I don't like spicy food.","আমি মশলাদার খাবার পছন্দ করি না।"
"spices_4","I want paprika.","আমি পাপ্রিকা চাই"
"spices_5","I want black pepper.","আমি কালো মরিচ চাই"
"pizza","Pizza","পিজা"
"pizza_2","I like pizza.","আমি পিজা পছন্দ করি."
"pizza_3","I don't like pizza.","আমি পিজ্জা পছন্দ করি না"
"pizza_4","I want to eat pizza.","আমি পিজা খেতে চাই."
"pizza_5","Can you cook pizza for me?","আপনি আমার জন্য পিজ্জা রান্না করতে পারেন?"
"pizza_6","Can we order pizza?","আমরা কি পিজ্জা অর্ডার করতে পারি?"
"cheese","Cheese","পনির"
"cheese_2","I like cheese.","আমি পনির পছন্দ করি."
"cheese_3","I don't like cheese.","আমি পনির পছন্দ করি না"
"cheese_4","I want to eat cheese.","আমি পনির খেতে চাই"
"ice-cream","Ice cream","আইসক্রিম"
"ice-cream_2","I like ice cream.","আমি আইসক্রিম পছন্দ করি."
"ice-cream_3","I don't like ice cream.","আমি আইসক্রিম পছন্দ করি না"
"ice-cream_4","I want to eat ice cream.","আমি আইসক্রিম খেতে চাই"
"ice-cream_5","Can you buy ice cream for me?","আপনি কি আমার জন্য আইসক্রিম কিনতে পারবেন?"
"tea","Tea","চা"
"tea_2","I like tea.","আমি চা পছন্দ করি."
"tea_3","I don't like tea.","আমি চা পছন্দ করি না"
"tea_4","I want to drink tea.","আমি চা পান করতে চাই"
"tea_5","Can you make tea for me?","আপনি আমার জন্য চা করতে পারেন?"
"coffee","Coffee","কফি"
"coffee_2","I like coffee.","আমি কফি চান."
"coffee_3","I don't like coffee.","আমি কফি পছন্দ করি না"
"coffee_4","I want to drink coffee.","আমি কফি পান করতে চাই"
"coffee_5","Can you make coffee for me?","আপনি কি আমার জন্য কফি বানাতে পারেন?"
"tomato","Tomato","টমেটো"
"tomato_2","I like tomato.","আমি টমেটো পছন্দ করি।"
"tomato_3","I don't like tomato.","আমি টমেটো পছন্দ করি না"
"tomato_4","I want to eat tomato.","আমি টমেটো খেতে চাই"
"cereal","Cereal","খাদ্যশস্য"
"cereal_2","I like cereal.","আমি সিরিয়াল পছন্দ করি"
"cereal_3","I don't like cereal.","আমি সিরিয়াল পছন্দ করি না"
"cereal_4","I want to eat cereal.","আমি সিরিয়াল খেতে চাই"
"cereal_5","Can you make my cereal?","আপনি আমার সিরিয়াল করতে পারেন?"
"burger","Burger","বার্গার"
"burger_2","I like burger.","আমি বার্গার পছন্দ করি"
"burger_3","I don't like burger.","আমি বার্গার পছন্দ করি না"
"burger_4","I want to eat burger.","আমি বার্গার খেতে চাই"
"burger_5","Can you cook burger for me?","আপনি আমার জন্য বার্গার রান্না করতে পারেন?"
"burger_6","Can we order burger?","আমরা কি বার্গার অর্ডার করতে পারি?"
"french-fries","French fries","ফ্রেঞ্চ ফ্রাই"
"french-fries_2","I like french fries.","আমার ফ্রেঞ্চফ্রাই পছন্দ."
"french-fries_3","I don't like french fries.","আমি ফ্রেঞ্চ ফ্রাই পছন্দ করি না"
"french-fries_4","I want to eat french fries.","আমি ফ্রেঞ্চ ফ্রাই খেতে চাই"
"french-fries_5","Can you cook french fries for me?","আপনি কি আমার জন্য ফ্রেঞ্চ ফ্রাই রান্না করতে পারেন?"
"french-fries_6","Can we order french fries?","আমরা ফ্রেঞ্চ ফ্রাই অর্ডার করতে পারি?"
"spinach","Spinach","শাক"
"spinach_2","I like spinach.","আমি পালং শাক পছন্দ করি।"
"spinach_3","I don't like spinach.","আমি পালং পছন্দ করি না।"
"spinach_4","I want to eat spinach.","আমি পালং শাক খেতে চাই।"
"rice","Rice","ধান"
"rice_2","I like rice.","আমি ভাত পছন্দ করি."
"rice_3","I don't like rice.","আমি ভাত পছন্দ করি না"
"rice_4","I want to eat rice.","আমি ভাত খেতে চাই."
"rice_5","Can you cook rice for me?","তুমি কি আমার জন্য ভাত রান্না করতে পারবে?"
"bread","Bread","রুটি"
"bread_2","I like bread.","আমার রুটি ভালো লাগে."
"bread_3","I don't like bread.","আমি রুটি পছন্দ করি না"
"bread_4","I want to eat bread.","আমি রুটি খেতে চাই"
"bread_5","Can you buy some bread?","আপনি কিছু রুটি কিনতে পারেন?"
"pasta","Pasta","পাস্তা"
"pasta_2","I like pasta.","আমি পাস্তা পছন্দ করি"
"pasta_3","I don't like pasta.","আমি পাস্তা পছন্দ করি না"
"pasta_4","I want to eat pasta.","আমি পাস্তা খেতে চাই।"
"pasta_5","Can you cook pasta for me?","আপনি আমার জন্য পাস্তা রান্না করতে পারেন?"
"sauce","Sauce","সস"
"sauce_2","I like sauce.","আমি সস পছন্দ করি"
"sauce_3","I don't like sauce.","আমি সস পছন্দ করি না"
"sauce_4","I want some sauce.","আমি কিছু সস চাই।"
"sauce_5","Can I have ketchup?","আমি কি কেচাপ নিতে পারি?"
"sauce_6","Can I have mayonnaise?","আমার কি মেয়োনিজ থাকতে পারে?"
"sauce_7","Can I have mustard?","আমি কি সরিষা পেতে পারি?"
"sauce_8","Can I have ranch sauce?","আমি কি রানচ সস পেতে পারি?"
"kebab","Kebab","কাবাব"
"kebab_2","I like kebab.","আমি কাবাব পছন্দ করি।"
"kebab_3","I don't like kebab.","আমি কাবাব পছন্দ করি না"
"kebab_4","I want to eat kebab.","আমি কাবাব খেতে চাই।"
"kebab_5","Can you cook kebab for me?","আপনি কি আমার জন্য কাবাব রান্না করতে পারেন?"
"kebab_6","Can we order kebab?","আমরা কি কাবাব অর্ডার করতে পারি?"
"numbers","Numbers","নাম্বার"
"one","One","এক"
"one_2","One comes before two.","দু'জনের আগে একজন আসে।"
"one_3","One comes after zero.","এক আসে শূন্য পরে।"
"one_4","I want one.","আমি একটি চাই."
"two","Two","দুই"
"two_2","Two comes before three.","দু'জনের আগে তিনজনের আগমন ঘটে।"
"two_3","Two comes after one.","দু'জন একের পরে আসে।"
"two_4","I want two.","আমি দুটি চাই।"
"three","Three","তিন"
"three_2","Three comes before four.","চারজনের আগে তিনজন আসে।"
"three_3","Three comes after two.","দু'জনের পরে তিনজন আসে।"
"three_4","I want three.","আমি তিনটি চাই।"
"four","Four","চার"
"four_2","Four comes before five.","পাঁচটি আগে পাঁচ আসে।"
"four_3","Four comes after three.","চার পরে তিন পরে আসে।"
"four_4","I want four.","আমি চার চাই।"
"five","Five","পাঁচ"
"five_2","Five comes before six.","পাঁচ ছয় আগে আসে।"
"five_3","Five comes after four.","পাঁচ পরে চার আসে।"
"five_4","I want five.","আমি পাঁচ চাই।"
"six","Six","ছয়"
"six_2","Six comes before seven.","ছয়টি আসবে সাতটার আগে।"
"six_3","Six comes after five.","পাঁচ পরে ছয় আসে।"
"six_4","I want fix.","আমি ঠিক করতে চাই"
"seven","Seven","সাত"
"seven_2","Seven comes before eight.","সাত আসার আগে আসে।"
"seven_3","Seven comes after six.","সাত ছয় পরে আসে।"
"seven_4","I want seven.","আমি সাত চাই।"
"eight","Eight","আট"
"eight_2","Eight comes before nine.","আটটা আসে নয়টার আগে।"
"eight_3","Eight comes after seven.","আট পরে আসে সাত।"
"eight_4","I want eight.","আমি আট চাই।"
"nine","Nine","নয়"
"nine_2","Nine comes before ten.","দশটার আগে নয়জন আসে।"
"nine_3","Nine comes after eight.","আট পরে আসে নাইন।"
"nine_4","I want nine.","আমি নয়টি চাই।"
"ten","Ten","দশ"
"ten_2","Ten comes before eleven.","দশটা এগারোর আগে আসে।"
"ten_3","Ten comes after nine.","দশটা আসে নয়টার পরে।"
"ten_4","I want ten.","আমি দশ চাই।"
"eleven","Eleven","এগার"
"eleven_2","Eleven comes before thirteen.","এগারোটি তেরো আগে আসে।"
"eleven_3","Eleven comes after ten.","দশটার পরে এগারো জন আসে।"
"eleven_4","I want eleven.","আমি এগারোটা চাই"
"twenty","Twenty","বিশ"
"twenty_2","I can count up to twenty.","আমি বিশ পর্যন্ত গণনা করতে পারি।"
"thirty","Thirty","ত্রিশ"
"thirty_2","I can count up to thirty.","আমি ত্রিশ পর্যন্ত গণনা করতে পারি"
"forty","Forty","চল্লিশ"
"forty_2","I can count up to forty.","আমি চল্লিশ পর্যন্ত গণনা করতে পারি"
"fifty","Fifty","পঞ্চাশ"
"fifty_2","I can count up to fifty.","আমি পঞ্চাশ পর্যন্ত গণনা করতে পারি।"
"hundred","Hundred","শত"
"hundred_2","I can count up to hundred.","আমি একশো পর্যন্ত গুনতে পারি।"
"thousand","Thousand","হাজার"
"thousand_2","I can count up to thousand.","আমি হাজার পর্যন্ত গণনা করতে পারি।"
"calculator","Calculator","গণক"
"calculator_2","I want to use a calculator.","আমি একটি ক্যালকুলেটর ব্যবহার করতে চাই"
"calculator_3","Can you teach me how to use a calculator?","আপনি কি আমাকে একটি ক্যালকুলেটর ব্যবহার করতে শেখাতে পারেন?"
"calculator_4","Can I barrow your calculator?","আমি কি আপনার ক্যালকুলেটরটি বারো করতে পারি?"
"people","People","সম্প্রদায়"
"mother","Mother","মা"
"mother_2","Mommy!","আম্মু!"
"mother_3","I love my mother.","আমি আমার মাকে ভালোবাসি."
"mother_4","I love you mom.","আমি তোমাকে ভালবাসি মা।"
"mother_5","I miss my mom.","আমি আমার মাকে মনে করি."
"mother_6","Thank you for taking care of me.","আমাকে যত্ন করার জন্য আপনাকে ধন্যবাদ."
"mother_7","She is my mom.","ইনি আমার মা."
"mother_8","Can you help me find my mother?","আপনি আমাকে আমার মাকে খুঁজে পেতে সাহায্য করতে পারেন?"
"father","Father","পিতা"
"father_2","Daddy!","বাবা!"
"father_3","I love my father.","আমি আমার বাবাকে ভালবাসি."
"father_4","I love you dad.","আমি তোমাকে ভালবাসি বাবা."
"father_5","I miss my dad.","আমি আমার বাবার অভাববোধ করছি."
"father_6","Thank you for taking care of me.","আমাকে যত্ন করার জন্য আপনাকে ধন্যবাদ."
"father_7","He is my dad.","তিনি আমার বাবা."
"father_8","Can you help me find my father?","আপনি কি আমাকে আমার বাবাকে খুঁজে পেতে সাহায্য করতে পারেন?"
"parents","Parents","মাতাপিতা"
"parents_2","I love my parents.","আমি আমার পিতামাতা কে ভালোবাসি."
"parents_3","I love my parents.","আমি আমার পিতামাতা কে ভালোবাসি."
"parents_4","I miss my parents.","আমি আমার বাবা-মা মিস করি।"
"parents_5","They are my parents.","তাহারা আমার মা বাবা."
"parents_6","My parents are taking care of me.","আমার বাবা-মা আমার যত্ন নিচ্ছেন।"
"parents_8","Can you help me find my parents?","তুমি কি আমাকে আমার বাবা-মাকে খুঁজে পেতে সাহায্য করতে পারবে?"
"grandparents","Grandparents","দাদা - দাদী"
"grandparents_2","I love my grandparents.","আমি আমার দাদা-দাদিকে ভালবাসি।"
"grandparents_3","I love you grandparents.","আমি তোমাকে দাদা-দাদী ভালবাসি।"
"grandparents_4","I miss my grandparents.","আমি আমার দাদা-দাদিকে মিস করছি।"
"grandparents_5","They are my grandparents.","তারা আমার দাদা-দাদি।"
"grandparents_6","My grandparents are taking care of me.","আমার দাদা-দাদি আমার যত্ন নিচ্ছেন।"
"grandparents_8","Can you help me find my grandparents?","আপনি কি আমাকে আমার দাদা-দাদি খুঁজতে সাহায্য করতে পারেন?"
"brother","Brother","ভাই"
"brother_2","I love my brother.","আমি আমার ভাইকে ভালোবাসি."
"brother_3","I love you brother.","ভাই আমি তোমাকে ভালবাসি."
"brother_4","I miss my brother.","আমার ভাইকে মিস করছি।"
"brother_5","He is my brother.","সে আমার ভাই."
"brother_6","My brother is taking care of me.","আমার ভাই আমার যত্ন নিচ্ছেন।"
"brother_8","Can you help me find my brother?","আপনি আমার ভাইকে খুঁজে পেতে আমাকে সাহায্য করতে পারেন?"
"sister","Sister","বোন"
"sister_2","I love my sister.","আমি আমার বোনকে ভালবাসি."
"sister_3","I love you sister.","আমি তোমাকে ভালোবাসি আপু।"
"sister_4","I miss my sister.","আমার বোনকে মিস করছি।"
"sister_5","She is my sister.","সে আমার বোন."
"sister_6","My sister is taking care of me.","আমার বোন আমার যত্ন নিচ্ছে।"
"sister_8","Can you help me find my sister?","তুমি আমাকে আমার বোনকে খুঁজতে সাহায্য করতে পারবে?"
"uncle","Uncle","চাচা"
"uncle_2","I love my uncle.","আমি আমার মামাকে ভালবাসি"
"uncle_3","I love you uncle.","আমি তোমাকে ভালবাসি কাকা।"
"uncle_4","I miss my uncle.","আমার মামাকে মিস করছি।"
"uncle_5","He is my uncle.","তিনি আমার চাচা."
"uncle_8","Can you help me find my uncle?","তুমি কি আমাকে আমার মামার সন্ধান করতে সাহায্য করতে পারবে?"
"aunt","Aunt","মাসি"
"aunt_2","I love my aunt.","আমি আমার খালাকে ভালবাসি।"
"aunt_3","I love you aunt.","আমি তোমাকে মাসি ভালবাসি।"
"aunt_4","I miss my aunt.","আমার খালাকে মিস করছি"
"aunt_5","She is my aunt.","তিনি আমার চাচী."
"aunt_8","Can you help me find my aunt?","তুমি কি আমাকে আমার খালাকে খুঁজতে সাহায্য করতে পারবে?"
"teacher","Teacher","শিক্ষক"
"teacher_2","I love my teacher.","আমি আমার শিক্ষককে ভালোবাসি."
"teacher_3","I love you teacher.","আমি আপনাকে শিক্ষক ভালবাসি।"
"teacher_4","I don't like my teacher.","আমি আমার শিক্ষক পছন্দ করি না।"
"teacher_5","I miss my teacher.","আমার শিক্ষককে মিস করছি।"
"teacher_6","Thank you for the lesson.","পাঠের জন্য আপনাকে ধন্যবাদ।"
"therapist","Therapist","ভেষজবিজ্ঞানী"
"therapist_2","I love my therapist.","আমি আমার থেরাপিস্টকে ভালবাসি।"
"therapist_3","I love you therapist.","আমি আপনাকে থেরাপিস্ট ভালবাসি।"
"therapist_4","I don't like my therapist.","আমি আমার থেরাপিস্ট পছন্দ করি না"
"therapist_5","I miss my therapist.","আমি আমার থেরাপিস্ট মিস করছি"
"therapist_6","Thank you for the session.","অধিবেশন জন্য আপনাকে ধন্যবাদ।"
"doctor","Doctor","ডাক্তার"
"doctor_2","I love my doctor.","আমি আমার ডাক্তারকে ভালবাসি।"
"doctor_3","I love you doctor.","আমি তোমাকে ভালবাসি ডাক্তার।"
"doctor_4","I don't like my doctor.","আমি আমার ডাক্তার পছন্দ করি না"
"doctor_5","I miss my doctor.","আমার ডাক্তারকে মিস করছি।"
"doctor_6","Thank you for healing me.","আমাকে নিরাময়ের জন্য আপনাকে ধন্যবাদ।"
"friends","Friends","বন্ধুরা"
"friends_2","I love my friends.","আমি আমার বন্ধুদের ভালবাসি."
"friends_3","Do you want to be my friend?","আপনি আমার বন্ধু হতে চান?"
"friends_4","I don't like my friends.","আমি আমার বন্ধুদের পছন্দ করি না"
"friends_5","I miss my friends.","আমি আমার বন্ধুকে মনে করি."
"friends_6","They are my friends.","তারা আমার বন্ধু."
"friends_7","Thank you for playing with me.","আমার সাথে খেলার জন্য আপনাকে ধন্যবাদ।"
"cousins","Cousins","চাচাতো ভাই"
"cousins_2","I love my cousins.","আমি আমার কাজিনকে ভালবাসি।"
"cousins_3","I don't have cousins.","আমার মামাতো ভাই নেই।"
"cousins_4","I miss my cousins.","আমি আমার মামাতো ভাইকে মিস করি।"
"cousins_5","They are my cousins.","তারা আমার চাচাতো ভাইবোন."
"grandmother","Grandmother","নানী"
"grandmother_2","I love my grandmother.","আমি আমার দাদীকে ভালবাসি"
"grandmother_3","I love you grandma.","আমি তোমাকে ভালবাসি দাদি."
"grandmother_4","I miss my grandma.","আমি আমার ঠাকুমাকে মিস করছি।"
"grandmother_5","She is my grandma.","তিনি আমার ঠাকুরমা।"
"grandfather","Grandfather","পিতামহ"
"grandfather_2","I love my grandfather.","আমি আমার দাদাকে ভালবাসি"
"grandfather_3","I love you grandpa.","আমি তোমাকে দাদা ভালোবাসি।"
"grandfather_4","I miss my grandpa.","আমি আমার দাদাকে মিস করছি।"
"grandfather_5","He is my grandpa.","সে আমার দাদা।"
"stepfather","Stepfather","বিপিতা"
"stepfather_2","I love my stepfather.","আমি আমার সৎ বাবাকে ভালবাসি।"
"stepfather_3","He is my stepfather.","সে আমার সৎ বাবা।"
"stepfather_4","I miss my stepfather.","আমি আমার সৎ বাবাকে মিস করছি।"
"stepfather_5","He is my stepfather.","সে আমার সৎ বাবা।"
"stepmother","Stepmother","বিমাতা"
"stepmother_2","I love my stepmother.","আমি আমার সৎমাকে পছন্দ করি।"
"stepmother_3","She is my stepmother.","সে আমার সৎ মা।"
"stepmother_4","I miss my stepmother.","আমি আমার সৎ মাকে মিস করছি।"
"stepmother_5","She is my stepmother.","সে আমার সৎ মা।"
"stepsister","Stepsister","সৎ বোন"
"stepsister_2","I love my stepsister.","আমি আমার সৎ বোনকে ভালবাসি।"
"stepsister_3","She is my stepsister.","তিনি আমার সৎ বোন।"
"stepsister_4","I miss my stepsister.","আমি আমার সৎ বোনকে মিস করছি।"
"stepsister_5","She is my stepsister.","তিনি আমার সৎ বোন।"
"stepbrother","Stepbrother","সৎ ভাই"
"stepbrother_2","I love my stepbrother.","আমি আমার সৎ ভাইকে ভালবাসি।"
"stepbrother_3","He is my stepbrother.","তিনি আমার সৎবন্ধী।"
"stepbrother_4","I miss my stepbrother.","আমি আমার সৎবন্ধকে মিস করছি।"
"stepbrother_5","He is my stepbrother.","তিনি আমার সৎবন্ধী।"
"half-brother","Half brother","সৎ ভাই"
"half-brother_2","I love my half brother.","আমি আমার সৎ ভাইকে ভালবাসি।"
"half-brother_3","He is my half brother.","সে আমার সৎ ভাই।"
"half-brother_4","I miss my half brother.","আমার অর্ধ ভাইকে মিস করছি।"
"half-brother_5","He is my half brother.","সে আমার সৎ ভাই।"
"half-sister","Half sister","আধো বোন"
"half-sister_2","I love my half sister.","আমি আমার অর্ধ বোনকে ভালবাসি।"
"half-sister_3","She is my half sister.","তিনি আমার অর্ধ বোন।"
"half-sister_4","I miss my half sister.","আমার অর্ধ বোনকে মিস করছি।"
"half-sister_5","She is my half sister.","তিনি আমার অর্ধ বোন।"
"quarantine","Quarantine","পৃথকীকরণ"
"protective-mask","Protective mask","প্রতিরক্ষামূলক মুখোশ"
"stay-home","Stay home","বাড়িতে থাকুন"
"toilet-paper","Toilet paper","টয়লেট পেপার"
"sprayer","Sprayer","সিঞ্চক"
"disinfectant","Disinfectant","বীজঘ্ন"
"thermometer","Thermometer","থার্মোমিটার"
"coughing","Coughing","কাশি"
"medical-assistance","Medical assistance","চিকিৎসা সহায়তা"
"hand-sanitizer","Hand sanitizer","হাতের স্যানিটাইজার"
"gloves","Gloves","গ্লাভস"
"social-distancing","Social distancing","সামাজিক দূরত্ব স্থাপন"
"mouth-mask","Mouth mask","মুখোশ"
"pandemic","Pandemic","পৃথিবীব্যাপী"
"working-at-home","Working at home","বাড়ীতে কাজ"
"wet-wipes","Wet wipes","ভিজা টিস্যু"
"first-aid-kit","First aid kit","প্রাথমিক চিকিৎসার সরঞ্জাম"
"fitness","Fitness","জুত"
"e-learning","E-learning","ই-লার্নিং"
"virus","Virus","ভাইরাস"
"cleaning","Cleaning","পরিষ্কারের"
"school","School","বিদ্যালয়"
"desk","Desk","ডেস্ক"
"desk_2","Can I use this desk?","আমি কি এই ডেস্কটি ব্যবহার করতে পারি?"
"desk_3","Which desk is mine?","আমার কোন ডেস্ক?"
"desk_4","I spilled on my desk.","আমি আমার ডেস্কে ছড়িয়ে পড়েছি।"
"desk_5","Don't scratch your desk.","আপনার ডেস্ক স্ক্র্যাচ করবেন না।"
"chair","Chair","চেয়ার"
"chair_2","Can I sit with you?","আমি কি তোমার সাথে বসে থাকতে পারি?"
"chair_3","Which chair is mine?","আমার কোন চেয়ার?"
"chair_4","Is this chair taken?","এই চেয়ার নেওয়া হয়?"
"chair_5","I spilled on my chair.","আমি আমার চেয়ারে ছিটকে গেলাম।"
"book","Book","বই"
"book_2","Textbook","পাঠ্যপুস্তক"
"book_3","Workbook","কার্যপুস্তিকা"
"book_4","Reading a book.","একটি বই পড়া."
"book_5","Can I borrow your book?","আমি কি তোমার বইটি ধার করতে পারি?"
"book_6","Which page are we at?","আমরা কোন পৃষ্ঠায় আছি?"
"book_7","Flip the page.","পৃষ্ঠাটি ফ্লিপ করুন।"
"book_8","I lost my book.","আমি আমার বই হারিয়েছি।"
"notebook","Notebook","নোটবই"
"notebook_2","Taking notes.","নোট গ্রহণ."
"notebook_3","I'm taking notes.","আমি নোট নিচ্ছি"
"notebook_4","I lost my notebook.","আমি আমার নোটবুক হারিয়েছি।"
"backpack","Backpack","ব্যাকপ্যাক"
"backpack_2","Carrying my backpack.","আমার ব্যাকপ্যাকটি বহন করছে।"
"backpack_3","Putting my books in my backpack.","আমার বই আমার ব্যাকপ্যাকে রেখেছি।"
"backpack_4","I need a new backpack.","আমার একটি নতুন ব্যাকপ্যাক দরকার।"
"backpack_5","Thank you for carrying my backpack.","আমার ব্যাকপ্যাকটি বহন করার জন্য আপনাকে ধন্যবাদ।"
"backpack_6","I lost my backpack.","আমি আমার ব্যাকপ্যাকটি হারিয়েছি।"
"backpack_7","My backpack is heavy.","আমার ব্যাকপ্যাকটি ভারী।"
"blackboard","Blackboard","বিদ্যালয়ে লিপির জন্য তক্তা"
"blackboard_2","Look at the blackboard.","ব্ল্যাকবোর্ডের দিকে তাকাও."
"blackboard_3","Cleaning the blackboard.","ব্ল্যাকবোর্ড পরিষ্কার করছি।"
"blackboard_4","Solving the problem on the blackboard.","ব্ল্যাকবোর্ডে সমস্যা সমাধান করা।"
"blackboard_5","Taking note on the blackboard.","ব্ল্যাকবোর্ডে নোট নিচ্ছি।"
"blackboard_6","Give me a chalk.","আমাকে একটি খড়ি দাও।"
"teacher_7","I don't like this topic.","আমি এই বিষয়টি পছন্দ করি না।"
"teacher_8","Thank you for the lesson.","পাঠের জন্য আপনাকে ধন্যবাদ।"
"school-bus","School bus","স্কুল বাস"
"school-bus_2","School bus is coming.","স্কুল বাস আসছে।"
"school-bus_3","Can I sit next to you?","আমি কি তোমার পাশে বসে থাকতে পারি?"
"school-bus_4","Thank you bus driver!","থ্যাঙ্কস বাস ড্রাইভার!"
"school-bus_5","School bus was late.","স্কুল বাসে দেরি হয়েছিল।"
"pencil","Pencil","পেন্সিল"
"pencil_2","I'm writing.","আমি লিখছি."
"pencil_3","I'm learning to write.","আমি লিখতে শিখছি।"
"pencil_4","I need a new pencil.","আমার একটি নতুন পেন্সিল দরকার।"
"pencil_5","Can I borrow your pencil?","আমি কি তোমার পেন্সিল ধার নিতে পারি?"
"pencil_6","I lost my pencil.","আমি আমার পেন্সিলটি হারিয়েছি।"
"eraser","Eraser","রবার"
"eraser_2","I'm erasing.","আমি মুছে ফেলছি"
"eraser_3","I need a new eraser.","আমার নতুন ইরেজার দরকার।"
"eraser_4","Can I borrow your eraser?","আমি কি আপনার ইরেজার ধার নিতে পারি?"
"eraser_5","I lost my eraser.","আমি আমার ইরেজারটি হারিয়েছি।"
"ruler","Ruler","শাসক"
"ruler_2","I'm measuring.","আমি মাপছি।"
"ruler_3","I need a new ruler.","আমার নতুন শাসক দরকার"
"ruler_4","Can I borrow your ruler?","আমি কি আপনার শাসককে ধার নিতে পারি?"
"ruler_5","I lost my ruler.","আমি আমার শাসককে হারিয়েছি"
"sharpener","Sharpener","শার্পনার"
"sharpener_2","I'm sharpening my pencil.","আমি আমার পেন্সিলটি তীক্ষ্ণ করছি"
"sharpener_3","I need a new sharpener.","আমার একটি নতুন শার্পার দরকার"
"sharpener_4","Can I borrow your sharpener?","আমি কি তোমার ধার ধারক নিতে পারি?"
"sharpener_5","I lost my sharpener.","আমি আমার ধারালো হারিয়েছি।"
"mathematics","Mathematics","গণিত"
"mathematics_2","I like mathematics.","আমি গণিত পছন্দ করি"
"mathematics_3","I want to study mathematics.","আমি গণিত পড়তে চাই"
"mathematics_4","I don't like mathematics.","আমি গণিত পছন্দ করি না"
"mathematics_5","When is mathematics class?","গণিতের ক্লাস কখন?"
"mathematics_6","Can you help me with my mathematics homework?","আপনি আমার গণিতের হোম ওয়ার্কে আমাকে সাহায্য করতে পারেন?"
"literature","Literature","সাহিত্য"
"literature_2","I like literature.","আমি সাহিত্য পছন্দ করি।"
"literature_3","I want to study literature.","আমি সাহিত্য পড়তে চাই।"
"literature_4","I don't like literature.","সাহিত্য আমার পছন্দ নয়।"
"literature_5","When is literature class?","সাহিত্যের ক্লাস কখন?"
"literature_6","Can you help me with my literature homework?","আপনি আমার সাহিত্যের হোম ওয়ার্ক সম্পর্কে আমাকে সাহায্য করতে পারেন?"
"science","Science","বিজ্ঞান"
"science_2","I like science.","আমি বিজ্ঞান পছন্দ করি."
"science_3","I want to study science.","আমি বিজ্ঞান পড়তে চাই"
"science_4","I don't like science.","আমি বিজ্ঞান পছন্দ করি না।"
"science_5","When is science class?","কবে বিজ্ঞান ক্লাস হয়?"
"science_6","Can you help me with my science homework?","আপনি কি আমার বিজ্ঞানের হোম ওয়ার্কে আমাকে সাহায্য করতে পারেন?"
"art-class","Art class","আর্ট ক্লাস"
"art-class_2","I like art class.","আমি আর্ট ক্লাস পছন্দ করি।"
"art-class_3","I want to practice art skills.","আমি শিল্প দক্ষতা অনুশীলন করতে চান।"
"art-class_4","I don't like art class.","আমি আর্ট ক্লাস পছন্দ করি না"
"art-class_5","When is art class?","আর্ট ক্লাস কখন?"
"art-class_6","Can you help me with my art class homework?","আপনি আমার শিল্প বর্গ হোমওয়ার্ক সাহায্য করতে পারেন?"
"music-class","Music class","সঙ্গীতের ক্লাস"
"music-class_2","I like music class.","আমি গানের ক্লাস পছন্দ করি"
"music-class_3","I want to practice music skills.","আমি গানের দক্ষতা অনুশীলন করতে চাই।"
"music-class_4","I don't like music class.","আমি গানের ক্লাস পছন্দ করি না"
"music-class_5","When is music class?","সংগীত ক্লাস কখন?"
"music-class_6","Can you help me with my music class homework?","আপনি কি আমার সংগীত শ্রেণীর হোমওয়ার্কে আমাকে সহায়তা করতে পারেন?"
"geography","Geography","ভূগোল"
"geography_2","I like geography.","আমি ভূগোল পছন্দ করি।"
"geography_3","I want to study geography.","আমি ভূগোল পড়তে চাই"
"geography_4","I don't like geography.","আমি ভূগোল পছন্দ করি না।"
"geography_5","When is geography?","ভূগোল কখন?"
"geography_6","Can you help me with my geography homework?","আপনি কি আমার ভূগোলের হোমওয়ার্কে আমাকে সহায়তা করতে পারেন?"
"telescope","Telescope","দূরবীন"
"telescope_2","I'm using the telescope.","আমি টেলিস্কোপ ব্যবহার করছি"
"telescope_3","I want to use the telescope.","আমি টেলিস্কোপ ব্যবহার করতে চাই"
"telescope_4","I want to look at the stars.","আমি তারকাদের দেখতে চাই।"
"glue","Glue","আঠা"
"glue_2","I'm using glue.","আমি আঠালো ব্যবহার করছি।"
"glue_3","I need a new glue.","আমার নতুন আঠা লাগবে।"
"glue_4","Can I borrow your glue?","আমি কি আপনার আঠালো ধার নিতে পারি?"
"glue_5","I lost my glue.","আমি আমার আঠা হারিয়েছি।"
"shapes","Shapes","আকার"
"circle","Circle","বৃত্ত"
"circle_2","This is circle shaped.","এটি বৃত্ত আকৃতির।"
"circle_3","Can you teach me how to draw a circle?","আপনি আমাকে কীভাবে একটি বৃত্ত আঁকতে শেখাতে পারেন?"
"triangle","Triangle","ত্রিভুজ"
"triangle_2","This is triangle shaped.","এটি ত্রিভুজ আকারের।"
"triangle_3","Can you teach me how to draw a triangle?","ত্রিভুজ কীভাবে আঁকতে হয় আমাকে শিখিয়ে দিতে পারেন?"
"square","Square","বর্গক্ষেত্র"
"square_2","This is square shaped.","এটি বর্গাকার আকারের।"
"square_3","Can you teach me how to draw a square?","আপনি কি আমাকে স্কোয়ার আঁকতে শেখাতে পারেন?"
"rectangle","Rectangle","আয়তক্ষেত্র"
"rectangle_2","This is rectangle shaped.","এটি আয়তক্ষেত্র আকারযুক্ত।"
