"activities","Activities","aktiviteter"
"doctor_3","I love you doctor.","Jeg elsker deg lege."
"doctor_4","I don't like my doctor.","Jeg liker ikke legen min."
"doctor_5","I miss my doctor.","Jeg savner legen min."
"doctor_6","Thank you for healing me.","Takk for at du helbredet meg."
"friends","Friends","venner"
"friends_2","I love my friends.","Jeg elsker mine venner."
"friends_3","Do you want to be my friend?","Vil du være vennen min?"
"friends_4","I don't like my friends.","Jeg liker ikke vennene mine."
"friends_5","I miss my friends.","Jeg savner vennene mine."
"friends_6","They are my friends.","De er vennene mine."
"friends_7","Thank you for playing with me.","Takk for at du spilte med meg."
"cousins","Cousins","Cousins"
"cousins_2","I love my cousins.","Jeg elsker søskenbarna mine."
"cousins_3","I don't have cousins.","Jeg har ikke søskenbarn."
"cousins_4","I miss my cousins.","Jeg savner søskenbarna mine."
"cousins_5","They are my cousins.","De er søskenbarna mine."
"grandmother","Grandmother","Mormor"
"grandmother_2","I love my grandmother.","Jeg elsker bestemoren min."
"grandmother_3","I love you grandma.","Jeg er glad i deg bestemor."
"grandmother_4","I miss my grandma.","Jeg savner bestemoren min."
"grandmother_5","She is my grandma.","Hun er bestemor."
"grandfather","Grandfather","Farfar"
"grandfather_2","I love my grandfather.","Jeg elsker bestefaren min."
"grandfather_3","I love you grandpa.","Jeg elsker deg bestefar."
"grandfather_4","I miss my grandpa.","Jeg savner bestefaren min."
"grandfather_5","He is my grandpa.","Han er bestefaren min."
"stepfather","Stepfather","Stefar"
"stepfather_2","I love my stepfather.","Jeg elsker stefaren min."
"stepfather_3","He is my stepfather.","Han er stefaren min."
"stepfather_4","I miss my stepfather.","Jeg savner stefaren min."
"stepfather_5","He is my stepfather.","Han er stefaren min."
"stepmother","Stepmother","Stemor"
"stepmother_2","I love my stepmother.","Jeg elsker stemoren min."
"stepmother_3","She is my stepmother.","Hun er stemoren min."
"stepmother_4","I miss my stepmother.","Jeg savner stemoren min."
"stepmother_5","She is my stepmother.","Hun er stemoren min."
"stepsister","Stepsister","Stesøster"
"stepsister_2","I love my stepsister.","Jeg elsker stesøsteren min."
"stepsister_3","She is my stepsister.","Hun er stesøsteren min."
"stepsister_4","I miss my stepsister.","Jeg savner stesøsteren min."
"stepsister_5","She is my stepsister.","Hun er stesøsteren min."
"stepbrother","Stepbrother","Halvbror"
"stepbrother_2","I love my stepbrother.","Jeg elsker stefaren min."
"stepbrother_3","He is my stepbrother.","Han er min stedbror."
"stepbrother_4","I miss my stepbrother.","Jeg savner stefaren min."
"stepbrother_5","He is my stepbrother.","Han er min stedbror."
"half-brother","Half brother","Halvbror"
"half-brother_2","I love my half brother.","Jeg elsker halvbroren min."
"half-brother_3","He is my half brother.","Han er halvbroren min."
"half-brother_4","I miss my half brother.","Jeg savner halvbroren min."
"half-brother_5","He is my half brother.","Han er halvbroren min."
"half-sister","Half sister","Halvsøster"
"half-sister_2","I love my half sister.","Jeg elsker halvsøsteren min."
"half-sister_3","She is my half sister.","Hun er halvsøsteren min."
"half-sister_4","I miss my half sister.","Jeg savner halvsøsteren min."
"half-sister_5","She is my half sister.","Hun er halvsøsteren min."
"quarantine","Quarantine","Karantene"
"protective-mask","Protective mask","Beskyttelsesmaske"
"stay-home","Stay home","Bli hjemme"
"toilet-paper","Toilet paper","Toalettpapir"
"sprayer","Sprayer","Sprøyter"
"disinfectant","Disinfectant","desinfiserende"
"thermometer","Thermometer","Termometer"
"coughing","Coughing","hoste"
"medical-assistance","Medical assistance","Medisinsk assistanse"
"hand-sanitizer","Hand sanitizer","Hånddesinfeksjonsmiddel"
"gloves","Gloves","hansker"
"social-distancing","Social distancing","Sosial distansering"
"mouth-mask","Mouth mask","Munnmaske"
"pandemic","Pandemic","Pandemi"
"working-at-home","Working at home","Jobber hjemme"
"wet-wipes","Wet wipes","Våtservietter"
"first-aid-kit","First aid kit","Førstehjelpsskrin"
"fitness","Fitness","Fitness"
"e-learning","E-learning","E-læring"
"virus","Virus","Virus"
"cleaning","Cleaning","Rengjøring"
"school","School","Skole"
"desk","Desk","Skrivebord"
"desk_2","Can I use this desk?","Kan jeg bruke dette skrivebordet?"
"desk_3","Which desk is mine?","Hvilket skrivebord er mitt?"
"desk_4","I spilled on my desk.","Jeg sølte på pulten min."
"desk_5","Don't scratch your desk.","Ikke klør på skrivebordet."
"chair","Chair","Stol"
"chair_2","Can I sit with you?","Kan jeg sitte med deg?"
"chair_3","Which chair is mine?","Hvilken stol er min?"
"chair_4","Is this chair taken?","Er denne stolen tatt?"
"chair_5","I spilled on my chair.","Jeg sølte på stolen min."
"book","Book","Bok"
"book_2","Textbook","Lærebok"
"book_3","Workbook","arbeidsbok"
"book_4","Reading a book.","Lese en bok."
"book_5","Can I borrow your book?","Kan jeg låne boken din?"
"book_6","Which page are we at?","Hvilken side er vi på?"
"book_7","Flip the page.","Bla på siden."
"book_8","I lost my book.","Jeg mistet boken min."
"notebook","Notebook","Notisbok"
"notebook_2","Taking notes.","Tar notater."
"notebook_3","I'm taking notes.","Jeg notater."
"notebook_4","I lost my notebook.","Jeg mistet notatboka mi."
"backpack","Backpack","Ryggsekk"
"backpack_2","Carrying my backpack.","Bærer ryggsekken."
"backpack_3","Putting my books in my backpack.","Putt bøkene mine i ryggsekken."
"backpack_4","I need a new backpack.","Jeg trenger en ny ryggsekk."
"backpack_5","Thank you for carrying my backpack.","Takk for at du bærer ryggsekken."
"backpack_6","I lost my backpack.","Jeg mistet ryggsekken."
"backpack_7","My backpack is heavy.","Ryggsekken min er tung."
"blackboard","Blackboard","Tavle"
"blackboard_2","Look at the blackboard.","Se på tavlen."
"blackboard_3","Cleaning the blackboard.","Rengjør tavlen."
"blackboard_4","Solving the problem on the blackboard.","Å løse problemet på tavlen."
"blackboard_5","Taking note on the blackboard.","Noterer seg på tavlen."
"blackboard_6","Give me a chalk.","Gi meg kritt."
"teacher_7","I don't like this topic.","Jeg liker ikke dette emnet."
"teacher_8","Thank you for the lesson.","Takk for leksjonen."
"school-bus","School bus","Skolebuss"
"school-bus_2","School bus is coming.","Skolebuss kommer."
"school-bus_3","Can I sit next to you?","Kan jeg sitte ved siden av deg?"
"school-bus_4","Thank you bus driver!","Takk bussjåfør!"
"school-bus_5","School bus was late.","Skolebussen var sent ute."
"pencil","Pencil","Blyant"
"pencil_2","I'm writing.","Jeg skriver."
"pencil_3","I'm learning to write.","Jeg lærer å skrive."
"pencil_4","I need a new pencil.","Jeg trenger en ny blyant."
"pencil_5","Can I borrow your pencil?","Kan jeg låne blyanten din?"
"pencil_6","I lost my pencil.","Jeg mistet blyanten."
"eraser","Eraser","Viskelær"
"eraser_2","I'm erasing.","Jeg sletter."
"eraser_3","I need a new eraser.","Jeg trenger et nytt viskelær."
"eraser_4","Can I borrow your eraser?","Kan jeg låne viskelæret ditt?"
"eraser_5","I lost my eraser.","Jeg mistet viskelæret mitt."
"ruler","Ruler","Hersker"
"ruler_2","I'm measuring.","Jeg måler."
"ruler_3","I need a new ruler.","Jeg trenger en ny linjal."
"ruler_4","Can I borrow your ruler?","Kan jeg låne linjalen din?"
"ruler_5","I lost my ruler.","Jeg mistet herskeren min."
"sharpener","Sharpener","Sharpener"
"sharpener_2","I'm sharpening my pencil.","Jeg skjerper blyanten."
"sharpener_3","I need a new sharpener.","Jeg trenger en ny sliper."
"sharpener_4","Can I borrow your sharpener?","Kan jeg låne sliperen din?"
"sharpener_5","I lost my sharpener.","Jeg mistet sliperen min."
"mathematics","Mathematics","Matematikk"
"mathematics_2","I like mathematics.","Jeg liker matematikk."
"mathematics_3","I want to study mathematics.","Jeg vil studere matematikk."
"mathematics_4","I don't like mathematics.","Jeg liker ikke matematikk."
"mathematics_5","When is mathematics class?","Når er matematikklasse?"
"mathematics_6","Can you help me with my mathematics homework?","Kan du hjelpe meg med leksene mine i matematikk?"
"literature","Literature","Litteratur"
"literature_2","I like literature.","Jeg liker litteratur."
"literature_3","I want to study literature.","Jeg vil studere litteratur."
"literature_4","I don't like literature.","Jeg liker ikke litteratur."
"literature_5","When is literature class?","Når er litteraturklasse?"
"literature_6","Can you help me with my literature homework?","Kan du hjelpe meg med leksene i litteraturen?"
"science","Science","Vitenskap"
"science_2","I like science.","Jeg liker vitenskap."
"science_3","I want to study science.","Jeg vil studere naturfag."
"science_4","I don't like science.","Jeg liker ikke vitenskap."
"science_5","When is science class?","Når er naturfagsklasse?"
"science_6","Can you help me with my science homework?","Kan du hjelpe meg med hjemmeleksene mine?"
"art-class","Art class","Kunst klasse"
"art-class_2","I like art class.","Jeg liker kunstklasse."
"art-class_3","I want to practice art skills.","Jeg vil øve på kunstferdigheter."
"art-class_4","I don't like art class.","Jeg liker ikke kunstklasse."
"art-class_5","When is art class?","Når er kunstklasse?"
"art-class_6","Can you help me with my art class homework?","Kan du hjelpe meg med leksene mine i kunstklassen?"
"music-class","Music class","Musikklasse"
"music-class_2","I like music class.","Jeg liker musikklasse."
"music-class_3","I want to practice music skills.","Jeg vil øve på musikkferdigheter."
"music-class_4","I don't like music class.","Jeg liker ikke musikklasse."
"music-class_5","When is music class?","Når er musikklasse?"
"music-class_6","Can you help me with my music class homework?","Kan du hjelpe meg med leksene til musikkklassen?"
"geography","Geography","Geografi"
"geography_2","I like geography.","Jeg liker geografi."
"geography_3","I want to study geography.","Jeg vil studere geografi."
"geography_4","I don't like geography.","Jeg liker ikke geografi."
"geography_5","When is geography?","Når er geografi?"
"geography_6","Can you help me with my geography homework?","Kan du hjelpe meg med hjemmeleksen til geografi?"
"telescope","Telescope","Teleskop"
"telescope_2","I'm using the telescope.","Jeg bruker teleskopet."
"telescope_3","I want to use the telescope.","Jeg vil bruke teleskopet."
"telescope_4","I want to look at the stars.","Jeg vil se på stjernene."
"glue","Glue","Lim"
"glue_2","I'm using glue.","Jeg bruker lim."
"glue_3","I need a new glue.","Jeg trenger et nytt lim."
"glue_4","Can I borrow your glue?","Kan jeg låne limet ditt?"
"glue_5","I lost my glue.","Jeg mistet limet."
"shapes","Shapes","figurer"
"circle","Circle","Sirkel"
"circle_2","This is circle shaped.","Dette er sirkelformet."
"circle_3","Can you teach me how to draw a circle?","Kan du lære meg å tegne en sirkel?"
"triangle","Triangle","Triangel"
"triangle_2","This is triangle shaped.","Dette er trekantformet."
"triangle_3","Can you teach me how to draw a triangle?","Kan du lære meg hvordan du tegner en trekant?"
"square","Square","Torget"
"square_2","This is square shaped.","Dette er firkantet."
"square_3","Can you teach me how to draw a square?","Kan du lære meg å tegne en firkant?"
"rectangle","Rectangle","Rektangel"
"rectangle_2","This is rectangle shaped.","Dette er rektangelformet."
"rectangle_3","Can you teach me how to draw a rectangle?","Kan du lære meg å tegne et rektangel?"
"star","Star","Stjerne"
"star_2","This is star shaped.","Dette er stjerneformet."
"star_3","Can you teach me how to draw a star?","Kan du lære meg å tegne en stjerne?"
"pentagon","Pentagon","Pentagon"
"pentagon_2","This is pentagon shaped.","Dette er femkantet."
"pentagon_3","Can you teach me how to draw a pentagon?","Kan du lære meg å tegne en femkant?"
"hexagon","Hexagon","Hexagon"
"hexagon_2","This is hexagon shaped.","Dette er sekskantformet."
"hexagon_3","Can you teach me how to draw a hexagon?","Kan du lære meg å tegne en sekskant?"
"cross","Cross","Kryss"
"cross_2","This is cross shaped.","Dette er kryssformet."
"cross_3","Can you teach me how to draw a cross?","Kan du lære meg å tegne et kors?"
"ellipse","Ellipse","ellipse"
"ellipse_2","This is ellipse shaped.","Dette er ellipseformet."
"ellipse_3","Can you teach me how to draw a ellipse?","Kan du lære meg hvordan du tegner en ellipse?"
"arrow","Arrow","Pil"
"arrow_2","This is arrow shaped.","Dette er pilformet."
"arrow_3","Can you teach me how to draw a arrow?","Kan du lære meg å tegne en pil?"
"crescent","Crescent","Halvmåne"
"crescent_2","This is crescent shaped.","Dette er halvmåneformet."
"crescent_3","Can you teach me how to draw a crescent?","Kan du lære meg hvordan du tegner en halvmåne?"
"heart","Heart","Hjerte"
"heart_2","This is heart shaped.","Dette er hjerteformet."
"heart_3","Can you teach me how to draw a heart?","Kan du lære meg å tegne et hjerte?"
"rhombus","Rhombus","Rhombus"
"rhombus_2","This is rhombus shaped.","Dette er rombeformet."
"rhombus_3","Can you teach me how to draw a rhombus?","Kan du lære meg hvordan du tegner en romb?"
"ring","Ring","Ringe"
"ring_2","This is ring shaped.","Dette er ringformet."
"ring_3","Can you teach me how to draw a ring?","Kan du lære meg å tegne en ring?"
"semicircle","Semicircle","Halvsirkel"
"semicircle_2","This is semicircle shaped.","Dette er halvcirkelformet."
"semicircle_3","Can you teach me how to draw a semicircle?","Kan du lære meg hvordan du tegner en halvcirkel?"
"trapezoid","Trapezoid","trapes"
"trapezoid_2","This is trapezoid shaped.","Dette er trapesformet."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Kan du lære meg hvordan du tegner en trapesform?"
"cube","Cube","Cube"
"cube_2","This is cube shaped.","Dette er kubformet."
"cube_3","Can you teach me how to draw a cube?","Kan du lære meg å tegne en kube?"
"cylinder","Cylinder","Sylinder"
"cylinder_2","This is cylinder shaped.","Dette er sylinderformet."
"cylinder_3","Can you teach me how to draw a cylinder?","Kan du lære meg å tegne en sylinder?"
