"activities","Activities","أنشطة"
"mother_8","Can you help me find my mother?","هل يمكنك مساعدتي في العثور على والدتي؟"
"father","Father","الآب"
"father_2","Daddy!","أبي!"
"father_3","I love my father.","أحب أبي."
"father_4","I love you dad.","أحبك أبي."
"father_5","I miss my dad.","افتقد والدي."
"father_6","Thank you for taking care of me.","شكرا لك لاعتنائك بي."
"father_7","He is my dad.","إنه والدي."
"father_8","Can you help me find my father?","هل يمكنك مساعدتي في العثور على والدي؟"
"parents","Parents","الآباء"
"parents_2","I love my parents.","أحب والدي."
"parents_3","I love my parents.","أحب والدي."
"parents_4","I miss my parents.","انا افتقد والداي."
"parents_5","They are my parents.","هم والداي."
"parents_6","My parents are taking care of me.","والداي يعتنين بي."
"parents_8","Can you help me find my parents?","هل يمكنك مساعدتي في العثور على والدي؟"
"grandparents","Grandparents","الجد والجدة"
"grandparents_2","I love my grandparents.","انا احب اجدادي"
"grandparents_3","I love you grandparents.","أحبك يا أجداد."
"grandparents_4","I miss my grandparents.","أفتقد أجدادي."
"grandparents_5","They are my grandparents.","هم أجدادي."
"grandparents_6","My grandparents are taking care of me.","أجدادي يعتنون بي."
"grandparents_8","Can you help me find my grandparents?","هل يمكنك مساعدتي في العثور على أجدادي؟"
"brother","Brother","شقيق"
"brother_2","I love my brother.","أنا أحب أخي."
"brother_3","I love you brother.","انا احبك اخي."
"brother_4","I miss my brother.","اشتقت لأخي."
"brother_5","He is my brother.","هو أخي."
"brother_6","My brother is taking care of me.","أخي يعتني بي."
"brother_8","Can you help me find my brother?","هل يمكنك مساعدتي في العثور على أخي؟"
"sister","Sister","أخت"
"sister_2","I love my sister.","أحب أختي."
"sister_3","I love you sister.","أنا احبك يا اختي."
"sister_4","I miss my sister.","أفتقد أختي."
"sister_5","She is my sister.","إنها أختي."
"sister_6","My sister is taking care of me.","أختي تعتني بي."
"sister_8","Can you help me find my sister?","هل يمكنك مساعدتي في العثور على أختي؟"
"uncle","Uncle","اخو الام"
"uncle_2","I love my uncle.","أنا أحب عمي."
"uncle_3","I love you uncle.","أحبك عمي."
"uncle_4","I miss my uncle.","افتقد عمي."
"uncle_5","He is my uncle.","انه عمي."
"uncle_8","Can you help me find my uncle?","هل يمكنك مساعدتي في العثور على عمي؟"
"aunt","Aunt","عمة"
"aunt_2","I love my aunt.","احب خالتي."
"aunt_3","I love you aunt.","احبك يا عمة."
"aunt_4","I miss my aunt.","افتقد خالتي."
"aunt_5","She is my aunt.","إنها عمتي."
"aunt_8","Can you help me find my aunt?","هل يمكنك مساعدتي في العثور على خالتي؟"
"teacher","Teacher","مدرس"
"teacher_2","I love my teacher.","احب استاذي."
"teacher_3","I love you teacher.","أحبك يا أستاذ."
"teacher_4","I don't like my teacher.","أنا لا أحب أستاذي."
"teacher_5","I miss my teacher.","أفتقد أستاذي."
"teacher_6","Thank you for the lesson.","شكرا لك على الدرس."
"therapist","Therapist","المعالج"
"therapist_2","I love my therapist.","أنا أحب معالجتي."
"therapist_3","I love you therapist.","أحبك المعالج."
"therapist_4","I don't like my therapist.","أنا لا أحب المعالج الخاص بي."
"therapist_5","I miss my therapist.","أفتقد المعالج."
"therapist_6","Thank you for the session.","شكرا لك على الجلسة."
"doctor","Doctor","طبيب"
"doctor_2","I love my doctor.","أنا أحب طبيبي."
"doctor_3","I love you doctor.","أحبك يا دكتور."
"doctor_4","I don't like my doctor.","أنا لا أحب طبيبي."
"doctor_5","I miss my doctor.","أفتقد طبيبي."
"doctor_6","Thank you for healing me.","شكرا لشفائي."
"friends","Friends","اصحاب"
"friends_2","I love my friends.","أحب اصدقائي."
"friends_3","Do you want to be my friend?","هل ترغب أن تكون صديقي؟"
"friends_4","I don't like my friends.","أنا لا أحب أصدقائي."
"friends_5","I miss my friends.","أفتقد أصدقائي."
"friends_6","They are my friends.","انهم اصدقائي."
"friends_7","Thank you for playing with me.","شكرا للعب معي."
"cousins","Cousins","بنات العم"
"cousins_2","I love my cousins.","أنا أحب أبناء عمي."
"cousins_3","I don't have cousins.","ليس لدي أبناء عمومة."
"cousins_4","I miss my cousins.","أفتقد أبناء عمي."
"cousins_5","They are my cousins.","إنهم أبناء عمي."
"grandmother","Grandmother","جدة"
"grandmother_2","I love my grandmother.","أنا أحب جدتي."
"grandmother_3","I love you grandma.","انا احبك جدتي."
"grandmother_4","I miss my grandma.","افتقد جدتي."
"grandmother_5","She is my grandma.","هي جدتي."
"grandfather","Grandfather","جد"
"grandfather_2","I love my grandfather.","أنا أحب جدي."
"grandfather_3","I love you grandpa.","احبك يا جدي."
"grandfather_4","I miss my grandpa.","افتقد جدي."
"grandfather_5","He is my grandpa.","إنه جدي."
"stepfather","Stepfather","زوج الأم"
"stepfather_2","I love my stepfather.","أنا أحب زوج أمي."
"stepfather_3","He is my stepfather.","هو زوج أمي."
"stepfather_4","I miss my stepfather.","افتقد زوج أمي."
"stepfather_5","He is my stepfather.","هو زوج أمي."
"stepmother","Stepmother","زوجة الأب"
"stepmother_2","I love my stepmother.","أنا أحب زوجة أبي."
"stepmother_3","She is my stepmother.","هي زوجة أبي."
"stepmother_4","I miss my stepmother.","أفتقد زوجة أبي."
"stepmother_5","She is my stepmother.","هي زوجة أبي."
"stepsister","Stepsister","مثل اختي"
"stepsister_2","I love my stepsister.","أنا أحب أختي."
"stepsister_3","She is my stepsister.","هي أختي."
"stepsister_4","I miss my stepsister.","افتقد اختي."
"stepsister_5","She is my stepsister.","هي أختي."
"stepbrother","Stepbrother","أخ غير شقيق"
"stepbrother_2","I love my stepbrother.","أنا أحب أخي."
"stepbrother_3","He is my stepbrother.","هو أخي."
"stepbrother_4","I miss my stepbrother.","أفتقد أخي."
"stepbrother_5","He is my stepbrother.","هو أخي."
"half-brother","Half brother","نصف أخ"
"half-brother_2","I love my half brother.","أنا أحب أخي غير الشقيق."
"half-brother_3","He is my half brother.","إنه أخي غير الشقيق."
"half-brother_4","I miss my half brother.","افتقد أخي غير الشقيق."
"half-brother_5","He is my half brother.","إنه أخي غير الشقيق."
"half-sister","Half sister","الأخت غير الشقيقة"
"half-sister_2","I love my half sister.","أنا أحب أختي غير الشقيقة."
"half-sister_3","She is my half sister.","هي أختي غير الشقيقة."
"half-sister_4","I miss my half sister.","أفتقد أختي غير الشقيقة."
"half-sister_5","She is my half sister.","هي أختي غير الشقيقة."
"quarantine","Quarantine","الحجر الصحي"
"protective-mask","Protective mask","القناع الواقي"
"stay-home","Stay home","ابق في المنزل"
"toilet-paper","Toilet paper","ورق الحمام"
"sprayer","Sprayer","بخاخ"
"disinfectant","Disinfectant","مطهر"
"thermometer","Thermometer","ميزان الحرارة"
"coughing","Coughing","يسعل"
"medical-assistance","Medical assistance","المساعدة الطبية"
"hand-sanitizer","Hand sanitizer","معقم اليدين"
"gloves","Gloves","قفازات"
"social-distancing","Social distancing","الإبعاد الاجتماعي"
"mouth-mask","Mouth mask","قناع الفم"
"pandemic","Pandemic","وباء"
"working-at-home","Working at home","العمل بالمنزل"
"wet-wipes","Wet wipes","مناديل مبللة"
"first-aid-kit","First aid kit","حقيبة إسعاف أولي"
"fitness","Fitness","اللياقه البدنيه"
"e-learning","E-learning","التعلم الإلكتروني"
"virus","Virus","فايروس"
"cleaning","Cleaning","تنظيف"
"school","School","مدرسة"
"desk","Desk","مكتب"
"desk_2","Can I use this desk?","هل يمكنني استخدام هذا المكتب؟"
"desk_3","Which desk is mine?","أي مكتب لي؟"
"desk_4","I spilled on my desk.","انسكبت على مكتبي."
"desk_5","Don't scratch your desk.","لا تخدش مكتبك."
"chair","Chair","كرسي"
"chair_2","Can I sit with you?","هل استطيع الجلوس معك؟"
"chair_3","Which chair is mine?","أي كرسي لي؟"
"chair_4","Is this chair taken?","هل هذا الكرسي مأخوذ؟"
"chair_5","I spilled on my chair.","انسكبت على مقعدي."
"book","Book","كتاب"
"book_2","Textbook","كتاب مدرسي"
"book_3","Workbook","دفتر العمل"
"book_4","Reading a book.","قراءة كتاب."
"book_5","Can I borrow your book?","هل استطيع استعارة كتابك؟"
"book_6","Which page are we at?","في أي صفحة نحن؟"
"book_7","Flip the page.","اقلب الصفحة."
"book_8","I lost my book.","لقد فقدت كتابي."
"notebook","Notebook","دفتر"
"notebook_2","Taking notes.","أخذ ملاحظات."
"notebook_3","I'm taking notes.","أنا أدون الملاحظات."
"notebook_4","I lost my notebook.","لقد فقدت دفتر الملاحظات الخاص بي."
"backpack","Backpack","حقيبة ظهر"
"backpack_2","Carrying my backpack.","احمل حقيبتي."
"backpack_3","Putting my books in my backpack.","ضع كتبي في حقيبتي."
"backpack_4","I need a new backpack.","أحتاج إلى حقيبة ظهر جديدة."
"backpack_5","Thank you for carrying my backpack.","شكرا لحمل حقيبتي."
"backpack_6","I lost my backpack.","لقد فقدت حقيبتي."
"backpack_7","My backpack is heavy.","حقيبتي ثقيلة."
"blackboard","Blackboard","بلاك بورد"
"blackboard_2","Look at the blackboard.","أنظر إلى السبورة."
"blackboard_3","Cleaning the blackboard.","تنظيف السبورة."
"blackboard_4","Solving the problem on the blackboard.","حل المشكلة على السبورة."
"blackboard_5","Taking note on the blackboard.","أخذ ملاحظة على السبورة."
"blackboard_6","Give me a chalk.","أعطني طباشير."
"teacher_7","I don't like this topic.","لا أحب هذا الموضوع."
"teacher_8","Thank you for the lesson.","شكرا لك على الدرس."
"school-bus","School bus","باص المدرسة"
"school-bus_2","School bus is coming.","أتوبيس المدرسة قادم."
"school-bus_3","Can I sit next to you?","يمكنني الجلوس إلى جانبك؟"
"school-bus_4","Thank you bus driver!","شكرا لك سائق الحافلة!"
"school-bus_5","School bus was late.","كانت حافلة المدرسة متأخرة."
"pencil","Pencil","قلم"
"pencil_2","I'm writing.","انا اكتب."
"pencil_3","I'm learning to write.","أنا أتعلم الكتابة."
"pencil_4","I need a new pencil.","أحتاج إلى قلم رصاص جديد."
"pencil_5","Can I borrow your pencil?","هل يمكنني استعارة قلمك الرصاص؟"
"pencil_6","I lost my pencil.","لقد فقدت قلمي."
"eraser","Eraser","ممحاة"
"eraser_2","I'm erasing.","أنا محو."
"eraser_3","I need a new eraser.","أحتاج إلى ممحاة جديدة."
"eraser_4","Can I borrow your eraser?","هلا اعرتني ممحاتك؟"
"eraser_5","I lost my eraser.","لقد فقدت ممحتي."
"ruler","Ruler","مسطرة"
"ruler_2","I'm measuring.","أنا أقيس."
"ruler_3","I need a new ruler.","أحتاج إلى حاكم جديد."
"ruler_4","Can I borrow your ruler?","هل يمكنني استعارة حاكمك؟"
"ruler_5","I lost my ruler.","لقد فقدت حاكمي."
"sharpener","Sharpener","براية"
"sharpener_2","I'm sharpening my pencil.","أنا أشحذ قلمي."
"sharpener_3","I need a new sharpener.","أحتاج إلى مبراة جديدة."
"sharpener_4","Can I borrow your sharpener?","هل يمكنني استعارة مبراة الخاص بك؟"
"sharpener_5","I lost my sharpener.","فقدت مبراة."
"mathematics","Mathematics","الرياضيات"
"mathematics_2","I like mathematics.","احب الرياضيات."
"mathematics_3","I want to study mathematics.","أريد أن أدرس الرياضيات."
"mathematics_4","I don't like mathematics.","لا أحب الرياضيات."
"mathematics_5","When is mathematics class?","متى هو صف الرياضيات؟"
"mathematics_6","Can you help me with my mathematics homework?","هل يمكنك مساعدتي في فروض الرياضيات؟"
"literature","Literature","المؤلفات"
"literature_2","I like literature.","أحب الأدب."
"literature_3","I want to study literature.","أريد أن أدرس الأدب."
"literature_4","I don't like literature.","لا أحب الأدب."
"literature_5","When is literature class?","متى يكون فصل الأدب؟"
"literature_6","Can you help me with my literature homework?","هل يمكنك مساعدتي في واجباتي الأدبية؟"
"science","Science","علم"
"science_2","I like science.","انا احب العلم."
"science_3","I want to study science.","أريد أن أدرس العلوم."
"science_4","I don't like science.","لا أحب العلم."
"science_5","When is science class?","متى يكون درس العلوم؟"
"science_6","Can you help me with my science homework?","هل يمكنك مساعدتي في واجبي العلمي؟"
"art-class","Art class","حصة فنون"
"art-class_2","I like art class.","أحب صف الفنون."
"art-class_3","I want to practice art skills.","أريد أن أمارس مهارات فنية."
"art-class_4","I don't like art class.","أنا لا أحب فئة الفن."
"art-class_5","When is art class?","متى هو فصل الفن؟"
"art-class_6","Can you help me with my art class homework?","هل يمكنك مساعدتي في واجبي في صف الفن؟"
"music-class","Music class","فصل الموسيقى"
"music-class_2","I like music class.","أحب درس الموسيقى."
"music-class_3","I want to practice music skills.","أريد ممارسة مهارات الموسيقى."
"music-class_4","I don't like music class.","لا أحب درس الموسيقى."
"music-class_5","When is music class?","متى هو فصل الموسيقى؟"
"music-class_6","Can you help me with my music class homework?","هل يمكنك مساعدتي في واجبي المنزلي الموسيقي؟"
"geography","Geography","جغرافية"
"geography_2","I like geography.","احب الجغرافيا."
"geography_3","I want to study geography.","اريد ان ادرس الجغرافيا."
"geography_4","I don't like geography.","لا أحب الجغرافيا."
"geography_5","When is geography?","متى الجغرافيا؟"
"geography_6","Can you help me with my geography homework?","هل يمكنك مساعدتي في واجبي الجغرافي؟"
"telescope","Telescope","تلسكوب"
"telescope_2","I'm using the telescope.","أنا أستخدم التلسكوب."
"telescope_3","I want to use the telescope.","أريد استخدام التلسكوب."
"telescope_4","I want to look at the stars.","أريد أن أنظر إلى النجوم."
"glue","Glue","صمغ"
"glue_2","I'm using glue.","أنا أستخدم الغراء."
"glue_3","I need a new glue.","أحتاج إلى غراء جديد."
"glue_4","Can I borrow your glue?","هل يمكنني استعارة الغراء الخاص بك؟"
"glue_5","I lost my glue.","لقد فقدت الغراء."
"shapes","Shapes","الأشكال"
"circle","Circle","دائرة"
"circle_2","This is circle shaped.","هذا على شكل دائرة."
"circle_3","Can you teach me how to draw a circle?","هل يمكنك أن تعلمني كيفية رسم دائرة؟"
"triangle","Triangle","مثلث"
"triangle_2","This is triangle shaped.","هذا على شكل مثلث."
"triangle_3","Can you teach me how to draw a triangle?","هل يمكنك أن تعلمني كيفية رسم مثلث؟"
"square","Square","ميدان"
"square_2","This is square shaped.","هذا مربع الشكل."
"square_3","Can you teach me how to draw a square?","هل يمكنك أن تعلمني كيفية رسم مربع؟"
"rectangle","Rectangle","مستطيل"
"rectangle_2","This is rectangle shaped.","هذا مستطيل الشكل."
"rectangle_3","Can you teach me how to draw a rectangle?","هل يمكنك أن تعلمني كيفية رسم مستطيل؟"
"star","Star","نجمة"
"star_2","This is star shaped.","هذا على شكل نجمة."
"star_3","Can you teach me how to draw a star?","هل يمكنك أن تعلمني كيفية رسم نجمة؟"
"pentagon","Pentagon","خماسي الاضلاع"
"pentagon_2","This is pentagon shaped.","هذا شكل خماسي."
"pentagon_3","Can you teach me how to draw a pentagon?","هل يمكنك أن تعلمني كيفية رسم خماسي؟"
"hexagon","Hexagon","سداسي الزوايا"
"hexagon_2","This is hexagon shaped.","هذا شكل سداسي."
"hexagon_3","Can you teach me how to draw a hexagon?","هل يمكنك أن تخبرني كيفية رسم مسدس؟"
"cross","Cross","تعبر"
"cross_2","This is cross shaped.","هذا على شكل صليب."
"cross_3","Can you teach me how to draw a cross?","هل يمكنك أن تعلمني كيفية رسم صليب؟"
"ellipse","Ellipse","الشكل البيضاوي"
"ellipse_2","This is ellipse shaped.","هذا شكل بيضاوي."
"ellipse_3","Can you teach me how to draw a ellipse?","هل يمكنك أن تعلمني كيفية رسم القطع الناقص؟"
"arrow","Arrow","سهم"
"arrow_2","This is arrow shaped.","هذا على شكل سهم."
"arrow_3","Can you teach me how to draw a arrow?","هل يمكنك أن تعلمني كيفية رسم سهم؟"
"crescent","Crescent","هلال"
"crescent_2","This is crescent shaped.","هذا شكل هلال."
"crescent_3","Can you teach me how to draw a crescent?","هل يمكنك أن تعلمني كيفية رسم هلال؟"
"heart","Heart","قلب"
"heart_2","This is heart shaped.","هذا على شكل قلب."
"heart_3","Can you teach me how to draw a heart?","هل يمكنك أن تعلمني كيفية رسم القلب؟"
"rhombus","Rhombus","دالتون"
"rhombus_2","This is rhombus shaped.","هذا على شكل دالتون."
"rhombus_3","Can you teach me how to draw a rhombus?","هل يمكنك أن تعلمني كيفية رسم دالتون؟"
"ring","Ring","حلقة"
"ring_2","This is ring shaped.","هذا على شكل حلقة."
"ring_3","Can you teach me how to draw a ring?","هل يمكنك أن تعلمني كيفية رسم خاتم؟"
"semicircle","Semicircle","نصف دائرة"
"semicircle_2","This is semicircle shaped.","هذا شكل نصف دائري."
"semicircle_3","Can you teach me how to draw a semicircle?","هل يمكنك أن تخبرني كيف أرسم نصف دائرة؟"
"trapezoid","Trapezoid","شبه منحرف"
"trapezoid_2","This is trapezoid shaped.","هذا على شكل شبه منحرف."
"trapezoid_3","Can you teach me how to draw a trapezoid?","هل يمكنك أن تعلمني كيفية رسم شبه منحرف؟"
"cube","Cube","مكعب"
"cube_2","This is cube shaped.","هذا شكل مكعب."
"cube_3","Can you teach me how to draw a cube?","هل يمكنك أن تخبرني كيفية رسم مكعب؟"
"cylinder","Cylinder","اسطوانة"
"cylinder_2","This is cylinder shaped.","هذا على شكل اسطوانة."
"cylinder_3","Can you teach me how to draw a cylinder?","هل يمكنك أن تعلمني كيفية رسم اسطوانة؟"
