"activities","Activities","Mga Aktibidad"
"eight","Eight","Walo"
"eight_2","Eight comes before nine.","Walong darating bago siyam."
"eight_3","Eight comes after seven.","Walong darating pagkatapos ng pito."
"eight_4","I want eight.","Gusto ko ng walo."
"nine","Nine","Siyam"
"nine_2","Nine comes before ten.","Siyam ang dumating bago sampu."
"nine_3","Nine comes after eight.","Siyam ang dumating pagkatapos ng walong."
"nine_4","I want nine.","Gusto ko ng siyam."
"ten","Ten","Sampu"
"ten_2","Ten comes before eleven.","Sampu ang dumating bago labing isa."
"ten_3","Ten comes after nine.","Sampu ang dumating pagkatapos ng siyam."
"ten_4","I want ten.","Gusto ko ng sampu."
"eleven","Eleven","Eleven"
"eleven_2","Eleven comes before thirteen.","Ang labing-isa ay dumating bago labintatlo."
"eleven_3","Eleven comes after ten.","Dumating ang labing-isa pagkatapos ng sampu."
"eleven_4","I want eleven.","Gusto ko ng labing isa."
"twenty","Twenty","Dalawampu"
"twenty_2","I can count up to twenty.","Maaari akong mabilang hanggang dalawampu."
"thirty","Thirty","Tatlumpung"
"thirty_2","I can count up to thirty.","Maaari akong mabilang hanggang tatlumpu."
"forty","Forty","Apatnapu"
"forty_2","I can count up to forty.","Maaari akong mabilang hanggang sa apatnapu."
"fifty","Fifty","Limampu"
"fifty_2","I can count up to fifty.","Maaari akong magbilang ng hanggang limampung."
"hundred","Hundred","Daan"
"hundred_2","I can count up to hundred.","Maaari akong mabilang hanggang sa daan."
"thousand","Thousand","Libo"
"thousand_2","I can count up to thousand.","Maaari akong magbilang ng hanggang libo."
"calculator","Calculator","Calculator"
"calculator_2","I want to use a calculator.","Gusto kong gumamit ng calculator."
"calculator_3","Can you teach me how to use a calculator?","Maaari mo bang turuan kung paano gumamit ng calculator?"
"calculator_4","Can I barrow your calculator?","Maaari ko bang hadlangan ang iyong calculator?"
"people","People","Mga Tao"
"mother","Mother","Ina"
"mother_2","Mommy!","Mommy!"
"mother_3","I love my mother.","Mahal ko ang aking ina."
"mother_4","I love you mom.","Mahal kita inay."
"mother_5","I miss my mom.","Namimiss ko si mama."
"mother_6","Thank you for taking care of me.","Salamat sa pag-aalaga sa akin."
"mother_7","She is my mom.","Siya ang nanay ko."
"mother_8","Can you help me find my mother?","Maaari mo bang tulungan akong mahanap ang aking ina?"
"father","Father","Ama"
"father_2","Daddy!","Tatay!"
"father_3","I love my father.","Mahal ko ang aking ama."
"father_4","I love you dad.","Mahal kita tatay."
"father_5","I miss my dad.","Nangungulila ako sa tatay ko."
"father_6","Thank you for taking care of me.","Salamat sa pag-aalaga sa akin."
"father_7","He is my dad.","Siya ang tatay ko."
"father_8","Can you help me find my father?","Maaari mo bang tulungan akong mahanap ang aking ama?"
"parents","Parents","Mga magulang"
"parents_2","I love my parents.","Mahal ko ang aking mga magulang."
"parents_3","I love my parents.","Mahal ko ang aking mga magulang."
"parents_4","I miss my parents.","Namimiss ko ang aking mga magulang."
"parents_5","They are my parents.","Sila ang aking mga magulang."
"parents_6","My parents are taking care of me.","Inaalagaan ako ng aking mga magulang."
"parents_8","Can you help me find my parents?","Maaari mo bang tulungan akong mahahanap ang aking mga magulang?"
"grandparents","Grandparents","Mga lolo at lola"
"grandparents_2","I love my grandparents.","Mahal ko ang aking mga lola."
"grandparents_3","I love you grandparents.","Mahal kita lola."
"grandparents_4","I miss my grandparents.","Namiss ko ang aking mga lola."
"grandparents_5","They are my grandparents.","Sila ang aking mga lola."
"grandparents_6","My grandparents are taking care of me.","Inaalagaan ako ng aking mga lola."
"grandparents_8","Can you help me find my grandparents?","Maaari mo bang tulungan akong mahanap ang aking mga lola?"
"brother","Brother","Kapatid"
"brother_2","I love my brother.","Mahal ko ang kapatid ko."
"brother_3","I love you brother.","Mahal kita kuya."
"brother_4","I miss my brother.","Namiss ko ang kapatid ko."
"brother_5","He is my brother.","Sya ang aking kapatid na lalaki."
"brother_6","My brother is taking care of me.","Inaalagaan ako ng aking kapatid."
"brother_8","Can you help me find my brother?","Maaari mo bang tulungan akong mahanap ang aking kapatid?"
"sister","Sister","Kapatid na babae"
"sister_2","I love my sister.","Mahal ko ang aking kapatid."
"sister_3","I love you sister.","Mahal kita kapatid."
"sister_4","I miss my sister.","Namimiss ko ang aking kapatid."
"sister_5","She is my sister.","Siya ang aking kapatid na babae."
"sister_6","My sister is taking care of me.","Inaalagaan ako ng kapatid ko."
"sister_8","Can you help me find my sister?","Maaari mo bang tulungan akong mahanap ang aking kapatid na babae?"
"uncle","Uncle","Tiyuhin"
"uncle_2","I love my uncle.","Mahal ko ang tiyuhin ko."
"uncle_3","I love you uncle.","Mahal kita tiyo."
"uncle_4","I miss my uncle.","Namiss ko ang tiyuhin ko."
"uncle_5","He is my uncle.","Siya ang aking tiyuhin."
"uncle_8","Can you help me find my uncle?","Maaari mo bang tulungan akong mahanap ang aking tiyuhin?"
"aunt","Aunt","Tiya"
"aunt_2","I love my aunt.","Mahal ko ang tiyahin ko."
"aunt_3","I love you aunt.","Mahal kita tita."
"aunt_4","I miss my aunt.","Namiss ko ang tiyahin ko."
"aunt_5","She is my aunt.","Siya ang aking tiyahin."
"aunt_8","Can you help me find my aunt?","Maaari mo bang tulungan akong mahanap ang aking tiyahin?"
"teacher","Teacher","Guro"
"teacher_2","I love my teacher.","Mahal ko ang aking guro."
"teacher_3","I love you teacher.","Mahal kita guro."
"teacher_4","I don't like my teacher.","Hindi ko gusto ang aking guro."
"teacher_5","I miss my teacher.","Namimiss ko ang aking guro."
"teacher_6","Thank you for the lesson.","Salamat sa aralin."
"therapist","Therapist","Therapist"
"therapist_2","I love my therapist.","Mahal ko ang aking therapist."
"therapist_3","I love you therapist.","Mahal kita therapist."
"therapist_4","I don't like my therapist.","Hindi ko gusto ang aking therapist."
"therapist_5","I miss my therapist.","Namimiss ko ang aking therapist."
"therapist_6","Thank you for the session.","Salamat sa session."
"doctor","Doctor","Doktor"
"doctor_2","I love my doctor.","Mahal ko ang aking doktor."
"doctor_3","I love you doctor.","Mahal kita doktor."
"doctor_4","I don't like my doctor.","Hindi ko gusto ang aking doktor."
"doctor_5","I miss my doctor.","Namimiss ko ang aking doktor."
"doctor_6","Thank you for healing me.","Salamat sa pagagaling mo sa akin."
"friends","Friends","Mga Kaibigan"
"friends_2","I love my friends.","Mahal ko ang aking mga kaibigan."
"friends_3","Do you want to be my friend?","Gusto mo bang maging kaibigan ko?"
"friends_4","I don't like my friends.","Hindi ko gusto ang aking mga kaibigan."
"friends_5","I miss my friends.","Namimiss ko ang aking mga kaibigan."
"friends_6","They are my friends.","Kaibigan ko sila."
"friends_7","Thank you for playing with me.","Salamat sa paglalaro mo sa akin."
"cousins","Cousins","Mga cousins"
"cousins_2","I love my cousins.","Mahal ko ang mga pinsan ko."
"cousins_3","I don't have cousins.","Wala akong mga pinsan."
"cousins_4","I miss my cousins.","Namimiss ko ang mga pinsan ko."
"cousins_5","They are my cousins.","Mga pinsan ko sila."
"grandmother","Grandmother","Lola"
"grandmother_2","I love my grandmother.","Mahal ko ang lola ko."
"grandmother_3","I love you grandma.","Mahal kita lola."
"grandmother_4","I miss my grandma.","Namiss ko ang lola ko."
"grandmother_5","She is my grandma.","Siya ang aking lola."
"grandfather","Grandfather","Lolo"
"grandfather_2","I love my grandfather.","Mahal ko ang lolo ko."
"grandfather_3","I love you grandpa.","Mahal kita lolo."
"grandfather_4","I miss my grandpa.","Namiss ko ang aking lolo."
"grandfather_5","He is my grandpa.","Siya ang aking lolo."
"stepfather","Stepfather","Si tatay"
"stepfather_2","I love my stepfather.","Mahal ko ang aking ama."
"stepfather_3","He is my stepfather.","Siya ang aking ama."
"stepfather_4","I miss my stepfather.","Namiss ko ang aking ama."
"stepfather_5","He is my stepfather.","Siya ang aking ama."
"stepmother","Stepmother","Ina"
"stepmother_2","I love my stepmother.","Mahal ko ang aking ina."
"stepmother_3","She is my stepmother.","Siya ang aking ina."
"stepmother_4","I miss my stepmother.","Namimiss ko ang aking ina."
"stepmother_5","She is my stepmother.","Siya ang aking ina."
"stepsister","Stepsister","Hakbang"
"stepsister_2","I love my stepsister.","Gustung-gusto ko ang aking hakbang."
"stepsister_3","She is my stepsister.","Siya ang aking hakbang."
"stepsister_4","I miss my stepsister.","Namimiss ko ang aking hakbang."
"stepsister_5","She is my stepsister.","Siya ang aking hakbang."
"stepbrother","Stepbrother","Stepbrother"
"stepbrother_2","I love my stepbrother.","Mahal ko ang aking stepbrother."
"stepbrother_3","He is my stepbrother.","Siya ang aking stepbrother."
"stepbrother_4","I miss my stepbrother.","Namimiss ko ang aking stepbrother."
"stepbrother_5","He is my stepbrother.","Siya ang aking stepbrother."
"half-brother","Half brother","Half kapatid"
"half-brother_2","I love my half brother.","Mahal ko ang aking kapatid sa kalahati."
"half-brother_3","He is my half brother.","Siya ang aking kapatid sa kalahati."
"half-brother_4","I miss my half brother.","Namiss ko ang aking kapatid na lalaki sa kalahati."
"half-brother_5","He is my half brother.","Siya ang aking kapatid sa kalahati."
"half-sister","Half sister","Kapatid sa labas"
"half-sister_2","I love my half sister.","Mahal ko ang aking half sister."
"half-sister_3","She is my half sister.","Siya ang aking kapatid sa kalahati."
"half-sister_4","I miss my half sister.","Namiss ko ang aking half sister."
"half-sister_5","She is my half sister.","Siya ang aking kapatid sa kalahati."
"quarantine","Quarantine","Quarantine"
"protective-mask","Protective mask","Proteksiyon mask"
"stay-home","Stay home","Manatili sa bahay"
"toilet-paper","Toilet paper","Tisyu"
"sprayer","Sprayer","Sprayer"
"disinfectant","Disinfectant","Disimpektante"
"thermometer","Thermometer","Thermometer"
"coughing","Coughing","Pag-ubo"
"medical-assistance","Medical assistance","Tulong sa medikal"
"hand-sanitizer","Hand sanitizer","Kamay sanitizer"
"gloves","Gloves","Mga guwantes"
"social-distancing","Social distancing","Pagpapanatili ng pagitan mula sa kapwa-tao"
"mouth-mask","Mouth mask","Baga mask"
"pandemic","Pandemic","Pandemya"
"working-at-home","Working at home","Nagtatrabaho sa bahay"
"wet-wipes","Wet wipes","Basang pamunas"
"first-aid-kit","First aid kit","Kit para sa pangunang lunas"
"fitness","Fitness","Kalusugan"
"e-learning","E-learning","Pag-aaral"
"virus","Virus","Virus"
"cleaning","Cleaning","Paglilinis"
"school","School","Paaralan"
"desk","Desk","Desk"
"desk_2","Can I use this desk?","Maaari ko bang gamitin ang desk na ito?"
"desk_3","Which desk is mine?","Aling desk ang sa akin?"
"desk_4","I spilled on my desk.","Tumalsik ako sa desk ko."
"desk_5","Don't scratch your desk.","Huwag guritin ang iyong desk."
"chair","Chair","Upuan"
"chair_2","Can I sit with you?","Maaari ba akong umupo sa iyo?"
"chair_3","Which chair is mine?","Aling upuan ang sa akin?"
"chair_4","Is this chair taken?","Kinuha ang upuang ito?"
"chair_5","I spilled on my chair.","Dumapa ako sa aking upuan."
"book","Book","Aklat"
"book_2","Textbook","Teksto"
"book_3","Workbook","Workbook"
"book_4","Reading a book.","Magbasa ng aklat."
"book_5","Can I borrow your book?","Maaari ba akong humiram ng iyong libro?"
"book_6","Which page are we at?","Aling pahina ang nasa atin?"
"book_7","Flip the page.","I-flip ang pahina."
"book_8","I lost my book.","Nawalan ako ng libro."
"notebook","Notebook","Kuwaderno"
"notebook_2","Taking notes.","Ang pagkuha ng mga tala."
"notebook_3","I'm taking notes.","Kumuha ako ng mga tala."
"notebook_4","I lost my notebook.","Nawala ang notebook ko."
"backpack","Backpack","Backpack"
"backpack_2","Carrying my backpack.","Nagdala ng backpack ko."
"backpack_3","Putting my books in my backpack.","Ang paglalagay ng aking mga libro sa aking backpack."
"backpack_4","I need a new backpack.","Kailangan ko ng isang bagong backpack."
"backpack_5","Thank you for carrying my backpack.","Salamat sa pagdala ng aking backpack."
"backpack_6","I lost my backpack.","Nawala ang backpack ko."
"backpack_7","My backpack is heavy.","Mabigat ang backpack ko."
"blackboard","Blackboard","Blackboard"
"blackboard_2","Look at the blackboard.","Tignan mo ang pisara."
"blackboard_3","Cleaning the blackboard.","Nililinis ang blackboard."
"blackboard_4","Solving the problem on the blackboard.","Ang paglutas ng problema sa blackboard."
"blackboard_5","Taking note on the blackboard.","Ang pagkuha ng tala sa blackboard."
"blackboard_6","Give me a chalk.","Bigyan mo ako ng isang tisa."
"teacher_7","I don't like this topic.","Hindi ko gusto ang paksang ito."
"teacher_8","Thank you for the lesson.","Salamat sa aralin."
"school-bus","School bus","Bus ng eskwelahan"
"school-bus_2","School bus is coming.","Paparating na ang bus bus."
"school-bus_3","Can I sit next to you?","Maaari ba akong umupo sa tabi mo?"
"school-bus_4","Thank you bus driver!","Salamat driver ng bus!"
"school-bus_5","School bus was late.","Ang bus sa paaralan ay huli na."
"pencil","Pencil","Lapis"
"pencil_2","I'm writing.","Nagsusulat ako."
"pencil_3","I'm learning to write.","Natuto akong sumulat."
"pencil_4","I need a new pencil.","Kailangan ko ng isang bagong lapis."
"pencil_5","Can I borrow your pencil?","Maaari ba akong humiram ng iyong lapis?"
"pencil_6","I lost my pencil.","Nawala ko ang lapis ko."
"eraser","Eraser","Pambura"
"eraser_2","I'm erasing.","Binubura ko."
"eraser_3","I need a new eraser.","Kailangan ko ng isang bagong pambura."
"eraser_4","Can I borrow your eraser?","Maaari ba akong humiram ng iyong pambura?"
"eraser_5","I lost my eraser.","Nawala ko ang aking pambura."
"ruler","Ruler","Tagapamahala"
"ruler_2","I'm measuring.","Sinusukat ko."
"ruler_3","I need a new ruler.","Kailangan ko ng isang bagong pinuno."
"ruler_4","Can I borrow your ruler?","Maaari ba akong humiram ng iyong pinuno?"
"ruler_5","I lost my ruler.","Nawalan ako ng pinuno."
"sharpener","Sharpener","Humina"
"sharpener_2","I'm sharpening my pencil.","Itinaas ko ang lapis ko."
"sharpener_3","I need a new sharpener.","Kailangan ko ng isang bagong pantasa."
"sharpener_4","Can I borrow your sharpener?","Maaari ba akong humiram ng iyong pantasa?"
"sharpener_5","I lost my sharpener.","Nawalan ako ng pantasa."
"mathematics","Mathematics","Matematika"
"mathematics_2","I like mathematics.","Gusto ko ng matematika."
"mathematics_3","I want to study mathematics.","Gusto kong mag-aral ng matematika."
"mathematics_4","I don't like mathematics.","Hindi ko gusto ang matematika."
"mathematics_5","When is mathematics class?","Kailan ang klase sa matematika?"
"mathematics_6","Can you help me with my mathematics homework?","Maaari mo bang tulungan ako sa aking araling-aralin sa matematika?"
"literature","Literature","Panitikan"
"literature_2","I like literature.","Gusto ko ng panitikan."
"literature_3","I want to study literature.","Gusto kong mag-aral ng panitikan."
"literature_4","I don't like literature.","Hindi ko gusto ang panitikan."
"literature_5","When is literature class?","Kailan ang klase ng panitikan?"
"literature_6","Can you help me with my literature homework?","Maaari mo bang tulungan ako sa aking araling-aralin sa panitikan?"
"science","Science","Science"
"science_2","I like science.","Gusto ko ng science."
"science_3","I want to study science.","Gusto kong mag-aral ng science."
"science_4","I don't like science.","Hindi ko gusto ang agham."
"science_5","When is science class?","Kailan ang klase sa agham?"
"science_6","Can you help me with my science homework?","Maaari mo ba akong tulungan sa aking araling-bahay?"
"art-class","Art class","Klase ng sining"
"art-class_2","I like art class.","Gusto ko ng klase ng sining."
"art-class_3","I want to practice art skills.","Nais kong magsagawa ng kasanayan sa sining."
"art-class_4","I don't like art class.","Hindi ko gusto ang art class."
"art-class_5","When is art class?","Kailan ang klase ng sining?"
"art-class_6","Can you help me with my art class homework?","Maaari mo ba akong tulungan sa aking araling-aralin sa araling-sining?"
"music-class","Music class","Klase ng musika"
"music-class_2","I like music class.","Gusto ko ang klase ng musika."
"music-class_3","I want to practice music skills.","Nais kong magsanay ng mga kasanayan sa musika."
"music-class_4","I don't like music class.","Hindi ko gusto ang klase ng musika."
"music-class_5","When is music class?","Kailan ang klase ng musika?"
"music-class_6","Can you help me with my music class homework?","Maaari mo bang tulungan ako sa aking araling-aralin sa klase ng musika?"
"geography","Geography","Heograpiya"
"geography_2","I like geography.","Gusto ko ng heograpiya."
"geography_3","I want to study geography.","Gusto kong mag-aral ng heograpiya."
"geography_4","I don't like geography.","Hindi ko gusto ang heograpiya."
"geography_5","When is geography?","Kailan ang heograpiya?"
"geography_6","Can you help me with my geography homework?","Maaari mo bang tulungan ako sa aking araling-bahay na heograpiya?"
"telescope","Telescope","Teleskopyo"
"telescope_2","I'm using the telescope.","Gumagamit ako ng teleskopyo."
"telescope_3","I want to use the telescope.","Nais kong gamitin ang teleskopyo."
"telescope_4","I want to look at the stars.","Gusto kong tumingin sa mga bituin."
"glue","Glue","Pandikit"
"glue_2","I'm using glue.","Gumagamit ako ng pandikit."
"glue_3","I need a new glue.","Kailangan ko ng isang bagong pandikit."
"glue_4","Can I borrow your glue?","Maaari ba akong humiram ng iyong kola?"
"glue_5","I lost my glue.","Nawalan ako ng kola."
"shapes","Shapes","Mga Hugis"
"circle","Circle","Bilog"
"circle_2","This is circle shaped.","Ito ay hugis bilog."
"circle_3","Can you teach me how to draw a circle?","Maaari mo bang ituro sa akin kung paano gumuhit ng isang bilog?"
"triangle","Triangle","Triangle"
"triangle_2","This is triangle shaped.","Ito ay hugis tatsulok."
"triangle_3","Can you teach me how to draw a triangle?","Maaari mo bang ituro sa akin kung paano gumuhit ng isang tatsulok?"
"square","Square","Parisukat"
"square_2","This is square shaped.","Ito ay parisukat na hugis."
"square_3","Can you teach me how to draw a square?","Maaari mo bang turuan sa akin kung paano gumuhit ng isang parisukat?"
"rectangle","Rectangle","Parihaba"
"rectangle_2","This is rectangle shaped.","Ito ay hugis-parihaba."
"rectangle_3","Can you teach me how to draw a rectangle?","Maaari mo bang turuan sa akin kung paano gumuhit ng isang rektanggulo?"
"star","Star","Bituin"
"star_2","This is star shaped.","Ito ay hugis bituin."
"star_3","Can you teach me how to draw a star?","Maaari mo bang turuan sa akin kung paano gumuhit ng isang bituin?"
"pentagon","Pentagon","Pentagon"
"pentagon_2","This is pentagon shaped.","Ito ay hugis pentagon."
"pentagon_3","Can you teach me how to draw a pentagon?","Maaari mo bang turuan kung paano ako gumuhit ng pentagon?"
"hexagon","Hexagon","Hexagon"
"hexagon_2","This is hexagon shaped.","Ito ay hugis heksagon."
"hexagon_3","Can you teach me how to draw a hexagon?","Maaari mo bang turuan kung paano gumuhit ng isang heksagono?"
"cross","Cross","Krus"
"cross_2","This is cross shaped.","Ito ay hugis ng krus."
"cross_3","Can you teach me how to draw a cross?","Maaari mo bang turuan kung paano ako gumuhit ng isang krus?"
"ellipse","Ellipse","Ellipse"
"ellipse_2","This is ellipse shaped.","Ito ay hugis ellipse."
"ellipse_3","Can you teach me how to draw a ellipse?","Maaari mo bang turuan sa akin kung paano gumuhit ng isang ellipse?"
"arrow","Arrow","Palaso"
"arrow_2","This is arrow shaped.","Ito ay hugis arrow."
"arrow_3","Can you teach me how to draw a arrow?","Maaari mo bang ituro sa akin kung paano gumuhit ng isang arrow?"
"crescent","Crescent","Crescent"
"crescent_2","This is crescent shaped.","Ito ay hugis-crescent."
"crescent_3","Can you teach me how to draw a crescent?","Maaari mo bang ituro sa akin kung paano gumuhit ng isang crescent?"
"heart","Heart","Puso"
"heart_2","This is heart shaped.","Ito ay hugis ng puso."
"heart_3","Can you teach me how to draw a heart?","Maaari mo bang turuan kung paano ako gumuhit ng puso?"
"rhombus","Rhombus","Rhombus"
"rhombus_2","This is rhombus shaped.","Ito ay hugis ng rhombus."
"rhombus_3","Can you teach me how to draw a rhombus?","Maaari mo bang ituro sa akin kung paano gumuhit ng isang rhombus?"
"ring","Ring","Tumunog"
"ring_2","This is ring shaped.","Ito ay hugis singsing."
"ring_3","Can you teach me how to draw a ring?","Maaari mo bang turuan kung paano gumuhit ng singsing?"
"semicircle","Semicircle","Hatinggit"
"semicircle_2","This is semicircle shaped.","Ito ay hugis ng semicircle."
"semicircle_3","Can you teach me how to draw a semicircle?","Maaari mo bang turuan kung paano ako gumuhit ng isang kalahating bilog?"
"trapezoid","Trapezoid","Trapezoid"
"trapezoid_2","This is trapezoid shaped.","Ito ay hugis trapezoid."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Maaari mo bang ituro sa akin kung paano gumuhit ng trapezoid?"
"cube","Cube","Cube"
"cube_2","This is cube shaped.","Ito ay hugis kubo."
"cube_3","Can you teach me how to draw a cube?","Maaari mo bang turuan sa akin kung paano gumuhit ng isang kubo?"
"cylinder","Cylinder","Silindro"
"cylinder_2","This is cylinder shaped.","Ito ay hugis silindro."
"cylinder_3","Can you teach me how to draw a cylinder?","Maaari mo bang turuan sa akin kung paano gumuhit ng isang silindro?"
