"activities","Activities","Činnosti"
"cousins_3","I don't have cousins.","Nemám bratrance."
"cousins_4","I miss my cousins.","Chybí mi bratranci."
"cousins_5","They are my cousins.","Jsou to moji bratranci."
"grandmother","Grandmother","Babička"
"grandmother_2","I love my grandmother.","Miluji svou babičku."
"grandmother_3","I love you grandma.","Miluji tě babi."
"grandmother_4","I miss my grandma.","Chybí mi moje babička."
"grandmother_5","She is my grandma.","Je to moje babička."
"grandfather","Grandfather","Dědeček"
"grandfather_2","I love my grandfather.","Miluji svého dědečka."
"grandfather_3","I love you grandpa.","Miluji tě děda."
"grandfather_4","I miss my grandpa.","Chybí mi dědeček."
"grandfather_5","He is my grandpa.","Je to můj dědeček."
"stepfather","Stepfather","Nevlastní otec"
"stepfather_2","I love my stepfather.","Miluji svého nevlastního otce."
"stepfather_3","He is my stepfather.","Je to můj nevlastní otec."
"stepfather_4","I miss my stepfather.","Chybí mi můj nevlastní otec."
"stepfather_5","He is my stepfather.","Je to můj nevlastní otec."
"stepmother","Stepmother","Nevlastní matka"
"stepmother_2","I love my stepmother.","Miluji svou nevlastní matku."
"stepmother_3","She is my stepmother.","Je to moje nevlastní matka."
"stepmother_4","I miss my stepmother.","Chybí mi moje nevlastní matka."
"stepmother_5","She is my stepmother.","Je to moje nevlastní matka."
"stepsister","Stepsister","Nevlastní sestra"
"stepsister_2","I love my stepsister.","Miluji svou nevlastní sestru."
"stepsister_3","She is my stepsister.","Je to moje nevlastní sestra."
"stepsister_4","I miss my stepsister.","Chybí mi moje nevlastní sestra."
"stepsister_5","She is my stepsister.","Je to moje nevlastní sestra."
"stepbrother","Stepbrother","Nevlastní bratr"
"stepbrother_2","I love my stepbrother.","Miluji svého nevlastního bratra."
"stepbrother_3","He is my stepbrother.","Je to můj nevlastní bratr."
"stepbrother_4","I miss my stepbrother.","Chybí mi můj nevlastní bratr."
"stepbrother_5","He is my stepbrother.","Je to můj nevlastní bratr."
"half-brother","Half brother","Nevlastní bratr"
"half-brother_2","I love my half brother.","Miluji svého nevlastního bratra."
"half-brother_3","He is my half brother.","Je to můj nevlastní bratr."
"half-brother_4","I miss my half brother.","Chybí mi můj nevlastní bratr."
"half-brother_5","He is my half brother.","Je to můj nevlastní bratr."
"half-sister","Half sister","Nevlastní sestra"
"half-sister_2","I love my half sister.","Miluji svou nevlastní sestru."
"half-sister_3","She is my half sister.","Je to moje nevlastní sestra."
"half-sister_4","I miss my half sister.","Chybí mi moje nevlastní sestra."
"half-sister_5","She is my half sister.","Je to moje nevlastní sestra."
"quarantine","Quarantine","Karanténa"
"protective-mask","Protective mask","Ochranná maska"
"stay-home","Stay home","Zůstat doma"
"toilet-paper","Toilet paper","Toaletní papír"
"sprayer","Sprayer","Postřikovač"
"disinfectant","Disinfectant","Dezinfekční prostředek"
"thermometer","Thermometer","Teploměr"
"coughing","Coughing","Kašel"
"medical-assistance","Medical assistance","Zdravotní asistence"
"hand-sanitizer","Hand sanitizer","Dezinfekční prostředek na ruce"
"gloves","Gloves","Rukavice"
"social-distancing","Social distancing","Společenský odstup"
"mouth-mask","Mouth mask","Ústní maska"
"pandemic","Pandemic","Pandemický"
"working-at-home","Working at home","Práce doma"
"wet-wipes","Wet wipes","Vlhké ubrousky"
"first-aid-kit","First aid kit","Lékárnička"
"fitness","Fitness","Zdatnost"
"e-learning","E-learning","E-learning"
"virus","Virus","Virus"
"cleaning","Cleaning","Čištění"
"school","School","Škola"
"desk","Desk","Lavice"
"desk_2","Can I use this desk?","Mohu tento stůl použít?"
"desk_3","Which desk is mine?","Který stůl je můj?"
"desk_4","I spilled on my desk.","Rozlil jsem se na stůl."
"desk_5","Don't scratch your desk.","Neškrábejte si stůl."
"chair","Chair","Židle"
"chair_2","Can I sit with you?","Mohu s tebou sedět?"
"chair_3","Which chair is mine?","Která židle je moje?"
"chair_4","Is this chair taken?","Je tato židle zaujata?"
"chair_5","I spilled on my chair.","Rozlil jsem se na židli."
"book","Book","Rezervovat"
"book_2","Textbook","Učebnice"
"book_3","Workbook","pracovní sešit"
"book_4","Reading a book.","Čtení knihy."
"book_5","Can I borrow your book?","Mohu si půjčit vaši knihu?"
"book_6","Which page are we at?","Na které stránce jsme?"
"book_7","Flip the page.","Otočte stránku."
"book_8","I lost my book.","Ztratil jsem svou knihu."
"notebook","Notebook","Zápisník"
"notebook_2","Taking notes.","Psát si poznámky."
"notebook_3","I'm taking notes.","Dělám si poznámky."
"notebook_4","I lost my notebook.","Ztratil jsem notebook."
"backpack","Backpack","Batoh"
"backpack_2","Carrying my backpack.","Nesení batohu."
"backpack_3","Putting my books in my backpack.","Vložení mých knih do batohu."
"backpack_4","I need a new backpack.","Potřebuji nový batoh."
"backpack_5","Thank you for carrying my backpack.","Děkuji za nošení mého batohu."
"backpack_6","I lost my backpack.","Ztratil jsem batoh."
"backpack_7","My backpack is heavy.","Můj batoh je těžký."
"blackboard","Blackboard","Černá tabule"
"blackboard_2","Look at the blackboard.","Podívejte se na tabuli."
"blackboard_3","Cleaning the blackboard.","Čištění tabule."
"blackboard_4","Solving the problem on the blackboard.","Řešení problému na tabuli."
"blackboard_5","Taking note on the blackboard.","Zapisování poznámek na tabuli."
"blackboard_6","Give me a chalk.","Dej mi křídu."
"teacher_7","I don't like this topic.","Toto téma se mi nelíbí."
"teacher_8","Thank you for the lesson.","Děkuji za lekci."
"school-bus","School bus","Školní autobus"
"school-bus_2","School bus is coming.","Přijíždí školní autobus."
"school-bus_3","Can I sit next to you?","Mohu sedět vedle vás?"
"school-bus_4","Thank you bus driver!","Děkuji řidiči autobusu!"
"school-bus_5","School bus was late.","Školní autobus byl pozdě."
"pencil","Pencil","Tužka"
"pencil_2","I'm writing.","Píšu."
"pencil_3","I'm learning to write.","Učím se psát."
"pencil_4","I need a new pencil.","Potřebuji novou tužku."
"pencil_5","Can I borrow your pencil?","Můžu si půjčit tvoji tužku?"
"pencil_6","I lost my pencil.","Ztratil jsem tužku."
"eraser","Eraser","Guma"
"eraser_2","I'm erasing.","Mazám se."
"eraser_3","I need a new eraser.","Potřebuji nový guma."
"eraser_4","Can I borrow your eraser?","Můžu si půjčit gumu?"
"eraser_5","I lost my eraser.","Ztratil jsem gumu."
"ruler","Ruler","Pravítko"
"ruler_2","I'm measuring.","Měřím."
"ruler_3","I need a new ruler.","Potřebuji nového vládce."
"ruler_4","Can I borrow your ruler?","Můžu si půjčit tvého vládce?"
"ruler_5","I lost my ruler.","Ztratil jsem vládce."
"sharpener","Sharpener","Ořezávátko"
"sharpener_2","I'm sharpening my pencil.","Zostřuji tužku."
"sharpener_3","I need a new sharpener.","Potřebuji nové ořezávátko."
"sharpener_4","Can I borrow your sharpener?","Mohu si půjčit vaše ořezávátko?"
"sharpener_5","I lost my sharpener.","Ztratil jsem ořezávátko."
"mathematics","Mathematics","Matematika"
"mathematics_2","I like mathematics.","Mám rád matematiku."
"mathematics_3","I want to study mathematics.","Chci studovat matematiku."
"mathematics_4","I don't like mathematics.","Nemám rád matematiku."
"mathematics_5","When is mathematics class?","Kdy je matematická třída?"
"mathematics_6","Can you help me with my mathematics homework?","Můžete mi pomoci s domácími úkoly z matematiky?"
"literature","Literature","Literatura"
"literature_2","I like literature.","Mám rád literaturu."
"literature_3","I want to study literature.","Chci studovat literaturu."
"literature_4","I don't like literature.","Nemám rád literaturu."
"literature_5","When is literature class?","Kdy je třída literatury?"
"literature_6","Can you help me with my literature homework?","Můžete mi pomoci s domácími úkoly z literatury?"
"science","Science","Věda"
"science_2","I like science.","Mám ráda vědu."
"science_3","I want to study science.","Chci studovat vědu."
"science_4","I don't like science.","Nemám rád vědu."
"science_5","When is science class?","Kdy je třída vědy?"
"science_6","Can you help me with my science homework?","Můžeš mi pomoci s domácími úkoly?"
"art-class","Art class","Umělecká třída"
"art-class_2","I like art class.","Mám rád uměleckou třídu."
"art-class_3","I want to practice art skills.","Chci cvičit umělecké dovednosti."
"art-class_4","I don't like art class.","Nemám ráda uměleckou třídu."
"art-class_5","When is art class?","Kdy je umělecká třída?"
"art-class_6","Can you help me with my art class homework?","Můžete mi pomoci s domácími úkoly v umělecké třídě?"
"music-class","Music class","Hudební třída"
"music-class_2","I like music class.","Mám rád hudební třídu."
"music-class_3","I want to practice music skills.","Chci si procvičit hudební dovednosti."
"music-class_4","I don't like music class.","Nelíbí se mi hudební třídy."
"music-class_5","When is music class?","Kdy je hudební třída?"
"music-class_6","Can you help me with my music class homework?","Můžete mi pomoci s domácími úkoly z hudební třídy?"
"geography","Geography","Zeměpis"
"geography_2","I like geography.","Mám rád geografii."
"geography_3","I want to study geography.","Chci studovat geografii."
"geography_4","I don't like geography.","Nemám rád geografii."
"geography_5","When is geography?","Kdy je geografie?"
"geography_6","Can you help me with my geography homework?","Můžete mi pomoci s domácími úkoly v zeměpisu?"
"telescope","Telescope","Dalekohled"
"telescope_2","I'm using the telescope.","Používám dalekohled."
"telescope_3","I want to use the telescope.","Chci použít dalekohled."
"telescope_4","I want to look at the stars.","Chci se podívat na hvězdy."
"glue","Glue","Lepidlo"
"glue_2","I'm using glue.","Používám lepidlo."
"glue_3","I need a new glue.","Potřebuji nové lepidlo."
"glue_4","Can I borrow your glue?","Mohu si půjčit vaše lepidlo?"
"glue_5","I lost my glue.","Ztratil jsem své lepidlo."
"shapes","Shapes","Tvary"
"circle","Circle","Kruh"
"circle_2","This is circle shaped.","Tohle je kruhový tvar."
"circle_3","Can you teach me how to draw a circle?","Můžete mě naučit, jak nakreslit kruh?"
"triangle","Triangle","Trojúhelník"
"triangle_2","This is triangle shaped.","Tohle je trojúhelník."
"triangle_3","Can you teach me how to draw a triangle?","Můžete mě naučit, jak nakreslit trojúhelník?"
"square","Square","Náměstí"
"square_2","This is square shaped.","Toto je čtvercového tvaru."
"square_3","Can you teach me how to draw a square?","Můžete mě naučit, jak nakreslit čtverec?"
"rectangle","Rectangle","Obdélník"
"rectangle_2","This is rectangle shaped.","Toto je obdélníkového tvaru."
"rectangle_3","Can you teach me how to draw a rectangle?","Můžete mě naučit, jak nakreslit obdélník?"
"star","Star","Hvězda"
"star_2","This is star shaped.","To je ve tvaru hvězdy."
"star_3","Can you teach me how to draw a star?","Můžete mě naučit, jak nakreslit hvězdu?"
"pentagon","Pentagon","Pentagon"
"pentagon_2","This is pentagon shaped.","To má tvar pětiúhelníku."
"pentagon_3","Can you teach me how to draw a pentagon?","Můžete mě naučit, jak nakreslit pětiúhelník?"
"hexagon","Hexagon","Šestiúhelník"
"hexagon_2","This is hexagon shaped.","To má tvar šestiúhelníku."
"hexagon_3","Can you teach me how to draw a hexagon?","Můžete mě naučit, jak nakreslit šestiúhelník?"
"cross","Cross","Přejít"
"cross_2","This is cross shaped.","To má tvar kříže."
"cross_3","Can you teach me how to draw a cross?","Můžete mě naučit, jak nakreslit kříž?"
"ellipse","Ellipse","Elipsa"
"ellipse_2","This is ellipse shaped.","To má tvar elipsy."
"ellipse_3","Can you teach me how to draw a ellipse?","Můžete mě naučit kreslit elipsu?"
"arrow","Arrow","Šipka"
"arrow_2","This is arrow shaped.","Toto je ve tvaru šipky."
"arrow_3","Can you teach me how to draw a arrow?","Můžete mě naučit, jak nakreslit šipku?"
"crescent","Crescent","Půlměsíc"
"crescent_2","This is crescent shaped.","To je ve tvaru půlměsíce."
"crescent_3","Can you teach me how to draw a crescent?","Můžete mě naučit kreslit půlměsíc?"
"heart","Heart","Srdce"
"heart_2","This is heart shaped.","To je ve tvaru srdce."
"heart_3","Can you teach me how to draw a heart?","Můžete mě naučit, jak nakreslit srdce?"
"rhombus","Rhombus","Kosočtverec"
"rhombus_2","This is rhombus shaped.","Tohle je kosočtverec."
"rhombus_3","Can you teach me how to draw a rhombus?","Můžete mě naučit kreslit kosočtverce?"
"ring","Ring","Prsten"
"ring_2","This is ring shaped.","Tohle je prsten."
"ring_3","Can you teach me how to draw a ring?","Můžete mě naučit, jak nakreslit prsten?"
"semicircle","Semicircle","Půlkruh"
"semicircle_2","This is semicircle shaped.","To je ve tvaru půlkruhu."
"semicircle_3","Can you teach me how to draw a semicircle?","Můžete mě naučit, jak nakreslit půlkruh?"
"trapezoid","Trapezoid","Lichoběžník"
"trapezoid_2","This is trapezoid shaped.","Toto je lichoběžníkový tvar."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Můžete mě naučit, jak kreslit lichoběžník?"
"cube","Cube","Krychle"
"cube_2","This is cube shaped.","Tohle je kostka."
"cube_3","Can you teach me how to draw a cube?","Můžete mě naučit, jak nakreslit kostku?"
"cylinder","Cylinder","Válec"
"cylinder_2","This is cylinder shaped.","To má tvar válce."
"cylinder_3","Can you teach me how to draw a cylinder?","Můžete mě naučit, jak nakreslit válec?"
