"activities","Activities","Atividades"
"cousins_4","I miss my cousins.","Sinto falta dos meus primos."
"cousins_5","They are my cousins.","Eles são os meus primos."
"grandmother","Grandmother","Avó"
"grandmother_2","I love my grandmother.","Eu amo minha avó."
"grandmother_3","I love you grandma.","Eu te amo avó."
"grandmother_4","I miss my grandma.","Sinto falta da minha avó."
"grandmother_5","She is my grandma.","Ela é minha avó."
"grandfather","Grandfather","Avô"
"grandfather_2","I love my grandfather.","Eu amo meu avô."
"grandfather_3","I love you grandpa.","Eu te amo Vovô."
"grandfather_4","I miss my grandpa.","Sinto falta do meu avô."
"grandfather_5","He is my grandpa.","Ele é meu avô."
"stepfather","Stepfather","Padrasto"
"stepfather_2","I love my stepfather.","Eu amo meu padrasto."
"stepfather_3","He is my stepfather.","Ele é meu padrasto."
"stepfather_4","I miss my stepfather.","Sinto falta do meu padrasto."
"stepfather_5","He is my stepfather.","Ele é meu padrasto."
"stepmother","Stepmother","Madrasta"
"stepmother_2","I love my stepmother.","Eu amo minha madrasta."
"stepmother_3","She is my stepmother.","Ela é minha madrasta."
"stepmother_4","I miss my stepmother.","Sinto falta da minha madrasta."
"stepmother_5","She is my stepmother.","Ela é minha madrasta."
"stepsister","Stepsister","Meia-irmã"
"stepsister_2","I love my stepsister.","Eu amo minha meia-irmã."
"stepsister_3","She is my stepsister.","Ela é minha meia-irmã."
"stepsister_4","I miss my stepsister.","Sinto falta da minha meia-irmã."
"stepsister_5","She is my stepsister.","Ela é minha meia-irmã."
"stepbrother","Stepbrother","Meio-irmão"
"stepbrother_2","I love my stepbrother.","Eu amo meu meio-irmão."
"stepbrother_3","He is my stepbrother.","Ele é meu meio-irmão."
"stepbrother_4","I miss my stepbrother.","Sinto falta do meu meio-irmão."
"stepbrother_5","He is my stepbrother.","Ele é meu meio-irmão."
"half-brother","Half brother","Meio irmão"
"half-brother_2","I love my half brother.","Eu amo meu meio-irmão."
"half-brother_3","He is my half brother.","Ele é meu meio-irmão."
"half-brother_4","I miss my half brother.","Sinto falta do meu meio-irmão."
"half-brother_5","He is my half brother.","Ele é meu meio-irmão."
"half-sister","Half sister","Meia-irmã"
"half-sister_2","I love my half sister.","Eu amo minha meia-irmã."
"half-sister_3","She is my half sister.","Ela é minha meia-irmã."
"half-sister_4","I miss my half sister.","Sinto falta da minha meia-irmã."
"half-sister_5","She is my half sister.","Ela é minha meia-irmã."
"quarantine","Quarantine","Quarentena"
"protective-mask","Protective mask","Máscara protetora"
"stay-home","Stay home","Ficar em casa"
"toilet-paper","Toilet paper","Papel higiênico"
"sprayer","Sprayer","Pulverizador"
"disinfectant","Disinfectant","Desinfetante"
"thermometer","Thermometer","Termômetro"
"coughing","Coughing","Tosse"
"medical-assistance","Medical assistance","Assistência médica"
"hand-sanitizer","Hand sanitizer","Desinfetante para as mãos"
"gloves","Gloves","Luvas"
"social-distancing","Social distancing","Distanciamento social"
"mouth-mask","Mouth mask","Máscara boca"
"pandemic","Pandemic","Pandemia"
"working-at-home","Working at home","Trabalhando em casa"
"wet-wipes","Wet wipes","Lenços umedecidos"
"first-aid-kit","First aid kit","Kit de primeiros socorros"
"fitness","Fitness","Ginástica"
"e-learning","E-learning","E-learning"
"virus","Virus","Vírus"
"cleaning","Cleaning","Limpeza"
"school","School","Escola"
"desk","Desk","Escrivaninha"
"desk_2","Can I use this desk?","Posso usar esta mesa?"
"desk_3","Which desk is mine?","Qual mesa é minha?"
"desk_4","I spilled on my desk.","Eu derramei na minha mesa."
"desk_5","Don't scratch your desk.","Não arranhe sua mesa."
"chair","Chair","Cadeira"
"chair_2","Can I sit with you?","Posso me sentar com você?"
"chair_3","Which chair is mine?","Qual cadeira é minha?"
"chair_4","Is this chair taken?","Esta cadeira está ocupada?"
"chair_5","I spilled on my chair.","Eu derramei na minha cadeira."
"book","Book","Livro"
"book_2","Textbook","Livro didático"
"book_3","Workbook","Pasta de trabalho"
"book_4","Reading a book.","Lendo um livro."
"book_5","Can I borrow your book?","Posso emprestar seu livro?"
"book_6","Which page are we at?","Em que página estamos?"
"book_7","Flip the page.","Virar a página."
"book_8","I lost my book.","Eu perdi meu livro"
"notebook","Notebook","Caderno"
"notebook_2","Taking notes.","Tomando notas."
"notebook_3","I'm taking notes.","Estou anotando."
"notebook_4","I lost my notebook.","Perdi meu caderno."
"backpack","Backpack","Mochila"
"backpack_2","Carrying my backpack.","Carregando minha mochila."
"backpack_3","Putting my books in my backpack.","Colocando meus livros na minha mochila."
"backpack_4","I need a new backpack.","Eu preciso de uma mochila nova."
"backpack_5","Thank you for carrying my backpack.","Obrigado por carregar minha mochila."
"backpack_6","I lost my backpack.","Perdi minha mochila."
"backpack_7","My backpack is heavy.","Minha mochila é pesada."
"blackboard","Blackboard","Quadro-negro"
"blackboard_2","Look at the blackboard.","Olha para o quadro."
"blackboard_3","Cleaning the blackboard.","Limpando o quadro-negro."
"blackboard_4","Solving the problem on the blackboard.","Resolvendo o problema no quadro-negro."
"blackboard_5","Taking note on the blackboard.","Tomando nota no quadro-negro."
"blackboard_6","Give me a chalk.","Me dê um giz."
"teacher_7","I don't like this topic.","Eu não gosto deste tópico."
"teacher_8","Thank you for the lesson.","Obrigado pela lição."
"school-bus","School bus","Ônibus escolar"
"school-bus_2","School bus is coming.","O ônibus escolar está chegando."
"school-bus_3","Can I sit next to you?","Posso sentar ao seu lado?"
"school-bus_4","Thank you bus driver!","Obrigado motorista!"
"school-bus_5","School bus was late.","O ônibus escolar estava atrasado."
"pencil","Pencil","Lápis"
"pencil_2","I'm writing.","Estou escrevendo."
"pencil_3","I'm learning to write.","Estou aprendendo a escrever."
"pencil_4","I need a new pencil.","Eu preciso de um novo lápis."
"pencil_5","Can I borrow your pencil?","Posso emprestar seu lápis?"
"pencil_6","I lost my pencil.","Eu perdi meu lápis"
"eraser","Eraser","Apagador"
"eraser_2","I'm erasing.","Estou apagando."
"eraser_3","I need a new eraser.","Eu preciso de uma nova borracha."
"eraser_4","Can I borrow your eraser?","Posso emprestar a sua borracha?"
"eraser_5","I lost my eraser.","Eu perdi minha borracha."
"ruler","Ruler","governante"
"ruler_2","I'm measuring.","Estou medindo."
"ruler_3","I need a new ruler.","Eu preciso de uma nova régua."
"ruler_4","Can I borrow your ruler?","Posso emprestar sua régua?"
"ruler_5","I lost my ruler.","Eu perdi minha régua."
"sharpener","Sharpener","Apontador"
"sharpener_2","I'm sharpening my pencil.","Estou afiando meu lápis."
"sharpener_3","I need a new sharpener.","Eu preciso de um novo apontador."
"sharpener_4","Can I borrow your sharpener?","Posso pegar seu apontador emprestado?"
"sharpener_5","I lost my sharpener.","Perdi meu apontador."
"mathematics","Mathematics","Matemática"
"mathematics_2","I like mathematics.","Eu gosto de matemática"
"mathematics_3","I want to study mathematics.","Eu quero estudar matemática."
"mathematics_4","I don't like mathematics.","Eu não gosto de matemática"
"mathematics_5","When is mathematics class?","Quando é a aula de matemática?"
"mathematics_6","Can you help me with my mathematics homework?","Você pode me ajudar com minha lição de matemática?"
"literature","Literature","Literatura"
"literature_2","I like literature.","Eu gosto de literatura"
"literature_3","I want to study literature.","Eu quero estudar literatura."
"literature_4","I don't like literature.","Eu não gosto de literatura"
"literature_5","When is literature class?","Quando é a aula de literatura?"
"literature_6","Can you help me with my literature homework?","Você pode me ajudar com minha lição de casa de literatura?"
"science","Science","Ciência"
"science_2","I like science.","Eu gosto de Ciências."
"science_3","I want to study science.","Eu quero estudar ciências."
"science_4","I don't like science.","Eu não gosto de ciência."
"science_5","When is science class?","Quando é a aula de ciências?"
"science_6","Can you help me with my science homework?","Você pode me ajudar com minha lição de ciência?"
"art-class","Art class","Aula de arte"
"art-class_2","I like art class.","Eu gosto de aula de arte."
"art-class_3","I want to practice art skills.","Eu quero praticar habilidades artísticas."
"art-class_4","I don't like art class.","Eu não gosto de aula de arte."
"art-class_5","When is art class?","Quando é a aula de arte?"
"art-class_6","Can you help me with my art class homework?","Você pode me ajudar com a lição de casa da aula de arte?"
"music-class","Music class","Aula de música"
"music-class_2","I like music class.","Eu gosto de aula de música."
"music-class_3","I want to practice music skills.","Eu quero praticar habilidades musicais."
"music-class_4","I don't like music class.","Eu não gosto de aula de música."
"music-class_5","When is music class?","Quando é a aula de música?"
"music-class_6","Can you help me with my music class homework?","Você pode me ajudar com a lição de casa da aula de música?"
"geography","Geography","Geografia"
"geography_2","I like geography.","Eu gosto de geografia"
"geography_3","I want to study geography.","Eu quero estudar geografia."
"geography_4","I don't like geography.","Eu não gosto de geografia"
"geography_5","When is geography?","Quando é a geografia?"
"geography_6","Can you help me with my geography homework?","Você pode me ajudar com meus deveres de geografia?"
"telescope","Telescope","Telescópio"
"telescope_2","I'm using the telescope.","Estou usando o telescópio."
"telescope_3","I want to use the telescope.","Eu quero usar o telescópio."
"telescope_4","I want to look at the stars.","Eu quero olhar para as estrelas."
"glue","Glue","Cola"
"glue_2","I'm using glue.","Estou usando cola."
"glue_3","I need a new glue.","Eu preciso de uma nova cola."
"glue_4","Can I borrow your glue?","Posso emprestar sua cola?"
"glue_5","I lost my glue.","Eu perdi minha cola."
"shapes","Shapes","Formas"
"circle","Circle","Círculo"
"circle_2","This is circle shaped.","Isto é em forma de círculo."
"circle_3","Can you teach me how to draw a circle?","Você pode me ensinar como desenhar um círculo?"
"triangle","Triangle","Triângulo"
"triangle_2","This is triangle shaped.","Isto é em forma de triângulo."
"triangle_3","Can you teach me how to draw a triangle?","Você pode me ensinar como desenhar um triângulo?"
"square","Square","Quadrado"
"square_2","This is square shaped.","Isto é quadrado."
"square_3","Can you teach me how to draw a square?","Você pode me ensinar como desenhar um quadrado?"
"rectangle","Rectangle","Retângulo"
"rectangle_2","This is rectangle shaped.","Isso é retangular."
"rectangle_3","Can you teach me how to draw a rectangle?","Você pode me ensinar como desenhar um retângulo?"
"star","Star","Estrela"
"star_2","This is star shaped.","Isto é em forma de estrela."
"star_3","Can you teach me how to draw a star?","Você pode me ensinar como desenhar uma estrela?"
"pentagon","Pentagon","Pentágono"
"pentagon_2","This is pentagon shaped.","Isso é em forma de pentágono."
"pentagon_3","Can you teach me how to draw a pentagon?","Você pode me ensinar como desenhar um pentágono?"
"hexagon","Hexagon","Hexágono"
"hexagon_2","This is hexagon shaped.","Isso é hexagonal."
"hexagon_3","Can you teach me how to draw a hexagon?","Você pode me ensinar como desenhar um hexágono?"
"cross","Cross","Cruz"
"cross_2","This is cross shaped.","Isto é em forma de cruz."
"cross_3","Can you teach me how to draw a cross?","Você pode me ensinar como desenhar uma cruz?"
"ellipse","Ellipse","Elipse"
"ellipse_2","This is ellipse shaped.","Esta é a forma de elipse."
"ellipse_3","Can you teach me how to draw a ellipse?","Você pode me ensinar como desenhar uma elipse?"
"arrow","Arrow","Seta"
"arrow_2","This is arrow shaped.","Isto é em forma de flecha."
"arrow_3","Can you teach me how to draw a arrow?","Você pode me ensinar como desenhar uma flecha?"
"crescent","Crescent","Crescente"
"crescent_2","This is crescent shaped.","Este é em forma de crescente."
"crescent_3","Can you teach me how to draw a crescent?","Você pode me ensinar como desenhar um crescente?"
"heart","Heart","Coração"
"heart_2","This is heart shaped.","Isto é em forma de coração."
"heart_3","Can you teach me how to draw a heart?","Você pode me ensinar como desenhar um coração?"
"rhombus","Rhombus","Rhombus"
"rhombus_2","This is rhombus shaped.","Este é em forma de losango."
"rhombus_3","Can you teach me how to draw a rhombus?","Você pode me ensinar como desenhar um losango?"
"ring","Ring","Anel"
"ring_2","This is ring shaped.","Isto é em forma de anel."
"ring_3","Can you teach me how to draw a ring?","Você pode me ensinar como desenhar um anel?"
"semicircle","Semicircle","Semicírculo"
"semicircle_2","This is semicircle shaped.","Isso é em forma de semicírculo."
"semicircle_3","Can you teach me how to draw a semicircle?","Você pode me ensinar como desenhar um semicírculo?"
"trapezoid","Trapezoid","Trapézio"
"trapezoid_2","This is trapezoid shaped.","Isso é trapezoidal."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Você pode me ensinar como desenhar um trapézio?"
"cube","Cube","Cubo"
"cube_2","This is cube shaped.","Isto é em forma de cubo."
"cube_3","Can you teach me how to draw a cube?","Você pode me ensinar como desenhar um cubo?"
"cylinder","Cylinder","Cilindro"
"cylinder_2","This is cylinder shaped.","Isto é em forma de cilindro."
"cylinder_3","Can you teach me how to draw a cylinder?","Você pode me ensinar como desenhar um cilindro?"
