"activities","Activities","活动项目"
"fitness","Fitness","适合度"
"e-learning","E-learning","电子学习"
"virus","Virus","病毒"
"cleaning","Cleaning","清洁用品"
"school","School","学校"
"desk","Desk","台"
"desk_2","Can I use this desk?","我可以使用这张桌子吗？"
"desk_3","Which desk is mine?","哪张桌子是我的？"
"desk_4","I spilled on my desk.","我洒在桌子上。"
"desk_5","Don't scratch your desk.","不要刮擦桌子。"
"chair","Chair","椅子"
"chair_2","Can I sit with you?","我可以和你一起坐吗？"
"chair_3","Which chair is mine?","我的椅子是哪张？"
"chair_4","Is this chair taken?","这把椅子可以坐吗？"
"chair_5","I spilled on my chair.","我洒在椅子上。"
"book","Book","书"
"book_2","Textbook","教科书"
"book_3","Workbook","工作簿"
"book_4","Reading a book.","读一本书。"
"book_5","Can I borrow your book?","我可以借你的书吗？"
"book_6","Which page are we at?","我们在哪一页？"
"book_7","Flip the page.","翻转页面。"
"book_8","I lost my book.","我丢了书。"
"notebook","Notebook","笔记本"
"notebook_2","Taking notes.","记笔记。"
"notebook_3","I'm taking notes.","我在做笔记。"
"notebook_4","I lost my notebook.","我丢了我的笔记本。"
"backpack","Backpack","背包"
"backpack_2","Carrying my backpack.","背着我的背包。"
"backpack_3","Putting my books in my backpack.","把我的书放在背包里。"
"backpack_4","I need a new backpack.","我需要一个新的背包。"
"backpack_5","Thank you for carrying my backpack.","谢谢你背着我的背包。"
"backpack_6","I lost my backpack.","我丢了背包。"
"backpack_7","My backpack is heavy.","我的背包很重。"
"blackboard","Blackboard","黑板"
"blackboard_2","Look at the blackboard.","看黑板。"
"blackboard_3","Cleaning the blackboard.","清洁黑板。"
"blackboard_4","Solving the problem on the blackboard.","解决黑板上的问题。"
"blackboard_5","Taking note on the blackboard.","在黑板上记笔记。"
"blackboard_6","Give me a chalk.","给我一支粉笔。"
"teacher_7","I don't like this topic.","我不喜欢这个话题。"
"teacher_8","Thank you for the lesson.","谢谢你的教训。"
"school-bus","School bus","校车"
"school-bus_2","School bus is coming.","校车来了。"
"school-bus_3","Can I sit next to you?","我可以坐在你旁边吗？"
"school-bus_4","Thank you bus driver!","谢谢巴士司机！"
"school-bus_5","School bus was late.","校车迟到了。"
"pencil","Pencil","铅笔"
"pencil_2","I'm writing.","我在写。"
"pencil_3","I'm learning to write.","我正在学习写作。"
"pencil_4","I need a new pencil.","我需要一支新铅笔。"
"pencil_5","Can I borrow your pencil?","我可以借你的铅笔吗？"
"pencil_6","I lost my pencil.","我丢了铅笔。"
"eraser","Eraser","橡皮"
"eraser_2","I'm erasing.","我正在擦除。"
"eraser_3","I need a new eraser.","我需要一个新的橡皮擦。"
"eraser_4","Can I borrow your eraser?","我可以借用你的橡皮吗？"
"eraser_5","I lost my eraser.","我丢了橡皮。"
"ruler","Ruler","统治者"
"ruler_2","I'm measuring.","我正在测量。"
"ruler_3","I need a new ruler.","我需要一个新的尺子。"
"ruler_4","Can I borrow your ruler?","我可以借你的尺子吗？"
"ruler_5","I lost my ruler.","我失去了统治者。"
"sharpener","Sharpener","卷笔刀"
"sharpener_2","I'm sharpening my pencil.","我在削铅笔。"
"sharpener_3","I need a new sharpener.","我需要一个新的卷笔刀。"
"sharpener_4","Can I borrow your sharpener?","我可以借用你的卷笔刀吗？"
"sharpener_5","I lost my sharpener.","我丢了卷笔刀。"
"mathematics","Mathematics","数学"
"mathematics_2","I like mathematics.","我喜欢数学。"
"mathematics_3","I want to study mathematics.","我想学习数学。"
"mathematics_4","I don't like mathematics.","我不喜欢数学。"
"mathematics_5","When is mathematics class?","什么时候上数学课？"
"mathematics_6","Can you help me with my mathematics homework?","您可以帮我做数学作业吗？"
"literature","Literature","文献"
"literature_2","I like literature.","我喜欢文学。"
"literature_3","I want to study literature.","我想学习文学。"
"literature_4","I don't like literature.","我不喜欢文学。"
"literature_5","When is literature class?","什么时候上文学课？"
"literature_6","Can you help me with my literature homework?","你可以帮我做文学作业吗？"
"science","Science","科学"
"science_2","I like science.","我喜欢科学。"
"science_3","I want to study science.","我想学习科学。"
"science_4","I don't like science.","我不喜欢科学。"
"science_5","When is science class?","什么时候上科学课？"
"science_6","Can you help me with my science homework?","你可以帮我做科学作业吗？"
"art-class","Art class","艺术课"
"art-class_2","I like art class.","我喜欢美术课。"
"art-class_3","I want to practice art skills.","我想练习美术技能。"
"art-class_4","I don't like art class.","我不喜欢美术课。"
"art-class_5","When is art class?","什么时候上美术课？"
"art-class_6","Can you help me with my art class homework?","您可以帮我做美术课作业吗？"
"music-class","Music class","音乐课"
"music-class_2","I like music class.","我喜欢音乐课。"
"music-class_3","I want to practice music skills.","我想练习音乐技巧。"
"music-class_4","I don't like music class.","我不喜欢音乐课。"
"music-class_5","When is music class?","音乐课什么时候开始？"
"music-class_6","Can you help me with my music class homework?","你可以帮我做音乐课吗？"
"geography","Geography","地理"
"geography_2","I like geography.","我喜欢地理。"
"geography_3","I want to study geography.","我想学地理。"
"geography_4","I don't like geography.","我不喜欢地理。"
"geography_5","When is geography?","地理什么时候？"
"geography_6","Can you help me with my geography homework?","您可以协助我进行地理作业吗？"
"telescope","Telescope","望远镜"
"telescope_2","I'm using the telescope.","我正在使用望远镜。"
"telescope_3","I want to use the telescope.","我想用望远镜。"
"telescope_4","I want to look at the stars.","我想看星星。"
"glue","Glue","胶"
"glue_2","I'm using glue.","我在用胶水。"
"glue_3","I need a new glue.","我需要新胶水。"
"glue_4","Can I borrow your glue?","我可以借用你的胶水吗？"
"glue_5","I lost my glue.","我失去了胶水。"
"shapes","Shapes","形状"
"circle","Circle","圈"
"circle_2","This is circle shaped.","这是圆形的。"
"circle_3","Can you teach me how to draw a circle?","你能教我画圆吗？"
"triangle","Triangle","三角形"
"triangle_2","This is triangle shaped.","这是三角形的。"
"triangle_3","Can you teach me how to draw a triangle?","你能教我画三角形吗？"
"square","Square","广场"
"square_2","This is square shaped.","这是方形的。"
"square_3","Can you teach me how to draw a square?","你能教我画一个正方形吗？"
"rectangle","Rectangle","长方形"
"rectangle_2","This is rectangle shaped.","这是矩形的。"
"rectangle_3","Can you teach me how to draw a rectangle?","你能教我画一个矩形吗？"
"star","Star","星"
"star_2","This is star shaped.","这是星形的。"
"star_3","Can you teach me how to draw a star?","你能教我画星星吗？"
"pentagon","Pentagon","五角大楼"
"pentagon_2","This is pentagon shaped.","这是五边形的。"
"pentagon_3","Can you teach me how to draw a pentagon?","你能教我画五边形吗？"
"hexagon","Hexagon","六边形"
"hexagon_2","This is hexagon shaped.","这是六角形的。"
"hexagon_3","Can you teach me how to draw a hexagon?","你能教我画一个六角形吗？"
"cross","Cross","交叉"
"cross_2","This is cross shaped.","这是十字形的。"
"cross_3","Can you teach me how to draw a cross?","你能教我画十字吗？"
"ellipse","Ellipse","椭圆"
"ellipse_2","This is ellipse shaped.","这是椭圆形的。"
"ellipse_3","Can you teach me how to draw a ellipse?","你能教我画椭圆吗？"
"arrow","Arrow","箭头"
"arrow_2","This is arrow shaped.","这是箭头形的。"
"arrow_3","Can you teach me how to draw a arrow?","你能教我怎么画箭头吗？"
"crescent","Crescent","新月"
"crescent_2","This is crescent shaped.","这是新月形的。"
"crescent_3","Can you teach me how to draw a crescent?","你能教我画新月吗？"
"heart","Heart","心"
"heart_2","This is heart shaped.","这是心形的。"
"heart_3","Can you teach me how to draw a heart?","你能教我怎样画一颗心吗？"
"rhombus","Rhombus","菱形"
"rhombus_2","This is rhombus shaped.","这是菱形的。"
"rhombus_3","Can you teach me how to draw a rhombus?","你能教我画菱形吗？"
"ring","Ring","环"
"ring_2","This is ring shaped.","这是环形的。"
"ring_3","Can you teach me how to draw a ring?","你能教我怎么画戒指吗？"
"semicircle","Semicircle","半圆"
"semicircle_2","This is semicircle shaped.","这是半圆形的。"
"semicircle_3","Can you teach me how to draw a semicircle?","你能教我画一个半圆吗？"
"trapezoid","Trapezoid","梯形"
"trapezoid_2","This is trapezoid shaped.","这是梯形的。"
"trapezoid_3","Can you teach me how to draw a trapezoid?","你能教我画梯形吗？"
"cube","Cube","立方体"
"cube_2","This is cube shaped.","这是立方体形状。"
"cube_3","Can you teach me how to draw a cube?","你能教我画一个立方体吗？"
"cylinder","Cylinder","圆筒"
"cylinder_2","This is cylinder shaped.","这是圆柱形的。"
"cylinder_3","Can you teach me how to draw a cylinder?","能教我画圆柱吗？"
