"activities","Activities","attività"
"friends","Friends","Amici"
"friends_2","I love my friends.","Amo i miei amici."
"friends_3","Do you want to be my friend?","Vuoi essere mio amico?"
"friends_4","I don't like my friends.","Non mi piacciono i miei amici."
"friends_5","I miss my friends.","Mi mancano i miei amici."
"friends_6","They are my friends.","Essi sono i miei amici."
"friends_7","Thank you for playing with me.","Grazie per aver giocato con me."
"cousins","Cousins","Cousins"
"cousins_2","I love my cousins.","Adoro i miei cugini."
"cousins_3","I don't have cousins.","Non ho cugini."
"cousins_4","I miss my cousins.","Mi mancano i miei cugini."
"cousins_5","They are my cousins.","Loro sono i miei cugini."
"grandmother","Grandmother","Nonna"
"grandmother_2","I love my grandmother.","Adoro mia nonna."
"grandmother_3","I love you grandma.","Ti voglio bene nonna."
"grandmother_4","I miss my grandma.","Mi manca mia nonna."
"grandmother_5","She is my grandma.","Lei è mia nonna."
"grandfather","Grandfather","Nonno"
"grandfather_2","I love my grandfather.","Adoro mio nonno."
"grandfather_3","I love you grandpa.","Ti amo nonno."
"grandfather_4","I miss my grandpa.","Mi manca mio nonno."
"grandfather_5","He is my grandpa.","Lui è mio nonno."
"stepfather","Stepfather","Patrigno"
"stepfather_2","I love my stepfather.","Adoro il mio patrigno."
"stepfather_3","He is my stepfather.","Lui è il mio patrigno."
"stepfather_4","I miss my stepfather.","Mi manca il mio patrigno."
"stepfather_5","He is my stepfather.","Lui è il mio patrigno."
"stepmother","Stepmother","Matrigna"
"stepmother_2","I love my stepmother.","Adoro la mia matrigna."
"stepmother_3","She is my stepmother.","Lei è la mia matrigna."
"stepmother_4","I miss my stepmother.","Mi manca la mia matrigna."
"stepmother_5","She is my stepmother.","Lei è la mia matrigna."
"stepsister","Stepsister","Sorellastra"
"stepsister_2","I love my stepsister.","Adoro la mia sorellastra."
"stepsister_3","She is my stepsister.","Lei è la mia sorellastra."
"stepsister_4","I miss my stepsister.","Mi manca la mia sorellastra."
"stepsister_5","She is my stepsister.","Lei è la mia sorellastra."
"stepbrother","Stepbrother","Fratellastro"
"stepbrother_2","I love my stepbrother.","Adoro il mio fratellastro."
"stepbrother_3","He is my stepbrother.","Lui è il mio fratellastro."
"stepbrother_4","I miss my stepbrother.","Mi manca il fratellastro."
"stepbrother_5","He is my stepbrother.","Lui è il mio fratellastro."
"half-brother","Half brother","Fratellastro"
"half-brother_2","I love my half brother.","Adoro il mio fratellastro."
"half-brother_3","He is my half brother.","Lui è il mio fratellastro."
"half-brother_4","I miss my half brother.","Mi manca il mio fratellastro."
"half-brother_5","He is my half brother.","Lui è il mio fratellastro."
"half-sister","Half sister","Sorellastra"
"half-sister_2","I love my half sister.","Adoro la mia sorellastra."
"half-sister_3","She is my half sister.","Lei è la mia sorellastra."
"half-sister_4","I miss my half sister.","Mi manca la mia sorellastra."
"half-sister_5","She is my half sister.","Lei è la mia sorellastra."
"quarantine","Quarantine","Quarantena"
"protective-mask","Protective mask","Maschera protettiva"
"stay-home","Stay home","Stare a casa"
"toilet-paper","Toilet paper","Carta igienica"
"sprayer","Sprayer","spruzzatore"
"disinfectant","Disinfectant","Disinfettante"
"thermometer","Thermometer","Termometro"
"coughing","Coughing","tosse"
"medical-assistance","Medical assistance","Assistenza medica"
"hand-sanitizer","Hand sanitizer","Igienizzante mani"
"gloves","Gloves","Guanti"
"social-distancing","Social distancing","Riduzione dei contatti"
"mouth-mask","Mouth mask","Maschera per la bocca"
"pandemic","Pandemic","Pandemia"
"working-at-home","Working at home","Lavorare a casa"
"wet-wipes","Wet wipes","Salviettine detergenti"
"first-aid-kit","First aid kit","Kit di pronto soccorso"
"fitness","Fitness","Fitness"
"e-learning","E-learning","E-learning"
"virus","Virus","Virus"
"cleaning","Cleaning","Pulizia"
"school","School","Scuola"
"desk","Desk","Scrivania"
"desk_2","Can I use this desk?","Posso usare questa scrivania?"
"desk_3","Which desk is mine?","Quale scrivania è mia?"
"desk_4","I spilled on my desk.","Mi sono rovesciato sulla scrivania."
"desk_5","Don't scratch your desk.","Non graffiare la tua scrivania."
"chair","Chair","Sedia"
"chair_2","Can I sit with you?","Posso sedermi con te?"
"chair_3","Which chair is mine?","Quale sedia è mia?"
"chair_4","Is this chair taken?","Questa sedia è stata presa?"
"chair_5","I spilled on my chair.","Mi sono rovesciato sulla sedia."
"book","Book","Libro"
"book_2","Textbook","Manuale"
"book_3","Workbook","Cartella di lavoro"
"book_4","Reading a book.","Leggere un libro."
"book_5","Can I borrow your book?","Posso prendere in prestito il tuo libro?"
"book_6","Which page are we at?","A che pagina siamo?"
"book_7","Flip the page.","Capovolgi la pagina."
"book_8","I lost my book.","Ho perso il mio libro."
"notebook","Notebook","Taccuino"
"notebook_2","Taking notes.","Prendere appunti."
"notebook_3","I'm taking notes.","Prendo appunti."
"notebook_4","I lost my notebook.","Ho perso il mio taccuino."
"backpack","Backpack","Zaino"
"backpack_2","Carrying my backpack.","Trasportando il mio zaino."
"backpack_3","Putting my books in my backpack.","Metto i miei libri nello zaino."
"backpack_4","I need a new backpack.","Ho bisogno di un nuovo zaino."
"backpack_5","Thank you for carrying my backpack.","Grazie per aver portato il mio zaino."
"backpack_6","I lost my backpack.","Ho perso il mio zaino."
"backpack_7","My backpack is heavy.","Il mio zaino è pesante."
"blackboard","Blackboard","Lavagna"
"blackboard_2","Look at the blackboard.","Guarda la lavagna."
"blackboard_3","Cleaning the blackboard.","Pulire la lavagna."
"blackboard_4","Solving the problem on the blackboard.","Risolvere il problema sulla lavagna."
"blackboard_5","Taking note on the blackboard.","Prendere nota alla lavagna."
"blackboard_6","Give me a chalk.","Dammi un gesso."
"teacher_7","I don't like this topic.","Non mi piace questo argomento."
"teacher_8","Thank you for the lesson.","Grazie per la lezione"
"school-bus","School bus","Scuolabus"
"school-bus_2","School bus is coming.","Lo scuolabus sta arrivando."
"school-bus_3","Can I sit next to you?","Posso sedermi accanto a te?"
"school-bus_4","Thank you bus driver!","Grazie autista di autobus!"
"school-bus_5","School bus was late.","Lo scuolabus era in ritardo."
"pencil","Pencil","Matita"
"pencil_2","I'm writing.","Sto scrivendo."
"pencil_3","I'm learning to write.","Sto imparando a scrivere."
"pencil_4","I need a new pencil.","Ho bisogno di una nuova matita."
"pencil_5","Can I borrow your pencil?","Posso prendere in prestito la tua matita?"
"pencil_6","I lost my pencil.","Ho perso la matita."
"eraser","Eraser","Gomma per cancellare"
"eraser_2","I'm erasing.","Sto cancellando."
"eraser_3","I need a new eraser.","Ho bisogno di una nuova gomma."
"eraser_4","Can I borrow your eraser?","Posso prendere in prestito la tua gomma?"
"eraser_5","I lost my eraser.","Ho perso la gomma."
"ruler","Ruler","Righello"
"ruler_2","I'm measuring.","Sto misurando."
"ruler_3","I need a new ruler.","Ho bisogno di un nuovo sovrano."
"ruler_4","Can I borrow your ruler?","Posso prendere in prestito il tuo sovrano?"
"ruler_5","I lost my ruler.","Ho perso il mio sovrano."
"sharpener","Sharpener","Temperamatite"
"sharpener_2","I'm sharpening my pencil.","Sto affilando la matita."
"sharpener_3","I need a new sharpener.","Ho bisogno di un nuovo temperino."
"sharpener_4","Can I borrow your sharpener?","Posso prendere in prestito il tuo temperino?"
"sharpener_5","I lost my sharpener.","Ho perso il mio temperino."
"mathematics","Mathematics","Matematica"
"mathematics_2","I like mathematics.","Mi piace la matematica."
"mathematics_3","I want to study mathematics.","Voglio studiare matematica."
"mathematics_4","I don't like mathematics.","Non mi piace la matematica."
"mathematics_5","When is mathematics class?","Quando è la lezione di matematica?"
"mathematics_6","Can you help me with my mathematics homework?","Potete aiutarmi con i miei compiti di matematica?"
"literature","Literature","Letteratura"
"literature_2","I like literature.","Mi piace la letteratura."
"literature_3","I want to study literature.","Voglio studiare letteratura."
"literature_4","I don't like literature.","Non mi piace la letteratura."
"literature_5","When is literature class?","Quando è la lezione di letteratura?"
"literature_6","Can you help me with my literature homework?","Potete aiutarmi con i miei compiti di letteratura?"
"science","Science","Scienza"
"science_2","I like science.","Mi piace la scienza."
"science_3","I want to study science.","Voglio studiare scienze."
"science_4","I don't like science.","Non mi piace la scienza."
"science_5","When is science class?","Quando è la lezione di scienze?"
"science_6","Can you help me with my science homework?","Potete aiutarmi con i miei compiti di scienza?"
"art-class","Art class","Classe di arte"
"art-class_2","I like art class.","Mi piace la lezione d'arte."
"art-class_3","I want to practice art skills.","Voglio praticare abilità artistiche."
"art-class_4","I don't like art class.","Non mi piace la lezione d'arte."
"art-class_5","When is art class?","Quando è la lezione d'arte?"
"art-class_6","Can you help me with my art class homework?","Potete aiutarmi con i compiti della mia classe d'arte?"
"music-class","Music class","Lezione di musica"
"music-class_2","I like music class.","Mi piace la lezione di musica."
"music-class_3","I want to practice music skills.","Voglio praticare abilità musicali."
"music-class_4","I don't like music class.","Non mi piace la lezione di musica."
"music-class_5","When is music class?","Quando è la lezione di musica?"
"music-class_6","Can you help me with my music class homework?","Potete aiutarmi con i compiti della mia classe di musica?"
"geography","Geography","Geografia"
"geography_2","I like geography.","Mi piace la geografia."
"geography_3","I want to study geography.","Voglio studiare geografia."
"geography_4","I don't like geography.","Non mi piace la geografia."
"geography_5","When is geography?","Quando è la geografia?"
"geography_6","Can you help me with my geography homework?","Mi potete aiutare con i compiti di geografia?"
"telescope","Telescope","Telescopio"
"telescope_2","I'm using the telescope.","Sto usando il telescopio."
"telescope_3","I want to use the telescope.","Voglio usare il telescopio."
"telescope_4","I want to look at the stars.","Voglio guardare le stelle."
"glue","Glue","Colla"
"glue_2","I'm using glue.","Sto usando la colla."
"glue_3","I need a new glue.","Ho bisogno di una nuova colla."
"glue_4","Can I borrow your glue?","Posso prendere in prestito la tua colla?"
"glue_5","I lost my glue.","Ho perso la colla."
"shapes","Shapes","forme"
"circle","Circle","Cerchio"
"circle_2","This is circle shaped.","Questo è a forma di cerchio."
"circle_3","Can you teach me how to draw a circle?","Puoi insegnarmi come disegnare un cerchio?"
"triangle","Triangle","Triangolo"
"triangle_2","This is triangle shaped.","Questo è a forma di triangolo."
"triangle_3","Can you teach me how to draw a triangle?","Puoi insegnarmi come disegnare un triangolo?"
"square","Square","Piazza"
"square_2","This is square shaped.","Questa è di forma quadrata."
"square_3","Can you teach me how to draw a square?","Puoi insegnarmi come disegnare un quadrato?"
"rectangle","Rectangle","Rettangolo"
"rectangle_2","This is rectangle shaped.","Questa è a forma di rettangolo."
"rectangle_3","Can you teach me how to draw a rectangle?","Puoi insegnarmi come disegnare un rettangolo?"
"star","Star","Stella"
"star_2","This is star shaped.","Questa è a forma di stella."
"star_3","Can you teach me how to draw a star?","Puoi insegnarmi come disegnare una stella?"
"pentagon","Pentagon","Pentagono"
"pentagon_2","This is pentagon shaped.","Questo è a forma di pentagono."
"pentagon_3","Can you teach me how to draw a pentagon?","Puoi insegnarmi come disegnare un pentagono?"
"hexagon","Hexagon","Esagono"
"hexagon_2","This is hexagon shaped.","Questo è a forma di esagono."
"hexagon_3","Can you teach me how to draw a hexagon?","Puoi insegnarmi come disegnare un esagono?"
"cross","Cross","Attraversare"
"cross_2","This is cross shaped.","Questo è a forma di croce."
"cross_3","Can you teach me how to draw a cross?","Puoi insegnarmi come disegnare una croce?"
"ellipse","Ellipse","Ellisse"
"ellipse_2","This is ellipse shaped.","Questa è a forma di ellisse."
"ellipse_3","Can you teach me how to draw a ellipse?","Puoi insegnarmi come disegnare un'ellisse?"
"arrow","Arrow","Freccia"
"arrow_2","This is arrow shaped.","Questa è a forma di freccia."
"arrow_3","Can you teach me how to draw a arrow?","Puoi insegnarmi come disegnare una freccia?"
"crescent","Crescent","Mezzaluna"
"crescent_2","This is crescent shaped.","Questa è a forma di mezzaluna."
"crescent_3","Can you teach me how to draw a crescent?","Puoi insegnarmi come disegnare una mezzaluna?"
"heart","Heart","Cuore"
"heart_2","This is heart shaped.","Questo è a forma di cuore."
"heart_3","Can you teach me how to draw a heart?","Puoi insegnarmi come disegnare un cuore?"
"rhombus","Rhombus","Rombo"
"rhombus_2","This is rhombus shaped.","Questo è a forma di rombo."
"rhombus_3","Can you teach me how to draw a rhombus?","Puoi insegnarmi come disegnare un rombo?"
"ring","Ring","Squillare"
"ring_2","This is ring shaped.","Questo è a forma di anello."
"ring_3","Can you teach me how to draw a ring?","Puoi insegnarmi come disegnare un anello?"
"semicircle","Semicircle","Semicerchio"
"semicircle_2","This is semicircle shaped.","Questo è a forma di semicerchio."
"semicircle_3","Can you teach me how to draw a semicircle?","Puoi insegnarmi come disegnare un semicerchio?"
"trapezoid","Trapezoid","trapezio"
"trapezoid_2","This is trapezoid shaped.","Questa è a forma di trapezio."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Puoi insegnarmi come disegnare un trapezio?"
"cube","Cube","Cubo"
"cube_2","This is cube shaped.","Questo è a forma di cubo."
"cube_3","Can you teach me how to draw a cube?","Puoi insegnarmi come disegnare un cubo?"
"cylinder","Cylinder","Cilindro"
"cylinder_2","This is cylinder shaped.","Questo è a forma di cilindro."
"cylinder_3","Can you teach me how to draw a cylinder?","Puoi insegnarmi come disegnare un cilindro?"
