"activities","Activities","мероприятия"
"grandmother_3","I love you grandma.","Я люблю тебя бабушка."
"grandmother_4","I miss my grandma.","Я скучаю по своей бабушке."
"grandmother_5","She is my grandma.","Она моя бабушка."
"grandfather","Grandfather","Дед"
"grandfather_2","I love my grandfather.","Я люблю своего дедушку."
"grandfather_3","I love you grandpa.","Я люблю тебя, дедушка."
"grandfather_4","I miss my grandpa.","Я скучаю по своему дедушке."
"grandfather_5","He is my grandpa.","Он мой дедушка."
"stepfather","Stepfather","Отчим"
"stepfather_2","I love my stepfather.","Я люблю своего отчима."
"stepfather_3","He is my stepfather.","Он мой отчим."
"stepfather_4","I miss my stepfather.","Я скучаю по своему отчиму."
"stepfather_5","He is my stepfather.","Он мой отчим."
"stepmother","Stepmother","Мачеха"
"stepmother_2","I love my stepmother.","Я люблю свою мачеху."
"stepmother_3","She is my stepmother.","Она моя мачеха."
"stepmother_4","I miss my stepmother.","Я скучаю по своей мачехе."
"stepmother_5","She is my stepmother.","Она моя мачеха."
"stepsister","Stepsister","Сводная сестра"
"stepsister_2","I love my stepsister.","Я люблю свою сводную сестру."
"stepsister_3","She is my stepsister.","Она моя сводная сестра."
"stepsister_4","I miss my stepsister.","Я скучаю по своей сводной сестре."
"stepsister_5","She is my stepsister.","Она моя сводная сестра."
"stepbrother","Stepbrother","Сводный брат"
"stepbrother_2","I love my stepbrother.","Я люблю своего сводного брата."
"stepbrother_3","He is my stepbrother.","Он мой сводный брат."
"stepbrother_4","I miss my stepbrother.","Я скучаю по своему сводному брату."
"stepbrother_5","He is my stepbrother.","Он мой сводный брат."
"half-brother","Half brother","Сводный брат"
"half-brother_2","I love my half brother.","Я люблю своего сводного брата."
"half-brother_3","He is my half brother.","Он мой сводный брат."
"half-brother_4","I miss my half brother.","Я скучаю по своему сводному брату."
"half-brother_5","He is my half brother.","Он мой сводный брат."
"half-sister","Half sister","Сводная сестра"
"half-sister_2","I love my half sister.","Я люблю свою сводную сестру."
"half-sister_3","She is my half sister.","Она моя сводная сестра."
"half-sister_4","I miss my half sister.","Я скучаю по своей сводной сестре."
"half-sister_5","She is my half sister.","Она моя сводная сестра."
"quarantine","Quarantine","Карантин"
"protective-mask","Protective mask","Защитная маска"
"stay-home","Stay home","Остаться дома"
"toilet-paper","Toilet paper","Туалетная бумага"
"sprayer","Sprayer","опрыскиватель"
"disinfectant","Disinfectant","дезинфицирующий"
"thermometer","Thermometer","Термометр"
"coughing","Coughing","Кашляющий"
"medical-assistance","Medical assistance","Медицинская помощь"
"hand-sanitizer","Hand sanitizer","Санитайзер для рук"
"gloves","Gloves","перчатки"
"social-distancing","Social distancing","Социальное дистанцирование"
"mouth-mask","Mouth mask","Маска для рта"
"pandemic","Pandemic","Пандемия"
"working-at-home","Working at home","Работа на дому"
"wet-wipes","Wet wipes","Влажные салфетки"
"first-aid-kit","First aid kit","Аптечка первой помощи"
"fitness","Fitness","фитнес"
"e-learning","E-learning","Электронное обучение"
"virus","Virus","Вирус"
"cleaning","Cleaning","очищающий"
"school","School","Школа"
"desk","Desk","стол письменный"
"desk_2","Can I use this desk?","Могу ли я использовать этот стол?"
"desk_3","Which desk is mine?","Какой стол мой?"
"desk_4","I spilled on my desk.","Я пролил на свой стол."
"desk_5","Don't scratch your desk.","Не царапай свой стол."
"chair","Chair","кресло"
"chair_2","Can I sit with you?","Могу ли я сидеть с тобой?"
"chair_3","Which chair is mine?","Какой стул мой?"
"chair_4","Is this chair taken?","Этот стул занят?"
"chair_5","I spilled on my chair.","Я пролился на стуле."
"book","Book","Книга"
"book_2","Textbook","учебник"
"book_3","Workbook","рабочая тетрадь"
"book_4","Reading a book.","Читая книгу."
"book_5","Can I borrow your book?","Могу я взять вашу книгу?"
"book_6","Which page are we at?","На какой странице мы находимся?"
"book_7","Flip the page.","Переверните страницу."
"book_8","I lost my book.","Я потерял свою книгу."
"notebook","Notebook","Блокнот"
"notebook_2","Taking notes.","Делать заметки."
"notebook_3","I'm taking notes.","Я делаю заметки."
"notebook_4","I lost my notebook.","Я потерял свой блокнот."
"backpack","Backpack","Рюкзак"
"backpack_2","Carrying my backpack.","Несу мой рюкзак."
"backpack_3","Putting my books in my backpack.","Положил мои книги в мой рюкзак."
"backpack_4","I need a new backpack.","Мне нужен новый рюкзак."
"backpack_5","Thank you for carrying my backpack.","Спасибо за ношение моего рюкзака."
"backpack_6","I lost my backpack.","Я потерял свой рюкзак."
"backpack_7","My backpack is heavy.","Мой рюкзак тяжелый."
"blackboard","Blackboard","классная доска"
"blackboard_2","Look at the blackboard.","Посмотри на доску."
"blackboard_3","Cleaning the blackboard.","Чистка доски."
"blackboard_4","Solving the problem on the blackboard.","Решение проблемы на доске."
"blackboard_5","Taking note on the blackboard.","Принимая к сведению на доске."
"blackboard_6","Give me a chalk.","Дай мне мел."
"teacher_7","I don't like this topic.","Мне не нравится эта тема."
"teacher_8","Thank you for the lesson.","Спасибо за урок."
"school-bus","School bus","Школьный автобус"
"school-bus_2","School bus is coming.","Школьный автобус идет."
"school-bus_3","Can I sit next to you?","Могу я сесть рядом с тобой?"
"school-bus_4","Thank you bus driver!","Спасибо водителю автобуса!"
"school-bus_5","School bus was late.","Школьный автобус опоздал."
"pencil","Pencil","Карандаш"
"pencil_2","I'm writing.","Я пишу."
"pencil_3","I'm learning to write.","Я учусь писать."
"pencil_4","I need a new pencil.","Мне нужен новый карандаш."
"pencil_5","Can I borrow your pencil?","Могу ли я взять твой карандаш?"
"pencil_6","I lost my pencil.","Я потерял свой карандаш."
"eraser","Eraser","ластик"
"eraser_2","I'm erasing.","Я стираю."
"eraser_3","I need a new eraser.","Мне нужен новый ластик."
"eraser_4","Can I borrow your eraser?","Могу я одолжить твой ластик?"
"eraser_5","I lost my eraser.","Я потерял свой ластик."
"ruler","Ruler","Правитель"
"ruler_2","I'm measuring.","Я измеряю."
"ruler_3","I need a new ruler.","Мне нужен новый правитель."
"ruler_4","Can I borrow your ruler?","Могу я одолжить твоего правителя?"
"ruler_5","I lost my ruler.","Я потерял своего правителя."
"sharpener","Sharpener","Точилка"
"sharpener_2","I'm sharpening my pencil.","Я точу свой карандаш."
"sharpener_3","I need a new sharpener.","Мне нужна новая точилка."
"sharpener_4","Can I borrow your sharpener?","Могу ли я одолжить вашу точилку?"
"sharpener_5","I lost my sharpener.","Я потерял свою точилку."
"mathematics","Mathematics","Математика"
"mathematics_2","I like mathematics.","Я люблю математику."
"mathematics_3","I want to study mathematics.","Я хочу изучать математику."
"mathematics_4","I don't like mathematics.","Я не люблю математику."
"mathematics_5","When is mathematics class?","Когда урок математики?"
"mathematics_6","Can you help me with my mathematics homework?","Можете ли вы помочь мне с домашним заданием по математике?"
"literature","Literature","Литература"
"literature_2","I like literature.","Я люблю литературу."
"literature_3","I want to study literature.","Я хочу изучать литературу."
"literature_4","I don't like literature.","Я не люблю литературу."
"literature_5","When is literature class?","Когда урок литературы?"
"literature_6","Can you help me with my literature homework?","Можете ли вы помочь мне с домашним заданием по литературе?"
"science","Science","Наука"
"science_2","I like science.","Я люблю науку."
"science_3","I want to study science.","Я хочу изучать науку."
"science_4","I don't like science.","Я не люблю науку."
"science_5","When is science class?","Когда урок науки?"
"science_6","Can you help me with my science homework?","Можете ли вы помочь мне с моей домашней работой по науке?"
"art-class","Art class","Художественный класс"
"art-class_2","I like art class.","Мне нравится арт-класс."
"art-class_3","I want to practice art skills.","Я хочу практиковать художественные навыки."
"art-class_4","I don't like art class.","Я не люблю арт-класс."
"art-class_5","When is art class?","Когда урок искусства?"
"art-class_6","Can you help me with my art class homework?","Можете ли вы помочь мне с домашним заданием моего художественного класса?"
"music-class","Music class","Уроки музыки"
"music-class_2","I like music class.","Мне нравится музыкальный класс."
"music-class_3","I want to practice music skills.","Я хочу практиковать музыкальные навыки."
"music-class_4","I don't like music class.","Я не люблю музыкальный класс."
"music-class_5","When is music class?","Когда урок музыки?"
"music-class_6","Can you help me with my music class homework?","Можете ли вы помочь мне с домашним заданием моего музыкального класса?"
"geography","Geography","география"
"geography_2","I like geography.","Мне нравится география."
"geography_3","I want to study geography.","Я хочу изучать географию."
"geography_4","I don't like geography.","Я не люблю географию."
"geography_5","When is geography?","Когда география?"
"geography_6","Can you help me with my geography homework?","Можете ли вы помочь мне с домашним заданием по географии?"
"telescope","Telescope","Телескоп"
"telescope_2","I'm using the telescope.","Я использую телескоп."
"telescope_3","I want to use the telescope.","Я хочу использовать телескоп."
"telescope_4","I want to look at the stars.","Я хочу посмотреть на звезды."
"glue","Glue","клей"
"glue_2","I'm using glue.","Я использую клей."
"glue_3","I need a new glue.","Мне нужен новый клей."
"glue_4","Can I borrow your glue?","Могу я одолжить твой клей?"
"glue_5","I lost my glue.","Я потерял свой клей."
"shapes","Shapes","Формы"
"circle","Circle","Круг"
"circle_2","This is circle shaped.","Это в форме круга."
"circle_3","Can you teach me how to draw a circle?","Можете ли вы научить меня, как нарисовать круг?"
"triangle","Triangle","Треугольник"
"triangle_2","This is triangle shaped.","Это треугольник."
"triangle_3","Can you teach me how to draw a triangle?","Можете ли вы научить меня, как нарисовать треугольник?"
"square","Square","Квадрат"
"square_2","This is square shaped.","Это квадратной формы."
"square_3","Can you teach me how to draw a square?","Можете ли вы научить меня рисовать квадрат?"
"rectangle","Rectangle","Прямоугольник"
"rectangle_2","This is rectangle shaped.","Это прямоугольник."
"rectangle_3","Can you teach me how to draw a rectangle?","Можете ли вы научить меня рисовать прямоугольник?"
"star","Star","звезда"
"star_2","This is star shaped.","Это в форме звезды."
"star_3","Can you teach me how to draw a star?","Можете ли вы научить меня, как нарисовать звезду?"
"pentagon","Pentagon","пятиугольник"
"pentagon_2","This is pentagon shaped.","Это пятиугольник."
"pentagon_3","Can you teach me how to draw a pentagon?","Можете ли вы научить меня рисовать пятиугольник?"
"hexagon","Hexagon","шестиугольник"
"hexagon_2","This is hexagon shaped.","Это шестиугольная форма."
"hexagon_3","Can you teach me how to draw a hexagon?","Можете ли вы научить меня рисовать шестиугольник?"
"cross","Cross","Пересекать"
"cross_2","This is cross shaped.","Это крестообразная форма."
"cross_3","Can you teach me how to draw a cross?","Можете ли вы научить меня рисовать крест?"
"ellipse","Ellipse","Эллипс"
"ellipse_2","This is ellipse shaped.","Это в форме эллипса."
"ellipse_3","Can you teach me how to draw a ellipse?","Можете ли вы научить меня рисовать эллипс?"
"arrow","Arrow","Стрела"
"arrow_2","This is arrow shaped.","Это стрела в форме."
"arrow_3","Can you teach me how to draw a arrow?","Можете ли вы научить меня, как нарисовать стрелу?"
"crescent","Crescent","полумесяц"
"crescent_2","This is crescent shaped.","Это в форме полумесяца."
"crescent_3","Can you teach me how to draw a crescent?","Можете ли вы научить меня, как рисовать полумесяц?"
"heart","Heart","Сердце"
"heart_2","This is heart shaped.","Это в форме сердца."
"heart_3","Can you teach me how to draw a heart?","Ты можешь научить меня рисовать сердце?"
"rhombus","Rhombus","Ромб"
"rhombus_2","This is rhombus shaped.","Это ромбовидная форма."
"rhombus_3","Can you teach me how to draw a rhombus?","Вы можете научить меня рисовать ромб?"
"ring","Ring","Кольцо"
"ring_2","This is ring shaped.","Это в форме кольца."
"ring_3","Can you teach me how to draw a ring?","Можете ли вы научить меня, как нарисовать кольцо?"
"semicircle","Semicircle","Полукруг"
"semicircle_2","This is semicircle shaped.","Это полукруглая форма."
"semicircle_3","Can you teach me how to draw a semicircle?","Можете ли вы научить меня, как нарисовать полукруг?"
"trapezoid","Trapezoid","трапеция"
"trapezoid_2","This is trapezoid shaped.","Это в форме трапеции."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Ты можешь научить меня рисовать трапецию?"
"cube","Cube","куб"
"cube_2","This is cube shaped.","Это в форме куба."
"cube_3","Can you teach me how to draw a cube?","Можете ли вы научить меня рисовать куб?"
"cylinder","Cylinder","цилиндр"
"cylinder_2","This is cylinder shaped.","Это в форме цилиндра."
"cylinder_3","Can you teach me how to draw a cylinder?","Можете ли вы научить меня рисовать цилиндр?"
