"activities","Activities","verksamhet"
"cousins_4","I miss my cousins.","Jag saknar mina kusiner."
"cousins_5","They are my cousins.","De är mina kusiner."
"grandmother","Grandmother","Mormor"
"grandmother_2","I love my grandmother.","Jag älskar min mormor."
"grandmother_3","I love you grandma.","Jag älskar dig farmor."
"grandmother_4","I miss my grandma.","Jag saknar min mormor."
"grandmother_5","She is my grandma.","Hon är min mormor."
"grandfather","Grandfather","Farfar"
"grandfather_2","I love my grandfather.","Jag älskar min farfar."
"grandfather_3","I love you grandpa.","Jag älskar dig morfar."
"grandfather_4","I miss my grandpa.","Jag saknar min morfar."
"grandfather_5","He is my grandpa.","Han är min morfar."
"stepfather","Stepfather","Styvfar"
"stepfather_2","I love my stepfather.","Jag älskar min styvfar."
"stepfather_3","He is my stepfather.","Han är min styvfar."
"stepfather_4","I miss my stepfather.","Jag saknar min styvfar."
"stepfather_5","He is my stepfather.","Han är min styvfar."
"stepmother","Stepmother","Styvmor"
"stepmother_2","I love my stepmother.","Jag älskar min styvmor."
"stepmother_3","She is my stepmother.","Hon är min styvmor."
"stepmother_4","I miss my stepmother.","Jag saknar min styvmor."
"stepmother_5","She is my stepmother.","Hon är min styvmor."
"stepsister","Stepsister","styvsyster"
"stepsister_2","I love my stepsister.","Jag älskar min styvsyster."
"stepsister_3","She is my stepsister.","Hon är min styvsyster."
"stepsister_4","I miss my stepsister.","Jag saknar min styvsyster."
"stepsister_5","She is my stepsister.","Hon är min styvsyster."
"stepbrother","Stepbrother","styvbror"
"stepbrother_2","I love my stepbrother.","Jag älskar min styvbror."
"stepbrother_3","He is my stepbrother.","Han är min styvbror."
"stepbrother_4","I miss my stepbrother.","Jag saknar min styvbror."
"stepbrother_5","He is my stepbrother.","Han är min styvbror."
"half-brother","Half brother","Halvbror"
"half-brother_2","I love my half brother.","Jag älskar min halvbror."
"half-brother_3","He is my half brother.","Han är min halvbror."
"half-brother_4","I miss my half brother.","Jag saknar min halvbror."
"half-brother_5","He is my half brother.","Han är min halvbror."
"half-sister","Half sister","Halvsyster"
"half-sister_2","I love my half sister.","Jag älskar min halvsöster."
"half-sister_3","She is my half sister.","Hon är min halvsöster."
"half-sister_4","I miss my half sister.","Jag saknar min halvsöster."
"half-sister_5","She is my half sister.","Hon är min halvsöster."
"quarantine","Quarantine","Karantän"
"protective-mask","Protective mask","Skyddsmask"
"stay-home","Stay home","Stanna hemma"
"toilet-paper","Toilet paper","Toalettpapper"
"sprayer","Sprayer","Spruta"
"disinfectant","Disinfectant","Desinfektionsmedel"
"thermometer","Thermometer","Termometer"
"coughing","Coughing","hosta"
"medical-assistance","Medical assistance","Sjukvård"
"hand-sanitizer","Hand sanitizer","Handsprit"
"gloves","Gloves","Handskar"
"social-distancing","Social distancing","Social distansering"
"mouth-mask","Mouth mask","Munmask"
"pandemic","Pandemic","Pandemisk"
"working-at-home","Working at home","Arbetar hemma"
"wet-wipes","Wet wipes","Våtservetter"
"first-aid-kit","First aid kit","Första hjälpen låda"
"fitness","Fitness","Kondition"
"e-learning","E-learning","E-learning"
"virus","Virus","Virus"
"cleaning","Cleaning","Rengöring"
"school","School","Skola"
"desk","Desk","Skrivbord"
"desk_2","Can I use this desk?","Kan jag använda det här skrivbordet?"
"desk_3","Which desk is mine?","Vilket skrivbord är mitt?"
"desk_4","I spilled on my desk.","Jag spillde på mitt skrivbord."
"desk_5","Don't scratch your desk.","Skrapa inte ditt skrivbord."
"chair","Chair","Stol"
"chair_2","Can I sit with you?","Kan jag sitta med dig?"
"chair_3","Which chair is mine?","Vilken stol är min?"
"chair_4","Is this chair taken?","Är den här stolen taget?"
"chair_5","I spilled on my chair.","Jag spillde på min stol."
"book","Book","bok"
"book_2","Textbook","Lärobok"
"book_3","Workbook","arbetsbok"
"book_4","Reading a book.","Läser en bok."
"book_5","Can I borrow your book?","Kan jag låna din bok?"
"book_6","Which page are we at?","Vilken sida är vi på?"
"book_7","Flip the page.","Vänd sidan."
"book_8","I lost my book.","Jag tappade min bok."
"notebook","Notebook","Anteckningsbok"
"notebook_2","Taking notes.","Skriva anteckningar."
"notebook_3","I'm taking notes.","Jag antecknar."
"notebook_4","I lost my notebook.","Jag tappade min anteckningsbok."
"backpack","Backpack","Ryggsäck"
"backpack_2","Carrying my backpack.","Bär min ryggsäck."
"backpack_3","Putting my books in my backpack.","Lägg mina böcker i ryggsäcken."
"backpack_4","I need a new backpack.","Jag behöver en ny ryggsäck."
"backpack_5","Thank you for carrying my backpack.","Tack för att du bär min ryggsäck."
"backpack_6","I lost my backpack.","Jag tappade min ryggsäck."
"backpack_7","My backpack is heavy.","Min ryggsäck är tung."
"blackboard","Blackboard","Svarta tavlan"
"blackboard_2","Look at the blackboard.","Titta på svarta tavlan."
"blackboard_3","Cleaning the blackboard.","Rengöring av tavlan."
"blackboard_4","Solving the problem on the blackboard.","Lösa problemet på tavlan."
"blackboard_5","Taking note on the blackboard.","Noterar på tavlan."
"blackboard_6","Give me a chalk.","Ge mig en krita."
"teacher_7","I don't like this topic.","Jag gillar inte det här ämnet."
"teacher_8","Thank you for the lesson.","Tack för lektionen."
"school-bus","School bus","Skolbuss"
"school-bus_2","School bus is coming.","Skolbussen kommer."
"school-bus_3","Can I sit next to you?","Kan jag sitta bredvid dig?"
"school-bus_4","Thank you bus driver!","Tack busschaufför!"
"school-bus_5","School bus was late.","Skolbussen var sent."
"pencil","Pencil","Penna"
"pencil_2","I'm writing.","Jag skriver."
"pencil_3","I'm learning to write.","Jag lär mig att skriva."
"pencil_4","I need a new pencil.","Jag behöver en ny penna."
"pencil_5","Can I borrow your pencil?","Kan jag låna din penna?"
"pencil_6","I lost my pencil.","Jag tappade min penna."
"eraser","Eraser","Suddgummi"
"eraser_2","I'm erasing.","Jag raderar."
"eraser_3","I need a new eraser.","Jag behöver ett nytt radergummi."
"eraser_4","Can I borrow your eraser?","Kan jag låna ditt radergummi?"
"eraser_5","I lost my eraser.","Jag tappade mitt radergummi."
"ruler","Ruler","Linjal"
"ruler_2","I'm measuring.","Jag mäter."
"ruler_3","I need a new ruler.","Jag behöver en ny linjal."
"ruler_4","Can I borrow your ruler?","Kan jag låna din linjal?"
"ruler_5","I lost my ruler.","Jag tappade min linjal."
"sharpener","Sharpener","Pennvässare"
"sharpener_2","I'm sharpening my pencil.","Jag skärper min blyertspenna."
"sharpener_3","I need a new sharpener.","Jag behöver en ny slipare."
"sharpener_4","Can I borrow your sharpener?","Kan jag låna din vässare?"
"sharpener_5","I lost my sharpener.","Jag tappade min slipare."
"mathematics","Mathematics","Matematik"
"mathematics_2","I like mathematics.","Jag gillar matematik."
"mathematics_3","I want to study mathematics.","Jag vill studera matematik."
"mathematics_4","I don't like mathematics.","Jag gillar inte matematik."
"mathematics_5","When is mathematics class?","När är matematik klassen?"
"mathematics_6","Can you help me with my mathematics homework?","Kan du hjälpa mig med mina läxor i matematik?"
"literature","Literature","Litteratur"
"literature_2","I like literature.","Jag gillar litteratur."
"literature_3","I want to study literature.","Jag vill studera litteratur."
"literature_4","I don't like literature.","Jag gillar inte litteratur."
"literature_5","When is literature class?","När är litteraturklass?"
"literature_6","Can you help me with my literature homework?","Kan du hjälpa mig med mina litteraturläxor?"
"science","Science","Vetenskap"
"science_2","I like science.","Jag gillar vetenskap."
"science_3","I want to study science.","Jag vill studera vetenskap."
"science_4","I don't like science.","Jag gillar inte vetenskap."
"science_5","When is science class?","När är naturvetenskap?"
"science_6","Can you help me with my science homework?","Kan du hjälpa mig med mina vetenskapsläxor?"
"art-class","Art class","Konstklass"
"art-class_2","I like art class.","Jag gillar konstklass."
"art-class_3","I want to practice art skills.","Jag vill utöva konstfärdigheter."
"art-class_4","I don't like art class.","Jag gillar inte konstklass."
"art-class_5","When is art class?","När är konstklass?"
"art-class_6","Can you help me with my art class homework?","Kan du hjälpa mig med mina läxor i konstklassen?"
"music-class","Music class","Musik klass"
"music-class_2","I like music class.","Jag gillar musikklass."
"music-class_3","I want to practice music skills.","Jag vill öva på musikfärdigheter."
"music-class_4","I don't like music class.","Jag gillar inte musikklass."
"music-class_5","When is music class?","När är musikklass?"
"music-class_6","Can you help me with my music class homework?","Kan du hjälpa mig med mina läxor i musikklass?"
"geography","Geography","Geografi"
"geography_2","I like geography.","Jag gillar geografi."
"geography_3","I want to study geography.","Jag vill studera geografi."
"geography_4","I don't like geography.","Jag gillar inte geografi."
"geography_5","When is geography?","När är geografi?"
"geography_6","Can you help me with my geography homework?","Kan du hjälpa mig med mina geografiska läxor?"
"telescope","Telescope","Teleskop"
"telescope_2","I'm using the telescope.","Jag använder teleskopet."
"telescope_3","I want to use the telescope.","Jag vill använda teleskopet."
"telescope_4","I want to look at the stars.","Jag vill titta på stjärnorna."
"glue","Glue","Lim"
"glue_2","I'm using glue.","Jag använder lim."
"glue_3","I need a new glue.","Jag behöver ett nytt lim."
"glue_4","Can I borrow your glue?","Kan jag låna ditt lim?"
"glue_5","I lost my glue.","Jag tappade mitt lim."
"shapes","Shapes","former"
"circle","Circle","Cirkel"
"circle_2","This is circle shaped.","Detta är cirkelformat."
"circle_3","Can you teach me how to draw a circle?","Kan du lära mig att rita en cirkel?"
"triangle","Triangle","Triangel"
"triangle_2","This is triangle shaped.","Detta är triangelformat."
"triangle_3","Can you teach me how to draw a triangle?","Kan du lära mig att rita en triangel?"
"square","Square","Fyrkant"
"square_2","This is square shaped.","Detta är fyrkantigt."
"square_3","Can you teach me how to draw a square?","Kan du lära mig att rita en fyrkant?"
"rectangle","Rectangle","Rektangel"
"rectangle_2","This is rectangle shaped.","Detta är rektangelformat."
"rectangle_3","Can you teach me how to draw a rectangle?","Kan du lära mig att rita en rektangel?"
"star","Star","Stjärna"
"star_2","This is star shaped.","Detta är stjärnformat."
"star_3","Can you teach me how to draw a star?","Kan du lära mig att rita en stjärna?"
"pentagon","Pentagon","Pentagon"
"pentagon_2","This is pentagon shaped.","Detta är femkantig."
"pentagon_3","Can you teach me how to draw a pentagon?","Kan du lära mig att rita en femkant?"
"hexagon","Hexagon","Sexhörning"
"hexagon_2","This is hexagon shaped.","Detta är hexagonformat."
"hexagon_3","Can you teach me how to draw a hexagon?","Kan du lära mig att rita en sexhörning?"
"cross","Cross","Korsa"
"cross_2","This is cross shaped.","Detta är korsformat."
"cross_3","Can you teach me how to draw a cross?","Kan du lära mig att dra ett kors?"
"ellipse","Ellipse","Ellips"
"ellipse_2","This is ellipse shaped.","Detta är ellipsformat."
"ellipse_3","Can you teach me how to draw a ellipse?","Kan du lära mig att rita en ellips?"
"arrow","Arrow","Pil"
"arrow_2","This is arrow shaped.","Detta är pilformat."
"arrow_3","Can you teach me how to draw a arrow?","Kan du lära mig att rita en pil?"
"crescent","Crescent","Halvmåne"
"crescent_2","This is crescent shaped.","Detta är halvmåneformat."
"crescent_3","Can you teach me how to draw a crescent?","Kan du lära mig hur man drar en halvmåne?"
"heart","Heart","Hjärta"
"heart_2","This is heart shaped.","Detta är hjärtformade."
"heart_3","Can you teach me how to draw a heart?","Kan du lära mig att dra ett hjärta?"
"rhombus","Rhombus","Romb"
"rhombus_2","This is rhombus shaped.","Detta är rombformat."
"rhombus_3","Can you teach me how to draw a rhombus?","Kan du lära mig att rita en romb?"
"ring","Ring","Ringa"
"ring_2","This is ring shaped.","Detta är ringformat."
"ring_3","Can you teach me how to draw a ring?","Kan du lära mig att rita en ring?"
"semicircle","Semicircle","Halvcirkel"
"semicircle_2","This is semicircle shaped.","Detta är halvcirkelformat."
"semicircle_3","Can you teach me how to draw a semicircle?","Kan du lära mig att rita en halvcirkel?"
"trapezoid","Trapezoid","trapezoid"
"trapezoid_2","This is trapezoid shaped.","Detta är trapetsformat."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Kan du lära mig att rita en trapezoid?"
"cube","Cube","Kub"
"cube_2","This is cube shaped.","Detta är kubformat."
"cube_3","Can you teach me how to draw a cube?","Kan du lära mig att rita en kub?"
"cylinder","Cylinder","Cylinder"
"cylinder_2","This is cylinder shaped.","Detta är cylinderformat."
"cylinder_3","Can you teach me how to draw a cylinder?","Kan du lära mig att rita en cylinder?"
